latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
24.57500,109.17500,Liuzhou,1,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-8.71500,0.24100,-8.76600,0.31900,-9.09400,0.22400,-9.12300,0.24300,-8.90600,0.32500,-9.00100,0.43700,-8.96700,0.34300,-9.11200,0.24800,-10.95100,0.24800,-11.39100,0.30300,-11.21500,0.40300,-11.14000,0.43900,-11.28600,0.27600,-11.23000,0.48000,-11.36600,0.30200,-11.01200,0.35100,-11.03900,0.33100,-10.79600,0.26900,-10.76500,0.30200,-8.96500,0.29100,-8.65300,0.26900,-8.89700,0.40300,-8.53800,0.29100,-8.92200,0.31100,-8.64800,0.30300,-8.47200,0.39700,-8.40800,0.29900,-8.36000,0.37000,-8.36100,0.29500,-8.09000,0.32800,-8.28200,0.36700,-8.31400,0.48800,-8.06800,0.28400,0,0.00430,1.84270,0.62320,28050134,31.42000,9.26000
24.57500,109.22500,Liuzhou,1,0.00010,448.00000,0.00060,1231.00000,0.00070,1408.00000,0.00090,1287.00000,-8.72900,0.24000,-8.76700,0.31700,-9.09000,0.22400,-9.12700,0.24300,-8.91400,0.33300,-9.00900,0.44100,-8.97600,0.34200,-9.10800,0.24900,-10.99700,0.26300,-11.45800,0.32500,-11.24300,0.38100,-11.18600,0.41500,-11.30500,0.26300,-11.25200,0.47400,-11.32100,0.27300,-11.02700,0.35500,-11.01300,0.32900,-10.76100,0.26700,-10.75100,0.33200,-8.92900,0.30700,-8.62100,0.26400,-8.86600,0.39000,-8.51400,0.29300,-8.87700,0.30500,-8.64000,0.32000,-8.45900,0.39400,-8.38300,0.30900,-8.29700,0.39800,-8.30900,0.31800,-8.05200,0.32000,-8.18000,0.47400,-8.29000,0.48700,-8.00900,0.27300,0,0.00480,1.99460,0.64220,28050134,29.07000,9.42000
24.57500,109.27500,Liuzhou,1,0.00030,1466.00000,0.00060,2012.00000,0.00150,3320.00000,0.00220,3611.00000,-8.72600,0.25800,-8.73600,0.31100,-9.05700,0.22800,-9.10900,0.24800,-8.89800,0.34300,-8.98300,0.44500,-8.96100,0.33700,-9.05000,0.25700,-11.02700,0.26000,-11.45100,0.34800,-11.24200,0.34600,-11.17700,0.37600,-11.28100,0.23900,-11.20800,0.49300,-11.20200,0.24900,-10.97200,0.35500,-10.90800,0.30900,-10.68300,0.24900,-10.69300,0.36700,-8.90300,0.31300,-8.62000,0.24800,-8.83900,0.38900,-8.49900,0.30300,-8.85900,0.31300,-8.63700,0.33600,-8.44700,0.38100,-8.37000,0.32300,-8.25300,0.39600,-8.26400,0.32700,-8.01500,0.30900,-8.11000,0.55700,-8.26500,0.49100,-7.96200,0.29200,0,0.00880,3.13860,1.04960,28050134,19.43000,7.88000
24.57500,109.32500,Liuzhou,1,0.00010,171.00000,0.00110,2451.00000,0.00190,2744.00000,0.01090,11474.00000,-8.71900,0.26500,-8.72300,0.31000,-9.04600,0.22900,-9.09900,0.25000,-8.88800,0.34400,-8.96800,0.44600,-8.95000,0.33300,-9.03100,0.26100,-11.00400,0.24800,-11.37300,0.36300,-11.18900,0.32900,-11.11400,0.33900,-11.19900,0.21600,-11.12500,0.50500,-11.07900,0.25000,-10.88400,0.36200,-10.80200,0.27400,-10.58400,0.22600,-10.63400,0.38300,-8.88400,0.30500,-8.62700,0.23900,-8.82300,0.39200,-8.51000,0.30300,-8.87700,0.32800,-8.64000,0.35200,-8.43600,0.36000,-8.38300,0.32400,-8.23400,0.37500,-8.26100,0.33700,-8.01200,0.30200,-8.11200,0.45300,-8.26300,0.49100,-7.94500,0.31300,0,0.01880,4.72720,1.91190,28050134,19.00000,7.71000
24.57500,109.37500,Liuzhou,1,0.00060,3112.00000,0.00120,2064.00000,0.00190,2762.00000,0.00300,2640.00000,-8.69400,0.28500,-8.68700,0.30600,-9.01600,0.23400,-9.06600,0.25800,-8.85600,0.34400,-8.92000,0.44600,-8.91300,0.31800,-8.97800,0.27300,-10.95500,0.20200,-11.25800,0.37200,-11.11700,0.32100,-11.00800,0.32700,-11.08700,0.20800,-11.03500,0.50300,-10.97000,0.25900,-10.78000,0.35900,-10.68600,0.22600,-10.48000,0.20900,-10.56800,0.38000,-8.85700,0.28700,-8.63100,0.23900,-8.80300,0.39600,-8.53400,0.30000,-8.90800,0.34800,-8.64600,0.35200,-8.44000,0.33900,-8.42100,0.30400,-8.25400,0.35900,-8.28600,0.35000,-8.02800,0.29600,-8.15300,0.38900,-8.26900,0.48000,-7.95300,0.32500,0,0.00570,2.24380,0.59030,28050134,23.67000,8.60000
24.57500,109.42500,Liuzhou,1,0.00000,0.00000,0.00000,82.00000,0.00000,73.00000,0.00000,337.00000,-8.68000,0.29500,-8.67400,0.30900,-9.00900,0.23800,-9.05100,0.25900,-8.84300,0.33600,-8.90000,0.44300,-8.89700,0.31000,-8.96600,0.27700,-10.89400,0.16200,-11.14500,0.37700,-11.05500,0.34700,-10.91600,0.32800,-10.99800,0.20900,-10.96800,0.49300,-10.90100,0.28200,-10.68900,0.36800,-10.61400,0.19200,-10.42500,0.21400,-10.53400,0.38200,-8.82900,0.27500,-8.63000,0.24500,-8.77400,0.40100,-8.55400,0.29400,-8.91400,0.35800,-8.64500,0.34000,-8.44100,0.32400,-8.44500,0.30400,-8.27900,0.34000,-8.31700,0.36200,-8.05500,0.28900,-8.18500,0.38200,-8.28200,0.47800,-7.97900,0.31800,0,0.00410,1.92970,0.34930,28050134,23.53000,8.61000
24.57500,109.47500,Liuzhou,1,0.00510,33727.00000,0.01020,41245.00000,0.01210,42904.00000,0.01440,40209.00000,-8.65900,0.30900,-8.65400,0.31300,-8.99800,0.24300,-9.02600,0.26000,-8.82300,0.32300,-8.86900,0.43800,-8.87300,0.29600,-8.94800,0.28400,-10.84500,0.13800,-11.07200,0.37500,-11.01700,0.38600,-10.86800,0.34400,-10.93200,0.22400,-10.93800,0.47700,-10.87600,0.29200,-10.63500,0.36600,-10.60300,0.19100,-10.42600,0.24800,-10.53600,0.37600,-8.80200,0.27200,-8.62700,0.24800,-8.75000,0.40000,-8.57600,0.29000,-8.90500,0.35500,-8.63000,0.32700,-8.44700,0.32000,-8.46200,0.30500,-8.30000,0.31900,-8.34600,0.37200,-8.09300,0.28100,-8.21200,0.37900,-8.31000,0.47600,-8.02500,0.29900,0,0.01450,3.11910,1.47660,28050134,21.73000,8.05000
24.57500,109.52500,Liuzhou,1,0.00000,0.00000,0.00000,206.00000,0.00000,182.00000,0.00020,969.00000,-8.64700,0.31400,-8.64700,0.32600,-8.99600,0.24500,-9.01000,0.25800,-8.82000,0.30100,-8.85300,0.43300,-8.85600,0.28600,-8.95200,0.28800,-10.82100,0.18900,-11.05500,0.37500,-11.02800,0.40900,-10.87400,0.36300,-10.91100,0.24200,-10.93700,0.46300,-10.89900,0.28700,-10.62100,0.35900,-10.63500,0.19500,-10.47500,0.27800,-10.55400,0.36200,-8.77700,0.28100,-8.62200,0.24100,-8.74900,0.38700,-8.59900,0.28300,-8.87600,0.33800,-8.60700,0.31000,-8.46200,0.32700,-8.47800,0.30300,-8.31200,0.30600,-8.37500,0.37600,-8.12700,0.27200,-8.24200,0.37300,-8.33300,0.47800,-8.07500,0.30400,0,0.00950,2.94030,1.23500,28050134,22.39000,8.25000
24.57500,109.57500,Liuzhou,1,0.00000,45.00000,0.00000,0.00000,0.00000,42.00000,0.00000,92.00000,-8.63200,0.31700,-8.63600,0.33200,-8.98500,0.24600,-8.99100,0.25600,-8.81100,0.28700,-8.83500,0.42700,-8.83600,0.28000,-8.94600,0.28900,-10.81800,0.25000,-11.08600,0.36600,-11.06400,0.41400,-10.92200,0.35800,-10.93000,0.24600,-10.95800,0.45300,-10.96400,0.28800,-10.64400,0.34600,-10.68500,0.19600,-10.55100,0.30900,-10.60400,0.35000,-8.75600,0.29700,-8.61600,0.23500,-8.75300,0.37000,-8.60500,0.27200,-8.82600,0.31500,-8.56600,0.29300,-8.46500,0.33600,-8.47700,0.29300,-8.30600,0.30100,-8.38500,0.37600,-8.13300,0.26600,-8.25200,0.37200,-8.32000,0.48900,-8.08300,0.32200,0,0.00600,1.94630,0.63220,28050134,21.17000,7.83000
24.57500,109.62500,Liuzhou,-9999,0.00000,256.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-8.58900,0.31800,-8.62100,0.34500,-8.96100,0.24000,-8.96000,0.24300,-8.79800,0.26100,-8.81600,0.41000,-8.80000,0.26800,-8.94600,0.27900,-10.87000,0.28500,-11.14500,0.36900,-11.13300,0.39000,-10.99000,0.32900,-10.98600,0.21600,-11.01200,0.43600,-11.07600,0.28100,-10.68400,0.32700,-10.75600,0.19300,-10.64700,0.33400,-10.66400,0.34100,-8.73500,0.30800,-8.59900,0.23800,-8.75000,0.35600,-8.57800,0.27100,-8.76000,0.28700,-8.50900,0.28300,-8.44100,0.34200,-8.44600,0.27900,-8.28000,0.29700,-8.35800,0.36600,-8.10000,0.26800,-8.23900,0.37800,-8.25900,0.50900,-8.04700,0.32800,0,0.00150,0.84180,0.19980,28050134,29.00000,9.57000
