latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
51.72500,-0.37500,London,2,0.14800,13070.00000,0.23580,13734.00000,0.23970,14406.00000,0.25180,16047.00000,-8.58000,0.55000,-9.10400,0.50000,-9.16800,0.54500,-9.08800,0.21800,-8.82300,0.13600,-8.65700,0.27700,-8.53000,0.46200,-8.61200,0.22100,-10.64000,0.45700,-10.64900,0.39200,-10.61600,0.36400,-10.45100,0.38000,-10.72300,0.31900,-10.47000,0.37200,-10.45100,0.40600,-10.42400,0.39300,-10.21600,0.46500,-10.24900,0.36100,-10.35500,0.37100,-8.55300,0.34000,-8.35900,0.37800,-8.60300,0.29900,-8.41200,0.42800,-8.47600,0.23800,-8.29800,0.35500,-8.31100,0.29700,-8.33500,0.29100,-8.31900,0.28500,-8.25100,0.30700,-7.91600,0.31400,-8.19700,0.51600,-8.13300,0.36400,-7.91600,0.32200,0,0.02600,7.59190,1.83260,19219986,15.88000,7.12000
51.72500,-0.32500,London,2,0.31990,29657.00000,0.35770,30963.00000,0.36160,32489.00000,0.37950,36619.00000,-8.53200,0.53200,-8.98600,0.55800,-9.07500,0.57700,-8.95700,0.22300,-8.78300,0.17400,-8.52700,0.28100,-8.38300,0.48700,-8.46100,0.23900,-10.34700,0.51500,-10.31900,0.42400,-10.33200,0.39300,-10.03300,0.36500,-10.20200,0.31300,-9.98800,0.41500,-9.93000,0.37500,-9.92700,0.40500,-9.71300,0.45200,-9.73900,0.37800,-9.94500,0.37700,-8.51900,0.34900,-8.34000,0.33500,-8.54300,0.27000,-8.37400,0.42100,-8.39900,0.23800,-8.21400,0.33000,-8.26500,0.30900,-8.25500,0.28600,-8.27900,0.30800,-8.22700,0.28600,-7.90600,0.34500,-8.12100,0.51200,-8.11700,0.35100,-7.89500,0.36000,0,0.04040,7.54720,2.88560,19219986,14.94000,6.70000
51.72500,-0.27500,London,2,0.19020,8901.00000,0.22530,9278.00000,0.23050,9719.00000,0.25550,10866.00000,-8.43600,0.53800,-8.86800,0.56400,-8.93400,0.58500,-8.80100,0.21800,-8.61500,0.17100,-8.39400,0.27100,-8.22400,0.47800,-8.30500,0.23400,-10.06800,0.52600,-10.02000,0.43000,-10.04200,0.38400,-9.66600,0.38800,-9.78300,0.30300,-9.59200,0.42800,-9.50300,0.36900,-9.50600,0.41600,-9.30900,0.44000,-9.32800,0.38900,-9.55900,0.38200,-8.48600,0.35100,-8.31500,0.33000,-8.49600,0.26400,-8.33700,0.42000,-8.34800,0.24000,-8.17200,0.32400,-8.22700,0.31300,-8.21100,0.29500,-8.24400,0.32000,-8.20000,0.27700,-7.86800,0.35100,-8.03900,0.50100,-8.07100,0.35300,-7.85300,0.37400,0,0.01940,7.18520,1.32570,19219986,13.73000,6.50000
51.72500,-0.22500,London,1,0.13340,10449.00000,0.17510,11320.00000,0.17850,12146.00000,0.18910,14381.00000,-8.34400,0.54500,-8.75500,0.57000,-8.79900,0.59200,-8.65200,0.21400,-8.45400,0.16900,-8.26700,0.26200,-8.07100,0.46800,-8.15600,0.23000,-9.90200,0.55500,-9.89200,0.44300,-9.87200,0.37200,-9.45900,0.41400,-9.51700,0.29600,-9.34200,0.41900,-9.23400,0.34900,-9.22500,0.43600,-9.05300,0.46700,-9.09300,0.41400,-9.35700,0.38000,-8.52600,0.34000,-8.36600,0.31200,-8.53700,0.27300,-8.37800,0.42000,-8.40100,0.25700,-8.22300,0.34700,-8.26200,0.31300,-8.26200,0.27900,-8.30400,0.31700,-8.23400,0.27200,-7.93600,0.35000,-8.09400,0.50200,-8.12100,0.35800,-7.90200,0.39400,0,0.02170,6.80560,1.53680,19219986,18.28000,6.64000
51.72500,-0.17500,London,1,0.08470,7634.00000,0.12720,8169.00000,0.12980,8668.00000,0.13790,9733.00000,-8.51000,0.53200,-8.76800,0.61200,-8.83600,0.62300,-8.68500,0.24300,-8.45500,0.50900,-8.29300,0.27800,-8.06500,0.51300,-8.19100,0.25300,-9.85600,0.57200,-9.87300,0.44900,-9.84000,0.35200,-9.40500,0.41900,-9.37400,0.32200,-9.22300,0.43200,-9.15200,0.35600,-9.13400,0.47100,-8.95900,0.51100,-9.02700,0.44900,-9.32200,0.39100,-8.63100,0.31200,-8.49000,0.29400,-8.70200,0.31100,-8.48200,0.45000,-8.52300,0.29300,-8.36200,0.35700,-8.41500,0.30800,-8.36800,0.28000,-8.42400,0.30700,-8.35800,0.25700,-8.11600,0.35700,-8.28700,0.47400,-8.31300,0.37000,-8.07400,0.43800,0,0.01510,6.65650,1.05880,19219986,24.11000,7.81000
51.72500,-0.12500,London,1,0.06390,4258.00000,0.11390,4594.00000,0.11730,4997.00000,0.12660,5970.00000,-8.42000,0.54200,-8.65800,0.61900,-8.70600,0.63200,-8.54400,0.23900,-8.24200,0.54100,-8.17400,0.26700,-7.91900,0.50500,-8.05000,0.24700,-9.73300,0.60900,-9.73600,0.45900,-9.68200,0.35900,-9.22200,0.44500,-9.14800,0.33300,-9.02200,0.46400,-8.93400,0.36900,-8.91000,0.52300,-8.77000,0.50200,-8.82400,0.47000,-9.15600,0.37900,-8.64100,0.34200,-8.53900,0.28100,-8.73900,0.29300,-8.52600,0.44900,-8.58600,0.28800,-8.39900,0.35900,-8.47900,0.32600,-8.40000,0.29100,-8.49500,0.30600,-8.43400,0.26700,-8.17800,0.36200,-8.33000,0.48400,-8.35300,0.39200,-8.14100,0.44200,0,0.01090,6.71170,0.66960,19219986,23.04000,7.82000
51.72500,-0.07500,London,2,0.16140,19495.00000,0.22790,20023.00000,0.23550,20703.00000,0.24470,22744.00000,-8.35600,0.55000,-8.58000,0.62400,-8.61300,0.63800,-8.44400,0.23600,-8.09200,0.56300,-8.09100,0.26000,-7.81500,0.49900,-7.94900,0.24300,-9.57700,0.63000,-9.55500,0.46300,-9.48700,0.36300,-9.00100,0.46300,-8.88700,0.33500,-8.78400,0.47400,-8.69200,0.37600,-8.65000,0.54300,-8.53500,0.48200,-8.57900,0.48100,-8.92900,0.37100,-8.61200,0.35400,-8.52700,0.27900,-8.72400,0.29900,-8.51200,0.45700,-8.56900,0.29500,-8.37200,0.37500,-8.48300,0.32800,-8.38100,0.30100,-8.48600,0.30500,-8.42000,0.26800,-8.17000,0.37100,-8.32200,0.48300,-8.34400,0.40900,-8.13400,0.45300,0,0.01470,7.00360,0.95000,19219986,17.67000,6.74000
51.72500,-0.02500,London,2,0.33840,32554.00000,0.37800,33327.00000,0.38540,34453.00000,0.41110,38074.00000,-8.90400,0.55800,-8.90500,0.61300,-8.97900,0.65200,-8.83600,0.27000,-8.76200,0.16100,-8.45200,0.30100,-8.17600,0.56100,-8.36500,0.27800,-9.79300,0.67000,-9.86800,0.48400,-9.75500,0.39200,-9.30700,0.49500,-9.17000,0.36400,-9.07200,0.50200,-8.97800,0.40700,-8.94500,0.60000,-8.84200,0.46900,-8.92400,0.49000,-9.31700,0.35100,-8.71100,0.38100,-8.62600,0.26700,-8.81000,0.28000,-8.61000,0.46800,-8.67300,0.29700,-8.48200,0.34300,-8.57100,0.33800,-8.45400,0.31000,-8.58600,0.30800,-8.55000,0.27500,-8.27700,0.34500,-8.44500,0.50600,-8.43700,0.44500,-8.24800,0.42700,0,0.02530,7.12500,1.76480,19219986,17.77000,6.52000
51.72500,0.02500,London,1,0.08270,4170.00000,0.12890,4142.00000,0.13610,4105.00000,0.14980,4221.00000,-8.88600,0.56000,-8.88000,0.61500,-8.94800,0.65300,-8.80300,0.26900,-8.72900,0.16100,-8.42600,0.29900,-8.14200,0.56000,-8.33200,0.27800,-10.12400,0.70700,-10.28100,0.50600,-10.10300,0.39300,-9.77200,0.50100,-9.62600,0.37500,-9.51200,0.52900,-9.40300,0.42900,-9.41700,0.66700,-9.29800,0.47600,-9.40900,0.50200,-9.84800,0.35100,-8.77500,0.41500,-8.67100,0.27300,-8.86000,0.27500,-8.67300,0.48200,-8.76300,0.25600,-8.53900,0.30800,-8.61900,0.32100,-8.53300,0.29900,-8.65700,0.31800,-8.62700,0.26400,-8.30700,0.34200,-8.61200,0.47300,-8.55400,0.46100,-8.36200,0.42300,0,0.01310,7.06680,0.87320,19219986,14.75000,6.33000
51.72500,0.07500,London,1,0.07410,9438.00000,0.10650,9375.00000,0.11090,9377.00000,0.11630,9807.00000,-8.97100,0.56500,-8.89900,0.61100,-8.95300,0.66300,-8.81200,0.27400,-8.74700,0.16100,-8.45000,0.30700,-8.14100,0.56900,-8.34500,0.28500,-9.97000,0.69600,-10.10200,0.51300,-9.93000,0.39600,-9.57100,0.52200,-9.39000,0.37400,-9.28300,0.52200,-9.19400,0.43600,-9.20800,0.65900,-9.07900,0.43600,-9.17800,0.51600,-9.63500,0.34900,-8.76800,0.41300,-8.67000,0.27100,-8.85300,0.28100,-8.66500,0.48400,-8.75000,0.27500,-8.53400,0.32100,-8.62200,0.33000,-8.52100,0.30600,-8.65400,0.32400,-8.63500,0.27700,-8.30800,0.34700,-8.62200,0.49600,-8.54800,0.46700,-8.35500,0.42600,0,0.00800,6.11420,0.52460,19219986,11.82000,5.54000
