latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
34.22500,-118.42500,LosAngeles,3,0.82860,103004.00000,0.93410,112739.00000,0.94310,120073.00000,0.96320,123871.00000,-8.61000,0.14700,-8.21200,0.16800,-8.02700,0.14800,-8.25900,0.25500,-8.28800,0.23300,-8.11600,0.10600,-8.67100,1.29900,-8.41700,0.92500,-9.28400,0.20000,-9.24100,0.25100,-9.29000,0.23400,-9.12000,0.28500,-9.10000,0.22200,-9.00000,0.19900,-8.99700,0.20300,-8.98800,0.22600,-8.80900,0.20400,-8.89800,0.21000,-8.79900,0.31000,-7.42700,0.17700,-7.45300,0.15400,-7.33600,0.15900,-7.37400,0.15500,-7.41700,0.16100,-7.33000,0.14400,-7.36000,0.16500,-7.37100,0.17500,-7.45600,0.51600,-7.40800,0.47400,-7.06700,0.43300,-7.07400,0.53400,-7.01800,0.65100,-6.95300,0.56300,0,0.23670,5.87980,13.94250,25552044,3.08000,1.36000
34.22500,-118.37500,LosAngeles,3,0.68740,60058.00000,0.77150,65415.00000,0.78760,69520.00000,0.82950,71420.00000,-8.54700,0.15100,-8.11900,0.17700,-7.95100,0.14500,-8.16200,0.26100,-8.19300,0.25000,-8.02200,0.10400,-8.58900,1.39000,-8.32400,0.96700,-9.24900,0.18400,-9.16300,0.26900,-9.27000,0.22300,-9.08300,0.27700,-9.06200,0.21300,-8.96100,0.18100,-8.96900,0.19900,-8.97900,0.21500,-8.75800,0.21700,-8.86100,0.22700,-8.71400,0.31200,-7.38700,0.19200,-7.40700,0.14300,-7.30200,0.15600,-7.34200,0.15600,-7.39100,0.16100,-7.30000,0.14400,-7.32900,0.16000,-7.33700,0.17600,-7.41600,0.49800,-7.35200,0.50400,-7.09000,0.41700,-6.96500,0.50900,-7.17000,0.59200,-6.87100,0.67800,0,0.18470,6.92550,14.11540,25552044,3.46000,1.46000
34.22500,-118.32500,LosAngeles,3,0.26270,13225.00000,0.31710,14412.00000,0.33390,15355.00000,0.35340,15849.00000,-8.15500,0.15200,-7.88000,0.15200,-7.65300,0.14000,-7.91400,0.25000,-7.90800,0.19900,-7.79200,0.11600,-8.39900,1.48300,-7.96300,0.84100,-9.32700,0.17600,-9.20700,0.26400,-9.33000,0.21800,-9.13200,0.24500,-9.12600,0.20000,-9.01700,0.20000,-9.08000,0.19500,-9.05300,0.21400,-8.83500,0.24600,-8.92500,0.24800,-8.76100,0.30600,-7.52700,0.19900,-7.54000,0.18000,-7.39300,0.18600,-7.43800,0.18500,-7.50900,0.17800,-7.42500,0.18600,-7.48800,0.20400,-7.49100,0.19900,-7.52800,0.51200,-7.34000,0.50500,-7.40400,0.38900,-7.17500,0.65800,-7.51200,0.68400,-7.09900,0.81100,0,0.05160,4.88890,3.33650,25552044,12.55000,3.32000
34.22500,-118.27500,LosAngeles,3,0.14330,19700.00000,0.19240,21631.00000,0.19670,22999.00000,0.20480,23811.00000,-8.12300,0.15300,-7.84100,0.15400,-7.61900,0.13800,-7.87400,0.25300,-7.86800,0.20400,-7.75100,0.11500,-8.36400,1.51100,-7.92500,0.85300,-9.52000,0.13800,-9.39100,0.26000,-9.52100,0.22100,-9.29100,0.22300,-9.33000,0.18000,-9.18600,0.21200,-9.30900,0.17900,-9.27800,0.21600,-9.05600,0.27100,-9.14000,0.26000,-8.92300,0.33500,-7.93600,0.14200,-7.98700,0.13500,-7.81300,0.20300,-7.75700,0.15700,-7.83200,0.14400,-7.85200,0.15200,-7.85800,0.15200,-7.74500,0.22000,-7.89600,0.66000,-7.67000,0.48800,-7.90200,0.43900,-7.53600,0.60900,-8.08200,0.69600,-7.54700,0.76000,0,0.06520,3.50150,4.21630,25552044,23.44000,4.49000
34.22500,-118.22500,LosAngeles,2,0.33410,37861.00000,0.48890,41672.00000,0.49310,44287.00000,0.51080,45534.00000,-8.01300,0.18800,-7.92400,0.12700,-7.61800,0.13800,-7.92300,0.24100,-7.88700,0.14200,-7.83800,0.13400,-8.36200,1.26600,-8.01600,0.84000,-9.77600,0.13200,-9.66800,0.25000,-9.76300,0.23600,-9.50000,0.21500,-9.59300,0.18500,-9.47000,0.20800,-9.60700,0.18400,-9.60600,0.26600,-9.38600,0.27100,-9.44300,0.25600,-9.19100,0.35800,-8.03600,0.14400,-8.09000,0.15700,-7.91400,0.22500,-7.79600,0.13200,-7.91700,0.15000,-8.01100,0.14300,-7.96600,0.12300,-7.90400,0.21600,-8.14900,0.69300,-7.97000,0.47900,-8.14900,0.40400,-7.79100,0.49500,-8.47100,0.38400,-8.02700,0.43500,0,0.12110,5.07830,7.27270,25552044,11.63000,2.98000
34.22500,-118.17500,LosAngeles,1,0.13320,9220.00000,0.23770,10050.00000,0.24650,10679.00000,0.27340,10959.00000,-7.94100,0.20000,-7.82500,0.13000,-7.54000,0.12600,-7.82600,0.25000,-7.79400,0.15600,-7.73200,0.12800,-8.21900,1.16700,-7.91800,0.90400,-9.95600,0.15300,-9.85200,0.24000,-9.92900,0.22100,-9.64000,0.19200,-9.77300,0.18600,-9.70600,0.19400,-9.84000,0.18700,-9.81000,0.24200,-9.57500,0.29300,-9.66200,0.24200,-9.40800,0.37400,-8.03600,0.16900,-8.11500,0.15300,-7.94000,0.23100,-7.81900,0.12200,-7.96500,0.15800,-8.01800,0.13900,-7.98600,0.13200,-8.01700,0.19900,-8.28500,0.58600,-8.00200,0.51000,-8.14300,0.44300,-7.88700,0.51900,-8.50200,0.38900,-8.09000,0.42300,0,0.03530,2.81450,2.24340,25552044,19.05000,4.29000
34.22500,-118.12500,LosAngeles,1,0.04250,3133.00000,0.07460,3366.00000,0.08510,3586.00000,0.09990,3733.00000,-7.95200,0.23800,-7.97900,0.12100,-7.68100,0.12100,-8.01600,0.26100,-7.91300,0.11900,-7.92200,0.11200,-8.09100,0.56300,-8.24700,1.05800,-10.08900,0.16500,-10.02100,0.22200,-10.07300,0.21500,-9.75600,0.18300,-9.91100,0.20000,-9.87400,0.17600,-10.01000,0.20100,-9.95400,0.23000,-9.72600,0.27700,-9.82200,0.23100,-9.60700,0.36900,-8.05800,0.17200,-8.17500,0.15900,-7.98900,0.23900,-7.86600,0.13000,-8.02000,0.16100,-8.05200,0.15400,-8.03900,0.15800,-8.08800,0.20000,-8.30200,0.51700,-8.09000,0.43700,-8.18700,0.36600,-8.02400,0.51300,-8.46200,0.51300,-8.09500,0.51900,0,0.00940,1.46350,0.54020,25552044,22.87000,4.79000
34.22500,-118.07500,LosAngeles,1,0.00230,4.00000,0.01420,5.00000,0.01680,5.00000,0.02340,5.00000,-7.87500,0.24300,-7.89500,0.12300,-7.60800,0.11300,-7.93500,0.26200,-7.83000,0.12200,-7.83100,0.10700,-7.97300,0.53000,-8.17700,1.07900,-10.19900,0.17800,-10.22400,0.22000,-10.23400,0.19800,-9.88500,0.18500,-10.07100,0.21300,-10.01400,0.18000,-10.17600,0.19900,-10.12000,0.24200,-9.90400,0.27300,-10.01900,0.21200,-9.80000,0.36600,-8.13100,0.17200,-8.26700,0.15200,-8.06800,0.23100,-7.97100,0.16200,-8.12200,0.16800,-8.14200,0.15900,-8.13800,0.15100,-8.17800,0.19600,-8.31900,0.49900,-8.15100,0.37900,-8.23500,0.32400,-8.04200,0.46500,-8.46700,0.60600,-8.17800,0.54200,0,0.00090,1.57170,0.06740,25552044,36.78000,5.77000
34.22500,-118.02500,LosAngeles,0,0.00040,4.00000,0.00240,5.00000,0.00270,5.00000,0.00440,4.00000,-8.01300,0.24800,-8.11600,0.12400,-7.85400,0.13600,-8.18900,0.25000,-8.06400,0.11600,-8.09500,0.09600,-8.22000,0.46500,-8.32500,0.84100,-10.21100,0.17000,-10.25000,0.21700,-10.25800,0.19300,-9.91800,0.19000,-10.08100,0.23000,-10.06600,0.21900,-10.20300,0.20500,-10.11900,0.25700,-9.96200,0.28200,-10.07400,0.20800,-9.89400,0.34900,-8.18200,0.16400,-8.32700,0.14200,-8.12400,0.19800,-8.09000,0.17200,-8.23800,0.15000,-8.23600,0.17100,-8.21900,0.15100,-8.24500,0.20000,-8.27300,0.49300,-8.14700,0.37000,-8.36400,0.83600,-8.09600,0.63000,-8.41400,0.42400,-8.02600,0.55500,0,0.00010,0.13830,0.00490,25552044,44.57000,5.89000
34.22500,-117.97500,LosAngeles,0,0.00050,3.00000,0.00180,2.00000,0.00270,2.00000,0.00550,5.00000,-7.98100,0.24600,-8.08800,0.12500,-7.83800,0.13600,-8.16800,0.24800,-8.03800,0.11600,-8.06700,0.09000,-8.19100,0.45400,-8.27200,0.79600,-10.20800,0.16500,-10.21600,0.22400,-10.25600,0.18200,-9.91400,0.17800,-10.04800,0.22500,-10.07500,0.23100,-10.18900,0.22400,-10.08300,0.26300,-9.94200,0.29300,-10.09100,0.19100,-9.97100,0.33200,-8.21400,0.17100,-8.35500,0.12600,-8.17200,0.16900,-8.17600,0.14700,-8.30800,0.14300,-8.30100,0.14600,-8.25900,0.14500,-8.31100,0.20400,-8.24900,0.50700,-8.16600,0.38300,-8.21000,0.99300,-8.07900,0.66000,-8.26700,0.46200,-8.00900,0.50800,0,0.00000,0.00000,0.00000,25552044,42.49000,5.43000
