latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
27.12500,80.67500,Lucknow,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00030,2555.00000,-9.85400,0.45500,-9.56700,0.49500,-9.70700,0.64500,-9.46300,0.45300,-9.40900,0.43600,-9.33800,0.40900,-9.63000,0.83000,-9.26600,0.36900,-11.46300,0.27200,-11.23900,0.28100,-11.27400,0.31400,-11.64300,0.58100,-11.06700,0.50400,-11.26800,0.34500,-11.12600,0.30200,-11.16700,0.28700,-10.94200,0.28600,-10.94100,0.23500,-11.18000,0.52100,-9.18000,0.39000,-8.75500,0.28400,-9.41000,0.70400,-9.07700,0.65100,-8.81100,0.26800,-9.08300,0.76600,-8.99200,0.40000,-9.37000,0.58800,-9.28000,0.40600,-8.76700,0.39700,-8.62200,0.31800,-8.71500,0.59400,-8.71800,0.38500,-8.82500,0.40600,0,-9999.00000,-9999.00000,-9999.00000,27464498,5.24000,2.43000
27.12500,80.72500,Lucknow,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00020,2372.00000,-9.76800,0.41000,-9.49200,0.49500,-9.60800,0.60500,-9.39900,0.40900,-9.32200,0.41100,-9.24700,0.38600,-9.51800,0.77900,-9.21900,0.38500,-11.38700,0.24500,-11.14500,0.26400,-11.17000,0.27700,-11.57200,0.58000,-10.99700,0.48500,-11.15000,0.27600,-11.01600,0.28500,-11.11500,0.29600,-10.83900,0.27900,-10.86200,0.22300,-11.10600,0.50900,-9.13400,0.38600,-8.75500,0.25700,-9.35300,0.66600,-9.04000,0.61700,-8.78300,0.27800,-9.07000,0.75200,-8.91200,0.39400,-9.23500,0.57900,-9.17100,0.39000,-8.73300,0.41800,-8.58300,0.29100,-8.66300,0.55700,-8.67000,0.36900,-8.77400,0.39300,0,-9999.00000,-9999.00000,-9999.00000,27464498,4.26000,2.02000
27.12500,80.77500,Lucknow,0,0.00000,0.00000,0.00000,0.00000,0.00000,748.00000,0.00020,2396.00000,-9.71500,0.39800,-9.46300,0.49500,-9.56500,0.60000,-9.37200,0.40500,-9.27300,0.40000,-9.20400,0.37400,-9.45300,0.71800,-9.19500,0.39400,-11.34100,0.23200,-11.11200,0.26600,-11.12700,0.27100,-11.55000,0.57900,-10.95500,0.48800,-11.11600,0.23400,-10.95400,0.27400,-11.10800,0.31500,-10.79900,0.30100,-10.83700,0.23600,-11.07300,0.46700,-9.12400,0.41800,-8.82600,0.28700,-9.30600,0.61500,-8.99600,0.53100,-8.75000,0.28600,-9.02100,0.71600,-8.88000,0.38500,-9.09000,0.54100,-9.08100,0.37000,-8.71300,0.46400,-8.56200,0.28100,-8.59500,0.46900,-8.64900,0.34800,-8.72100,0.37600,0,-9999.00000,-9999.00000,-9999.00000,27464498,4.19000,2.05000
27.12500,80.82500,Lucknow,0,0.00000,0.00000,0.00000,0.00000,0.00010,0.00000,0.00030,1387.00000,-9.62800,0.37500,-9.41600,0.49800,-9.49300,0.59200,-9.32500,0.39200,-9.19300,0.38100,-9.13500,0.35500,-9.34600,0.61400,-9.15900,0.41000,-11.34200,0.23700,-11.14400,0.28400,-11.15600,0.28800,-11.55400,0.58000,-10.96000,0.49100,-11.16100,0.22900,-10.96200,0.27700,-11.16000,0.32600,-10.84000,0.33300,-10.88700,0.26600,-11.08900,0.40200,-9.12900,0.43700,-8.88600,0.28900,-9.28100,0.52500,-8.99800,0.48500,-8.75400,0.28500,-8.97800,0.66900,-8.91100,0.38600,-9.04800,0.52100,-9.06700,0.37300,-8.70500,0.44400,-8.58200,0.28700,-8.56700,0.43400,-8.68400,0.33700,-8.73600,0.36600,0,-9999.00000,-9999.00000,-9999.00000,27464498,5.24000,2.46000
27.12500,80.87500,Lucknow,0,0.00000,0.00000,0.00000,0.00000,0.00020,0.00000,0.00130,19843.00000,-9.56100,0.36100,-9.38200,0.49700,-9.45500,0.58500,-9.29200,0.37900,-9.13400,0.36400,-9.09600,0.33600,-9.28900,0.52800,-9.14500,0.41200,-11.40500,0.23400,-11.23900,0.31900,-11.24400,0.31000,-11.60700,0.58100,-11.01100,0.48200,-11.28200,0.25300,-11.04700,0.28300,-11.27300,0.32000,-10.94000,0.35400,-10.98900,0.30500,-11.19200,0.33700,-9.14600,0.43400,-8.89700,0.27300,-9.28600,0.44000,-9.04500,0.46300,-8.80600,0.27300,-8.99700,0.62400,-8.96000,0.40000,-9.09700,0.52400,-9.17300,0.42600,-8.79100,0.41400,-8.64100,0.30400,-8.60000,0.45800,-8.77300,0.33500,-8.80100,0.36800,0,-9999.00000,-9999.00000,-9999.00000,27464498,5.18000,2.42000
27.12500,80.92500,Lucknow,0,0.00000,0.00000,0.00000,0.00000,0.00040,6072.00000,0.00330,8790.00000,-9.51400,0.35000,-9.35700,0.49700,-9.42600,0.57900,-9.26700,0.37300,-9.09000,0.35100,-9.06600,0.32300,-9.24700,0.46400,-9.13500,0.41400,-11.51000,0.25500,-11.38400,0.35500,-11.40400,0.33900,-11.68000,0.58200,-11.11400,0.47000,-11.46500,0.31400,-11.20600,0.30300,-11.44900,0.32100,-11.11700,0.36600,-11.14200,0.34700,-11.37000,0.29700,-9.20900,0.44000,-8.89500,0.25300,-9.34900,0.43000,-9.10500,0.44500,-8.88900,0.26600,-9.05700,0.59700,-9.01700,0.42000,-9.20800,0.52800,-9.31700,0.47500,-8.92500,0.39900,-8.73300,0.33900,-8.66300,0.47500,-8.89700,0.33700,-8.90300,0.38500,0,-9999.00000,-9999.00000,-9999.00000,27464498,5.56000,2.57000
27.12500,80.97500,Lucknow,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9.44200,0.32300,-9.32800,0.48400,-9.40100,0.54200,-9.24200,0.35400,-9.04900,0.34000,-9.05500,0.28700,-9.24200,0.38300,-9.13100,0.39500,-11.62000,0.30300,-11.52900,0.39200,-11.58500,0.37900,-11.73600,0.55700,-11.21800,0.44800,-11.66400,0.39600,-11.38800,0.33300,-11.65900,0.36400,-11.31600,0.37000,-11.28900,0.37600,-11.56600,0.28100,-9.30300,0.43700,-8.92800,0.26500,-9.42700,0.42600,-9.16000,0.44100,-8.99400,0.28300,-9.10800,0.57900,-9.12200,0.46000,-9.30900,0.53300,-9.39600,0.48100,-9.07400,0.43200,-8.82200,0.38300,-8.74900,0.54300,-9.00900,0.35100,-9.02000,0.44000,0,-9999.00000,-9999.00000,-9999.00000,27464498,4.56000,2.08000
27.12500,81.02500,Lucknow,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00020,399.00000,-9.42300,0.31500,-9.32000,0.48200,-9.39000,0.53000,-9.23400,0.35500,-9.03400,0.33500,-9.04700,0.27900,-9.23900,0.36000,-9.12800,0.39000,-11.72900,0.32600,-11.64200,0.41100,-11.77600,0.40700,-11.79900,0.49800,-11.32300,0.41800,-11.86200,0.48000,-11.57300,0.39900,-11.87800,0.40500,-11.51500,0.37400,-11.43200,0.42100,-11.76700,0.32000,-9.36800,0.42300,-8.96600,0.29100,-9.50500,0.41400,-9.19900,0.44600,-9.10000,0.33800,-9.16200,0.57000,-9.21900,0.46800,-9.38600,0.48900,-9.46000,0.45800,-9.18000,0.44800,-8.91100,0.40300,-8.81200,0.59200,-9.07700,0.36000,-9.09000,0.46600,0,-9999.00000,-9999.00000,-9999.00000,27464498,5.79000,2.55000
27.12500,81.07500,Lucknow,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00030,4133.00000,-9.33800,0.27800,-9.30200,0.44800,-9.37800,0.46400,-9.23100,0.33600,-9.03200,0.34800,-9.07800,0.24700,-9.28900,0.29600,-9.13400,0.34600,-11.83100,0.34500,-11.71600,0.42200,-11.92900,0.41300,-11.83600,0.43800,-11.38900,0.41500,-12.04800,0.53700,-11.72200,0.46400,-12.04700,0.42800,-11.70100,0.41300,-11.52600,0.47200,-11.95200,0.38400,-9.40700,0.41000,-8.99400,0.31500,-9.53800,0.36800,-9.23200,0.45900,-9.16000,0.36500,-9.23100,0.57500,-9.26000,0.44200,-9.46600,0.39800,-9.51100,0.43100,-9.23700,0.45200,-8.95400,0.44100,-8.85000,0.60800,-9.10100,0.35700,-9.13800,0.48600,0,-9999.00000,-9999.00000,-9999.00000,27464498,7.46000,3.44000
27.12500,81.12500,Lucknow,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00010,489.00000,-9.33500,0.27600,-9.30200,0.44700,-9.37500,0.45800,-9.23300,0.34100,-9.03100,0.34800,-9.07800,0.24900,-9.29400,0.29000,-9.13400,0.34100,-11.89000,0.36800,-11.73600,0.42700,-12.02000,0.43500,-11.84400,0.39800,-11.41100,0.42200,-12.13600,0.55700,-11.79900,0.51100,-12.17100,0.44800,-11.83300,0.45800,-11.54300,0.49400,-12.05700,0.43300,-9.41900,0.39100,-9.01600,0.34200,-9.53000,0.32600,-9.25000,0.46200,-9.19700,0.36900,-9.23300,0.57300,-9.25200,0.42900,-9.48500,0.35500,-9.50800,0.42300,-9.25200,0.45500,-8.96700,0.45400,-8.85000,0.62600,-9.11400,0.37800,-9.16100,0.50200,0,-9999.00000,-9999.00000,-9999.00000,27464498,7.75000,3.36000
