latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
34.92500,112.22500,Luoyang,0,0.00000,5155.00000,0.00000,6660.00000,0.00000,21286.00000,0.00000,22385.00000,-8.91000,0.55400,-9.24600,0.65900,-8.92900,0.87800,-8.37700,0.81300,-10.15100,0.28500,-8.57100,0.71300,-8.89300,0.20000,-8.44600,0.51200,-10.99600,0.46600,-10.88800,0.38300,-11.35200,0.66700,-11.48100,0.39400,-10.61900,0.37200,-10.74200,0.41500,-11.07400,0.38800,-10.99600,0.40400,-10.83500,0.49200,-11.00900,0.29800,-11.03100,0.40400,-9.32300,0.53200,-9.31200,0.48500,-9.33900,0.55100,-8.86200,0.45300,-8.90400,0.71900,-9.10700,0.52200,-9.42800,0.73000,-9.18900,0.57000,-9.57500,0.30600,-9.26300,0.45400,-9.35400,0.42700,-8.93400,0.58200,-9.42600,0.61600,-9.10500,0.65600,14,0.00120,0.71260,0.04550,25341668,12.62000,4.94000
34.92500,112.27500,Luoyang,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-8.91200,0.55300,-9.22900,0.66000,-8.92600,0.87700,-8.38900,0.78800,-10.14800,0.27900,-8.57700,0.70800,-8.89300,0.20500,-8.43700,0.50600,-10.99900,0.45400,-10.83700,0.35400,-11.29900,0.66100,-11.46100,0.39900,-10.53500,0.38600,-10.66700,0.38000,-11.00200,0.42600,-10.97200,0.41100,-10.77000,0.52400,-10.93300,0.30800,-10.96700,0.41800,-9.31100,0.54100,-9.26500,0.49800,-9.35000,0.54500,-8.87700,0.44800,-8.84900,0.72500,-9.06800,0.48800,-9.37300,0.75400,-9.16200,0.56100,-9.48100,0.31200,-9.18400,0.45300,-9.31600,0.43900,-8.87500,0.62600,-9.34200,0.62900,-9.04700,0.64400,3,0.00030,0.17870,0.01110,25341668,17.55000,5.64000
34.92500,112.32500,Luoyang,0,0.00030,6626.00000,0.00120,2152.00000,0.00160,1860.00000,0.00160,3666.00000,-8.91900,0.55400,-9.16400,0.66100,-8.90600,0.87000,-8.43500,0.69400,-10.12600,0.25900,-8.59800,0.68700,-8.89000,0.22300,-8.40800,0.48900,-10.96200,0.44900,-10.76000,0.34300,-11.21500,0.64100,-11.38700,0.40100,-10.43600,0.37600,-10.56600,0.35300,-10.88700,0.45400,-10.89200,0.42900,-10.69000,0.55200,-10.79900,0.30800,-10.86400,0.42300,-9.22600,0.53900,-9.17000,0.49300,-9.30300,0.55200,-8.82200,0.44300,-8.74300,0.72100,-8.96900,0.45700,-9.26100,0.73900,-9.05300,0.56400,-9.31500,0.33600,-9.04600,0.46200,-9.18200,0.44600,-8.74500,0.68600,-9.19900,0.63100,-8.90700,0.60800,16,0.00130,0.86750,0.03600,25341668,14.25000,5.07000
34.92500,112.37500,Luoyang,1,0.00020,42202.00000,0.00100,45095.00000,0.00190,43085.00000,0.00190,45268.00000,-8.93200,0.54400,-9.14900,0.65500,-8.90500,0.85800,-8.46400,0.66800,-10.10400,0.26200,-8.61700,0.67600,-8.89700,0.22800,-8.41100,0.48100,-10.88800,0.46500,-10.64600,0.33300,-11.06100,0.59400,-11.26200,0.41600,-10.29100,0.35400,-10.41900,0.35000,-10.69300,0.47500,-10.75100,0.45300,-10.53900,0.57400,-10.57400,0.30900,-10.69400,0.44400,-9.10700,0.53500,-9.04200,0.48500,-9.20300,0.57600,-8.72400,0.44200,-8.61400,0.70300,-8.85000,0.43000,-9.10600,0.71300,-8.88700,0.57700,-9.12500,0.37100,-8.88000,0.47400,-9.03700,0.43600,-8.60600,0.72800,-9.03900,0.62300,-8.74400,0.56200,0,0.00530,2.18300,0.45780,25341668,14.28000,4.89000
34.92500,112.42500,Luoyang,0,0.00000,0.00000,0.00030,1211.00000,0.00070,10339.00000,0.00070,6305.00000,-8.96700,0.51100,-9.11100,0.64600,-8.92000,0.82900,-8.54900,0.59600,-10.06500,0.26700,-8.67200,0.64500,-8.91700,0.24700,-8.41600,0.45300,-10.79600,0.48800,-10.52500,0.33800,-10.90100,0.55400,-11.12000,0.42100,-10.15000,0.35400,-10.27900,0.34600,-10.47100,0.48800,-10.58600,0.48800,-10.39400,0.61100,-10.34600,0.31000,-10.51600,0.45000,-8.97000,0.53100,-8.91500,0.45700,-9.08800,0.56600,-8.60200,0.43300,-8.47700,0.67600,-8.72900,0.44400,-8.94300,0.68300,-8.74700,0.56300,-8.93800,0.39800,-8.69600,0.47500,-8.89900,0.41500,-8.44900,0.72700,-8.81600,0.63300,-8.57700,0.54200,0,0.00450,2.23950,0.25440,25341668,13.29000,4.91000
34.92500,112.47500,Luoyang,0,0.00030,11744.00000,0.00510,8861.00000,0.00760,9611.00000,0.01230,9706.00000,-8.98400,0.49300,-9.10100,0.63700,-8.93400,0.80900,-8.59200,0.57200,-10.04400,0.27200,-8.69400,0.64200,-8.93500,0.25100,-8.42700,0.44000,-10.69100,0.54100,-10.40400,0.37900,-10.72300,0.52400,-10.94200,0.41400,-10.00900,0.35800,-10.11000,0.35800,-10.23500,0.51100,-10.38900,0.52600,-10.22500,0.66000,-10.11100,0.30800,-10.30100,0.43800,-8.86000,0.51500,-8.79800,0.43600,-8.95400,0.54700,-8.43200,0.40700,-8.27100,0.61400,-8.56100,0.41900,-8.79900,0.68500,-8.56500,0.55000,-8.66900,0.40700,-8.47800,0.46400,-8.67300,0.38200,-8.18900,0.71000,-8.47100,0.65400,-8.30400,0.53200,7,0.01110,3.18490,1.26960,25341668,6.89000,3.54000
34.92500,112.52500,Luoyang,1,0.00020,2750.00000,0.01000,15874.00000,0.01540,16587.00000,0.02810,17668.00000,-9.02400,0.44800,-9.08100,0.61900,-8.98100,0.76100,-8.69400,0.51700,-10.00900,0.28500,-8.74900,0.63600,-8.98000,0.26200,-8.45200,0.40500,-10.57300,0.60800,-10.31100,0.42300,-10.55400,0.52100,-10.78000,0.41900,-9.89400,0.36900,-9.98600,0.38200,-10.02300,0.51000,-10.21500,0.57100,-10.08000,0.69400,-9.93100,0.33700,-10.10600,0.43400,-8.73500,0.48000,-8.63200,0.40000,-8.77400,0.50900,-8.19400,0.37700,-8.07400,0.65900,-8.32900,0.36800,-8.58000,0.65100,-8.29900,0.56200,-8.37200,0.36900,-8.14400,0.45500,-8.33100,0.38600,-7.84900,0.69500,-8.06300,0.63700,-7.88300,0.53900,0,0.01830,4.81480,2.17150,25341668,8.30000,3.17000
34.92500,112.57500,Luoyang,1,0.00150,33269.00000,0.03790,29980.00000,0.05370,29296.00000,0.07570,33652.00000,-9.03800,0.43800,-9.08100,0.60900,-9.00800,0.73500,-8.74300,0.50600,-9.99200,0.29100,-8.77300,0.64200,-9.01300,0.26800,-8.47400,0.39200,-10.45400,0.68400,-10.23700,0.47500,-10.42100,0.54000,-10.62900,0.43800,-9.79800,0.38000,-9.90200,0.41900,-9.84000,0.50200,-10.08600,0.61200,-9.97900,0.71300,-9.81700,0.37100,-9.95400,0.41800,-8.63000,0.45400,-8.47100,0.36700,-8.57400,0.47300,-8.07500,0.36300,-7.94300,0.67400,-8.16600,0.36000,-8.32100,0.61100,-8.08700,0.63300,-8.19200,0.34600,-7.94300,0.48300,-8.11000,0.41200,-7.60700,0.71100,-7.81400,0.66500,-7.60300,0.52300,0,0.04930,7.89740,5.62580,25341668,8.81000,3.36000
34.92500,112.62500,Luoyang,2,0.00190,25615.00000,0.05400,31617.00000,0.07960,31015.00000,0.09790,33709.00000,-9.06500,0.41600,-9.08400,0.59000,-9.07200,0.68500,-8.84300,0.48500,-9.96700,0.30300,-8.82400,0.65500,-9.08100,0.27900,-8.51600,0.36400,-10.35900,0.77000,-10.16700,0.54300,-10.31000,0.57400,-10.50000,0.47200,-9.72200,0.39700,-9.86100,0.46900,-9.70700,0.51600,-10.00800,0.64500,-9.92800,0.72100,-9.75900,0.39400,-9.84700,0.42600,-8.62400,0.46800,-8.41900,0.37300,-8.50700,0.48000,-8.04400,0.36900,-7.90400,0.68700,-8.10700,0.35800,-8.22000,0.61000,-8.03200,0.62400,-8.13900,0.33100,-7.92300,0.48900,-8.03600,0.41400,-7.53500,0.69300,-7.76600,0.65400,-7.57400,0.49300,0,0.03610,7.05760,3.80310,25341668,8.53000,3.38000
34.92500,112.67500,Luoyang,1,0.00000,0.00000,0.00620,9691.00000,0.01270,13564.00000,0.03380,15604.00000,-9.06900,0.41600,-9.08700,0.58000,-9.10100,0.66500,-8.89000,0.48100,-9.94700,0.30700,-8.84800,0.66700,-9.12100,0.28600,-8.53600,0.35900,-10.28300,0.84500,-10.12400,0.58800,-10.22800,0.61000,-10.39400,0.51300,-9.65800,0.42600,-9.84800,0.52700,-9.62400,0.52900,-9.99400,0.66100,-9.92400,0.72300,-9.75700,0.41800,-9.78600,0.44900,-8.67800,0.48600,-8.43100,0.38800,-8.50900,0.47000,-8.07500,0.39300,-7.92000,0.69400,-8.11000,0.35300,-8.18700,0.61200,-8.03000,0.62100,-8.15100,0.32700,-7.95900,0.49200,-8.02000,0.40600,-7.55100,0.69000,-7.78800,0.64500,-7.62300,0.47200,0,0.02260,5.25680,1.75130,25341668,8.54000,3.53000
