latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
26.82500,104.57500,Lupanshui,0,0.00000,5694.00000,0.00010,28791.00000,0.00110,15449.00000,0.00440,6466.00000,-8.13700,0.29700,-8.15100,0.42100,-8.14400,0.39900,-8.35100,0.36200,-7.96600,0.44800,-8.10300,0.54200,-8.14400,0.52500,-7.87100,0.35000,-10.32400,0.25800,-10.20600,0.40200,-10.36000,0.32300,-10.40800,0.51900,-10.45800,0.30500,-10.30500,0.34700,-10.37500,0.33100,-10.48500,0.42800,-10.28600,0.28700,-10.26500,0.26800,-10.65900,0.43200,-8.06600,0.43300,-8.08200,0.33800,-8.48700,0.52900,-8.15800,0.38700,-8.51900,0.42300,-7.95600,0.29800,-8.36600,0.39500,-8.03700,0.40300,-8.26800,0.35100,-8.28000,0.32800,-8.35300,0.30800,-8.32300,0.34200,-8.31800,0.42000,-8.20800,0.34300,0,0.00490,2.44350,0.23710,27536226,16.83000,7.01000
26.82500,104.62500,Lupanshui,0,0.00000,6612.00000,0.00010,920.00000,0.00050,1110.00000,0.00140,3156.00000,-8.12900,0.29700,-8.14400,0.41300,-8.13800,0.39500,-8.34900,0.35000,-7.96300,0.44500,-8.10700,0.53200,-8.13600,0.52200,-7.87000,0.35200,-10.33700,0.24500,-10.20900,0.39900,-10.36000,0.32700,-10.42500,0.51300,-10.48200,0.30400,-10.32000,0.33500,-10.38500,0.31600,-10.51400,0.40500,-10.26600,0.27500,-10.24700,0.26400,-10.64900,0.39700,-8.15800,0.44000,-8.14400,0.32900,-8.48500,0.52000,-8.21100,0.39300,-8.59300,0.44200,-8.00700,0.28400,-8.39300,0.38500,-8.09200,0.40000,-8.33000,0.34300,-8.30400,0.31600,-8.38800,0.27800,-8.32100,0.32800,-8.30800,0.40100,-8.23900,0.36000,0,0.00390,1.12170,0.29600,27536226,19.22000,7.72000
26.82500,104.67500,Lupanshui,0,0.00000,305.00000,0.00000,74.00000,0.00000,0.00000,0.00010,0.00000,-8.09300,0.28400,-8.12200,0.38600,-8.10400,0.38100,-8.33100,0.33600,-7.94900,0.43800,-8.12200,0.51200,-8.10400,0.51700,-7.87100,0.35600,-10.35300,0.22000,-10.22100,0.38700,-10.36000,0.32900,-10.45500,0.51000,-10.49100,0.30100,-10.31800,0.33800,-10.39200,0.28800,-10.52700,0.38700,-10.27000,0.27000,-10.20900,0.26700,-10.61900,0.35600,-8.28600,0.42200,-8.22600,0.30900,-8.51900,0.48600,-8.29000,0.37700,-8.67000,0.41800,-8.07700,0.26500,-8.45700,0.36300,-8.15200,0.36900,-8.38400,0.34800,-8.39000,0.29200,-8.47800,0.21100,-8.34300,0.29800,-8.32700,0.38500,-8.27500,0.36400,0,0.00000,0.00000,0.00000,27536226,20.69000,8.59000
26.82500,104.72500,Lupanshui,0,0.00000,2115.00000,0.00000,2668.00000,0.00000,0.00000,0.00000,0.00000,-8.08200,0.27700,-8.12300,0.37600,-8.09300,0.38100,-8.31000,0.34900,-7.94600,0.43500,-8.12700,0.50900,-8.09700,0.51500,-7.87600,0.35300,-10.33400,0.21500,-10.21800,0.37000,-10.32400,0.32800,-10.45500,0.53300,-10.47600,0.30900,-10.30800,0.34700,-10.37700,0.27900,-10.50300,0.37500,-10.26400,0.26600,-10.18000,0.27400,-10.56600,0.32900,-8.33200,0.39100,-8.24700,0.28900,-8.54200,0.46500,-8.29700,0.35300,-8.69400,0.39200,-8.07700,0.25500,-8.49400,0.31500,-8.14600,0.32600,-8.40300,0.33100,-8.40300,0.26600,-8.47400,0.19600,-8.34700,0.30600,-8.30000,0.36400,-8.24000,0.34900,0,0.00030,0.13430,0.00970,27536226,25.55000,9.68000
26.82500,104.77500,Lupanshui,0,0.00000,2858.00000,0.00000,1978.00000,0.00000,0.00000,0.00000,0.00000,-8.05100,0.26300,-8.12200,0.35500,-8.06500,0.38000,-8.25800,0.38300,-7.93600,0.43100,-8.13400,0.50500,-8.08100,0.51100,-7.88600,0.34700,-10.30100,0.24100,-10.18000,0.36500,-10.27600,0.34100,-10.43000,0.56500,-10.42900,0.31600,-10.29500,0.36500,-10.37100,0.29200,-10.46500,0.37000,-10.26100,0.27100,-10.16800,0.28200,-10.50700,0.31900,-8.30800,0.38100,-8.23700,0.28800,-8.52000,0.46500,-8.27200,0.35000,-8.69000,0.38800,-8.06300,0.26000,-8.46800,0.30300,-8.13700,0.29700,-8.39100,0.32500,-8.37400,0.26500,-8.43700,0.21100,-8.31800,0.32300,-8.25400,0.36500,-8.16700,0.32100,0,0.00020,0.13560,0.01040,27536226,34.80000,10.89000
26.82500,104.82500,Lupanshui,0,0.00000,3842.00000,0.00000,12.00000,0.00000,0.00000,0.00000,0.00000,-8.02900,0.24800,-8.11900,0.33700,-8.05100,0.38100,-8.22200,0.40000,-7.93400,0.42500,-8.13300,0.50600,-8.08300,0.50700,-7.89600,0.33900,-10.26900,0.28900,-10.11500,0.35700,-10.22100,0.35400,-10.38700,0.59400,-10.35800,0.32500,-10.27000,0.37200,-10.35700,0.30700,-10.40900,0.37000,-10.23700,0.27300,-10.14700,0.28400,-10.42600,0.33300,-8.27200,0.36900,-8.22400,0.28700,-8.48000,0.47500,-8.24500,0.35100,-8.67300,0.38700,-8.04400,0.27100,-8.44100,0.28900,-8.12100,0.29100,-8.36400,0.33800,-8.33500,0.27000,-8.38300,0.22300,-8.28600,0.33200,-8.19800,0.38400,-8.08900,0.32100,0,0.00040,0.18290,0.01710,27536226,32.80000,10.75000
26.82500,104.87500,Lupanshui,0,0.00000,4054.00000,0.00000,722.00000,0.00000,0.00000,0.00010,3724.00000,-8.00500,0.23200,-8.11500,0.31900,-8.03600,0.38200,-8.18400,0.41700,-7.93100,0.41800,-8.13300,0.50800,-8.08600,0.50300,-7.90700,0.33100,-10.22400,0.33600,-10.06100,0.33800,-10.19000,0.34000,-10.33600,0.61800,-10.28200,0.32300,-10.23900,0.37100,-10.34700,0.31600,-10.36100,0.37600,-10.20200,0.27300,-10.13300,0.29000,-10.35200,0.35800,-8.24500,0.36900,-8.21300,0.28800,-8.43300,0.48500,-8.21700,0.36100,-8.64600,0.38500,-8.02200,0.28600,-8.39400,0.29300,-8.09000,0.29100,-8.33900,0.35200,-8.29100,0.27700,-8.31700,0.23000,-8.24200,0.34500,-8.14100,0.39400,-8.01800,0.36200,0,0.00120,0.93670,0.03460,27536226,24.03000,9.57000
26.82500,104.92500,Lupanshui,0,0.00000,5169.00000,0.00000,983.00000,0.00010,21209.00000,0.00270,45950.00000,-7.98400,0.21000,-8.10800,0.29800,-8.01900,0.38000,-8.16200,0.41700,-7.93200,0.41500,-8.13600,0.51700,-8.09700,0.49900,-7.92300,0.32100,-10.16000,0.34700,-10.01500,0.32900,-10.18800,0.32900,-10.27700,0.62000,-10.21500,0.30800,-10.19700,0.36200,-10.33200,0.30500,-10.31800,0.37800,-10.15100,0.27000,-10.11100,0.28300,-10.28600,0.37900,-8.21300,0.38500,-8.19300,0.30200,-8.39000,0.49000,-8.19000,0.37000,-8.62200,0.38700,-7.99900,0.30200,-8.34500,0.30700,-8.05100,0.29300,-8.31000,0.36100,-8.23700,0.28900,-8.25400,0.22600,-8.19000,0.35800,-8.09900,0.39100,-7.98400,0.39500,0,0.00240,1.10160,0.10230,27536226,28.93000,10.17000
26.82500,104.97500,Lupanshui,0,0.00000,5669.00000,0.00000,163.00000,0.00000,0.00000,0.00010,2030.00000,-7.97600,0.20000,-8.10600,0.28800,-8.01200,0.38000,-8.15200,0.41700,-7.93300,0.41200,-8.13900,0.52100,-8.10400,0.49800,-7.93000,0.31600,-10.11100,0.34300,-9.98700,0.32400,-10.19200,0.33500,-10.22900,0.60400,-10.18000,0.29000,-10.14900,0.35300,-10.32700,0.29600,-10.28600,0.37700,-10.10500,0.27700,-10.09000,0.27900,-10.23900,0.38500,-8.17500,0.38900,-8.15700,0.32000,-8.35100,0.49100,-8.15400,0.37600,-8.59700,0.39000,-7.98700,0.32400,-8.31400,0.31300,-8.00900,0.29400,-8.27300,0.35600,-8.17600,0.28100,-8.19700,0.22300,-8.12900,0.35800,-8.06000,0.37500,-7.95500,0.40600,0,0.00110,0.47330,0.04740,27536226,32.43000,10.61000
26.82500,105.02500,Lupanshui,0,0.00000,5040.00000,0.00000,2814.00000,0.00000,9022.00000,0.00000,9238.00000,-7.94400,0.18800,-8.08800,0.26400,-8.00500,0.39300,-8.13800,0.42600,-7.94000,0.41500,-8.13900,0.53400,-8.11400,0.50300,-7.95200,0.30700,-10.08300,0.33100,-9.96800,0.30600,-10.21400,0.33900,-10.20700,0.57900,-10.16700,0.27200,-10.09700,0.36500,-10.30800,0.29200,-10.26400,0.35900,-10.05300,0.28400,-10.05800,0.27900,-10.19800,0.37500,-8.12700,0.37600,-8.12000,0.32800,-8.31900,0.48600,-8.09900,0.37200,-8.56300,0.39400,-7.98400,0.34500,-8.28200,0.32700,-7.95500,0.30200,-8.21800,0.33700,-8.11600,0.26300,-8.14700,0.22700,-8.08000,0.35900,-8.01300,0.36100,-7.90900,0.39800,0,0.00050,0.36570,0.01520,27536226,30.90000,10.26000
