latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
29.12500,105.12500,Luzhou,0,0.00000,3776.00000,0.00050,3058.00000,0.00090,3557.00000,0.00210,3141.00000,-7.96400,0.61600,-8.22500,0.80500,-8.03700,0.61300,-8.25800,0.63600,-8.32200,0.62300,-7.77800,0.65400,-7.95600,0.70400,-7.95300,0.74000,-10.08600,0.62500,-10.32500,0.83600,-10.36300,0.71500,-10.22600,0.68400,-10.44900,0.49900,-10.30400,0.57800,-10.09800,0.75700,-10.86400,0.32200,-10.19400,0.66500,-9.96200,0.76300,-10.23700,0.64400,-7.78100,0.58000,-7.93300,0.79800,-7.77300,0.50300,-7.77100,0.64700,-8.79900,0.32700,-7.59200,0.53700,-7.68300,0.66400,-7.69800,0.69500,-7.63300,0.66700,-7.79300,0.49600,-8.21100,0.53000,-7.80300,0.42200,-7.74200,0.45400,-7.60600,0.48200,0,0.00500,2.34420,0.36890,26967242,23.92000,7.36000
29.12500,105.17500,Luzhou,1,0.00230,37140.00000,0.00580,41262.00000,0.00860,34920.00000,0.01180,20234.00000,-7.99400,0.64500,-8.23900,0.81100,-8.07700,0.64300,-8.26000,0.65300,-8.35400,0.61200,-7.77400,0.67000,-7.96600,0.72300,-7.96700,0.78600,-10.03500,0.67500,-10.29300,0.87800,-10.36000,0.72800,-10.17800,0.71600,-10.43800,0.50900,-10.24000,0.59900,-10.03300,0.77800,-10.85700,0.33100,-10.14500,0.68500,-9.91700,0.74900,-10.18500,0.62400,-7.76800,0.58400,-7.90500,0.79000,-7.73600,0.52400,-7.76200,0.66000,-8.80500,0.33100,-7.60000,0.55100,-7.68900,0.67600,-7.64000,0.69600,-7.60600,0.66700,-7.75900,0.51600,-8.20100,0.53500,-7.78700,0.42900,-7.71000,0.45900,-7.57500,0.50100,0,0.01010,4.22170,0.88520,26967242,21.40000,7.25000
29.12500,105.22500,Luzhou,1,0.00140,24774.00000,0.00270,25835.00000,0.00440,22825.00000,0.00590,21715.00000,-8.00600,0.65300,-8.24400,0.81400,-8.08900,0.64600,-8.26100,0.65800,-8.36200,0.60800,-7.77600,0.67100,-7.96800,0.72500,-7.97200,0.79300,-9.99200,0.70300,-10.24300,0.89600,-10.35800,0.73800,-10.13700,0.73200,-10.41400,0.52500,-10.17700,0.62500,-9.95800,0.80000,-10.81900,0.32600,-10.08000,0.67800,-9.86800,0.72300,-10.11900,0.62800,-7.74900,0.56600,-7.87300,0.76500,-7.70500,0.52300,-7.72200,0.66900,-8.80200,0.33400,-7.59200,0.55100,-7.68900,0.68700,-7.56400,0.69000,-7.55800,0.66200,-7.69200,0.50900,-8.16100,0.53200,-7.72900,0.43400,-7.65800,0.46500,-7.48100,0.50500,0,0.00570,2.50660,0.55620,26967242,29.52000,7.77000
29.12500,105.27500,Luzhou,1,0.00050,4194.00000,0.00170,7592.00000,0.00260,11642.00000,0.00420,8315.00000,-8.04500,0.68000,-8.26100,0.82600,-8.12900,0.65800,-8.26700,0.67700,-8.38900,0.59100,-7.78100,0.67600,-7.97600,0.73100,-7.98800,0.81800,-9.95900,0.72100,-10.19500,0.89900,-10.33800,0.74000,-10.08800,0.75200,-10.37900,0.52600,-10.11200,0.64900,-9.87900,0.80600,-10.75500,0.34200,-10.01900,0.66800,-9.83200,0.68800,-10.04000,0.63400,-7.72000,0.54600,-7.81900,0.72700,-7.68400,0.51700,-7.67700,0.66100,-8.80300,0.34000,-7.55700,0.53500,-7.67500,0.69800,-7.48000,0.68600,-7.48900,0.63500,-7.60500,0.47600,-8.07900,0.51200,-7.65800,0.44800,-7.57200,0.47400,-7.35300,0.49800,0,0.00670,2.72630,0.41300,26967242,20.49000,7.23000
29.12500,105.32500,Luzhou,1,0.00280,1941.00000,0.00750,12405.00000,0.01500,9725.00000,0.03530,18781.00000,-8.06500,0.69700,-8.27300,0.83400,-8.15400,0.65900,-8.27200,0.67600,-8.40300,0.58200,-7.78500,0.67700,-7.98500,0.72700,-8.00000,0.82700,-9.94100,0.72300,-10.15600,0.89400,-10.32900,0.74600,-10.04900,0.76500,-10.34300,0.52100,-10.06500,0.67100,-9.79400,0.80500,-10.70200,0.35300,-9.95000,0.64700,-9.80000,0.66400,-9.97100,0.64000,-7.69100,0.53600,-7.76800,0.69700,-7.66000,0.50900,-7.63000,0.63200,-8.81000,0.35500,-7.51700,0.51900,-7.66800,0.70300,-7.42000,0.68200,-7.40400,0.61000,-7.53000,0.45600,-7.99900,0.49100,-7.58100,0.45400,-7.49400,0.48700,-7.25800,0.48700,0,0.01200,5.91930,1.24130,26967242,19.34000,7.30000
29.12500,105.37500,Luzhou,1,0.00860,67492.00000,0.01820,66923.00000,0.03750,49391.00000,0.09460,56110.00000,-8.09600,0.72200,-8.29100,0.84500,-8.19200,0.66000,-8.28100,0.67600,-8.42400,0.56800,-7.79000,0.67700,-7.99900,0.72200,-8.01800,0.84100,-9.92200,0.71600,-10.12100,0.89200,-10.31400,0.76200,-10.02800,0.78300,-10.31000,0.51500,-10.03900,0.68100,-9.74500,0.81500,-10.69600,0.35200,-9.88500,0.63000,-9.80200,0.66200,-9.92800,0.62900,-7.66000,0.54100,-7.73800,0.68100,-7.64200,0.50600,-7.60000,0.59900,-8.83400,0.38500,-7.49800,0.51900,-7.68600,0.69400,-7.37700,0.68200,-7.35400,0.60000,-7.48900,0.45500,-7.95800,0.47900,-7.53600,0.45000,-7.44700,0.49800,-7.24300,0.47800,0,0.02360,5.47220,2.18530,26967242,21.08000,7.48000
29.12500,105.42500,Luzhou,1,0.00430,3810.00000,0.00860,5801.00000,0.01220,7574.00000,0.01930,7258.00000,-8.12200,0.74200,-8.30800,0.84400,-8.23500,0.64500,-8.29100,0.66000,-8.44300,0.55700,-7.80300,0.67300,-8.01600,0.70800,-8.04300,0.84600,-9.91600,0.72200,-10.10200,0.89300,-10.32600,0.77400,-10.01900,0.80000,-10.27700,0.51000,-10.05200,0.71500,-9.72300,0.82800,-10.72400,0.34600,-9.86200,0.62300,-9.83900,0.67100,-9.92700,0.62400,-7.64000,0.57100,-7.73800,0.68700,-7.65000,0.53300,-7.61100,0.58600,-8.91500,0.42200,-7.51600,0.53500,-7.72800,0.69300,-7.36700,0.69400,-7.35100,0.59900,-7.49500,0.46100,-7.96600,0.47400,-7.55200,0.45400,-7.45400,0.48900,-7.31900,0.48700,0,0.01190,5.65100,0.95920,26967242,21.67000,7.56000
29.12500,105.47500,Luzhou,0,0.00090,11928.00000,0.00140,10112.00000,0.00170,8632.00000,0.00320,8371.00000,-8.14200,0.75700,-8.32100,0.84400,-8.26700,0.63400,-8.29800,0.64700,-8.45700,0.54900,-7.81300,0.66900,-8.02900,0.69800,-8.06200,0.85000,-9.92400,0.74800,-10.11000,0.89900,-10.35900,0.78100,-10.01900,0.80900,-10.26800,0.50500,-10.08700,0.75400,-9.73100,0.83000,-10.77800,0.33500,-9.87300,0.61300,-9.91400,0.68500,-9.95200,0.61600,-7.64900,0.60900,-7.77900,0.70200,-7.68200,0.57500,-7.65600,0.59000,-9.01900,0.42600,-7.55000,0.56200,-7.82700,0.73700,-7.38600,0.69900,-7.38300,0.60900,-7.53000,0.46700,-8.01200,0.47200,-7.60800,0.45700,-7.52000,0.44300,-7.41500,0.50300,0,0.01150,4.71150,0.90010,26967242,22.81000,7.57000
29.12500,105.52500,Luzhou,0,0.00130,13722.00000,0.00320,19508.00000,0.00410,19209.00000,0.00600,20314.00000,-8.16300,0.76700,-8.34500,0.83400,-8.31800,0.60300,-8.31200,0.61600,-8.48200,0.53900,-7.83600,0.65800,-8.05900,0.67300,-8.11000,0.85300,-9.94700,0.77400,-10.13700,0.91900,-10.40500,0.79700,-10.03000,0.81100,-10.29200,0.49000,-10.14200,0.78100,-9.78000,0.83900,-10.87600,0.33200,-9.91100,0.59800,-10.01800,0.68700,-10.00600,0.61300,-7.68300,0.63400,-7.85800,0.69700,-7.72800,0.60100,-7.72800,0.61300,-9.08100,0.41300,-7.57000,0.58800,-7.91900,0.76800,-7.40900,0.70200,-7.44100,0.61800,-7.58300,0.47900,-8.07500,0.46800,-7.68100,0.47600,-7.58000,0.42900,-7.54600,0.48000,0,0.01070,4.35160,1.19820,26967242,20.92000,7.24000
29.12500,105.57500,Luzhou,0,0.00100,14439.00000,0.00190,13689.00000,0.00230,14248.00000,0.00320,13590.00000,-8.17000,0.77100,-8.35300,0.83100,-8.33600,0.59200,-8.31700,0.60500,-8.49100,0.53600,-7.84300,0.65500,-8.06900,0.66500,-8.12600,0.85400,-9.98200,0.81200,-10.17600,0.92600,-10.44400,0.80400,-10.06000,0.81900,-10.33600,0.47500,-10.21200,0.79900,-9.85400,0.85400,-10.98600,0.34900,-9.97700,0.59100,-10.12500,0.67700,-10.07600,0.63000,-7.73300,0.62800,-7.93800,0.67600,-7.77700,0.60300,-7.80100,0.64600,-9.11200,0.39200,-7.56900,0.60500,-7.98400,0.76400,-7.43400,0.70000,-7.50200,0.63700,-7.66300,0.51800,-8.13600,0.47100,-7.73500,0.49500,-7.65200,0.42400,-7.64600,0.47700,0,0.01180,3.99320,1.44030,26967242,21.55000,7.36000
29.12500,105.62500,Luzhou,0,0.00120,10771.00000,0.00240,11346.00000,0.00320,7994.00000,0.00560,9307.00000,-8.18800,0.76800,-8.38800,0.80100,-8.38500,0.54800,-8.33800,0.54400,-8.51400,0.52600,-7.86900,0.62700,-8.11500,0.62400,-8.19200,0.83700,-10.03600,0.83700,-10.23700,0.93600,-10.50700,0.80400,-10.11200,0.83400,-10.41000,0.45000,-10.28600,0.79700,-9.93700,0.84900,-11.09900,0.37100,-10.06800,0.58200,-10.21900,0.65900,-10.13600,0.64800,-7.77900,0.61600,-8.02300,0.66000,-7.82500,0.58600,-7.85200,0.66200,-9.12800,0.37200,-7.56700,0.60100,-8.04700,0.74700,-7.48500,0.68800,-7.55800,0.64400,-7.72400,0.52300,-8.18900,0.47700,-7.79300,0.50000,-7.71900,0.41500,-7.70400,0.48200,0,0.01060,3.98550,1.37020,26967242,22.50000,7.45000
29.07500,105.12500,Luzhou,1,0.00000,7944.00000,0.00090,16698.00000,0.00150,19061.00000,0.00240,17186.00000,-7.99800,0.63300,-8.24900,0.80700,-8.10000,0.62300,-8.33300,0.65000,-8.38700,0.62400,-7.77900,0.64400,-7.99400,0.73400,-7.99000,0.75400,-10.07700,0.66200,-10.31600,0.82100,-10.44300,0.66700,-10.22200,0.69300,-10.49800,0.49100,-10.34200,0.59100,-10.11000,0.76300,-10.90200,0.30000,-10.24100,0.68200,-10.01700,0.75600,-10.26200,0.62200,-7.83500,0.56100,-7.99000,0.75700,-7.84900,0.48300,-7.84900,0.58100,-8.79400,0.31000,-7.67500,0.53400,-7.71200,0.65600,-7.76900,0.64600,-7.75100,0.60600,-7.85600,0.45800,-8.24100,0.52500,-7.92700,0.39000,-7.81100,0.46300,-7.70300,0.48300,0,0.00590,2.75050,0.46600,26980076,23.61000,7.33000
29.07500,105.17500,Luzhou,0,0.00010,9514.00000,0.00070,14899.00000,0.00150,13647.00000,0.00210,12315.00000,-8.02500,0.67000,-8.25800,0.81500,-8.12700,0.65500,-8.31200,0.66700,-8.41300,0.61400,-7.76700,0.66700,-7.99500,0.75800,-7.98600,0.80200,-10.03100,0.70200,-10.27200,0.86400,-10.42500,0.67100,-10.17600,0.71200,-10.48500,0.51300,-10.27900,0.61700,-10.02600,0.79700,-10.87600,0.31400,-10.15300,0.68500,-9.96400,0.74500,-10.18200,0.60700,-7.79700,0.57800,-7.95600,0.75800,-7.79700,0.51100,-7.83400,0.60600,-8.80900,0.32300,-7.67600,0.55900,-7.70600,0.67100,-7.71500,0.67600,-7.69700,0.62600,-7.80300,0.47600,-8.22400,0.53800,-7.89100,0.40600,-7.76300,0.47800,-7.64700,0.50400,0,0.00860,3.63180,0.65820,26980076,22.26000,7.04000
29.07500,105.22500,Luzhou,0,0.00070,32077.00000,0.00090,35163.00000,0.00200,37974.00000,0.00470,34781.00000,-8.03500,0.68000,-8.26200,0.81900,-8.13500,0.65900,-8.30700,0.67100,-8.41800,0.60900,-7.76700,0.67000,-7.99400,0.76000,-7.98800,0.81000,-9.99200,0.72400,-10.22900,0.88200,-10.40600,0.68400,-10.13000,0.73100,-10.45700,0.53000,-10.20400,0.62700,-9.94500,0.80800,-10.82500,0.32400,-10.07200,0.69500,-9.90800,0.71800,-10.07600,0.62000,-7.75700,0.57600,-7.92300,0.75200,-7.75300,0.52000,-7.79300,0.63100,-8.83200,0.34000,-7.66400,0.56600,-7.70200,0.68200,-7.63800,0.67200,-7.62900,0.63700,-7.71100,0.48100,-8.18800,0.54000,-7.82000,0.42800,-7.71000,0.49400,-7.56600,0.50000,0,0.00590,2.94470,0.26260,26980076,24.20000,7.30000
29.07500,105.27500,Luzhou,1,0.00110,11553.00000,0.00280,12138.00000,0.00430,11045.00000,0.00730,15158.00000,-8.07400,0.71700,-8.27600,0.83600,-8.16500,0.67500,-8.28900,0.68700,-8.43700,0.59300,-7.76800,0.67900,-7.99000,0.76900,-7.99600,0.84100,-9.94600,0.73500,-10.18700,0.88700,-10.37800,0.70400,-10.08700,0.74700,-10.41600,0.52600,-10.13100,0.63800,-9.84200,0.80400,-10.75000,0.34600,-9.97300,0.68700,-9.83300,0.69100,-9.96900,0.62400,-7.71100,0.57300,-7.88100,0.73900,-7.71200,0.52000,-7.73700,0.65000,-8.88800,0.37400,-7.64900,0.56200,-7.69500,0.68500,-7.55200,0.66300,-7.56400,0.62700,-7.64200,0.46900,-8.12300,0.53600,-7.74400,0.44200,-7.63600,0.51200,-7.47500,0.50200,0,0.01200,4.82190,1.25020,26980076,16.97000,6.62000
29.07500,105.32500,Luzhou,1,0.00110,25430.00000,0.00320,26043.00000,0.00560,27807.00000,0.00900,27542.00000,-8.09800,0.73700,-8.28700,0.84500,-8.18400,0.67800,-8.28900,0.68700,-8.44300,0.58500,-7.77200,0.68300,-7.99300,0.76700,-8.00500,0.85100,-9.91300,0.72900,-10.14200,0.89700,-10.35800,0.72300,-10.05000,0.75900,-10.36400,0.52400,-10.06600,0.66100,-9.74800,0.80400,-10.68200,0.35900,-9.87200,0.68300,-9.77500,0.67600,-9.87800,0.62200,-7.66800,0.58400,-7.82200,0.72500,-7.68500,0.52800,-7.70200,0.65000,-8.94000,0.40400,-7.62700,0.55400,-7.70100,0.68600,-7.48400,0.67400,-7.48600,0.60100,-7.58000,0.46500,-8.06100,0.52200,-7.67900,0.46300,-7.56300,0.53000,-7.40600,0.49900,0,0.00990,4.55240,1.06570,26980076,19.09000,7.18000
29.07500,105.37500,Luzhou,1,0.00190,0.00000,0.00420,1914.00000,0.00690,2362.00000,0.01100,2534.00000,-8.13400,0.76600,-8.30300,0.85900,-8.21400,0.68300,-8.29000,0.68800,-8.45400,0.57200,-7.77800,0.68800,-7.99900,0.76400,-8.01900,0.86600,-9.89500,0.71400,-10.11000,0.90800,-10.34600,0.74200,-10.02500,0.77000,-10.32600,0.52000,-10.01900,0.68800,-9.69300,0.81500,-10.63800,0.35000,-9.78300,0.66600,-9.74600,0.66800,-9.82000,0.62200,-7.62900,0.61900,-7.78100,0.73200,-7.67400,0.55800,-7.68500,0.64500,-9.00000,0.42500,-7.61000,0.55600,-7.71300,0.69000,-7.44200,0.69100,-7.41900,0.59300,-7.53700,0.46500,-8.02400,0.50500,-7.62100,0.47700,-7.51800,0.54300,-7.37300,0.49900,0,0.01040,4.79760,0.84230,26980076,20.30000,7.46000
29.07500,105.42500,Luzhou,1,0.00070,9521.00000,0.00270,15662.00000,0.00490,21183.00000,0.00870,20098.00000,-8.16300,0.78600,-8.32100,0.85900,-8.25200,0.67100,-8.29800,0.67200,-8.46400,0.56400,-7.79400,0.69000,-8.01300,0.75200,-8.04300,0.87200,-9.89000,0.71600,-10.09200,0.91400,-10.36300,0.75300,-10.00600,0.80200,-10.29400,0.50600,-10.01200,0.71800,-9.67100,0.82900,-10.64200,0.33600,-9.74300,0.66100,-9.76400,0.67200,-9.81200,0.62000,-7.60900,0.66200,-7.76200,0.74900,-7.67800,0.59800,-7.68900,0.64500,-9.06300,0.43700,-7.59900,0.57200,-7.73800,0.69900,-7.40700,0.70800,-7.38300,0.60100,-7.52100,0.46900,-8.01300,0.49700,-7.60300,0.47200,-7.49400,0.54800,-7.38800,0.50300,0,0.01540,5.92320,1.99870,26980076,20.49000,7.32000
