latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
31.97500,118.22500,Maanshan,0,0.00010,0.00000,0.00070,0.00000,0.00090,0.00000,0.00140,10.00000,-9.67500,0.35200,-10.51300,0.32900,-10.40100,0.48300,-9.83400,0.74500,-9.89900,0.35700,-10.10200,0.31400,-9.76600,0.65900,-10.06600,0.50500,-12.24900,0.59800,-12.19500,0.92800,-12.24200,0.47100,-12.11500,0.64100,-11.91600,0.43300,-11.76500,0.51300,-11.64400,0.52200,-11.62600,0.40800,-11.44700,0.44700,-11.47900,0.37900,-11.73600,0.50300,-9.24500,0.58100,-9.28400,0.40900,-9.47400,0.43700,-9.11300,0.61000,-9.22400,0.40300,-9.26100,0.48400,-9.36200,0.65200,-9.01300,0.42300,-9.36200,0.73500,-9.25900,0.85000,-9.16800,0.56400,-9.09600,0.55800,-9.44300,0.59000,-8.81200,0.63000,0,0.00670,3.08710,0.27770,26202106,12.48000,4.59000
31.97500,118.27500,Maanshan,0,0.00050,4283.00000,0.00180,7011.00000,0.00220,5199.00000,0.00350,2217.00000,-9.66600,0.34900,-10.50600,0.32100,-10.36900,0.46900,-9.83700,0.67900,-9.87500,0.34800,-10.07300,0.31500,-9.73100,0.63900,-10.03300,0.50100,-12.27000,0.55000,-12.19100,0.87000,-12.25400,0.42500,-12.11800,0.60200,-11.96400,0.39600,-11.82700,0.47100,-11.63300,0.46800,-11.57800,0.38300,-11.43200,0.42300,-11.43000,0.33700,-11.55800,0.45300,-9.16800,0.52100,-9.23600,0.38800,-9.33800,0.42200,-9.01300,0.58700,-9.05400,0.40700,-9.04100,0.40300,-9.05000,0.48400,-8.78800,0.39500,-9.13100,0.63100,-8.97000,0.72900,-8.85100,0.47900,-8.77200,0.61500,-9.14400,0.53800,-8.51000,0.59700,0,0.00620,3.11620,0.26570,26202106,14.24000,4.85000
31.97500,118.32500,Maanshan,1,0.00000,0.00000,0.00040,1272.00000,0.00130,2277.00000,0.01310,2661.00000,-9.61600,0.32900,-10.38500,0.29800,-10.22700,0.42800,-9.70600,0.62800,-9.73800,0.33200,-9.89400,0.31400,-9.56400,0.56400,-9.87100,0.45800,-12.29300,0.47900,-12.18700,0.79700,-12.26900,0.39300,-12.10200,0.56500,-11.97900,0.37200,-11.85600,0.42600,-11.54700,0.39400,-11.46800,0.34900,-11.37500,0.39800,-11.31600,0.28900,-11.22900,0.38000,-9.04600,0.45100,-9.12900,0.35600,-9.12100,0.35200,-8.81500,0.50500,-8.83300,0.43200,-8.82100,0.38800,-8.70100,0.41700,-8.45500,0.42600,-8.76700,0.53400,-8.67000,0.66900,-8.62200,0.46900,-8.52600,0.62600,-8.88900,0.48900,-8.20500,0.60800,0,0.01410,3.88550,1.30240,26202106,14.76000,4.69000
31.97500,118.37500,Maanshan,0,0.00000,0.00000,0.00120,1115.00000,0.00170,1318.00000,0.00690,1858.00000,-9.59600,0.32700,-10.34700,0.29200,-10.17700,0.41700,-9.66100,0.61400,-9.69100,0.33100,-9.83300,0.31900,-9.51300,0.54600,-9.81500,0.44400,-12.31300,0.38900,-12.17800,0.69600,-12.24300,0.36600,-12.00700,0.51100,-11.90800,0.34400,-11.81600,0.35500,-11.35600,0.33100,-11.26200,0.31400,-11.19000,0.37600,-11.07800,0.25800,-10.68700,0.30900,-8.89200,0.40800,-8.99100,0.36500,-8.77000,0.37000,-8.54000,0.47200,-8.56800,0.40000,-8.55100,0.36200,-8.39600,0.42100,-7.84700,0.45100,-8.42700,0.53800,-8.31200,0.66800,-8.25100,0.49400,-8.25700,0.61500,-8.54800,0.43500,-7.78900,0.60900,0,0.01180,4.47000,0.57230,26202106,12.99000,4.54000
31.97500,118.42500,Maanshan,1,0.00000,0.00000,0.00020,108.00000,0.00100,969.00000,0.00510,4754.00000,-9.50400,0.31900,-10.14500,0.27300,-9.98100,0.37900,-9.48700,0.55900,-9.49300,0.33700,-9.57300,0.34300,-9.28800,0.48100,-9.58600,0.38300,-12.23900,0.30600,-12.09200,0.59500,-12.11600,0.35300,-11.80100,0.46100,-11.68200,0.33700,-11.62300,0.28400,-11.00900,0.29100,-10.90600,0.31800,-10.80400,0.37300,-10.63000,0.24100,-9.93100,0.24100,-8.73400,0.41700,-8.80600,0.37800,-8.29900,0.38800,-8.04600,0.47600,-8.18400,0.37900,-8.17100,0.39700,-8.16900,0.43000,-7.16100,0.51800,-7.81200,0.58900,-7.85000,0.66500,-7.75500,0.53100,-7.83700,0.63500,-8.14400,0.44800,-7.30000,0.63200,0,0.01680,4.84560,1.21880,26202106,12.77000,4.33000
31.97500,118.47500,Maanshan,0,0.00010,0.00000,0.00030,0.00000,0.00050,14.00000,0.00140,173.00000,-9.46700,0.32400,-10.08600,0.26800,-9.91800,0.36600,-9.42700,0.54500,-9.43200,0.34100,-9.48800,0.35300,-9.21900,0.46700,-9.50500,0.36700,-12.05200,0.26100,-11.89100,0.52200,-11.88400,0.34200,-11.46900,0.41500,-11.32600,0.32100,-11.23500,0.26000,-10.54400,0.28200,-10.44600,0.32500,-10.29500,0.37600,-10.06100,0.28500,-9.15600,0.23500,-8.50200,0.44500,-8.55400,0.41000,-7.90500,0.37900,-7.56000,0.48300,-7.60600,0.36600,-7.66900,0.42400,-7.63800,0.43000,-6.50000,0.54200,-6.90700,0.57700,-7.24000,0.74200,-6.89000,0.53100,-7.13300,0.59800,-7.41600,0.46100,-6.54200,0.77100,0,0.01220,4.74720,0.60830,26202106,13.61000,4.57000
31.97500,118.52500,Maanshan,1,0.00040,415.00000,0.00330,1768.00000,0.01130,2766.00000,0.05860,10045.00000,-9.35400,0.33500,-9.88000,0.24700,-9.73400,0.33200,-9.25700,0.50300,-9.24900,0.36000,-9.21400,0.38200,-8.99500,0.41800,-9.24800,0.31900,-11.71800,0.24400,-11.57600,0.46800,-11.49600,0.29100,-11.01700,0.37000,-10.80600,0.34300,-10.65600,0.24200,-9.94000,0.31600,-9.85200,0.34100,-9.63700,0.37500,-9.34300,0.34400,-8.35900,0.23100,-7.98600,0.48500,-7.96400,0.42400,-7.18700,0.38500,-6.52000,0.53000,-6.63300,0.35600,-6.56100,0.48500,-6.53300,0.48700,-5.33700,0.57300,-5.47900,0.53100,-5.96800,0.76700,-5.46700,0.56100,-5.90100,0.65600,-6.19300,0.49100,-5.30400,0.84500,0,0.03400,7.18960,3.66360,26202106,12.20000,4.28000
31.97500,118.57500,Maanshan,1,0.00100,2841.00000,0.00530,4605.00000,0.01050,6869.00000,0.04030,8229.00000,-9.31800,0.34100,-9.82000,0.24400,-9.68000,0.32100,-9.20700,0.49400,-9.19300,0.36800,-9.12400,0.38500,-8.92700,0.40900,-9.16300,0.30700,-11.28900,0.26800,-11.15600,0.43500,-11.00400,0.26800,-10.47000,0.35900,-10.18500,0.40000,-9.99000,0.24000,-9.29800,0.35300,-9.20200,0.33900,-8.90000,0.38600,-8.57900,0.42100,-7.61200,0.26600,-7.25300,0.49900,-7.09500,0.41400,-6.22600,0.40800,-5.36700,0.52300,-5.64000,0.29900,-5.41000,0.48900,-5.46600,0.48100,-4.26400,0.52300,-4.33400,0.50700,-4.78700,0.69300,-4.43200,0.59600,-4.81000,0.70600,-4.85200,0.51600,-4.07900,0.72400,0,0.03000,7.29390,3.10640,26202106,12.61000,3.99000
31.97500,118.62500,Maanshan,1,0.00380,1711.00000,0.01900,4894.00000,0.03140,7233.00000,0.05240,10178.00000,-9.22700,0.35400,-9.67000,0.23700,-9.54800,0.29400,-9.08100,0.47100,-9.05300,0.38600,-8.90100,0.39100,-8.76000,0.38600,-8.95300,0.27700,-10.80300,0.31400,-10.67700,0.41800,-10.47000,0.29200,-9.88800,0.34000,-9.50700,0.45200,-9.30100,0.25700,-8.67000,0.40100,-8.53800,0.34100,-8.18500,0.39600,-7.82900,0.46300,-6.96700,0.30300,-6.71500,0.50000,-6.56000,0.43900,-5.53200,0.45000,-4.76800,0.49000,-5.02000,0.31900,-4.76200,0.49500,-4.83000,0.49400,-3.58700,0.48200,-3.69800,0.52900,-4.03900,0.67900,-3.62500,0.54800,-3.88800,0.77000,-3.75100,0.51800,-3.10500,0.59700,39,0.01340,5.11590,2.73350,26202106,10.82000,4.62000
31.97500,118.67500,Maanshan,2,0.05620,32010.00000,0.13690,52805.00000,0.21120,78090.00000,0.31560,111269.00000,-9.20100,0.35800,-9.63100,0.24100,-9.51800,0.28600,-9.04300,0.46800,-9.00800,0.39400,-8.83200,0.39500,-8.71800,0.39400,-8.89300,0.27200,-10.37300,0.36500,-10.26900,0.42600,-10.01900,0.30500,-9.40900,0.35000,-8.95400,0.48900,-8.74200,0.30200,-8.20500,0.44900,-8.00400,0.36400,-7.62000,0.40600,-7.27000,0.48000,-6.53000,0.33400,-6.05100,0.59600,-5.89700,0.50700,-5.07700,0.50200,-4.46000,0.43100,-4.49600,0.39900,-4.28700,0.50200,-4.26600,0.48000,-3.22100,0.43200,-3.34200,0.50300,-3.24200,0.72200,-2.86400,0.55200,-3.04000,0.69000,-2.84400,0.46600,-2.33100,0.50100,0,0.07140,12.10380,11.52270,26202106,9.56000,3.68000
