latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
21.67500,39.57500,Makkah,0,0.00000,0.00000,0.00150,170.00000,0.00210,209.00000,0.00470,737.00000,-9.47400,0.06700,-9.49200,0.07300,-9.56800,0.05000,-10.14400,1.01200,-9.38400,0.07200,-9.52800,0.12600,-9.61000,0.24400,-9.46800,0.11000,-12.96900,0.19700,-13.04100,0.22100,-12.96000,0.25000,-12.94100,0.23800,-13.03800,0.21800,-13.05300,0.19500,-12.97400,0.24300,-13.09200,0.23300,-13.14200,0.21000,-13.16100,0.20500,-13.22000,0.21400,-12.12500,0.32000,-12.26200,0.25600,-12.22400,0.23100,-11.95400,0.25100,-11.86200,0.23000,-12.05800,0.27000,-12.12100,0.25100,-11.96800,0.25000,-11.95900,0.27000,-12.01900,0.24200,-11.98200,0.24200,-11.90600,0.49500,-11.74100,0.41200,-11.66200,0.41300,0,-9999,-9999,-9999,28649160,-9999,-9999.00000
21.67500,39.62500,Makkah,0,0.00000,0.00000,0.00000,0.00000,0.00010,12.00000,0.00030,11.00000,-9.40700,0.07500,-9.43100,0.08700,-9.49300,0.05500,-9.88500,0.59000,-9.31300,0.07100,-9.46800,0.12800,-9.53400,0.24000,-9.42500,0.09400,-12.71300,0.23000,-12.76700,0.19000,-12.65600,0.25100,-12.64200,0.25100,-12.71700,0.18100,-12.69300,0.20000,-12.60500,0.24100,-12.72600,0.20400,-12.78600,0.21400,-12.79500,0.20100,-12.81800,0.24900,-11.17700,0.35100,-11.22700,0.24600,-11.19500,0.27800,-11.04600,0.27900,-10.94600,0.26400,-11.03600,0.26800,-11.10900,0.31800,-10.96700,0.36900,-11.02500,0.32900,-10.99900,0.30400,-11.03300,0.31200,-11.03200,0.54700,-10.88000,0.46700,-10.82700,0.51100,0,-9999,-9999,-9999,28649160,-9999,-9999.00000
21.67500,39.67500,Makkah,0,0.00000,0.00000,0.00140,14.00000,0.00160,22.00000,0.00220,90.00000,-9.34600,0.08100,-9.37500,0.10000,-9.42500,0.06000,-9.64800,0.20300,-9.24900,0.07000,-9.41300,0.13000,-9.46400,0.23700,-9.38600,0.07800,-12.28500,0.26800,-12.29500,0.18100,-12.19200,0.25000,-12.16900,0.25400,-12.21100,0.16800,-12.18000,0.18700,-12.10200,0.25200,-12.18700,0.19400,-12.26100,0.19400,-12.24600,0.20300,-12.26900,0.27100,-10.18400,0.29200,-10.14000,0.20700,-10.12100,0.24900,-10.10700,0.25000,-9.98800,0.22900,-9.98200,0.22300,-10.02100,0.27200,-9.91100,0.33400,-10.05200,0.30400,-9.93500,0.27300,-9.96500,0.30000,-9.99300,0.45400,-9.92300,0.35200,-9.88500,0.41700,0,-9999,-9999,-9999,28649160,-9999,-9999.00000
21.67500,39.72500,Makkah,0,0.00010,0.00000,0.00280,501.00000,0.00340,622.00000,0.00450,991.00000,-9.12400,0.07700,-9.14000,0.11800,-9.17900,0.06500,-9.25600,0.34400,-9.02400,0.07000,-9.17200,0.13600,-9.22600,0.24200,-9.16600,0.07400,-11.74000,0.28300,-11.68300,0.20200,-11.63400,0.25300,-11.59200,0.24300,-11.59100,0.15600,-11.56800,0.18600,-11.51600,0.25800,-11.56400,0.21600,-11.64000,0.18200,-11.61500,0.20900,-11.62900,0.27100,-9.96800,0.26000,-9.91200,0.21700,-9.90100,0.21200,-9.91800,0.22600,-9.80400,0.19200,-9.77900,0.20600,-9.79900,0.20000,-9.71100,0.22900,-9.85900,0.26300,-9.75600,0.21000,-9.73400,0.26000,-9.68000,0.39600,-9.69100,0.27800,-9.61200,0.35800,0,-9999,-9999,-9999,28649160,-9999,-9999.00000
21.67500,39.77500,Makkah,0,0.00000,0.00000,0.00060,0.00000,0.00090,0.00000,0.00220,0.00000,-9.01800,0.07500,-9.02700,0.12500,-9.06200,0.06900,-9.08900,0.38600,-8.91500,0.07300,-9.05500,0.14000,-9.11300,0.24700,-9.05800,0.07500,-11.20100,0.29700,-11.08300,0.23200,-11.09600,0.25000,-11.01800,0.24400,-10.99800,0.15200,-10.96200,0.18200,-10.95900,0.28200,-10.96500,0.22000,-11.04100,0.18900,-11.01100,0.21300,-11.00900,0.22900,-9.66800,0.26100,-9.61700,0.23400,-9.65900,0.23400,-9.63500,0.22900,-9.48000,0.23800,-9.49900,0.20600,-9.52500,0.22900,-9.38800,0.24900,-9.53900,0.28300,-9.42700,0.26200,-9.37500,0.24600,-9.30400,0.34400,-9.33300,0.28900,-9.19600,0.33100,0,-9999,-9999,-9999,28649160,-9999,-9999.00000
21.67500,39.82500,Makkah,0,0.00000,0.00000,0.00210,298.00000,0.00320,432.00000,0.00560,860.00000,-8.65400,0.07300,-8.63900,0.13200,-8.67300,0.08700,-8.70300,0.31000,-8.54400,0.11200,-8.65200,0.14900,-8.73900,0.27500,-8.67200,0.09400,-10.68900,0.31600,-10.51300,0.25200,-10.58600,0.25900,-10.47200,0.26000,-10.44000,0.16200,-10.39000,0.20300,-10.46200,0.26300,-10.42800,0.24100,-10.50200,0.18000,-10.47100,0.20000,-10.45200,0.21900,-8.85800,0.21800,-8.83500,0.21600,-8.82900,0.21800,-8.83900,0.23900,-8.72800,0.18000,-8.78900,0.18400,-8.82300,0.22500,-8.77800,0.23900,-8.91400,0.28900,-8.81000,0.23100,-8.78000,0.22100,-8.77200,0.29300,-8.85400,0.25600,-8.72100,0.30100,0,-9999,-9999,-9999,28649160,-9999,-9999.00000
21.67500,39.87500,Makkah,0,0.00010,73.00000,0.00120,120.00000,0.00140,132.00000,0.00180,109.00000,-8.50800,0.07500,-8.48000,0.13100,-8.52100,0.09300,-8.55100,0.28700,-8.39500,0.12200,-8.49600,0.15300,-8.59500,0.28700,-8.51700,0.10300,-10.33300,0.35000,-10.12700,0.26100,-10.25600,0.26900,-10.10700,0.26400,-10.05600,0.16300,-10.00500,0.18300,-10.12800,0.23300,-10.08600,0.24100,-10.12300,0.19000,-10.09200,0.20300,-10.09000,0.25300,-8.34500,0.19700,-8.39800,0.20700,-8.34200,0.24400,-8.39000,0.24200,-8.32200,0.18700,-8.31200,0.20300,-8.39000,0.24900,-8.38500,0.22300,-8.55600,0.30200,-8.38800,0.23400,-8.43500,0.25000,-8.38300,0.30700,-8.48600,0.28800,-8.35500,0.33700,0,-9999,-9999,-9999,28649160,-9999,-9999.00000
21.67500,39.92500,Makkah,0,0.00000,73.00000,0.00010,73.00000,0.00010,71.00000,0.00010,35.00000,-8.20300,0.08100,-8.14900,0.13200,-8.20600,0.10600,-8.23800,0.24300,-8.08600,0.13900,-8.17100,0.16300,-8.29600,0.31400,-8.19400,0.12100,-10.03700,0.36400,-9.81800,0.26400,-9.96300,0.29100,-9.81300,0.26400,-9.74800,0.17300,-9.69000,0.17800,-9.86100,0.20600,-9.82600,0.25100,-9.82800,0.19800,-9.78800,0.21400,-9.80200,0.29800,-7.75200,0.19600,-7.76700,0.19800,-7.81600,0.21300,-7.84900,0.20100,-7.82100,0.20800,-7.73900,0.14500,-7.92600,0.19300,-7.83400,0.21100,-8.03200,0.30800,-7.92600,0.21900,-7.95900,0.25500,-7.94200,0.30700,-7.88200,0.27900,-7.84500,0.26200,0,-9999,-9999,-9999,28649160,-9999,-9999.00000
21.67500,39.97500,Makkah,0,0.00000,0.00000,0.00040,269.00000,0.00050,353.00000,0.00060,361.00000,-7.99900,0.08700,-7.94500,0.13000,-8.00300,0.11000,-8.04000,0.24000,-7.89000,0.14100,-7.97400,0.16900,-8.11200,0.32800,-7.98600,0.12200,-9.81900,0.36700,-9.60400,0.26000,-9.74000,0.31700,-9.60500,0.25600,-9.53400,0.19100,-9.45100,0.18900,-9.66100,0.21400,-9.63700,0.26500,-9.60700,0.19900,-9.54900,0.22900,-9.58800,0.32900,-7.41000,0.15800,-7.38300,0.19400,-7.47600,0.22000,-7.52600,0.14700,-7.43900,0.17200,-7.43100,0.14000,-7.58300,0.18300,-7.48800,0.18000,-7.70800,0.30900,-7.63300,0.22000,-7.64500,0.25600,-7.65400,0.31500,-7.55800,0.29200,-7.54500,0.22100,0,-9999,-9999,-9999,28649160,-9999,-9999.00000
21.67500,40.02500,Makkah,0,0.00000,8.00000,0.00050,10.00000,0.00050,20.00000,0.00060,37.00000,-7.81200,0.09200,-7.75900,0.12900,-7.81500,0.11300,-7.85700,0.23800,-7.70900,0.14200,-7.79400,0.17600,-7.94200,0.34000,-7.79400,0.12300,-9.63600,0.36600,-9.43300,0.25600,-9.55800,0.32500,-9.43300,0.23800,-9.35900,0.21900,-9.24600,0.19100,-9.49200,0.23000,-9.47600,0.28000,-9.42800,0.20000,-9.35200,0.24300,-9.41100,0.35700,-7.26400,0.14700,-7.18900,0.18300,-7.28800,0.26700,-7.38300,0.14900,-7.27400,0.16700,-7.27000,0.15700,-7.36200,0.18100,-7.37400,0.18400,-7.53200,0.32900,-7.44400,0.20700,-7.48300,0.26400,-7.48200,0.32800,-7.38900,0.31800,-7.36600,0.23200,0,-9999,-9999,-9999,28649160,-9999,-9999.00000
