latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
53.77500,-2.47500,Manchester,2,0.28630,38748.00000,0.35400,39454.00000,0.35740,40623.00000,0.36570,44304.00000,-10.03900,0.77400,-10.29000,0.40900,-10.46200,0.30600,-10.48500,0.48200,-10.10600,0.27400,-9.73700,0.36600,-9.91000,0.28900,-9.64600,0.44600,-12.02700,0.48800,-11.66500,0.40400,-11.62300,0.30300,-11.61100,0.46500,-11.65300,0.42700,-11.26200,0.37900,-11.53700,0.34900,-11.48600,0.40600,-11.19000,0.51800,-11.14100,0.41700,-11.28100,0.46500,-9.04200,0.43700,-8.98700,0.34000,-9.11100,0.31700,-8.98500,0.39000,-9.04500,0.37200,-8.72100,0.36100,-9.16200,0.27300,-9.12000,0.31300,-9.22300,0.28600,-8.90000,0.34200,-8.64500,0.33800,-9.07500,0.46800,-8.70200,0.46400,-8.65900,0.36900,0,0.06250,7.60130,5.45240,18344840,19.35000,6.33000
53.77500,-2.42500,Manchester,2,0.18900,20310.00000,0.24020,18502.00000,0.24800,17704.00000,0.26260,17296.00000,-10.12700,0.73400,-10.31500,0.41600,-10.48400,0.30800,-10.51500,0.48600,-10.13900,0.24900,-9.76800,0.37100,-9.94900,0.28700,-9.69600,0.41700,-12.03800,0.51500,-11.67400,0.40800,-11.62000,0.30900,-11.61600,0.47500,-11.67400,0.43300,-11.26200,0.38200,-11.53400,0.35200,-11.48800,0.41500,-11.19100,0.52700,-11.13500,0.42000,-11.28300,0.46100,-9.10000,0.43200,-9.04400,0.34900,-9.15900,0.31300,-9.04300,0.39200,-9.11000,0.38900,-8.78800,0.36600,-9.22000,0.28300,-9.19300,0.31400,-9.29200,0.27900,-8.98000,0.33300,-8.71400,0.33800,-9.13500,0.46300,-8.79300,0.46900,-8.74500,0.37200,0,0.03100,6.65900,2.63130,18344840,20.84000,6.75000
53.77500,-2.37500,Manchester,2,0.26270,41534.00000,0.34860,38055.00000,0.36650,36214.00000,0.39270,35331.00000,-10.03200,0.73600,-10.19000,0.40600,-10.35500,0.30300,-10.38600,0.47000,-10.01000,0.24100,-9.65400,0.37200,-9.82300,0.28900,-9.58200,0.40300,-12.23600,0.55600,-11.89700,0.40700,-11.85800,0.32600,-11.84800,0.48700,-11.92100,0.44800,-11.48200,0.39500,-11.74700,0.35600,-11.71400,0.43300,-11.41900,0.55300,-11.36300,0.43000,-11.52800,0.43900,-9.30400,0.43800,-9.22800,0.35100,-9.36200,0.30900,-9.23200,0.36500,-9.31000,0.37100,-8.98200,0.35100,-9.43200,0.26400,-9.37700,0.32100,-9.51500,0.31000,-9.20200,0.35800,-8.90900,0.34200,-9.36600,0.46000,-9.00000,0.48700,-8.96800,0.36000,0,0.06640,8.55510,6.75830,18344840,20.76000,6.88000
53.77500,-2.32500,Manchester,1,0.15430,15920.00000,0.21330,14663.00000,0.23310,13781.00000,0.25180,13255.00000,-10.39700,0.87500,-10.42600,0.45000,-10.58600,0.31400,-10.59700,0.43500,-10.25200,0.19900,-9.89500,0.37200,-10.10300,0.30600,-9.87100,0.31100,-12.44000,0.55700,-12.10100,0.40800,-12.07500,0.33400,-12.05700,0.48600,-12.13800,0.45800,-11.71000,0.38800,-11.95300,0.35500,-11.92900,0.42500,-11.64700,0.56400,-11.58100,0.44700,-11.76200,0.43700,-9.53500,0.44400,-9.43100,0.36500,-9.60700,0.34200,-9.52700,0.45200,-9.51500,0.40000,-9.28900,0.36000,-9.67600,0.28700,-9.64000,0.28500,-9.80400,0.29100,-9.46700,0.32100,-9.14800,0.30500,-9.58300,0.45800,-9.18000,0.49100,-9.23400,0.34300,0,0.02810,6.33270,2.13550,18344840,19.68000,6.80000
53.77500,-2.27500,Manchester,2,0.27250,38521.00000,0.34510,34091.00000,0.35430,31943.00000,0.36300,30187.00000,-10.36000,0.88900,-10.35400,0.45100,-10.51200,0.30900,-10.51300,0.41800,-10.17300,0.18600,-9.83400,0.37000,-10.03100,0.30900,-9.81500,0.29100,-12.44800,0.55300,-12.10500,0.41200,-12.08400,0.33900,-12.06700,0.48400,-12.15300,0.45900,-11.72400,0.38800,-11.95900,0.35600,-11.94000,0.42100,-11.65400,0.56800,-11.58500,0.45400,-11.77000,0.43800,-9.59700,0.44600,-9.48200,0.36600,-9.66600,0.34600,-9.59700,0.47100,-9.57300,0.40500,-9.36500,0.36100,-9.73800,0.29400,-9.70500,0.27500,-9.87600,0.28900,-9.53600,0.31600,-9.20700,0.29800,-9.64200,0.45800,-9.23800,0.49900,-9.31100,0.34000,0,0.05220,6.27450,4.57440,18344840,19.14000,6.82000
53.77500,-2.22500,Manchester,2,0.19210,31051.00000,0.23300,27601.00000,0.23640,25798.00000,0.24100,24434.00000,-10.25200,0.88100,-10.22500,0.44300,-10.38200,0.30100,-10.37700,0.40300,-10.03500,0.17800,-9.71900,0.36700,-9.89700,0.31000,-9.69600,0.28300,-12.63000,0.59000,-12.31700,0.42900,-12.29600,0.35800,-12.25800,0.49800,-12.35200,0.43000,-11.94200,0.41000,-12.16500,0.33900,-12.18600,0.41300,-11.89400,0.56400,-11.78200,0.46200,-12.01400,0.44800,-10.08800,0.52300,-9.88300,0.34600,-10.12100,0.32400,-10.03100,0.45500,-10.13100,0.40500,-9.83300,0.38200,-10.22900,0.32300,-10.17200,0.33600,-10.28600,0.30300,-10.00200,0.32500,-9.73300,0.33300,-10.09000,0.48800,-9.74000,0.56600,-9.87200,0.37300,0,0.04320,5.55620,4.70810,18344840,20.31000,6.98000
53.77500,-2.17500,Manchester,1,0.00760,3613.00000,0.01140,2847.00000,0.01160,2673.00000,0.01210,2385.00000,-10.57600,0.94400,-10.48700,0.50900,-10.64700,0.28000,-10.57400,0.33400,-10.24600,0.14400,-9.98700,0.35100,-10.16700,0.34400,-9.94100,0.24800,-12.71200,0.60000,-12.42500,0.45300,-12.38800,0.38000,-12.34600,0.52400,-12.44600,0.40000,-12.04500,0.41400,-12.27700,0.32400,-12.28900,0.38900,-12.03600,0.55600,-11.87000,0.45900,-12.14900,0.47000,-10.50500,0.50300,-10.23600,0.36100,-10.49500,0.32000,-10.48700,0.39200,-10.53900,0.40200,-10.22400,0.32300,-10.64700,0.33600,-10.59500,0.36000,-10.71500,0.30300,-10.45500,0.32200,-10.25800,0.31600,-10.57900,0.48200,-10.22000,0.52400,-10.40500,0.42300,0,0.00530,2.53010,0.31970,18344840,21.22000,7.06000
53.77500,-2.12500,Manchester,0,0.00000,213.00000,0.00000,0.00000,0.00000,0.00000,0.00010,226.00000,-10.58800,0.94600,-10.49700,0.51100,-10.65800,0.27900,-10.58200,0.33200,-10.25500,0.14400,-9.99800,0.35100,-10.17800,0.34500,-9.95000,0.24700,-12.68700,0.60100,-12.40400,0.46100,-12.36100,0.38400,-12.32100,0.52500,-12.42200,0.39300,-12.02600,0.41500,-12.25500,0.32300,-12.26900,0.38800,-12.01500,0.55300,-11.83900,0.46500,-12.12600,0.47500,-10.58200,0.49100,-10.30300,0.35900,-10.56100,0.31400,-10.56300,0.38700,-10.60900,0.39700,-10.29100,0.31200,-10.71800,0.34000,-10.66800,0.35100,-10.79500,0.29300,-10.53300,0.31800,-10.34800,0.31600,-10.67900,0.48200,-10.31000,0.51100,-10.49200,0.43200,0,0.00010,0.05340,0.00380,18344840,20.73000,6.95000
53.77500,-2.07500,Manchester,0,0.00020,261.00000,0.00060,346.00000,0.00070,352.00000,0.00080,16.00000,-10.53700,0.94300,-10.44100,0.50800,-10.60300,0.27700,-10.52900,0.32800,-10.19800,0.14200,-9.95100,0.35000,-10.12200,0.34600,-9.89800,0.24400,-12.64900,0.57400,-12.38300,0.44800,-12.34000,0.37400,-12.26600,0.50300,-12.35600,0.37000,-11.99600,0.40600,-12.24300,0.32700,-12.23000,0.38000,-11.98200,0.55100,-11.81100,0.43200,-12.12800,0.47700,-10.64500,0.49300,-10.35700,0.35000,-10.62300,0.29100,-10.62300,0.37800,-10.67400,0.38600,-10.32400,0.30600,-10.76400,0.34600,-10.71700,0.33800,-10.85800,0.27200,-10.59400,0.30800,-10.41700,0.31100,-10.78800,0.50200,-10.39700,0.49600,-10.56400,0.42200,0,0.00100,0.77410,0.05360,18344840,23.69000,7.26000
53.77500,-2.02500,Manchester,1,0.00120,1432.00000,0.00290,1495.00000,0.00330,1445.00000,0.00360,1495.00000,-10.58600,0.90600,-10.49400,0.53000,-10.66300,0.22900,-10.53700,0.27700,-10.20700,0.14900,-10.00400,0.29400,-10.16300,0.33700,-9.97900,0.19900,-12.42500,0.53400,-12.14200,0.43300,-12.09500,0.36500,-11.99500,0.48900,-12.08200,0.37400,-11.75300,0.39800,-11.98200,0.34100,-11.93600,0.35400,-11.71900,0.53100,-11.54300,0.42400,-11.85100,0.47600,-10.59600,0.49000,-10.29700,0.35800,-10.57800,0.29800,-10.57800,0.36900,-10.63400,0.37300,-10.25200,0.32700,-10.69500,0.34200,-10.65400,0.33700,-10.77900,0.28200,-10.50900,0.30400,-10.37100,0.31500,-10.73600,0.52100,-10.34000,0.49100,-10.51500,0.42000,0,0.00290,2.09540,0.16620,18344840,24.66000,7.36000
