latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
22.22500,95.82500,Mandalay,0,0.00000,0.00000,0.00000,245.00000,0.00000,789.00000,0.00010,422.00000,-10.81100,0.70100,-10.49200,0.61900,-10.67900,0.89900,-10.64000,0.88300,-10.43100,0.91700,-11.29600,0.82000,-10.95500,0.48400,-10.73600,0.54600,-13.52900,0.28400,-13.07400,0.34600,-12.65100,0.42000,-12.50300,0.40400,-12.91700,0.37300,-12.71700,0.39700,-13.24300,0.62900,-12.37700,0.32000,-12.72700,0.43500,-12.93400,0.35700,-12.95500,0.62500,-10.48300,0.66600,-10.70800,0.65700,-10.97000,1.30200,-10.28400,0.89800,-9.99100,0.77100,-11.22700,0.72300,-10.37000,0.97800,-10.75500,0.97200,-10.12700,0.73100,-9.66500,0.74500,-9.75000,0.87000,-10.43100,0.65400,-10.78200,0.70400,-10.76500,0.70000,0,-9999.00000,-9999.00000,-9999.00000,28541086,3.30000,2.23000
22.22500,95.87500,Mandalay,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00010,33.00000,-10.73600,0.63300,-10.48000,0.57500,-10.67500,0.81000,-10.41100,0.63500,-10.38100,0.81800,-11.24100,0.78500,-10.90000,0.47500,-10.67300,0.50900,-13.78800,0.26700,-13.29500,0.33200,-12.82200,0.43900,-12.68900,0.37800,-13.14100,0.41700,-13.01800,0.38500,-13.46600,0.64300,-12.58300,0.32900,-13.05600,0.42200,-13.25200,0.36900,-13.20400,0.63100,-10.65800,0.65000,-10.85700,0.63600,-11.08700,1.25100,-10.50000,0.94300,-10.11000,0.75900,-11.31200,0.75200,-10.41600,1.00600,-10.85600,0.91300,-10.21500,0.72700,-9.79200,0.71700,-9.86000,0.77900,-10.49100,0.62000,-10.77600,0.76500,-10.88100,0.65900,0,-9999.00000,-9999.00000,-9999.00000,28541086,2.84000,1.79000
22.22500,95.92500,Mandalay,0,0.00000,0.00000,0.00010,0.00000,0.00010,54.00000,0.00070,2684.00000,-10.62300,0.59900,-10.40100,0.54200,-10.59000,0.76300,-10.33300,0.61400,-10.28500,0.76200,-11.11400,0.75000,-10.79000,0.46700,-10.56400,0.48200,-13.92500,0.29500,-13.40500,0.32000,-12.89200,0.40400,-12.80800,0.40100,-13.25400,0.46900,-13.22700,0.37800,-13.55300,0.66100,-12.68100,0.33700,-13.26600,0.40800,-13.41700,0.40800,-13.31800,0.60600,-10.85400,0.61300,-10.97400,0.58300,-11.10900,1.16900,-10.70900,0.95600,-10.23100,0.68200,-11.36100,0.72500,-10.44400,0.97300,-10.87900,0.87000,-10.28800,0.66600,-9.94100,0.68600,-9.95500,0.71000,-10.50400,0.57900,-10.74100,0.77500,-10.90700,0.63900,0,-9999.00000,-9999.00000,-9999.00000,28541086,3.27000,1.97000
22.22500,95.97500,Mandalay,0,0.00010,32.00000,0.00030,804.00000,0.00040,1432.00000,0.00080,2175.00000,-10.41900,0.53900,-10.25800,0.48200,-10.43900,0.67900,-10.19200,0.57600,-10.11100,0.66200,-10.88600,0.68700,-10.59300,0.45200,-10.36800,0.43500,-13.89900,0.33700,-13.35100,0.32700,-12.84800,0.33500,-12.81400,0.43700,-13.21900,0.54200,-13.29200,0.39400,-13.47600,0.67400,-12.64600,0.33000,-13.27700,0.41400,-13.43800,0.44300,-13.26000,0.56500,-10.97900,0.59700,-11.01200,0.52900,-10.94100,1.03700,-10.76300,0.92800,-10.28400,0.59400,-11.27000,0.70200,-10.45400,0.90300,-10.78800,0.82200,-10.29000,0.58900,-10.00300,0.68200,-10.00600,0.65100,-10.35900,0.58200,-10.55400,0.80100,-10.79200,0.63600,0,-9999.00000,-9999.00000,-9999.00000,28541086,3.38000,2.51000
22.22500,96.02500,Mandalay,0,0.00040,159.00000,0.00090,2022.00000,0.00100,2778.00000,0.00100,4581.00000,-10.10900,0.48500,-9.99800,0.41200,-10.16200,0.60300,-9.97700,0.46100,-9.84200,0.56500,-10.55200,0.62000,-10.30700,0.43100,-10.05500,0.38000,-13.63300,0.36600,-13.05100,0.33300,-12.62300,0.26700,-12.63600,0.48200,-12.96200,0.57500,-13.07100,0.39600,-13.20300,0.66100,-12.39800,0.30500,-13.02900,0.41900,-13.18900,0.46200,-12.97000,0.54200,-10.84100,0.66800,-10.83000,0.56300,-10.56200,0.91100,-10.58900,0.86000,-10.17000,0.52800,-10.86500,0.75000,-10.20100,0.73800,-10.43400,0.77700,-10.08300,0.54600,-9.90200,0.70500,-9.89100,0.60100,-9.97300,0.64900,-10.11800,0.92600,-10.42600,0.72600,5,-9999.00000,-9999.00000,-9999.00000,28541086,5.77000,3.68000
22.22500,96.07500,Mandalay,0,0.00180,566.00000,0.00460,4611.00000,0.00480,6196.00000,0.00540,10461.00000,-9.92600,0.45400,-9.84500,0.37000,-9.99900,0.55800,-9.85100,0.39200,-9.68300,0.50800,-10.35400,0.58100,-10.13900,0.41800,-9.87000,0.34800,-13.07900,0.35100,-12.52300,0.32800,-12.17800,0.23800,-12.22900,0.49800,-12.46400,0.55000,-12.54300,0.36700,-12.70300,0.60200,-11.91400,0.28800,-12.50200,0.37400,-12.64500,0.43400,-12.45800,0.52300,-10.32400,0.76500,-10.29000,0.68600,-9.81400,0.74400,-9.93800,0.85400,-9.69600,0.56500,-10.12800,0.76900,-9.66800,0.60800,-9.77800,0.75300,-9.52400,0.49000,-9.49300,0.82700,-9.50200,0.62400,-9.41800,0.67800,-9.37300,0.86600,-9.75800,0.78900,0,-9999.00000,-9999.00000,-9999.00000,28541086,12.28000,5.52000
22.22500,96.12500,Mandalay,1,0.00190,4194.00000,0.00700,42027.00000,0.00950,72315.00000,0.01040,78311.00000,-9.39600,0.37000,-9.36700,0.29400,-9.50900,0.47400,-9.41900,0.24300,-9.23900,0.37700,-9.82900,0.49100,-9.64700,0.36700,-9.36800,0.27000,-12.39100,0.32000,-11.88200,0.31900,-11.60200,0.25800,-11.69100,0.47100,-11.84100,0.47700,-11.85400,0.30900,-12.09300,0.52500,-11.33300,0.25800,-11.82900,0.31900,-11.98400,0.37900,-11.83000,0.47500,-9.57400,0.59800,-9.59400,0.57900,-9.26500,0.74000,-9.32300,0.74700,-9.10100,0.52100,-9.39900,0.68900,-9.08000,0.62800,-9.12100,0.73000,-8.93600,0.45500,-8.83100,0.73900,-8.85800,0.61000,-8.88800,0.67400,-8.85800,0.79700,-8.99900,0.66100,0,-9999.00000,-9999.00000,-9999.00000,28541086,16.03000,6.26000
22.22500,96.17500,Mandalay,0,0.00010,46.00000,0.00050,379.00000,0.00100,549.00000,0.00120,1111.00000,-9.23700,0.34500,-9.21900,0.27400,-9.35600,0.45500,-9.27300,0.21400,-9.10100,0.34300,-9.66400,0.46300,-9.49800,0.35100,-9.21400,0.25400,-11.53600,0.25700,-11.11900,0.28700,-10.88500,0.29900,-10.98500,0.41600,-11.03600,0.40200,-10.99800,0.25600,-11.35100,0.44200,-10.64100,0.22100,-11.01800,0.25800,-11.18800,0.28400,-11.07100,0.42100,-8.85100,0.40100,-9.13900,0.52900,-8.91100,0.68200,-8.81800,0.68200,-8.64500,0.59400,-8.92800,0.73200,-8.71400,0.72100,-8.70100,0.71500,-8.50600,0.45300,-8.42000,0.60600,-8.36800,0.65200,-8.49100,0.61000,-8.60000,0.71200,-8.60700,0.63400,0,-9999.00000,-9999.00000,-9999.00000,28541086,9.73000,4.95000
22.22500,96.22500,Mandalay,0,0.00000,0.00000,0.00010,131.00000,0.00010,176.00000,0.00020,684.00000,-8.77900,0.27300,-8.78400,0.21900,-8.90300,0.40600,-8.82600,0.15900,-8.69600,0.25700,-9.17700,0.38000,-9.06300,0.30800,-8.76400,0.21700,-10.86700,0.20600,-10.51700,0.25600,-10.32700,0.32700,-10.39800,0.35300,-10.41200,0.35800,-10.33700,0.24200,-10.77800,0.36100,-10.12900,0.20600,-10.41000,0.25100,-10.53600,0.23000,-10.47100,0.35400,-8.43400,0.37600,-8.69400,0.46100,-8.59100,0.67100,-8.38800,0.73900,-8.35200,0.56400,-8.59900,0.68100,-8.42100,0.73900,-8.45000,0.66800,-8.21300,0.45200,-8.14300,0.53400,-8.08300,0.57800,-8.18800,0.48200,-8.39700,0.67000,-8.31400,0.66400,0,-9999.00000,-9999.00000,-9999.00000,28541086,8.33000,4.58000
22.22500,96.27500,Mandalay,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-8.60200,0.25400,-8.59600,0.19500,-8.71400,0.39400,-8.63300,0.17400,-8.53200,0.23600,-8.96900,0.33700,-8.88600,0.30000,-8.57000,0.22000,-10.29000,0.15400,-10.01500,0.23200,-9.85300,0.33600,-9.90300,0.29200,-9.89800,0.32800,-9.81600,0.24800,-10.29500,0.29300,-9.72900,0.20500,-9.92200,0.23300,-10.00800,0.21900,-9.97200,0.26900,-8.04700,0.30800,-8.27200,0.39900,-8.23600,0.57900,-8.03200,0.64600,-7.99700,0.49000,-8.18400,0.58600,-8.08100,0.65800,-8.16400,0.57100,-7.89900,0.38300,-7.86700,0.44700,-7.82600,0.48600,-7.91300,0.40900,-8.11400,0.60400,-8.09100,0.53500,0,-9999.00000,-9999.00000,-9999.00000,28541086,10.29000,5.06000
