latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
21.92500,110.67500,Maoming,1,0.00000,5322.00000,0.00400,3411.00000,0.00970,5044.00000,0.01320,6315.00000,-8.98600,0.26800,-8.55800,0.37100,-8.77400,0.30500,-9.24500,0.35200,-8.71700,0.28500,-8.91800,0.44400,-8.87400,0.33300,-8.82400,0.19500,-10.52300,0.37900,-10.69700,0.41500,-10.33500,0.42300,-10.08800,0.50700,-10.28600,0.34700,-10.02100,0.34600,-9.88100,0.36500,-9.83400,0.36700,-9.74500,0.38400,-9.55200,0.46500,-9.48400,0.34900,-8.11100,0.41600,-7.92800,0.49800,-7.93300,0.40300,-7.95300,0.36200,-8.31200,0.48400,-7.95900,0.39200,-7.71000,0.55200,-7.82200,0.29200,-8.02000,0.41000,-7.75700,0.44100,-7.67800,0.40100,-7.32200,0.60100,-7.56000,0.44900,-7.66800,0.46000,0,0.01190,3.09400,0.87880,28600358,24.44000,7.15000
21.92500,110.72500,Maoming,1,0.00000,5061.00000,0.01740,12159.00000,0.02880,12533.00000,0.03570,14115.00000,-8.93600,0.26600,-8.50200,0.37800,-8.71000,0.30500,-9.18300,0.36700,-8.65500,0.27600,-8.86200,0.45000,-8.79400,0.32300,-8.73300,0.19700,-10.37500,0.37800,-10.51000,0.39200,-10.18400,0.43100,-9.93800,0.52700,-10.10000,0.34100,-9.85700,0.34100,-9.69800,0.34800,-9.68800,0.35800,-9.62400,0.41100,-9.39100,0.51300,-9.35300,0.33900,-7.93300,0.44100,-7.78200,0.47800,-7.73800,0.44000,-7.80700,0.38900,-8.15200,0.51100,-7.78700,0.45800,-7.59100,0.53800,-7.64200,0.29800,-7.83900,0.42100,-7.59600,0.42900,-7.47800,0.42000,-7.13800,0.62800,-7.35700,0.46300,-7.46400,0.51100,0,0.01690,3.38680,1.61390,28600358,26.11000,7.24000
21.92500,110.77500,Maoming,1,0.00010,7025.00000,0.00840,4402.00000,0.01360,5852.00000,0.02070,7886.00000,-8.86900,0.26300,-8.42500,0.38800,-8.62600,0.30500,-9.09800,0.38600,-8.57300,0.26400,-8.78800,0.45600,-8.69000,0.31100,-8.61200,0.19900,-10.19900,0.36400,-10.27100,0.36600,-9.98500,0.41300,-9.74200,0.51500,-9.87000,0.33000,-9.66500,0.33200,-9.49400,0.34100,-9.53300,0.33900,-9.47400,0.41200,-9.25600,0.54500,-9.22200,0.33100,-7.75400,0.45500,-7.65700,0.43700,-7.56200,0.43000,-7.64500,0.43100,-7.93900,0.48900,-7.56100,0.47000,-7.44700,0.53400,-7.49500,0.30400,-7.66700,0.43800,-7.42500,0.43100,-7.23500,0.44200,-6.90600,0.69200,-7.12900,0.48300,-7.18900,0.55700,0,0.01130,3.00270,0.80600,28600358,25.72000,7.06000
21.92500,110.82500,Maoming,2,0.00090,40146.00000,0.15070,85816.00000,0.20770,91067.00000,0.24850,98685.00000,-8.77400,0.26400,-8.32300,0.39200,-8.52300,0.29900,-8.99900,0.39500,-8.47600,0.24800,-8.70300,0.45700,-8.56200,0.28900,-8.48600,0.20600,-10.01600,0.32600,-10.00900,0.34500,-9.77600,0.40400,-9.52500,0.49900,-9.62300,0.31200,-9.45300,0.32100,-9.28300,0.34000,-9.39100,0.33300,-9.32200,0.38900,-9.13900,0.56500,-9.07000,0.32800,-7.60800,0.41000,-7.53100,0.39100,-7.45500,0.40900,-7.49400,0.41500,-7.79900,0.45000,-7.37400,0.44800,-7.34000,0.52900,-7.41200,0.31000,-7.55700,0.42800,-7.32200,0.44500,-7.11600,0.45300,-6.75100,0.72400,-6.99700,0.48700,-7.01700,0.59800,0,0.06560,7.94480,9.23950,28600358,15.32000,5.55000
21.92500,110.87500,Maoming,2,0.00100,95552.00000,0.11140,138687.00000,0.17410,157807.00000,0.21490,178750.00000,-8.72500,0.26400,-8.27000,0.39500,-8.47000,0.29600,-8.94600,0.40100,-8.42600,0.24000,-8.65900,0.45500,-8.49700,0.27700,-8.42100,0.20900,-9.83900,0.26300,-9.77200,0.32300,-9.57800,0.39500,-9.30200,0.47800,-9.40000,0.30200,-9.24700,0.31500,-9.09700,0.34700,-9.27700,0.34600,-9.17700,0.37200,-9.05900,0.56100,-8.93800,0.31700,-7.52100,0.39600,-7.47200,0.37000,-7.41500,0.40600,-7.42100,0.40500,-7.74000,0.42400,-7.31400,0.44700,-7.30500,0.51500,-7.39700,0.31500,-7.52500,0.41700,-7.30000,0.44600,-7.10200,0.44900,-6.73800,0.71100,-6.98500,0.45700,-6.99600,0.58800,0,0.05970,7.99100,8.57980,28600358,15.07000,5.69000
21.92500,110.92500,Maoming,2,0.00000,0.00000,0.01110,17829.00000,0.01920,23034.00000,0.02450,27123.00000,-8.59500,0.24900,-8.15400,0.38300,-8.34000,0.28600,-8.82200,0.39500,-8.29600,0.20900,-8.53900,0.45500,-8.35300,0.25200,-8.28700,0.21500,-9.66300,0.23800,-9.54500,0.32500,-9.37800,0.39000,-9.10800,0.45500,-9.24200,0.28900,-9.07800,0.30200,-8.95000,0.31600,-9.19300,0.35100,-9.07700,0.36800,-9.01500,0.55200,-8.87500,0.32100,-7.48900,0.42500,-7.44300,0.36800,-7.39900,0.41200,-7.39700,0.39900,-7.72900,0.38800,-7.34000,0.44700,-7.32100,0.49800,-7.44800,0.31500,-7.57000,0.42200,-7.35700,0.44100,-7.20900,0.39800,-6.88000,0.67300,-7.06900,0.43100,-7.11100,0.55700,0,0.02040,4.39860,2.01260,28600358,25.28000,7.18000
21.92500,110.97500,Maoming,2,0.00030,14323.00000,0.01960,15902.00000,0.03050,19132.00000,0.03570,22031.00000,-8.55000,0.24100,-8.11500,0.37600,-8.29900,0.28300,-8.77900,0.39100,-8.25400,0.19800,-8.50100,0.45400,-8.30800,0.24200,-8.24600,0.21700,-9.56900,0.23700,-9.42800,0.29300,-9.29300,0.40500,-9.02500,0.44600,-9.19600,0.27600,-9.03700,0.29300,-8.88000,0.29000,-9.16200,0.34100,-9.07000,0.35100,-9.03500,0.51400,-8.88200,0.32400,-7.47300,0.44700,-7.43400,0.37100,-7.39800,0.40100,-7.39200,0.38100,-7.71700,0.35500,-7.39800,0.42600,-7.35800,0.47500,-7.51000,0.30900,-7.64100,0.42300,-7.43500,0.41400,-7.36200,0.34000,-7.02200,0.64300,-7.21300,0.40400,-7.28600,0.50500,0,0.01690,3.63590,2.10050,28600358,24.93000,7.13000
21.92500,111.02500,Maoming,2,0.00000,15103.00000,0.01500,17874.00000,0.02050,17097.00000,0.02280,19701.00000,-8.45000,0.22100,-8.04100,0.35000,-8.21800,0.27700,-8.69400,0.37800,-8.16600,0.17200,-8.42200,0.45600,-8.21700,0.22100,-8.16600,0.22400,-9.56200,0.26100,-9.41300,0.28100,-9.30400,0.41400,-9.03300,0.43000,-9.24200,0.28600,-9.06700,0.29900,-8.88600,0.27100,-9.18400,0.33700,-9.11400,0.35500,-9.09500,0.48400,-8.94800,0.33100,-7.47800,0.44500,-7.45200,0.36100,-7.43800,0.38800,-7.42700,0.36000,-7.70300,0.32000,-7.44200,0.39300,-7.39700,0.45200,-7.54600,0.30100,-7.68200,0.42500,-7.49500,0.39100,-7.42000,0.31600,-7.11900,0.60600,-7.31000,0.37800,-7.38000,0.45900,0,0.01700,3.37480,3.26270,28600358,30.67000,7.82000
21.92500,111.07500,Maoming,2,0.00000,7804.00000,0.01040,14902.00000,0.02000,18429.00000,0.02320,22519.00000,-8.40800,0.20600,-8.00800,0.33000,-8.18800,0.27400,-8.65900,0.35800,-8.13300,0.15900,-8.39200,0.44900,-8.19100,0.21200,-8.14300,0.23200,-9.62200,0.28600,-9.47300,0.27900,-9.37200,0.41400,-9.12800,0.41700,-9.35900,0.29900,-9.16400,0.31100,-8.95300,0.27400,-9.25500,0.36000,-9.18900,0.36000,-9.17800,0.46800,-9.07100,0.32700,-7.52900,0.43200,-7.50900,0.35900,-7.52000,0.37700,-7.48700,0.33100,-7.71400,0.29700,-7.47300,0.37900,-7.42800,0.44700,-7.57400,0.29100,-7.70000,0.41700,-7.52900,0.38500,-7.43500,0.31000,-7.18800,0.56300,-7.36400,0.37600,-7.41500,0.45500,0,0.01550,3.34940,2.11620,28600358,31.97000,8.07000
21.92500,111.12500,Maoming,1,0.00000,3545.00000,0.00000,65.00000,0.00030,192.00000,0.00030,309.00000,-8.35800,0.18800,-7.97100,0.30500,-8.15300,0.27000,-8.61600,0.33400,-8.09200,0.14300,-8.35500,0.44100,-8.15900,0.20000,-8.11600,0.24300,-9.69400,0.30300,-9.57700,0.29600,-9.48800,0.40300,-9.26000,0.41500,-9.47900,0.29300,-9.29300,0.34900,-9.05600,0.28600,-9.32000,0.39300,-9.27000,0.35200,-9.28700,0.44400,-9.21300,0.31400,-7.63000,0.42200,-7.58200,0.37000,-7.60700,0.36900,-7.54300,0.32800,-7.75600,0.29100,-7.50700,0.37100,-7.46900,0.43500,-7.59000,0.27600,-7.71200,0.40000,-7.54600,0.36700,-7.42700,0.32100,-7.20600,0.57500,-7.39300,0.37800,-7.42300,0.46000,0,0.00060,0.25200,0.18780,28600358,44.14000,8.86000
21.92500,111.17500,Maoming,1,0.00000,0.00000,0.00240,5780.00000,0.00720,5981.00000,0.01010,7034.00000,-8.33600,0.17100,-7.96000,0.27000,-8.14100,0.26700,-8.59400,0.29900,-8.08500,0.13900,-8.34200,0.41400,-8.16700,0.20600,-8.13600,0.24700,-9.78100,0.30200,-9.71900,0.32000,-9.63400,0.39300,-9.39900,0.41800,-9.59100,0.28500,-9.43000,0.38800,-9.19100,0.29200,-9.38300,0.40100,-9.35100,0.34900,-9.40200,0.42200,-9.34500,0.29500,-7.73100,0.42800,-7.66500,0.38300,-7.67900,0.36500,-7.59000,0.33200,-7.81300,0.29600,-7.54500,0.37900,-7.51200,0.41000,-7.60500,0.26100,-7.73600,0.39000,-7.55900,0.35200,-7.42600,0.32300,-7.20800,0.61000,-7.41700,0.38600,-7.44700,0.45200,0,0.01060,3.26990,1.33830,28600358,35.19000,8.13000
21.87500,110.67500,Maoming,2,0.00000,644.00000,0.01070,13493.00000,0.02420,14648.00000,0.03230,17602.00000,-9.00900,0.25800,-8.58100,0.36100,-8.79800,0.29800,-9.29000,0.35000,-8.74900,0.28900,-8.93800,0.44600,-8.88900,0.33100,-8.85300,0.19800,-10.58900,0.46000,-10.84900,0.47400,-10.47200,0.42100,-10.19100,0.53600,-10.41200,0.38800,-10.21800,0.40200,-10.02000,0.39700,-10.04800,0.40400,-9.99200,0.41000,-9.72900,0.50400,-9.66700,0.38300,-8.29800,0.43700,-8.09900,0.53400,-8.11600,0.38700,-8.09700,0.42100,-8.39800,0.50900,-8.06300,0.41600,-7.79200,0.60000,-7.88200,0.33300,-8.09900,0.45900,-7.78400,0.44000,-7.70100,0.44900,-7.27800,0.66100,-7.58600,0.48100,-7.69500,0.49100,0,0.01900,3.44730,1.60530,28610162,17.83000,6.18000
