latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
43.52500,5.12500,Marseille,1,0.01340,610.00000,0.04340,1858.00000,0.06130,2235.00000,0.08270,2755.00000,-9.97900,0.27000,-9.94400,0.48800,-9.79100,0.22800,-10.11700,0.62800,-9.75100,0.51100,-9.65900,0.26100,-9.75200,0.41300,-9.79800,0.35500,-11.06800,0.19400,-10.80500,0.24500,-10.73800,0.22100,-10.81300,0.20400,-10.67600,0.21200,-10.74600,0.24300,-10.63000,0.27300,-10.59600,0.22700,-10.54700,0.17100,-10.66500,0.23700,-10.53700,0.23000,-9.51000,0.16600,-9.51400,0.21200,-9.35600,0.30100,-9.45800,0.16500,-9.45100,0.19200,-9.39400,0.21100,-9.47000,0.11900,-9.32800,0.15000,-9.39800,0.19000,-9.32500,0.16800,-9.33200,0.15800,-9.22100,0.55900,-9.24400,0.14200,-9.20700,0.20600,0,0.00640,4.54760,0.34010,22454824,6.28000,4.04000
43.52500,5.17500,Marseille,2,0.08340,6269.00000,0.17480,7488.00000,0.22380,8156.00000,0.28770,8947.00000,-9.59100,0.21700,-9.61500,0.41900,-9.45000,0.23900,-9.79600,0.61900,-9.37200,0.34200,-9.27600,0.19200,-9.36800,0.30700,-9.44600,0.30500,-11.02200,0.19000,-10.82500,0.24100,-10.74400,0.23200,-10.81500,0.22300,-10.65500,0.20300,-10.71900,0.25600,-10.60900,0.28000,-10.59200,0.24000,-10.56000,0.18000,-10.66600,0.24300,-10.57400,0.23400,-9.37400,0.18300,-9.35800,0.22600,-9.22400,0.30600,-9.30900,0.19000,-9.29000,0.20700,-9.26000,0.22600,-9.32300,0.15000,-9.16700,0.19100,-9.26400,0.21000,-9.20100,0.18700,-9.18200,0.18100,-9.07000,0.61500,-9.13000,0.16000,-9.08400,0.22300,0,0.02690,8.49070,2.94750,22454824,5.93000,3.17000
43.52500,5.22500,Marseille,2,0.08940,7288.00000,0.17320,8656.00000,0.19970,9671.00000,0.25320,11351.00000,-9.59100,0.21700,-9.61500,0.41900,-9.45000,0.23900,-9.79600,0.61900,-9.37200,0.34200,-9.27600,0.19200,-9.36800,0.30700,-9.44600,0.30500,-10.94800,0.17700,-10.79400,0.22300,-10.69500,0.25600,-10.77400,0.23600,-10.59600,0.18900,-10.67300,0.26400,-10.57700,0.28400,-10.56900,0.24200,-10.54100,0.18700,-10.62800,0.24700,-10.53600,0.22400,-9.12400,0.19000,-9.14100,0.19300,-8.99800,0.31200,-9.03000,0.27000,-9.01700,0.25400,-9.00700,0.25200,-9.07000,0.20300,-8.98100,0.22400,-9.06300,0.22200,-8.88200,0.19600,-8.92300,0.22900,-8.82600,0.58800,-8.90900,0.20800,-8.93000,0.25700,0,0.03100,8.07050,2.69740,22454824,11.29000,4.40000
43.52500,5.27500,Marseille,1,0.03840,4604.00000,0.11530,6531.00000,0.13580,6654.00000,0.17150,7058.00000,-9.37100,0.17800,-9.34400,0.33000,-9.26100,0.23600,-9.62900,0.69800,-9.12400,0.20400,-9.11500,0.20100,-9.15600,0.25500,-9.22300,0.26400,-10.87800,0.18500,-10.75200,0.21200,-10.65300,0.27700,-10.72600,0.24500,-10.53300,0.18500,-10.63700,0.25200,-10.51900,0.27500,-10.54400,0.25700,-10.51100,0.19200,-10.57500,0.23600,-10.49300,0.22100,-9.01500,0.20100,-8.99100,0.20300,-8.87900,0.29600,-8.86100,0.23100,-8.86700,0.24000,-8.85900,0.24700,-8.88300,0.22900,-8.78200,0.22900,-8.90300,0.23500,-8.71500,0.19900,-8.77300,0.21900,-8.61500,0.45000,-8.71600,0.26300,-8.73700,0.25400,0,0.02480,6.11000,1.77890,22454824,18.36000,5.97000
43.52500,5.32500,Marseille,1,0.00810,1890.00000,0.03660,2564.00000,0.05920,2976.00000,0.08630,3276.00000,-9.34900,0.18100,-9.34300,0.34000,-9.25200,0.23500,-9.62700,0.71600,-9.10900,0.20200,-9.09900,0.20800,-9.14500,0.25600,-9.21500,0.26400,-10.82500,0.19500,-10.68800,0.22100,-10.58700,0.25800,-10.65000,0.25300,-10.45000,0.18500,-10.58100,0.23100,-10.47200,0.26000,-10.47600,0.27300,-10.46200,0.19700,-10.48700,0.22500,-10.41900,0.24000,-9.02700,0.23100,-8.93400,0.23800,-8.82800,0.33200,-8.82900,0.25200,-8.80700,0.21600,-8.85900,0.22200,-8.79700,0.27200,-8.70200,0.25600,-8.78400,0.24200,-8.71600,0.23900,-8.74600,0.21300,-8.48400,0.37200,-8.58800,0.29900,-8.57300,0.24700,0,0.01190,6.33070,0.79650,22454824,18.21000,6.00000
43.52500,5.37500,Marseille,2,0.04900,14173.00000,0.10080,14498.00000,0.13560,14883.00000,0.15820,17009.00000,-9.29700,0.17400,-9.22500,0.29400,-9.21600,0.23300,-9.64100,0.77000,-9.13300,0.23100,-9.08100,0.22100,-9.12500,0.27600,-9.15100,0.23200,-10.85200,0.19700,-10.70400,0.23200,-10.59700,0.24000,-10.66100,0.25200,-10.46200,0.18600,-10.61000,0.21600,-10.51800,0.26500,-10.50700,0.26200,-10.50300,0.19100,-10.51000,0.22100,-10.43400,0.24400,-8.91900,0.22000,-8.84300,0.22000,-8.74500,0.32600,-8.73100,0.22800,-8.75400,0.21100,-8.77600,0.20400,-8.70300,0.25300,-8.58100,0.23900,-8.66900,0.23100,-8.62800,0.22000,-8.61000,0.21100,-8.39700,0.32100,-8.47700,0.25400,-8.39800,0.23000,0,0.02190,7.77860,1.75000,22454824,7.37000,3.98000
43.52500,5.42500,Marseille,3,0.26600,60112.00000,0.44730,56203.00000,0.50780,53708.00000,0.54390,54946.00000,-9.25400,0.17200,-9.17100,0.27800,-9.18500,0.23400,-9.62100,0.79300,-9.10400,0.24200,-9.04800,0.22900,-9.09400,0.28300,-9.11300,0.23200,-10.93700,0.19800,-10.77500,0.23300,-10.67100,0.23700,-10.72800,0.24700,-10.53600,0.20000,-10.69100,0.20100,-10.62600,0.27100,-10.60400,0.25500,-10.60100,0.18600,-10.60600,0.22000,-10.52200,0.24000,-8.87000,0.20800,-8.83300,0.21900,-8.71500,0.29800,-8.70500,0.22400,-8.74200,0.21600,-8.77200,0.22300,-8.68800,0.25000,-8.56600,0.22700,-8.63500,0.21000,-8.57500,0.20300,-8.56600,0.21600,-8.39900,0.30000,-8.42800,0.22900,-8.32500,0.23000,0,0.08670,9.75980,7.92140,22454824,8.91000,4.39000
43.52500,5.47500,Marseille,2,0.09890,28341.00000,0.20010,28335.00000,0.22110,25992.00000,0.23680,24839.00000,-9.26300,0.17400,-9.15000,0.26200,-9.19400,0.23600,-9.65000,0.79200,-9.13100,0.25900,-9.05100,0.23600,-9.12300,0.29700,-9.11300,0.23400,-11.02100,0.19900,-10.83400,0.22300,-10.74000,0.24000,-10.79100,0.23700,-10.60500,0.22000,-10.75600,0.19300,-10.71700,0.27200,-10.68700,0.25400,-10.68300,0.17300,-10.69500,0.21900,-10.60200,0.23000,-8.88900,0.20800,-8.87600,0.22000,-8.75300,0.28000,-8.75300,0.22400,-8.78800,0.21800,-8.82700,0.23300,-8.73300,0.25100,-8.62700,0.23200,-8.67800,0.19500,-8.58800,0.19000,-8.59500,0.22200,-8.46300,0.29500,-8.46600,0.22100,-8.35900,0.23800,0,0.05210,7.55860,4.54610,22454824,28.23000,6.68000
43.52500,5.52500,Marseille,1,0.00380,2036.00000,0.01420,2308.00000,0.02320,2092.00000,0.02920,2544.00000,-9.30600,0.17700,-9.11900,0.23100,-9.22500,0.24200,-9.72000,0.76800,-9.21300,0.29200,-9.07400,0.24700,-9.20000,0.32300,-9.12900,0.23200,-11.13600,0.20400,-10.93000,0.19800,-10.84100,0.25500,-10.89400,0.22700,-10.71400,0.23800,-10.85100,0.20100,-10.83900,0.27100,-10.80300,0.26100,-10.79100,0.15700,-10.82200,0.22200,-10.72500,0.22300,-8.98900,0.20700,-8.95800,0.21800,-8.86600,0.26400,-8.88400,0.21300,-8.89100,0.21300,-8.94500,0.21000,-8.81200,0.25200,-8.74300,0.25900,-8.79000,0.18900,-8.68700,0.19200,-8.67500,0.23500,-8.55400,0.27200,-8.58100,0.21500,-8.48600,0.23700,0,0.00830,4.07810,0.58980,22454824,23.53000,6.47000
43.52500,5.57500,Marseille,1,0.00080,449.00000,0.00420,56.00000,0.00890,136.00000,0.01040,173.00000,-9.27400,0.17600,-9.09000,0.22500,-9.20000,0.24300,-9.69500,0.77600,-9.18100,0.29700,-9.04100,0.25300,-9.17300,0.32600,-9.10200,0.23700,-11.39100,0.22600,-11.18000,0.20700,-11.09000,0.26700,-11.12200,0.21500,-10.98200,0.24800,-11.09000,0.24500,-11.11600,0.27100,-11.07100,0.26200,-11.06900,0.17800,-11.11000,0.24500,-11.03700,0.22000,-9.22400,0.21700,-9.17500,0.21600,-9.16200,0.25300,-9.21200,0.25400,-9.17600,0.20400,-9.20400,0.18600,-9.12600,0.26300,-9.09500,0.23600,-9.09700,0.19600,-9.01300,0.20200,-8.97300,0.26900,-8.88800,0.27600,-8.98600,0.18300,-8.82400,0.23200,0,0.00070,0.57030,0.03180,22454824,27.52000,6.47000
