latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JFM_mean,ERS1993_JFM_std,ERS1994_JFM_mean,ERS1994_JFM_std,ERS1995_JFM_mean,ERS1995_JFM_std,ERS1996_JFM_mean,ERS1996_JFM_std,ERS1997_JFM_mean,ERS1997_JFM_std,ERS1998_JFM_mean,ERS1998_JFM_std,ERS1999_JFM_mean,ERS1999_JFM_std,ERS2000_JFM_mean,ERS2000_JFM_std,QSCAT1999_JFM_mean,QSCAT1999_JFM_std,QSCAT2000_JFM_mean,QSCAT2000_JFM_std,QSCAT2001_JFM_mean,QSCAT2001_JFM_std,QSCAT2002_JFM_mean,QSCAT2002_JFM_std,QSCAT2003_JFM_mean,QSCAT2003_JFM_std,QSCAT2004_JFM_mean,QSCAT2004_JFM_std,QSCAT2005_JFM_mean,QSCAT2005_JFM_std,QSCAT2006_JFM_mean,QSCAT2006_JFM_std,QSCAT2007_JFM_mean,QSCAT2007_JFM_std,QSCAT2008_JFM_mean,QSCAT2008_JFM_std,QSCAT2009_JFM_mean,QSCAT2009_JFM_std,ASCAT2007_JFM_mean,ASCAT2007_JFM_std,ASCAT2008_JFM_mean,ASCAT2008_JFM_std,ASCAT2009_JFM_mean,ASCAT2009_JFM_std,ASCAT2010_JFM_mean,ASCAT2010_JFM_std,ASCAT2011_JFM_mean,ASCAT2011_JFM_std,ASCAT2012_JFM_mean,ASCAT2012_JFM_std,ASCAT2013_JFM_mean,ASCAT2013_JFM_std,ASCAT2014_JFM_mean,ASCAT2014_JFM_std,ASCAT2015_JFM_mean,ASCAT2015_JFM_std,ASCAT2016_JFM_mean,ASCAT2016_JFM_std,ASCAT2017_JFM_mean,ASCAT2017_JFM_std,ASCAT2018_JFM_mean,ASCAT2018_JFM_std,ASCAT2019_JFM_mean,ASCAT2019_JFM_std,ASCAT2020_JFM_mean,ASCAT2020_JFM_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
-5.92500,23.32500,MbujiMayi,1,0.00020,0.00000,0.00100,156.00000,0.00180,163.00000,0.00580,963.00000,-9.69000,0.18500,-9.94900,0.24700,-9.78500,0.26300,-9.88300,0.39400,-10.08600,0.11800,-9.68100,0.42900,-10.00500,0.24000,-9.96000,0.45400,-9999.00000,-9999.00000,-11.96500,0.27100,-11.75100,0.21400,-11.68600,0.24500,-11.55300,0.28700,-11.67900,0.30700,-11.54400,0.35900,-11.76700,0.26900,-11.68800,0.25400,-11.60100,0.20900,-11.56900,0.25300,-10.29900,0.52900,-10.18300,0.42100,-9.88700,0.45600,-10.32500,0.57400,-10.08500,0.46600,-10.18400,0.49700,-10.19200,0.48900,-9.88900,0.48200,-9.97500,0.61900,-9.87000,0.37000,-9.72000,0.40600,-9.73900,0.50000,-9.53200,0.47300,-9.64900,0.42500,0,-9999,-9999,-9999,30612654,7.17000,2.57000
-5.92500,23.37500,MbujiMayi,1,0.00080,76.00000,0.00240,296.00000,0.00560,649.00000,0.01440,1225.00000,-9.60000,0.19700,-9.87100,0.24600,-9.72100,0.25900,-9.74300,0.39200,-9.97800,0.11600,-9.59300,0.43100,-9.92900,0.24500,-9.90500,0.44200,-9999.00000,-9999.00000,-11.65400,0.32100,-11.49000,0.21200,-11.43600,0.25300,-11.34100,0.28900,-11.49700,0.30200,-11.38100,0.30000,-11.55800,0.23700,-11.54700,0.24200,-11.43000,0.21400,-11.43900,0.25600,-9.94000,0.50500,-9.93900,0.43100,-9.62100,0.42600,-10.04400,0.55100,-9.87900,0.47500,-9.94000,0.56100,-9.90200,0.46200,-9.71400,0.45000,-9.86100,0.62400,-9.68100,0.40200,-9.51000,0.39000,-9.61200,0.49300,-9.32300,0.45400,-9.50200,0.40800,0,-9999,-9999,-9999,30612654,7.85000,2.85000
-5.92500,23.42500,MbujiMayi,1,0.00040,0.00000,0.00110,6.00000,0.00300,94.00000,0.01170,1249.00000,-9.56100,0.20300,-9.84600,0.25700,-9.68000,0.25900,-9.67700,0.38700,-9.92200,0.11400,-9.54100,0.42800,-9.88300,0.24100,-9.86500,0.43200,-9999.00000,-9999.00000,-11.34500,0.34000,-11.18700,0.20900,-11.16400,0.25800,-11.11100,0.26300,-11.25400,0.27600,-11.18400,0.27800,-11.34700,0.24800,-11.39300,0.24300,-11.24500,0.26300,-11.28800,0.26500,-9.58300,0.42500,-9.59300,0.38100,-9.30900,0.42200,-9.67500,0.51200,-9.57500,0.46500,-9.66900,0.50800,-9.56900,0.41800,-9.50300,0.38300,-9.69900,0.59600,-9.49300,0.38400,-9.30800,0.33000,-9.45500,0.48100,-9.13200,0.38400,-9.32200,0.39800,0,-9999,-9999,-9999,30612654,12.57000,4.21000
-5.92500,23.47500,MbujiMayi,1,0.00000,0.00000,0.00000,0.00000,0.00270,206.00000,0.01000,942.00000,-9.49600,0.21400,-9.80900,0.28100,-9.60500,0.26100,-9.56300,0.37900,-9.82400,0.11000,-9.45000,0.42300,-9.80100,0.23100,-9.79100,0.41100,-9999.00000,-9999.00000,-11.08800,0.34300,-10.93900,0.24400,-10.92900,0.24000,-10.93200,0.22400,-11.04400,0.25000,-11.01000,0.28200,-11.14600,0.27600,-11.26700,0.25500,-11.07400,0.28800,-11.15900,0.29200,-9.45500,0.39500,-9.44400,0.35700,-9.19900,0.41100,-9.53500,0.49200,-9.47200,0.43100,-9.55900,0.48000,-9.45400,0.38300,-9.47800,0.35300,-9.60300,0.59000,-9.41100,0.37000,-9.30900,0.35000,-9.41800,0.44600,-9.14100,0.37700,-9.32800,0.38800,0,-9999,-9999,-9999,30612654,12.57000,4.33000
-5.92500,23.52500,MbujiMayi,1,0.00040,157.00000,0.00130,533.00000,0.00290,731.00000,0.01820,2162.00000,-9.46600,0.22200,-9.78200,0.30400,-9.52500,0.25900,-9.47200,0.36600,-9.73900,0.11200,-9.37600,0.41300,-9.72200,0.21100,-9.73500,0.39800,-9999.00000,-9999.00000,-10.94700,0.31900,-10.81600,0.27600,-10.79400,0.24500,-10.84300,0.20200,-10.89900,0.21900,-10.92400,0.29700,-11.03700,0.29500,-11.17900,0.27900,-11.00000,0.28400,-11.10400,0.30900,-9.49700,0.38500,-9.50900,0.37100,-9.23400,0.42000,-9.58100,0.44800,-9.54100,0.41800,-9.60100,0.48800,-9.57700,0.40200,-9.58900,0.37400,-9.66500,0.62500,-9.45600,0.36000,-9.41000,0.37300,-9.49800,0.43700,-9.28200,0.39300,-9.44400,0.38800,0,-9999,-9999,-9999,30612654,11.34000,3.85000
-5.92500,23.57500,MbujiMayi,1,0.00000,19.00000,0.00030,66.00000,0.00080,145.00000,0.01860,1832.00000,-9.45200,0.22500,-9.76000,0.31500,-9.48000,0.25700,-9.42400,0.35700,-9.69200,0.11500,-9.33700,0.40800,-9.67700,0.19900,-9.70300,0.39300,-9999.00000,-9999.00000,-10.96400,0.30000,-10.85900,0.29700,-10.82200,0.24100,-10.87200,0.20000,-10.86900,0.20400,-10.95700,0.30400,-11.03500,0.30600,-11.14900,0.29500,-11.02600,0.26700,-11.12600,0.30200,-9.59000,0.33100,-9.66800,0.38900,-9.41500,0.45300,-9.67300,0.40000,-9.68500,0.40700,-9.65100,0.49000,-9.77000,0.38300,-9.74300,0.41800,-9.79700,0.64300,-9.56500,0.33600,-9.55200,0.39900,-9.58000,0.42100,-9.47200,0.40600,-9.60800,0.42500,0,-9999,-9999,-9999,30612654,9.87000,3.45000
-5.92500,23.62500,MbujiMayi,1,0.00000,0.00000,0.00000,0.00000,0.00010,17.00000,0.00950,1331.00000,-9.45000,0.22700,-9.70100,0.33300,-9.40100,0.25100,-9.36000,0.33700,-9.62000,0.13400,-9.29000,0.39900,-9.60300,0.17200,-9.65700,0.40100,-9999.00000,-9999.00000,-11.09800,0.28700,-11.02000,0.27600,-10.96100,0.23400,-10.98600,0.20600,-10.98000,0.24000,-11.06600,0.29100,-11.10700,0.28400,-11.18300,0.26800,-11.12300,0.26300,-11.19900,0.29400,-9.60800,0.31500,-9.76800,0.39500,-9.51300,0.44200,-9.73000,0.41700,-9.74600,0.41500,-9.66100,0.47700,-9.83400,0.39500,-9.79500,0.42300,-9.89500,0.63800,-9.58700,0.33700,-9.65700,0.43300,-9.61100,0.42300,-9.54500,0.40100,-9.68400,0.43400,0,-9999,-9999,-9999,30612654,9.34000,3.34000
-5.92500,23.67500,MbujiMayi,1,0.00000,0.00000,0.00000,0.00000,0.00030,18.00000,0.00940,1234.00000,-9.43900,0.22600,-9.62500,0.33700,-9.35500,0.24500,-9.33400,0.32400,-9.57500,0.14200,-9.26000,0.38900,-9.55300,0.15900,-9.62900,0.41400,-9999.00000,-9999.00000,-11.24600,0.29400,-11.21000,0.25400,-11.11900,0.23900,-11.11500,0.21900,-11.12500,0.29100,-11.20600,0.24700,-11.17900,0.25700,-11.25100,0.27300,-11.24200,0.25000,-11.28500,0.29900,-9.58900,0.31900,-9.77000,0.40100,-9.54000,0.42400,-9.72000,0.41700,-9.74600,0.40800,-9.61600,0.41100,-9.82100,0.37800,-9.80800,0.44300,-9.92000,0.63400,-9.56400,0.32900,-9.73200,0.47400,-9.59100,0.43700,-9.58200,0.38400,-9.73000,0.43000,0,-9999,-9999,-9999,30612654,9.93000,3.49000
-5.92500,23.72500,MbujiMayi,1,0.00000,0.00000,0.00050,0.00000,0.00250,117.00000,0.01820,3776.00000,-9.42600,0.22400,-9.54900,0.34100,-9.30900,0.24000,-9.30600,0.31200,-9.52900,0.15100,-9.23000,0.37800,-9.50200,0.14600,-9.60000,0.42800,-9999.00000,-9999.00000,-11.34800,0.30800,-11.31600,0.24300,-11.21400,0.25400,-11.17900,0.23300,-11.20900,0.31500,-11.28400,0.22900,-11.22700,0.24600,-11.24100,0.27400,-11.28700,0.24000,-11.31300,0.27800,-9.53200,0.30700,-9.73700,0.41500,-9.52500,0.39600,-9.66700,0.41300,-9.69800,0.38500,-9.54900,0.36500,-9.73600,0.34100,-9.79100,0.44000,-9.91100,0.63000,-9.51700,0.32200,-9.75500,0.49600,-9.55800,0.43900,-9.60100,0.35800,-9.76000,0.41600,0,-9999,-9999,-9999,30612654,9.45000,3.47000
-5.92500,23.77500,MbujiMayi,1,0.00000,0.00000,0.00060,0.00000,0.00250,18.00000,0.01910,851.00000,-9.32400,0.24700,-9.39700,0.34000,-9.19500,0.21100,-9.24000,0.28800,-9.42100,0.15000,-9.14900,0.34300,-9.38400,0.13600,-9.53200,0.44900,-9999.00000,-9999.00000,-11.36100,0.31000,-11.32700,0.24000,-11.21700,0.24400,-11.16300,0.25400,-11.20100,0.31800,-11.27400,0.26600,-11.20400,0.28100,-11.17800,0.26400,-11.23000,0.24400,-11.28600,0.25500,-9.45900,0.27500,-9.67400,0.36300,-9.48200,0.37300,-9.60800,0.40200,-9.63300,0.38600,-9.49600,0.36600,-9.64400,0.32500,-9.72600,0.40400,-9.88600,0.62500,-9.45200,0.31600,-9.73000,0.49500,-9.53900,0.45000,-9.60100,0.33100,-9.75700,0.41500,0,-9999,-9999,-9999,30612654,10.18000,3.90000
