latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
3.82500,98.42500,Medan,1,0.06670,28223.00000,0.06670,36400.00000,0.06850,36563.00000,0.07120,33347.00000,-8.11400,0.14400,-8.01500,0.21100,-8.05000,0.26900,-8.06200,0.15800,-8.01800,0.15800,-7.76200,0.11000,-7.93800,0.12500,-8.02100,0.22000,-9.21700,0.22500,-8.95400,0.24800,-9.00100,0.20700,-9.07300,0.24700,-8.95200,0.24000,-8.87300,0.13600,-8.89700,0.24900,-8.86600,0.20100,-8.89200,0.17700,-8.88300,0.25000,-8.77100,0.20200,-7.64900,0.24600,-7.52800,0.21500,-7.50200,0.26800,-7.48800,0.18100,-7.43500,0.22100,-7.44200,0.25000,-7.32400,0.22600,-7.38900,0.25500,-7.39100,0.22200,-7.19600,0.23300,-7.12700,0.22300,-7.15800,0.44800,-7.14800,0.34700,-7.06000,0.21200,0,-9999,-9999,-9999,30705960,25.82000,9.38000
3.82500,98.47500,Medan,1,0.04330,9838.00000,0.04330,12688.00000,0.04700,14542.00000,0.05660,16495.00000,-8.45200,0.17200,-8.27800,0.25000,-8.33100,0.28300,-8.36400,0.19000,-8.31300,0.18900,-8.03500,0.13300,-8.24100,0.14300,-8.32000,0.19500,-9.37000,0.22200,-9.13000,0.27300,-9.18100,0.18800,-9.30100,0.25100,-9.18100,0.22900,-9.10600,0.13000,-9.10600,0.25200,-9.07700,0.20000,-9.06800,0.18300,-9.01300,0.22300,-8.92700,0.21300,-7.81200,0.27000,-7.69100,0.21700,-7.62100,0.32400,-7.62400,0.21900,-7.58400,0.25100,-7.58900,0.28500,-7.39100,0.23700,-7.48100,0.31300,-7.46900,0.23900,-7.27500,0.25800,-7.17400,0.24500,-7.21600,0.48400,-7.18800,0.38800,-7.11200,0.23500,0,-9999,-9999,-9999,30705960,42.24000,10.33000
3.82500,98.52500,Medan,2,0.04330,16020.00000,0.04330,20663.00000,0.04830,23038.00000,0.06030,25131.00000,-8.87800,0.19200,-8.63600,0.30500,-8.72200,0.29200,-8.75700,0.21500,-8.70100,0.21100,-8.43700,0.14700,-8.66600,0.15500,-8.74500,0.20100,-9.56600,0.20500,-9.37100,0.26700,-9.44000,0.20600,-9.57700,0.25300,-9.46100,0.22600,-9.41400,0.15200,-9.38500,0.24700,-9.34000,0.18900,-9.30500,0.21800,-9.21500,0.23200,-9.16000,0.22600,-8.04600,0.26000,-7.86400,0.21200,-7.83000,0.40200,-7.86700,0.23700,-7.76500,0.25800,-7.80800,0.29700,-7.55800,0.27000,-7.64400,0.34700,-7.62300,0.24200,-7.45800,0.27000,-7.29700,0.28700,-7.33200,0.51800,-7.27900,0.38800,-7.25000,0.25900,0,-9999,-9999,-9999,30705960,29.11000,8.57000
3.82500,98.57500,Medan,1,0.01950,5898.00000,0.01950,7953.00000,0.02620,9571.00000,0.04110,12688.00000,-9.16300,0.20600,-8.87600,0.34100,-8.98500,0.29800,-9.02100,0.23200,-8.96100,0.22600,-8.70700,0.15700,-8.95100,0.16400,-9.03000,0.20600,-9.95800,0.16700,-9.80300,0.24400,-9.87300,0.23100,-10.01800,0.21100,-9.87500,0.22400,-9.87900,0.18100,-9.84400,0.23100,-9.75600,0.17000,-9.71800,0.26200,-9.58500,0.24000,-9.54200,0.24300,-8.29000,0.25800,-8.08800,0.24400,-8.13500,0.40300,-8.14400,0.24700,-8.02800,0.28600,-8.10800,0.31400,-7.78900,0.28000,-7.87500,0.35900,-7.85500,0.21300,-7.65600,0.26900,-7.52100,0.34100,-7.48400,0.64600,-7.42100,0.41400,-7.44600,0.29700,0,-9999,-9999,-9999,30705960,27.43000,9.08000
3.82500,98.62500,Medan,1,0.01120,1858.00000,0.01120,2901.00000,0.01610,3860.00000,0.03450,6203.00000,-10.08600,0.27500,-9.67000,0.40500,-9.97300,0.31900,-10.06400,0.37500,-9.91300,0.28600,-9.66600,0.16700,-9.89900,0.24600,-10.01400,0.21900,-10.60600,0.14500,-10.54400,0.27600,-10.55000,0.21200,-10.76600,0.18900,-10.60500,0.22900,-10.61200,0.20700,-10.58400,0.25700,-10.44500,0.20600,-10.42900,0.28800,-10.22100,0.29000,-10.20300,0.25800,-8.65800,0.27000,-8.45800,0.26800,-8.54300,0.41200,-8.48600,0.26700,-8.45900,0.34500,-8.50600,0.30000,-8.14200,0.33600,-8.25000,0.39900,-8.19500,0.24200,-8.04700,0.27600,-7.91100,0.36800,-7.74000,0.73200,-7.82700,0.49600,-7.80000,0.35500,1,-9999,-9999,-9999,30705960,21.52000,7.60000
3.82500,98.67500,Medan,1,0.03730,415.00000,0.03730,646.00000,0.04460,1962.00000,0.06840,9119.00000,-10.12500,0.28100,-9.70300,0.41000,-10.01900,0.32200,-10.14900,0.51800,-9.95500,0.29200,-9.70600,0.16800,-9.93800,0.25300,-10.05500,0.22100,-11.73500,0.22700,-11.88100,0.32000,-11.78100,0.21800,-12.01000,0.24800,-11.83500,0.23600,-11.84900,0.24100,-11.79400,0.33100,-11.62700,0.26400,-11.68200,0.30900,-11.37900,0.32500,-11.36500,0.30100,-9.60100,0.34400,-9.37800,0.36900,-9.47200,0.47000,-9.44600,0.37100,-9.43100,0.51400,-9.48500,0.34500,-9.16800,0.48600,-9.23300,0.49900,-9.22600,0.46600,-9.04600,0.40000,-8.98100,0.42900,-8.71700,0.73100,-8.91200,0.64800,-8.74600,0.48400,15,-9999,-9999,-9999,30705960,27.76000,9.65000
3.82500,98.72500,Medan,0,0.02070,0.00000,0.02070,0.00000,0.02390,0.00000,0.02610,175.00000,-9.77300,0.34100,-9.35300,0.45300,-9.77000,0.38300,-10.89000,4.32100,-9.60400,0.37900,-9.29900,0.17100,-9.53800,0.33300,-9.67100,0.24500,-12.70000,0.29200,-12.97900,0.37000,-12.78600,0.22700,-13.04000,0.35800,-12.81800,0.28500,-12.87100,0.29300,-12.83600,0.32300,-12.60100,0.30100,-12.72100,0.33700,-12.35200,0.34100,-12.31300,0.35500,-10.88900,0.55400,-10.48200,0.51200,-10.58500,0.63000,-10.56700,0.49200,-10.47400,0.64900,-10.59500,0.49800,-10.27600,0.65300,-10.34300,0.68600,-10.26100,0.71400,-10.05200,0.67500,-10.07700,0.63700,-9.84300,0.95500,-10.25100,0.83500,-9.72200,0.68100,98,-9999,-9999,-9999,30705960,2.89000,8.99000
3.82500,98.77500,Medan,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9.77300,0.34100,-9.35300,0.45300,-9.77000,0.38300,-10.89000,4.32100,-9.60400,0.37900,-9.29900,0.17100,-9.53800,0.33300,-9.67100,0.24500,-12.89800,0.29000,-13.25700,0.36700,-12.97300,0.28700,-13.21000,0.38200,-12.94500,0.25600,-13.01000,0.29900,-12.98700,0.29200,-12.76000,0.29700,-12.88800,0.34200,-12.57400,0.38000,-12.54000,0.37100,-11.28100,0.68100,-10.55100,0.66800,-10.75600,0.84100,-10.54700,0.57100,-10.39700,0.70000,-10.57200,0.71100,-10.31100,0.77400,-10.29600,0.76800,-10.19200,0.83000,-9.90400,0.75300,-10.08100,0.77000,-9.79100,1.13600,-10.39200,0.92700,-9.72300,0.80800,100,-9999,-9999,-9999,30705960,-9999.00000,-9999.00000
3.82500,98.82500,Medan,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,30705960,-9999.00000,-9999.00000
3.82500,98.87500,Medan,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,30705960,1.00000,10.48000
