latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
6.52500,-75.82500,Medellin,1,0.04150,3850.00000,0.04150,5867.00000,0.04780,6709.00000,0.06600,9553.00000,-8.59000,0.26100,-8.72900,0.20000,-8.29300,0.20700,-8.54800,0.21000,-8.89000,0.32100,-8.24500,0.19200,-8.31700,0.14500,-8.33700,0.10600,-9.46200,0.18200,-9.47600,0.25600,-10.08000,0.31100,-10.09200,0.27100,-9.63700,0.28900,-9.57600,0.29800,-9.64900,0.25600,-9.57800,0.31100,-9.38400,0.20200,-9.29800,0.19600,-9.57000,0.22900,-7.80400,0.26100,-7.69100,0.21300,-8.00100,0.20100,-7.47600,0.19100,-7.83000,0.18300,-8.11000,0.29100,-7.94400,0.25200,-8.32300,0.30000,-8.31800,0.30900,-8.10500,0.38600,-7.94800,0.22600,-7.97500,0.47400,-8.18400,0.39100,-7.63900,0.32700,0,-9999,-9999,-9999,30578630,21.47000,8.19000
6.52500,-75.77500,Medellin,1,0.02700,2046.00000,0.02700,3118.00000,0.03560,3951.00000,0.06970,3893.00000,-8.64100,0.26300,-8.80200,0.19400,-8.34400,0.20700,-8.58900,0.21300,-8.92200,0.33400,-8.27600,0.17400,-8.36100,0.14400,-8.38200,0.10500,-9.61300,0.19700,-9.57700,0.23600,-10.21700,0.29600,-10.22400,0.25700,-9.78300,0.30200,-9.68600,0.31000,-9.78900,0.25800,-9.72000,0.27900,-9.54000,0.16700,-9.45600,0.14900,-9.77200,0.24100,-8.01100,0.25800,-7.85100,0.24200,-8.23800,0.22200,-7.64100,0.17600,-7.99800,0.21100,-8.35500,0.30400,-8.13400,0.26900,-8.46200,0.29900,-8.50500,0.34200,-8.25800,0.37700,-8.09400,0.21600,-8.20600,0.47300,-8.35200,0.38300,-7.79500,0.26100,0,-9999,-9999,-9999,30578630,27.07000,8.87000
6.52500,-75.72500,Medellin,0,0.00610,1090.00000,0.00610,1660.00000,0.00780,1867.00000,0.00940,1320.00000,-8.71300,0.26700,-8.90600,0.18500,-8.41600,0.20700,-8.64600,0.21800,-8.96500,0.35200,-8.32000,0.14800,-8.42200,0.14200,-8.44500,0.10300,-9.82400,0.21600,-9.74700,0.24600,-10.34500,0.27200,-10.36000,0.24800,-9.97300,0.27500,-9.86700,0.30600,-9.98000,0.27200,-9.91300,0.25200,-9.77300,0.16800,-9.66600,0.14100,-10.00400,0.20800,-8.23000,0.28800,-8.07100,0.30300,-8.45200,0.24100,-7.87000,0.19800,-8.25000,0.23700,-8.54900,0.28300,-8.37000,0.26700,-8.63100,0.26900,-8.66700,0.32900,-8.42100,0.35400,-8.31200,0.21400,-8.41300,0.44300,-8.54300,0.34400,-8.04700,0.29100,0,-9999,-9999,-9999,30578630,37.95000,10.25000
6.52500,-75.67500,Medellin,0,0.00000,6.00000,0.00000,10.00000,0.00040,81.00000,0.00170,85.00000,-8.82200,0.27200,-9.01700,0.17900,-8.53900,0.21100,-8.73100,0.21500,-9.03600,0.32700,-8.39400,0.13500,-8.52900,0.14500,-8.53600,0.10500,-10.10500,0.23200,-9.98800,0.25700,-10.48200,0.26800,-10.53100,0.23700,-10.23300,0.23500,-10.12000,0.30500,-10.23700,0.28000,-10.20200,0.22200,-10.08000,0.18300,-9.95200,0.16300,-10.27700,0.15700,-8.49900,0.32900,-8.32900,0.32900,-8.66200,0.26900,-8.14600,0.19100,-8.54100,0.22100,-8.78100,0.26200,-8.63900,0.25400,-8.82300,0.25400,-8.89800,0.30500,-8.67900,0.30500,-8.57300,0.26300,-8.65500,0.43200,-8.78800,0.29200,-8.41600,0.29400,0,-9999,-9999,-9999,30578630,48.77000,10.28000
6.52500,-75.62500,Medellin,1,0.00040,89.00000,0.00040,135.00000,0.00470,821.00000,0.01320,1206.00000,-8.87300,0.27300,-9.05800,0.17800,-8.60000,0.21300,-8.77700,0.21000,-9.07500,0.30700,-8.44100,0.13000,-8.58600,0.14600,-8.58400,0.10500,-10.45100,0.26300,-10.31700,0.25300,-10.63700,0.26800,-10.75500,0.24300,-10.54600,0.19200,-10.43800,0.31800,-10.54600,0.27900,-10.55000,0.21800,-10.42800,0.18800,-10.29400,0.17600,-10.59500,0.15200,-8.99300,0.27000,-8.88300,0.34300,-9.15600,0.28900,-8.71100,0.20800,-8.91700,0.23900,-9.31600,0.29300,-9.15800,0.23900,-9.29800,0.29100,-9.34900,0.34700,-9.07400,0.24800,-9.13000,0.27400,-9.07500,0.34700,-9.14900,0.25200,-9.01800,0.29500,0,-9999,-9999,-9999,30578630,39.74000,10.60000
6.52500,-75.57500,Medellin,1,0.00030,111.00000,0.00030,168.00000,0.00300,1149.00000,0.01050,1417.00000,-8.96000,0.27300,-9.10900,0.17900,-8.70900,0.21600,-8.86500,0.19700,-9.15000,0.26200,-8.53500,0.12600,-8.69000,0.14700,-8.67100,0.10400,-10.66200,0.27600,-10.52700,0.25600,-10.73700,0.26200,-10.90300,0.25700,-10.75200,0.17400,-10.66200,0.33400,-10.74900,0.28900,-10.76800,0.24400,-10.63400,0.21400,-10.51400,0.17500,-10.79900,0.17000,-9.23400,0.21900,-9.16200,0.29500,-9.43500,0.31400,-8.99100,0.22400,-9.24100,0.21500,-9.56700,0.27600,-9.39200,0.20900,-9.56800,0.27000,-9.55500,0.29900,-9.28700,0.24900,-9.38000,0.23700,-9.34100,0.32300,-9.44200,0.32000,-9.27300,0.24700,0,-9999,-9999,-9999,30578630,40.18000,10.85000
6.52500,-75.52500,Medellin,1,0.00270,42.00000,0.00270,64.00000,0.00440,447.00000,0.01510,1650.00000,-8.99100,0.27100,-9.10000,0.17800,-8.77900,0.21700,-8.93200,0.18000,-9.20200,0.22700,-8.61100,0.12400,-8.75900,0.15200,-8.72100,0.09900,-10.71900,0.27200,-10.64200,0.28800,-10.76500,0.28300,-10.95900,0.25600,-10.86100,0.16400,-10.78900,0.31400,-10.85300,0.27800,-10.86300,0.26800,-10.72600,0.24100,-10.64300,0.17000,-10.90200,0.17400,-9.31200,0.21500,-9.22900,0.27600,-9.48800,0.31600,-9.08400,0.23100,-9.34100,0.20300,-9.64100,0.24300,-9.44600,0.22600,-9.63900,0.30000,-9.59800,0.29900,-9.34600,0.25000,-9.41800,0.22500,-9.40200,0.35900,-9.54900,0.34300,-9.35000,0.23700,0,-9999,-9999,-9999,30578630,41.04000,10.85000
6.52500,-75.47500,Medellin,1,0.00010,602.00000,0.00010,917.00000,0.00080,1445.00000,0.03910,9356.00000,-9.00300,0.27000,-9.08700,0.17700,-8.81500,0.21600,-8.96900,0.16900,-9.22500,0.20500,-8.65600,0.12200,-8.79400,0.15500,-8.74600,0.09500,-10.64700,0.26600,-10.60000,0.29500,-10.69100,0.29200,-10.90700,0.27000,-10.80900,0.16800,-10.75600,0.26500,-10.80600,0.24400,-10.81800,0.28400,-10.67500,0.26600,-10.63500,0.17700,-10.85500,0.19400,-9.27100,0.25100,-9.20400,0.28500,-9.42600,0.31700,-9.08400,0.23600,-9.31800,0.20500,-9.61000,0.21900,-9.43500,0.24300,-9.60600,0.30200,-9.54400,0.27600,-9.32400,0.25700,-9.41300,0.22400,-9.34900,0.39300,-9.53800,0.34800,-9.31500,0.25200,0,-9999,-9999,-9999,30578630,41.66000,10.71000
6.52500,-75.42500,Medellin,1,0.00400,1948.00000,0.00400,2969.00000,0.00570,3861.00000,0.03040,6430.00000,-8.97400,0.26700,-9.00600,0.17000,-8.83000,0.20600,-9.00500,0.14000,-9.20600,0.15700,-8.73400,0.11100,-8.79600,0.15700,-8.74100,0.08700,-10.41500,0.27600,-10.37800,0.28500,-10.47600,0.28900,-10.68300,0.27500,-10.57800,0.16100,-10.53200,0.22000,-10.57200,0.18900,-10.55800,0.24100,-10.44200,0.27100,-10.41800,0.20700,-10.61000,0.19800,-9.01200,0.28400,-8.95300,0.28200,-9.18700,0.28200,-8.90700,0.22700,-9.11700,0.23000,-9.33500,0.25600,-9.23200,0.28200,-9.37500,0.30700,-9.29800,0.25400,-9.09900,0.28000,-9.27500,0.23100,-9.12300,0.40600,-9.32100,0.34400,-9.06200,0.28400,0,-9999,-9999,-9999,30578630,39.10000,10.52000
6.52500,-75.37500,Medellin,1,0.00160,407.00000,0.00160,621.00000,0.00230,964.00000,0.00600,1071.00000,-8.93300,0.25800,-8.93600,0.15900,-8.80000,0.19500,-8.98700,0.13000,-9.14400,0.13700,-8.73300,0.10300,-8.75400,0.15700,-8.70900,0.08500,-10.13400,0.25100,-10.07400,0.26800,-10.21700,0.26500,-10.39000,0.25500,-10.26200,0.15800,-10.24900,0.22000,-10.25600,0.16800,-10.26800,0.21200,-10.16900,0.25400,-10.14400,0.25200,-10.31100,0.21600,-8.63300,0.27000,-8.60500,0.25000,-8.81600,0.25600,-8.58700,0.21900,-8.75300,0.24200,-8.96200,0.27500,-8.90100,0.28300,-8.99600,0.31400,-8.95000,0.27000,-8.72200,0.25300,-8.87600,0.25600,-8.72700,0.37300,-8.94000,0.32000,-8.70400,0.27900,0,-9999,-9999,-9999,30578630,36.75000,10.42000
