latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
24.72500,39.32500,Medina,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-8.94700,0.04700,-8.86800,0.04800,-8.90100,0.11800,-8.97900,0.21600,-8.86900,0.06500,-8.97700,0.19400,-8.98400,0.18900,-8.81800,0.07200,-10.86300,0.21800,-10.68600,0.17800,-10.76600,0.23700,-10.64200,0.15000,-10.80200,0.19000,-10.69600,0.18700,-10.82000,0.20500,-10.74700,0.18900,-10.76900,0.17900,-10.84100,0.17100,-10.95400,0.21400,-8.58000,0.18200,-8.54700,0.19400,-8.61600,0.22500,-8.62500,0.17400,-8.60000,0.20900,-8.58000,0.20800,-8.60500,0.22100,-8.52100,0.19800,-8.73400,0.24000,-8.69600,0.23900,-8.57900,0.25100,-8.60200,0.37400,-8.67300,0.26800,-8.63200,0.28700,0,-9999,-9999,-9999,28017202,-9999,-9999
24.72500,39.37500,Medina,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-8.85500,0.05100,-8.78000,0.04400,-8.81200,0.11700,-8.87100,0.21500,-8.77600,0.06900,-8.87700,0.19700,-8.89300,0.20600,-8.72100,0.06900,-10.43600,0.25800,-10.22400,0.16300,-10.26800,0.21100,-10.19800,0.12800,-10.32300,0.17500,-10.23300,0.18000,-10.37600,0.20800,-10.29800,0.18700,-10.30400,0.17500,-10.36800,0.16200,-10.51200,0.21600,-8.23800,0.12400,-8.23300,0.12200,-8.30700,0.13300,-8.34200,0.12600,-8.27900,0.13700,-8.27600,0.11100,-8.25300,0.16000,-8.25700,0.11000,-8.34500,0.13100,-8.34100,0.13800,-8.27900,0.15500,-8.28600,0.31900,-8.37200,0.17400,-8.29600,0.26800,0,-9999,-9999,-9999,28017202,-9999,-9999
24.72500,39.42500,Medina,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-8.59700,0.06500,-8.54300,0.03800,-8.56200,0.11300,-8.58400,0.20300,-8.51700,0.07900,-8.60400,0.19900,-8.64000,0.25600,-8.45500,0.05600,-10.04500,0.29400,-9.81000,0.15300,-9.81500,0.17200,-9.78700,0.12600,-9.87600,0.17200,-9.77600,0.16000,-9.95400,0.21400,-9.87900,0.19600,-9.87900,0.19400,-9.91700,0.16500,-10.07400,0.20600,-8.13200,0.12700,-8.15000,0.12600,-8.22200,0.13500,-8.25900,0.13700,-8.21300,0.13200,-8.17900,0.10800,-8.19600,0.13600,-8.18700,0.10900,-8.27200,0.12100,-8.26600,0.13300,-8.18200,0.14800,-8.15800,0.28000,-8.24500,0.12800,-8.22400,0.25900,0,-9999,-9999,-9999,28017202,-9999,-9999
24.72500,39.47500,Medina,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-8.47100,0.06900,-8.43700,0.04200,-8.44000,0.10500,-8.46100,0.19000,-8.40000,0.07800,-8.48200,0.19100,-8.52600,0.27900,-8.33300,0.05200,-9.73400,0.28800,-9.47100,0.15800,-9.48300,0.15500,-9.46700,0.15000,-9.51100,0.17100,-9.42700,0.15500,-9.61500,0.18800,-9.55000,0.19600,-9.54300,0.19200,-9.56300,0.15600,-9.71200,0.17800,-8.05000,0.11900,-8.10100,0.13400,-8.16300,0.16600,-8.18200,0.15100,-8.16300,0.13300,-8.13000,0.12300,-8.16300,0.13400,-8.13600,0.12300,-8.22200,0.13600,-8.22700,0.14300,-8.13600,0.16700,-8.10100,0.26200,-8.16500,0.15200,-8.20600,0.26100,0,-9999,-9999,-9999,28017202,-9999,-9999
24.72500,39.52500,Medina,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-8.27600,0.07500,-8.27500,0.04800,-8.25300,0.09300,-8.27100,0.17000,-8.21900,0.07700,-8.29400,0.17900,-8.35100,0.31400,-8.14600,0.04700,-9.54300,0.25100,-9.25100,0.16000,-9.28100,0.15200,-9.27000,0.16900,-9.28400,0.17900,-9.20000,0.16100,-9.39900,0.16600,-9.33800,0.18600,-9.32100,0.16800,-9.34000,0.14200,-9.46800,0.17500,-7.95400,0.13000,-8.04700,0.14300,-8.07700,0.19900,-8.08900,0.16800,-8.10400,0.12900,-8.05400,0.16000,-8.09900,0.14400,-8.09100,0.15900,-8.17100,0.14400,-8.18700,0.16300,-8.09900,0.17700,-8.04900,0.23100,-8.06600,0.18200,-8.17000,0.26400,0,-9999,-9999,-9999,28017202,-9999,-9999
24.72500,39.57500,Medina,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.00000,-8.16400,0.07100,-8.17900,0.06400,-8.14300,0.08100,-8.16400,0.15700,-8.11800,0.06900,-8.19300,0.15900,-8.25400,0.31900,-8.04500,0.05100,-9.44900,0.20800,-9.12900,0.16000,-9.18000,0.15800,-9.18500,0.17500,-9.15900,0.18400,-9.07700,0.17900,-9.28300,0.16200,-9.24400,0.17000,-9.20200,0.14000,-9.22700,0.15300,-9.33700,0.19400,-7.81200,0.15200,-7.90900,0.16300,-7.92800,0.19600,-7.94700,0.20200,-7.96000,0.14200,-7.92100,0.18900,-7.94800,0.16200,-7.98100,0.17600,-8.06000,0.15600,-8.07800,0.19100,-8.03500,0.18500,-7.97000,0.22500,-7.92800,0.18500,-8.07500,0.24200,0,-9999,-9999,-9999,28017202,-9999,-9999
24.72500,39.62500,Medina,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.00000,-8.08100,0.06800,-8.10800,0.07600,-8.06200,0.07200,-8.08500,0.14800,-8.04400,0.06400,-8.11900,0.14500,-8.18300,0.32300,-7.97000,0.05300,-9.42400,0.19100,-9.06300,0.15800,-9.15700,0.17700,-9.16500,0.16900,-9.11100,0.18300,-9.02600,0.19200,-9.23000,0.16800,-9.21700,0.14900,-9.16100,0.13900,-9.18600,0.17400,-9.28600,0.20300,-7.63700,0.16900,-7.69600,0.15100,-7.75700,0.20400,-7.77200,0.20900,-7.74700,0.13800,-7.71900,0.17300,-7.72000,0.15300,-7.79200,0.17700,-7.85600,0.17000,-7.90800,0.21600,-7.88800,0.19800,-7.81400,0.24100,-7.75900,0.17600,-7.88900,0.21900,0,-9999,-9999,-9999,28017202,-9999,-9999
24.72500,39.67500,Medina,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-8.06700,0.05500,-8.09400,0.09100,-8.04200,0.07000,-8.07700,0.13800,-8.03900,0.05000,-8.11600,0.12300,-8.18400,0.31400,-7.98100,0.07100,-9.43900,0.20000,-9.04200,0.15600,-9.17200,0.19500,-9.17700,0.16900,-9.12400,0.18100,-9.03400,0.20000,-9.22300,0.16000,-9.21800,0.14000,-9.17600,0.15800,-9.18300,0.19600,-9.28200,0.20700,-7.49600,0.18100,-7.51600,0.12400,-7.63000,0.22200,-7.61300,0.19500,-7.59500,0.13200,-7.54600,0.16200,-7.56900,0.15200,-7.63700,0.16700,-7.69200,0.17800,-7.76800,0.19000,-7.74600,0.21000,-7.63800,0.24400,-7.64200,0.18600,-7.71800,0.21200,0,-9999,-9999,-9999,28017202,-9999,-9999
24.72500,39.72500,Medina,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-8.07300,0.05000,-8.09600,0.09800,-8.04100,0.07000,-8.08700,0.13400,-8.04800,0.04600,-8.12700,0.11500,-8.19600,0.30900,-7.99900,0.07900,-9.49500,0.21200,-9.05200,0.15500,-9.23100,0.20900,-9.21600,0.18600,-9.17600,0.17000,-9.08600,0.19400,-9.25400,0.15400,-9.25800,0.13900,-9.23100,0.19400,-9.22700,0.18500,-9.34500,0.20600,-7.34100,0.15300,-7.32800,0.10300,-7.44500,0.18700,-7.46600,0.15700,-7.43000,0.10300,-7.38200,0.14400,-7.42200,0.11900,-7.41100,0.12700,-7.53900,0.16700,-7.62500,0.12600,-7.51600,0.14900,-7.47900,0.25500,-7.51600,0.19500,-7.52900,0.21200,0,-9999,-9999,-9999,28017202,-9999,-9999
24.72500,39.77500,Medina,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-8.22300,0.04300,-8.23700,0.10100,-8.16800,0.07800,-8.25000,0.12300,-8.19900,0.04100,-8.27600,0.10300,-8.35100,0.28400,-8.17800,0.10700,-9.59100,0.24000,-9.13500,0.13400,-9.33700,0.22100,-9.29000,0.18300,-9.28500,0.14900,-9.18700,0.20300,-9.33800,0.14500,-9.35800,0.15200,-9.33300,0.19700,-9.32000,0.16500,-9.45500,0.18700,-7.37900,0.17000,-7.34700,0.13500,-7.45300,0.20200,-7.48300,0.16500,-7.47900,0.13600,-7.43900,0.17000,-7.46500,0.13400,-7.44900,0.15100,-7.56400,0.15200,-7.63600,0.13400,-7.53700,0.15800,-7.48000,0.27500,-7.54300,0.20100,-7.55000,0.22100,0,-9999,-9999,-9999,28017202,-9999,-9999
