latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
29.27500,77.47500,Meerut,1,0.00730,160190.00000,0.01960,286537.00000,0.02290,358584.00000,0.03130,467527.00000,-9.21600,0.35600,-8.78000,0.54300,-8.66200,0.39900,-8.97500,0.37600,-8.86700,0.35800,-8.54000,0.22000,-8.95800,0.24600,-8.95200,0.46800,-10.58200,0.30200,-10.53700,0.25800,-10.64400,0.36700,-10.68900,0.49300,-10.43000,0.24500,-10.78200,0.29200,-10.44600,0.35500,-10.57400,0.31300,-10.46700,0.31500,-10.45500,0.32300,-10.63800,0.43000,-8.94100,0.30800,-8.93800,0.29800,-9.05300,0.36800,-8.47600,0.35200,-8.71000,0.27700,-8.81600,0.38400,-8.64800,0.26900,-9.01500,0.32000,-8.94600,0.42900,-8.75100,0.25800,-8.80200,0.24100,-8.46900,0.57000,-8.84000,0.43000,-8.79900,0.35000,0,-9999.00000,-9999.00000,-9999.00000,26928620,8.53000,2.76000
29.27500,77.52500,Meerut,0,0.00270,0.00000,0.00410,0.00000,0.00510,0.00000,0.00760,0.00000,-9.15800,0.35900,-8.72200,0.56600,-8.62100,0.36700,-8.89600,0.37300,-8.79100,0.35800,-8.46600,0.23100,-8.86000,0.24500,-8.87500,0.45800,-10.59400,0.29200,-10.56400,0.26900,-10.63100,0.35600,-10.66700,0.49500,-10.45300,0.25700,-10.78600,0.27500,-10.43300,0.34000,-10.53800,0.31000,-10.44400,0.29300,-10.46200,0.31700,-10.61600,0.43600,-8.92500,0.32100,-8.95200,0.28600,-9.06400,0.37200,-8.47000,0.35200,-8.70000,0.28500,-8.80900,0.38300,-8.59700,0.27800,-9.00200,0.31700,-8.92500,0.41500,-8.74300,0.25500,-8.76900,0.23900,-8.43100,0.53700,-8.80800,0.43900,-8.78400,0.33800,0,-9999.00000,-9999.00000,-9999.00000,26928620,9.67000,2.92000
29.27500,77.57500,Meerut,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9.13600,0.36000,-8.70400,0.57200,-8.62000,0.34700,-8.86700,0.37100,-8.76800,0.34900,-8.43500,0.24900,-8.82200,0.24400,-8.84900,0.45000,-10.58200,0.28100,-10.54500,0.25200,-10.60100,0.34900,-10.59300,0.47400,-10.43700,0.26900,-10.74200,0.25000,-10.39800,0.31700,-10.49900,0.31200,-10.40400,0.28500,-10.44800,0.29700,-10.58700,0.41200,-8.89500,0.33000,-8.93000,0.27100,-9.05100,0.37800,-8.46300,0.34400,-8.68600,0.28800,-8.78800,0.37100,-8.53800,0.28600,-8.96300,0.32000,-8.87600,0.39800,-8.72700,0.25700,-8.72900,0.24700,-8.39200,0.50300,-8.77700,0.43000,-8.76900,0.32900,0,-9999.00000,-9999.00000,-9999.00000,26928620,8.66000,2.71000
29.27500,77.62500,Meerut,0,0.00010,0.00000,0.00030,756.00000,0.00040,797.00000,0.00050,329.00000,-9.10900,0.35700,-8.68000,0.57900,-8.61600,0.31900,-8.82800,0.37100,-8.73700,0.33900,-8.39600,0.26300,-8.77200,0.24300,-8.81100,0.44100,-10.54000,0.26600,-10.50300,0.22100,-10.53800,0.33400,-10.48400,0.45000,-10.39700,0.27400,-10.66900,0.23500,-10.34100,0.30600,-10.43000,0.30500,-10.34900,0.30000,-10.42500,0.26500,-10.55600,0.36700,-8.86200,0.32500,-8.86500,0.28500,-9.00900,0.37700,-8.44000,0.32900,-8.67000,0.28600,-8.76200,0.35000,-8.48400,0.27900,-8.90500,0.32600,-8.81800,0.38000,-8.68500,0.27300,-8.69200,0.25600,-8.36600,0.49900,-8.75400,0.41300,-8.75600,0.31700,0,-9999.00000,-9999.00000,-9999.00000,26928620,11.20000,3.07000
29.27500,77.67500,Meerut,0,0.00230,638.00000,0.00340,418.00000,0.00350,488.00000,0.00380,1966.00000,-9.11400,0.35600,-8.68900,0.56600,-8.63300,0.29900,-8.83100,0.37100,-8.74500,0.32700,-8.40700,0.23600,-8.76400,0.24700,-8.81500,0.43100,-10.49600,0.26000,-10.44900,0.21200,-10.45100,0.31800,-10.36000,0.42000,-10.34700,0.26300,-10.58100,0.22400,-10.27000,0.31600,-10.35700,0.29200,-10.28500,0.30400,-10.39200,0.24400,-10.51200,0.32400,-8.82700,0.31100,-8.78900,0.30900,-8.96100,0.36700,-8.39100,0.31000,-8.65400,0.28100,-8.73200,0.33600,-8.44500,0.26800,-8.86100,0.32400,-8.77000,0.36600,-8.63500,0.29100,-8.66800,0.25000,-8.34900,0.51700,-8.74200,0.39700,-8.74900,0.30800,0,-9999.00000,-9999.00000,-9999.00000,26928620,12.48000,3.16000
29.27500,77.72500,Meerut,1,0.02700,162753.00000,0.05090,205505.00000,0.05200,245160.00000,0.05860,295665.00000,-9.12000,0.35300,-8.69600,0.55200,-8.64600,0.28100,-8.83200,0.37000,-8.75300,0.31800,-8.41600,0.21200,-8.75700,0.25100,-8.81900,0.42300,-10.45600,0.26000,-10.40700,0.22100,-10.37800,0.31100,-10.25400,0.39200,-10.32400,0.24400,-10.51300,0.21000,-10.21100,0.32200,-10.30200,0.28800,-10.25100,0.29700,-10.37400,0.21900,-10.47700,0.29700,-8.79100,0.29000,-8.73800,0.31500,-8.92200,0.35600,-8.35900,0.30800,-8.63900,0.27700,-8.70000,0.32400,-8.42500,0.26000,-8.82600,0.31200,-8.73400,0.35600,-8.60100,0.30200,-8.65200,0.23900,-8.35700,0.53300,-8.73900,0.38000,-8.73300,0.30700,0,-9999.00000,-9999.00000,-9999.00000,26928620,10.40000,2.82000
29.27500,77.77500,Meerut,1,0.00530,3719.00000,0.01080,4225.00000,0.01120,4934.00000,0.01290,6671.00000,-9.15000,0.35300,-8.75000,0.53300,-8.68900,0.27700,-8.88500,0.37400,-8.81700,0.30900,-8.46400,0.18000,-8.80000,0.25900,-8.85700,0.41200,-10.45100,0.26600,-10.38500,0.23200,-10.35800,0.31200,-10.20800,0.37900,-10.33600,0.23000,-10.49400,0.20900,-10.20000,0.31000,-10.26400,0.29200,-10.25800,0.28400,-10.38100,0.21800,-10.47300,0.27100,-8.76400,0.27000,-8.71100,0.31100,-8.90100,0.34200,-8.35700,0.30500,-8.63400,0.27300,-8.67700,0.31800,-8.41700,0.25200,-8.79200,0.29800,-8.71500,0.34100,-8.59100,0.30300,-8.64200,0.23400,-8.38600,0.53900,-8.74800,0.37300,-8.71900,0.30700,0,-9999.00000,-9999.00000,-9999.00000,26928620,12.23000,3.10000
29.27500,77.82500,Meerut,0,0.00000,0.00000,0.00000,190.00000,0.00000,222.00000,0.00010,11.00000,-9.16900,0.35100,-8.78500,0.52100,-8.71900,0.27300,-8.92300,0.38000,-8.86000,0.30400,-8.49800,0.15800,-8.82800,0.26300,-8.88100,0.40600,-10.49300,0.26400,-10.41300,0.23900,-10.40600,0.30700,-10.24200,0.36900,-10.39900,0.23800,-10.53400,0.22200,-10.25600,0.29100,-10.28300,0.30000,-10.31700,0.28400,-10.43800,0.24300,-10.49500,0.24200,-8.75100,0.26200,-8.72000,0.29900,-8.91000,0.32700,-8.38200,0.29100,-8.64300,0.27400,-8.67200,0.31800,-8.42000,0.24700,-8.77400,0.29000,-8.71300,0.31600,-8.59200,0.29700,-8.65600,0.23200,-8.42300,0.53400,-8.76300,0.38500,-8.71900,0.29700,0,-9999.00000,-9999.00000,-9999.00000,26928620,12.08000,3.10000
29.27500,77.87500,Meerut,0,0.00000,0.00000,0.00000,190.00000,0.00000,222.00000,0.00010,0.00000,-9.20100,0.33100,-8.87500,0.50000,-8.78900,0.27400,-9.00600,0.39400,-8.94600,0.29900,-8.56300,0.14900,-8.89100,0.26300,-8.93400,0.39300,-10.59000,0.26300,-10.50500,0.24500,-10.51400,0.30600,-10.35700,0.36600,-10.53600,0.26700,-10.63400,0.22500,-10.37800,0.29700,-10.36000,0.30200,-10.43200,0.29200,-10.54200,0.26700,-10.56900,0.23100,-8.76700,0.25200,-8.75900,0.29100,-8.94400,0.31600,-8.41900,0.26800,-8.66500,0.27900,-8.69400,0.33100,-8.44200,0.24300,-8.77700,0.29500,-8.73000,0.28800,-8.60600,0.29300,-8.68000,0.23500,-8.45300,0.53000,-8.79300,0.37500,-8.73400,0.28700,0,-9999.00000,-9999.00000,-9999.00000,26928620,13.26000,3.18000
29.27500,77.92500,Meerut,0,0.01000,170575.00000,0.01380,154000.00000,0.01410,174338.00000,0.01590,156450.00000,-9.21600,0.31900,-8.91500,0.48900,-8.82200,0.27300,-9.04700,0.40400,-8.98400,0.29800,-8.59300,0.14400,-8.91800,0.26100,-8.95900,0.38900,-10.73000,0.26300,-10.66300,0.26000,-10.67000,0.27900,-10.53100,0.38200,-10.69400,0.26700,-10.77300,0.21400,-10.53100,0.29700,-10.46700,0.28700,-10.56600,0.30800,-10.67400,0.27700,-10.67300,0.23500,-8.82000,0.23100,-8.81400,0.28400,-9.03700,0.32800,-8.47000,0.25500,-8.70700,0.28100,-8.76400,0.37700,-8.49500,0.25300,-8.82600,0.32100,-8.77000,0.27500,-8.64800,0.29400,-8.71300,0.23700,-8.48900,0.50000,-8.83400,0.36300,-8.76900,0.28300,0,-9999.00000,-9999.00000,-9999.00000,26928620,11.90000,3.19000
