latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JFM_mean,ERS1993_JFM_std,ERS1994_JFM_mean,ERS1994_JFM_std,ERS1995_JFM_mean,ERS1995_JFM_std,ERS1996_JFM_mean,ERS1996_JFM_std,ERS1997_JFM_mean,ERS1997_JFM_std,ERS1998_JFM_mean,ERS1998_JFM_std,ERS1999_JFM_mean,ERS1999_JFM_std,ERS2000_JFM_mean,ERS2000_JFM_std,QSCAT1999_JFM_mean,QSCAT1999_JFM_std,QSCAT2000_JFM_mean,QSCAT2000_JFM_std,QSCAT2001_JFM_mean,QSCAT2001_JFM_std,QSCAT2002_JFM_mean,QSCAT2002_JFM_std,QSCAT2003_JFM_mean,QSCAT2003_JFM_std,QSCAT2004_JFM_mean,QSCAT2004_JFM_std,QSCAT2005_JFM_mean,QSCAT2005_JFM_std,QSCAT2006_JFM_mean,QSCAT2006_JFM_std,QSCAT2007_JFM_mean,QSCAT2007_JFM_std,QSCAT2008_JFM_mean,QSCAT2008_JFM_std,QSCAT2009_JFM_mean,QSCAT2009_JFM_std,ASCAT2007_JFM_mean,ASCAT2007_JFM_std,ASCAT2008_JFM_mean,ASCAT2008_JFM_std,ASCAT2009_JFM_mean,ASCAT2009_JFM_std,ASCAT2010_JFM_mean,ASCAT2010_JFM_std,ASCAT2011_JFM_mean,ASCAT2011_JFM_std,ASCAT2012_JFM_mean,ASCAT2012_JFM_std,ASCAT2013_JFM_mean,ASCAT2013_JFM_std,ASCAT2014_JFM_mean,ASCAT2014_JFM_std,ASCAT2015_JFM_mean,ASCAT2015_JFM_std,ASCAT2016_JFM_mean,ASCAT2016_JFM_std,ASCAT2017_JFM_mean,ASCAT2017_JFM_std,ASCAT2018_JFM_mean,ASCAT2018_JFM_std,ASCAT2019_JFM_mean,ASCAT2019_JFM_std,ASCAT2020_JFM_mean,ASCAT2020_JFM_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
-37.57500,144.72500,Melbourne,2,0.14610,18328.00000,0.22530,22253.00000,0.25600,24965.00000,0.29830,31337.00000,-10.98200,0.26400,-11.80300,0.35200,-11.26200,0.31200,-11.04500,0.29600,-12.33500,0.44700,-11.56300,0.31500,-10.74900,0.29500,-10.75600,0.38400,-9999.00000,-9999.00000,-12.96900,0.39800,-13.34600,0.36900,-13.07100,0.39800,-13.89800,0.38800,-13.57300,0.40600,-12.62400,0.49100,-13.20800,0.40100,-13.54900,0.39300,-12.96400,0.44900,-13.13600,0.43900,-12.46700,0.56400,-12.01000,0.58700,-12.28500,0.51600,-11.56700,0.60200,-10.71600,0.67600,-11.34800,0.54700,-11.67700,0.55100,-11.88700,0.38200,-11.65100,0.48900,-11.78800,0.46400,-11.30500,0.51500,-11.39800,0.47500,-11.54000,0.34400,-10.58700,0.60600,0,-9999,-9999,-9999,24510944,10.27000,4.21000
-37.57500,144.77500,Melbourne,1,0.03360,3053.00000,0.05650,3872.00000,0.06320,4316.00000,0.07330,5329.00000,-10.78500,0.25700,-11.55600,0.32800,-11.00500,0.31900,-10.78900,0.30800,-12.08200,0.43900,-11.24000,0.31400,-10.49800,0.27800,-10.48700,0.37600,-9999.00000,-9999.00000,-12.68500,0.35900,-12.99600,0.37100,-12.76400,0.42900,-13.59700,0.42600,-13.24800,0.40800,-12.28100,0.50200,-12.84000,0.46000,-13.19100,0.39400,-12.61300,0.50000,-12.73700,0.48500,-12.64900,0.64500,-12.15500,0.65500,-12.47200,0.50400,-11.63700,0.66100,-10.75900,0.69000,-11.39500,0.58900,-11.76400,0.61300,-11.91300,0.46600,-11.77400,0.54500,-11.80100,0.51100,-11.25300,0.55100,-11.37500,0.53500,-11.51000,0.41700,-10.52800,0.63200,0,-9999,-9999,-9999,24510944,9.31000,4.35000
-37.57500,144.82500,Melbourne,1,0.00300,59.00000,0.00810,50.00000,0.00970,52.00000,0.01500,73.00000,-10.52900,0.24800,-11.23300,0.29800,-10.67100,0.32700,-10.45600,0.32300,-11.75200,0.43000,-10.81900,0.31200,-10.17200,0.25700,-10.13700,0.36500,-9999.00000,-9999.00000,-12.36300,0.28800,-12.61300,0.38000,-12.39300,0.44300,-13.22600,0.49300,-12.86300,0.40100,-11.90900,0.51000,-12.42200,0.49700,-12.77800,0.39600,-12.21800,0.52600,-12.31400,0.52400,-12.89000,0.76600,-12.41700,0.75500,-12.69600,0.51600,-11.78700,0.74600,-10.81200,0.68500,-11.38700,0.59600,-11.78100,0.67800,-11.84100,0.51800,-11.79200,0.60500,-11.69000,0.53200,-11.09700,0.57200,-11.18200,0.57300,-11.30900,0.46600,-10.34500,0.62400,0,-9999,-9999,-9999,24510944,9.90000,4.61000
-37.57500,144.87500,Melbourne,1,0.01020,529.00000,0.04320,952.00000,0.05940,1120.00000,0.10500,1294.00000,-10.35600,0.24200,-11.03600,0.28000,-10.46500,0.33400,-10.24100,0.32300,-11.51400,0.42400,-10.56300,0.31500,-9.97900,0.25100,-9.93400,0.35100,-9999.00000,-9999.00000,-12.06200,0.22800,-12.25400,0.40000,-12.03300,0.44900,-12.87200,0.52300,-12.47800,0.42700,-11.57100,0.49800,-12.05500,0.50100,-12.37300,0.41700,-11.85500,0.57100,-11.94500,0.55100,-12.75200,0.78500,-12.34500,0.77700,-12.52900,0.55300,-11.70800,0.76100,-10.67100,0.66000,-11.09200,0.52400,-11.38900,0.66700,-11.45800,0.48100,-11.33000,0.56700,-11.23000,0.48800,-10.65300,0.54200,-10.59200,0.50600,-10.68400,0.43900,-9.85300,0.56500,0,-9999,-9999,-9999,24510944,10.43000,4.66000
-37.57500,144.92500,Melbourne,2,0.04700,15251.00000,0.11430,18699.00000,0.16040,20845.00000,0.29730,26573.00000,-10.11800,0.23400,-10.76500,0.25600,-10.18100,0.34200,-9.94500,0.32400,-11.18600,0.41700,-10.21100,0.31800,-9.71400,0.24200,-9.65400,0.33200,-9999.00000,-9999.00000,-11.79100,0.21400,-11.95100,0.42200,-11.74600,0.43000,-12.52900,0.52200,-12.11900,0.46600,-11.30700,0.47500,-11.75800,0.49000,-12.04200,0.41200,-11.54900,0.59600,-11.62600,0.56300,-12.51700,0.73000,-12.08300,0.77100,-12.23100,0.57100,-11.46900,0.74400,-10.47000,0.66000,-10.82100,0.49100,-10.97700,0.65100,-11.14100,0.45600,-10.93400,0.51600,-10.92800,0.47900,-10.34600,0.51300,-10.16300,0.41700,-10.22500,0.43900,-9.49500,0.51200,0,-9999,-9999,-9999,24510944,11.03000,4.29000
-37.57500,144.97500,Melbourne,1,0.04780,50.00000,0.07610,54.00000,0.08990,90.00000,0.11100,173.00000,-10.00000,0.22900,-10.65100,0.24400,-10.06500,0.33500,-9.81300,0.31200,-11.00700,0.41100,-10.06100,0.31500,-9.60400,0.23800,-9.54700,0.31400,-9999.00000,-9999.00000,-11.62000,0.25000,-11.75000,0.44400,-11.54800,0.42000,-12.28000,0.52400,-11.88200,0.49600,-11.17400,0.46000,-11.58200,0.45700,-11.84700,0.41200,-11.38000,0.59000,-11.44300,0.56500,-12.38800,0.68900,-11.92100,0.76500,-12.12300,0.57500,-11.36200,0.76200,-10.41000,0.63400,-10.74600,0.51600,-10.86900,0.69700,-11.08900,0.42500,-10.92600,0.47300,-10.94600,0.48000,-10.36200,0.51900,-10.17700,0.44200,-10.25500,0.44800,-9.54000,0.52500,0,-9999,-9999,-9999,24510944,8.97000,4.30000
-37.57500,145.02500,Melbourne,1,0.01120,74.00000,0.03670,110.00000,0.03960,115.00000,0.05630,122.00000,-9.83000,0.22300,-10.48700,0.22500,-9.89600,0.32500,-9.62200,0.29500,-10.74700,0.40300,-9.84400,0.30900,-9.44500,0.23100,-9.39200,0.28900,-9999.00000,-9999.00000,-11.58200,0.31200,-11.68600,0.44900,-11.44700,0.42200,-12.14600,0.53200,-11.78600,0.50100,-11.16900,0.45300,-11.55300,0.43900,-11.82200,0.42300,-11.37700,0.55600,-11.43800,0.56100,-12.11800,0.64700,-11.64800,0.76300,-11.90400,0.61400,-11.21500,0.84300,-10.34800,0.62000,-10.62200,0.55900,-10.84800,0.70600,-11.02800,0.41600,-10.97900,0.47900,-10.95400,0.48800,-10.40300,0.53100,-10.23800,0.53900,-10.43500,0.50600,-9.61200,0.56500,0,-9999,-9999,-9999,24510944,10.26000,4.66000
-37.57500,145.07500,Melbourne,1,0.01180,1428.00000,0.05340,2297.00000,0.06170,2562.00000,0.12170,3469.00000,-9.78900,0.20900,-10.44100,0.22100,-9.87900,0.29700,-9.58900,0.26600,-10.65600,0.39900,-9.80700,0.29900,-9.42000,0.22500,-9.38200,0.26700,-9999.00000,-9999.00000,-11.63900,0.36300,-11.75200,0.43600,-11.46700,0.40500,-12.13200,0.51700,-11.82300,0.48900,-11.27800,0.42500,-11.66200,0.42100,-11.92600,0.41200,-11.48600,0.51400,-11.58300,0.53900,-11.75500,0.61200,-11.39600,0.73400,-11.63000,0.61000,-10.97300,0.87300,-10.18500,0.61700,-10.44800,0.56800,-10.74900,0.66900,-10.89400,0.43300,-10.92000,0.54400,-10.76300,0.52600,-10.34900,0.53400,-10.16000,0.63000,-10.55300,0.58000,-9.66100,0.59600,0,-9999,-9999,-9999,24510944,10.91000,4.93000
-37.57500,145.12500,Melbourne,1,0.00570,5967.00000,0.04310,7091.00000,0.06080,7954.00000,0.17900,9790.00000,-9.72800,0.18800,-10.37100,0.21400,-9.85400,0.25400,-9.54000,0.22200,-10.51800,0.39400,-9.75200,0.28400,-9.38300,0.21500,-9.36900,0.23300,-9999.00000,-9999.00000,-11.75100,0.40400,-11.89400,0.40100,-11.58700,0.39400,-12.21600,0.46500,-11.94300,0.47500,-11.45800,0.38200,-11.86100,0.38500,-12.09000,0.38200,-11.67100,0.48700,-11.82500,0.51900,-11.54500,0.59100,-11.24300,0.67400,-11.49000,0.54600,-10.83400,0.83100,-10.07800,0.55200,-10.37700,0.54000,-10.64900,0.60500,-10.82900,0.43200,-10.84400,0.57600,-10.64300,0.56600,-10.33200,0.53200,-10.12400,0.67700,-10.65600,0.60900,-9.80400,0.55400,7,-9999,-9999,-9999,24510944,16.66000,5.96000
-37.57500,145.17500,Melbourne,1,0.00030,107.00000,0.00230,245.00000,0.00250,270.00000,0.00280,315.00000,-9.75600,0.17200,-10.36400,0.21500,-9.91200,0.21600,-9.59200,0.19200,-10.50600,0.39400,-9.80400,0.27500,-9.42800,0.21200,-9.43700,0.21400,-9999.00000,-9999.00000,-11.89500,0.43400,-12.06900,0.36800,-11.75600,0.38800,-12.33900,0.41300,-12.11000,0.45500,-11.67900,0.33100,-12.09700,0.33600,-12.33100,0.36000,-11.92100,0.44600,-12.12200,0.48800,-11.34800,0.52600,-11.12900,0.63000,-11.46900,0.48900,-10.84000,0.77500,-10.15500,0.47600,-10.47400,0.47900,-10.78600,0.54100,-10.95500,0.40400,-10.97800,0.53400,-10.85500,0.54800,-10.54500,0.51400,-10.41500,0.64000,-10.87100,0.56500,-10.07900,0.47700,0,-9999,-9999,-9999,24510944,13.83000,5.67000
