latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
35.37500,-90.22500,Memphis,1,0.00090,21.00000,0.00110,22.00000,0.00110,22.00000,0.00120,22.00000,-9.26400,0.50200,-9.80600,1.42200,-9.19000,0.21900,-9.26200,0.76000,-9.38300,0.37200,-9.48000,0.46400,-9.60700,0.17700,-9.91400,0.15200,-11.25600,0.42700,-11.40200,0.35700,-11.21700,0.38000,-11.04300,0.56100,-10.92800,0.51000,-10.85600,0.45300,-10.94500,0.41500,-10.95100,0.39700,-11.17700,0.45000,-11.19300,0.41300,-11.00600,0.51300,-9.61000,0.39500,-9.66200,0.57500,-9.19200,0.68400,-9.72800,0.57900,-9.75100,0.58100,-9.53600,0.39000,-9.49600,0.66000,-9.53100,0.37700,-9.52600,0.47800,-9.58400,0.48300,-9.10600,0.52100,-9.00900,0.48000,-9.36900,0.54700,-9.15300,0.54000,0,0.00120,0.55730,0.05270,25204412,9.58000,3.32000
35.37500,-90.17500,Memphis,1,0.00020,23.00000,0.00020,24.00000,0.00020,24.00000,0.00020,24.00000,-9.24300,0.47900,-9.78400,1.41500,-9.16600,0.21400,-9.23100,0.77500,-9.35700,0.36200,-9.45100,0.45500,-9.57600,0.18300,-9.87000,0.15000,-11.09600,0.45100,-11.20500,0.36600,-11.03000,0.36200,-10.88500,0.49700,-10.78900,0.47500,-10.72700,0.46400,-10.79100,0.40600,-10.77600,0.32600,-11.06100,0.43200,-11.00700,0.36400,-10.79600,0.47900,-9.48000,0.34900,-9.49700,0.50900,-9.06100,0.63600,-9.51800,0.51400,-9.66400,0.53500,-9.44000,0.30600,-9.38500,0.59800,-9.40100,0.34800,-9.45500,0.43600,-9.36300,0.45500,-9.03900,0.46000,-8.96000,0.44700,-9.30700,0.51500,-9.06800,0.51700,0,0.00060,0.33990,0.01840,25204412,3.96000,2.42000
35.37500,-90.12500,Memphis,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9.17900,0.39100,-9.63400,1.13800,-9.10600,0.21400,-9.15900,0.77300,-9.29600,0.30500,-9.37300,0.41200,-9.47600,0.21500,-9.70200,0.13100,-10.93500,0.46000,-11.02200,0.36800,-10.84800,0.37000,-10.71100,0.44200,-10.65000,0.44600,-10.61400,0.46000,-10.65300,0.40000,-10.62300,0.29500,-10.89900,0.42500,-10.82200,0.33000,-10.59700,0.45400,-9.41700,0.32400,-9.42100,0.44200,-8.93700,0.53900,-9.38700,0.44100,-9.58300,0.47800,-9.38300,0.28100,-9.28500,0.52700,-9.28300,0.30500,-9.35700,0.38900,-9.18400,0.40500,-8.98400,0.41500,-8.90900,0.42400,-9.22800,0.43800,-9.00700,0.49900,5,0.00000,0.00000,0.00000,25204412,32.09000,5.72000
35.37500,-90.07500,Memphis,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9.16700,0.37300,-9.60200,1.07200,-9.09400,0.21400,-9.14600,0.77300,-9.28600,0.29400,-9.35900,0.40400,-9.45900,0.22200,-9.67000,0.12900,-10.84200,0.44600,-10.86000,0.40000,-10.68500,0.36100,-10.54300,0.39100,-10.52000,0.40700,-10.51400,0.46500,-10.53100,0.39700,-10.50600,0.27900,-10.76600,0.42200,-10.66600,0.29700,-10.43200,0.42100,-9.39200,0.31600,-9.38200,0.37800,-8.89400,0.50200,-9.30500,0.37300,-9.46400,0.32200,-9.36600,0.27500,-9.17000,0.39900,-9.20200,0.24900,-9.22400,0.33300,-9.08700,0.37700,-8.93000,0.37900,-8.86500,0.37600,-9.14200,0.37300,-8.92500,0.46200,1,0.00000,0.00000,0.00000,25204412,46.43000,6.39000
35.37500,-90.02500,Memphis,1,0.00000,159.00000,0.00000,161.00000,0.00000,173.00000,0.00000,192.00000,-9.12000,0.31400,-9.38600,0.46300,-9.07200,0.24400,-9.14100,0.70500,-9.27600,0.23800,-9.32700,0.39100,-9.41600,0.25800,-9.54700,0.11900,-10.76300,0.43600,-10.74500,0.42000,-10.54700,0.34000,-10.42700,0.37500,-10.40100,0.35300,-10.45200,0.44500,-10.42700,0.39100,-10.44900,0.27600,-10.66300,0.43700,-10.56800,0.28800,-10.30100,0.39600,-9.39100,0.31300,-9.37600,0.34400,-8.85400,0.45400,-9.28400,0.37200,-9.40400,0.25100,-9.40100,0.26800,-9.10700,0.34800,-9.17100,0.23300,-9.12900,0.30400,-9.03200,0.35200,-8.87300,0.35200,-8.83700,0.35000,-9.08100,0.33100,-8.87900,0.37700,0,0.00020,0.16030,0.00890,25204412,43.14000,6.68000
35.37500,-89.97500,Memphis,1,0.00000,1055.00000,0.00000,1194.00000,0.00000,1309.00000,0.00000,1412.00000,-9.11500,0.30500,-9.35800,0.37600,-9.07000,0.24700,-9.14400,0.69600,-9.27800,0.23100,-9.32500,0.39100,-9.41600,0.26400,-9.53300,0.11900,-10.76900,0.43600,-10.69300,0.43000,-10.46300,0.32700,-10.37900,0.37700,-10.32500,0.31600,-10.40500,0.43900,-10.36200,0.36200,-10.42600,0.28500,-10.60100,0.44900,-10.54600,0.29700,-10.24200,0.36200,-9.42700,0.31600,-9.41200,0.34200,-8.83700,0.42800,-9.30200,0.38500,-9.39300,0.24200,-9.46500,0.27000,-9.08400,0.34500,-9.16500,0.23200,-9.07100,0.30900,-9.01900,0.35200,-8.84400,0.34400,-8.84600,0.34800,-9.05000,0.31100,-8.82900,0.37000,0,0.00140,1.05680,0.04430,25204412,21.52000,6.02000
35.37500,-89.92500,Memphis,1,0.00080,1550.00000,0.00190,1759.00000,0.00350,1800.00000,0.00570,2065.00000,-9.07500,0.29900,-9.36000,0.32300,-9.07700,0.30000,-9.17700,0.62500,-9.29800,0.19200,-9.33000,0.40300,-9.43700,0.31100,-9.48200,0.13600,-10.77100,0.44500,-10.70500,0.44200,-10.39800,0.32700,-10.33800,0.38100,-10.25900,0.30200,-10.37500,0.42500,-10.29900,0.34400,-10.40100,0.29500,-10.53800,0.45600,-10.51300,0.31700,-10.19400,0.34000,-9.50200,0.31000,-9.50100,0.33400,-8.84800,0.42200,-9.33900,0.39500,-9.43000,0.24800,-9.54400,0.26800,-9.10100,0.37200,-9.17100,0.24300,-9.05200,0.32200,-9.02700,0.35800,-8.83900,0.32200,-8.87800,0.36400,-9.02400,0.31800,-8.81600,0.39400,0,0.00330,1.68490,0.15520,25204412,11.25000,4.54000
35.37500,-89.87500,Memphis,1,0.00260,1739.00000,0.00710,2062.00000,0.01230,2320.00000,0.01910,2005.00000,-9.07300,0.29800,-9.36400,0.31900,-9.07800,0.30400,-9.18300,0.61900,-9.30400,0.18900,-9.33300,0.40700,-9.44500,0.31600,-9.48100,0.13900,-10.81300,0.43200,-10.73800,0.46500,-10.39500,0.33200,-10.35300,0.38900,-10.22800,0.31400,-10.36900,0.43500,-10.25500,0.33800,-10.41200,0.30900,-10.55500,0.48500,-10.54700,0.33000,-10.21000,0.31200,-9.59300,0.30700,-9.60400,0.33000,-8.87200,0.43700,-9.38100,0.40200,-9.49300,0.23800,-9.61300,0.27100,-9.12800,0.39100,-9.17600,0.25200,-9.05500,0.33400,-9.04800,0.35400,-8.84800,0.30900,-8.89800,0.35900,-9.01700,0.34200,-8.83100,0.40700,0,0.00800,3.51100,0.40760,25204412,9.44000,3.76000
35.37500,-89.82500,Memphis,1,0.00040,1155.00000,0.00390,1440.00000,0.00480,1671.00000,0.00480,2004.00000,-9.01500,0.35100,-9.31100,0.39200,-9.08100,0.35600,-9.22100,0.57100,-9.33800,0.18500,-9.35000,0.44600,-9.52500,0.37100,-9.49900,0.18600,-10.88600,0.40300,-10.77000,0.51500,-10.41900,0.31800,-10.36400,0.39300,-10.22700,0.30700,-10.37800,0.44700,-10.23800,0.30800,-10.43700,0.30200,-10.59800,0.48500,-10.59100,0.33400,-10.23400,0.28300,-9.66000,0.33000,-9.66800,0.32900,-8.89400,0.43200,-9.42200,0.40800,-9.53100,0.23700,-9.65500,0.27900,-9.15100,0.40900,-9.17200,0.26200,-9.06400,0.34000,-9.06000,0.37800,-8.86200,0.29700,-8.91500,0.33700,-9.01900,0.33600,-8.87400,0.45200,0,0.00490,2.58860,0.21880,25204412,14.17000,4.94000
35.37500,-89.77500,Memphis,1,0.00080,902.00000,0.00290,1001.00000,0.00350,1088.00000,0.00370,1107.00000,-9.01200,0.35400,-9.30300,0.40900,-9.08000,0.35900,-9.22400,0.56900,-9.34200,0.18600,-9.35300,0.45100,-9.53700,0.37500,-9.50400,0.19100,-10.92100,0.40800,-10.82400,0.57200,-10.44900,0.33200,-10.38800,0.37200,-10.22900,0.30200,-10.37100,0.45700,-10.22300,0.30200,-10.45900,0.30400,-10.66800,0.50400,-10.65000,0.32500,-10.27900,0.25800,-9.72300,0.34800,-9.70800,0.33100,-8.90900,0.42900,-9.44600,0.41300,-9.55600,0.24000,-9.68600,0.28100,-9.16300,0.42600,-9.14700,0.28000,-9.08300,0.34000,-9.06900,0.40500,-8.87600,0.27900,-8.92500,0.31000,-9.02200,0.31600,-8.88800,0.46000,0,0.00330,2.31450,0.13430,25204412,9.45000,4.41000
