latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
33.67500,-111.97500,Mesa,2,0.03720,8448.00000,0.10610,12650.00000,0.19280,16406.00000,0.29680,22900.00000,-10.10700,0.17700,-10.12300,0.12400,-9.81700,0.22800,-10.11000,0.21700,-9.95400,0.14300,-9.81900,0.09400,-9.70400,0.11100,-9.63900,0.11000,-11.15900,0.18600,-10.81000,0.35000,-10.85500,0.24200,-10.67400,0.43400,-10.69300,0.38400,-10.48500,0.28500,-10.48400,0.35500,-10.45400,0.36700,-10.30500,0.36900,-10.40100,0.34200,-10.17500,0.37800,-9.47800,0.27000,-9.33400,0.33900,-9.20800,0.24200,-9.02000,0.25700,-9.15900,0.22700,-9.11900,0.25200,-9.18600,0.37800,-9.06800,0.30800,-9.14800,0.30900,-9.00100,0.42200,-9.08100,0.30600,-8.79000,0.59800,-8.78000,0.32000,-8.67800,0.44400,0,0.08740,7.21400,7.66330,25714644,1.06000,0.30000
33.67500,-111.92500,Mesa,1,0.01110,4754.00000,0.03530,6327.00000,0.15750,8097.00000,0.25600,11463.00000,-10.18700,0.15000,-10.23000,0.11300,-9.91700,0.24400,-10.27000,0.18800,-10.07700,0.16300,-9.98900,0.08900,-9.85500,0.13300,-9.83900,0.08000,-11.42000,0.17900,-11.03300,0.35200,-11.07300,0.21200,-10.91600,0.41900,-10.93400,0.35700,-10.76200,0.23000,-10.78400,0.35900,-10.76200,0.34900,-10.60100,0.33100,-10.68300,0.31900,-10.50000,0.36000,-9.65100,0.25000,-9.49800,0.26900,-9.46200,0.23100,-9.48800,0.19400,-9.45400,0.19500,-9.45200,0.25400,-9.38200,0.35400,-9.26500,0.27600,-9.29400,0.27900,-9.14700,0.30900,-9.20800,0.25700,-9.01000,0.59500,-9.04400,0.38400,-8.86900,0.39300,0,0.07560,5.58640,5.54350,25714644,1.19000,0.34000
33.67500,-111.87500,Mesa,2,0.00350,4580.00000,0.04770,6205.00000,0.14840,7688.00000,0.21640,11143.00000,-10.17100,0.14900,-10.21200,0.11400,-9.89500,0.24400,-10.24400,0.19000,-10.05300,0.16100,-9.96000,0.08900,-9.83000,0.13200,-9.80900,0.08000,-11.65300,0.20200,-11.24000,0.36100,-11.26600,0.22500,-11.12000,0.38900,-11.16700,0.31600,-11.02200,0.22600,-11.05200,0.34800,-11.06000,0.32900,-10.89700,0.33200,-10.95800,0.28700,-10.78700,0.33300,-9.62700,0.26500,-9.53100,0.28200,-9.52600,0.23200,-9.43500,0.16000,-9.48900,0.21000,-9.45400,0.26200,-9.37600,0.34600,-9.30100,0.27800,-9.33800,0.23300,-9.26000,0.32200,-9.27000,0.27700,-9.18400,0.51800,-9.05100,0.36200,-8.95800,0.32500,0,0.09160,6.33880,5.87040,25714644,1.20000,0.44000
33.67500,-111.82500,Mesa,0,0.00020,56.00000,0.00710,116.00000,0.02500,119.00000,0.03360,92.00000,-10.29500,0.23100,-10.30400,0.11900,-10.01100,0.25700,-10.39700,0.16700,-10.20400,0.17300,-10.14000,0.09200,-9.99400,0.14300,-10.00800,0.06200,-11.86000,0.21600,-11.41300,0.31500,-11.47000,0.27800,-11.33900,0.37100,-11.42100,0.30600,-11.29400,0.23700,-11.33400,0.32500,-11.37000,0.29900,-11.18900,0.30500,-11.24100,0.26900,-11.06700,0.31900,-9.91600,0.28200,-9.90500,0.34500,-9.79600,0.28700,-9.73200,0.21300,-9.80500,0.28700,-9.88000,0.35700,-9.68700,0.34700,-9.69200,0.35500,-9.69700,0.28300,-9.70100,0.37300,-9.59900,0.34500,-9.63000,0.59400,-9.34500,0.40900,-9.29600,0.33800,0,0.00820,3.02260,0.87760,25714644,1.47000,0.63000
33.67500,-111.77500,Mesa,0,0.00000,4.00000,0.00020,77.00000,0.00020,49.00000,0.00020,17.00000,-10.28600,0.23100,-10.29600,0.12200,-9.99800,0.25700,-10.37800,0.17000,-10.18600,0.17100,-10.11600,0.09300,-9.97500,0.14000,-9.98200,0.06200,-12.02500,0.22400,-11.56800,0.27900,-11.63600,0.32100,-11.50800,0.34700,-11.62200,0.27000,-11.49200,0.27400,-11.58400,0.31800,-11.61800,0.30700,-11.46100,0.28400,-11.54600,0.25500,-11.33300,0.27900,-10.48800,0.21000,-10.44900,0.28700,-10.38600,0.18100,-10.37200,0.18500,-10.46400,0.21900,-10.43100,0.27200,-10.34100,0.29200,-10.28900,0.32700,-10.34700,0.19900,-10.25700,0.25600,-10.23500,0.31700,-10.18700,0.48900,-9.98500,0.36900,-10.00200,0.33100,0,0.00000,0.00000,0.00000,25714644,1.07000,0.31000
33.67500,-111.72500,Mesa,0,0.00060,2.00000,0.00190,3.00000,0.00190,3.00000,0.00200,4.00000,-10.39400,0.33300,-10.33500,0.12900,-10.10700,0.24800,-10.48200,0.16200,-10.30400,0.17500,-10.26300,0.10400,-10.12600,0.14700,-10.14400,0.05100,-12.08600,0.23200,-11.64900,0.25800,-11.70300,0.31900,-11.60700,0.35000,-11.72900,0.25800,-11.64000,0.30600,-11.74600,0.33100,-11.78700,0.30200,-11.62900,0.29000,-11.74400,0.22300,-11.50000,0.26200,-10.83000,0.18400,-10.77600,0.22900,-10.81100,0.09700,-10.74700,0.15300,-10.86700,0.14500,-10.74100,0.23100,-10.78300,0.23200,-10.69000,0.25100,-10.77900,0.13100,-10.63300,0.20800,-10.70200,0.29800,-10.52400,0.46400,-10.57700,0.30500,-10.49900,0.35700,0,0.00020,0.30480,0.00910,25714644,1.01000,0.18000
33.67500,-111.67500,Mesa,0,0.00330,0.00000,0.01020,7.00000,0.01070,8.00000,0.01100,14.00000,-10.39600,0.33000,-10.34000,0.13300,-10.10900,0.24700,-10.47600,0.16600,-10.29800,0.17100,-10.25300,0.10600,-10.12200,0.14400,-10.13200,0.04800,-12.05700,0.24400,-11.65600,0.26700,-11.69000,0.31200,-11.59000,0.34000,-11.75300,0.26000,-11.67600,0.34200,-11.77300,0.35000,-11.81800,0.29700,-11.70100,0.31600,-11.83900,0.22700,-11.57800,0.21100,-10.80200,0.16200,-10.73900,0.21500,-10.76500,0.09500,-10.70100,0.15700,-10.83300,0.14400,-10.68600,0.22500,-10.74500,0.21700,-10.66600,0.24000,-10.74500,0.14000,-10.64900,0.20800,-10.69000,0.32200,-10.55400,0.44000,-10.64900,0.28100,-10.56100,0.34000,0,0.00030,0.31240,0.01690,25714644,1.64000,0.52000
33.67500,-111.62500,Mesa,1,0.00010,3.00000,0.00040,5.00000,0.00070,0.00000,0.00070,8.00000,-10.38800,0.29900,-10.27300,0.10800,-10.14900,0.22500,-10.47400,0.16700,-10.31400,0.17300,-10.30200,0.11100,-10.17900,0.16800,-10.19100,0.04600,-11.96800,0.21300,-11.59700,0.25700,-11.63200,0.28800,-11.53300,0.33500,-11.70000,0.27100,-11.62800,0.34400,-11.72600,0.36000,-11.78000,0.28500,-11.69300,0.32900,-11.87000,0.23800,-11.56400,0.22600,-10.76700,0.15200,-10.70200,0.20700,-10.70100,0.10000,-10.65300,0.16000,-10.78300,0.14600,-10.63200,0.22700,-10.70300,0.20900,-10.62000,0.23600,-10.68400,0.15400,-10.61800,0.21700,-10.64700,0.36500,-10.54500,0.44500,-10.65700,0.25800,-10.58500,0.32100,0,0.00000,0.00000,0.00000,25714644,1.06000,0.26000
33.67500,-111.57500,Mesa,1,0.00000,4.00000,0.00000,6.00000,0.00000,0.00000,0.00000,10.00000,-10.39300,0.29400,-10.27900,0.10900,-10.15700,0.22500,-10.47600,0.16900,-10.31700,0.17100,-10.30300,0.11200,-10.18300,0.16600,-10.19100,0.04500,-11.85300,0.18400,-11.51100,0.25600,-11.55400,0.28800,-11.40400,0.31900,-11.59300,0.27500,-11.53800,0.34200,-11.62200,0.35200,-11.69100,0.28000,-11.60000,0.32900,-11.83700,0.21800,-11.50100,0.23500,-10.68800,0.16600,-10.63100,0.22000,-10.63500,0.12100,-10.53500,0.19400,-10.69800,0.15400,-10.55100,0.24200,-10.63400,0.20900,-10.53700,0.24600,-10.60700,0.16000,-10.56300,0.22400,-10.59400,0.36300,-10.48900,0.51100,-10.62500,0.23700,-10.58300,0.27200,0,0.00000,0.00000,0.00000,25714644,1.14000,0.46000
33.67500,-111.52500,Mesa,1,0.00000,3.00000,0.00000,4.00000,0.00000,0.00000,0.00000,7.00000,-10.26900,0.21800,-10.11500,0.08800,-10.08400,0.19600,-10.38300,0.15300,-10.22300,0.16700,-10.23200,0.11000,-10.11900,0.20000,-10.11800,0.04400,-11.71200,0.17300,-11.38100,0.24600,-11.45600,0.27000,-11.25700,0.31100,-11.46000,0.30400,-11.43600,0.36000,-11.49000,0.34800,-11.57000,0.27500,-11.45100,0.33400,-11.74100,0.21400,-11.40500,0.26300,-10.45700,0.22400,-10.47900,0.24900,-10.42300,0.15900,-10.33300,0.23500,-10.48100,0.20900,-10.35600,0.28500,-10.45300,0.23400,-10.34800,0.25600,-10.42400,0.19000,-10.39600,0.21500,-10.39600,0.38600,-10.30400,0.54000,-10.47700,0.24700,-10.48100,0.23700,0,0.00010,0.08690,0.00380,25714644,2.02000,0.71000
33.67500,-111.47500,Mesa,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-10.27100,0.21800,-10.11600,0.08800,-10.08500,0.19600,-10.38300,0.15300,-10.22400,0.16700,-10.23200,0.11000,-10.12000,0.20000,-10.11800,0.04400,-11.61000,0.18100,-11.29300,0.27400,-11.36100,0.26200,-11.12800,0.29900,-11.34500,0.32000,-11.32700,0.35600,-11.36800,0.33400,-11.45200,0.26000,-11.35600,0.33400,-11.63300,0.21400,-11.30000,0.28400,-10.14000,0.28300,-10.24300,0.25300,-10.15400,0.17400,-10.06000,0.24000,-10.20300,0.21800,-10.09200,0.28900,-10.10600,0.26800,-10.08400,0.23700,-10.17200,0.23700,-10.13700,0.27500,-10.13200,0.39400,-10.07400,0.50500,-10.23900,0.25300,-10.32200,0.21700,0,0.00010,0.15500,0.00680,25714644,2.18000,0.78000
33.62500,-111.97500,Mesa,3,0.33840,23015.00000,0.69950,32576.00000,0.76310,41420.00000,0.78250,56546.00000,-9.98900,0.16500,-9.98300,0.12300,-9.65600,0.22600,-9.93700,0.22400,-9.79100,0.14100,-9.63100,0.09100,-9.53100,0.10600,-9.45000,0.10800,-10.61300,0.15700,-10.25100,0.38300,-10.26200,0.29700,-10.10400,0.43900,-10.12100,0.41500,-9.94400,0.30700,-9.94100,0.36400,-9.86900,0.37300,-9.72400,0.39100,-9.82000,0.34200,-9.61900,0.39900,-8.58500,0.21300,-8.52100,0.26200,-8.43100,0.20100,-8.37900,0.18600,-8.46400,0.17900,-8.44600,0.19600,-8.33100,0.31500,-8.32600,0.25200,-8.36800,0.23800,-8.35000,0.29900,-8.18500,0.24400,-8.01200,0.52900,-8.05900,0.33700,-7.97900,0.32400,0,0.20460,5.60830,12.50540,25729308,1.04000,0.36000
