latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
19.67500,-99.37500,MexicoCity,1,0.00130,4558.00000,0.00870,8083.00000,0.01720,13770.00000,0.02200,21936.00000,-8.41800,0.39700,-8.24500,0.22300,-8.15000,0.41800,-8.46700,0.27800,-8.54200,0.35400,-8.20200,0.56400,-8.49700,0.32100,-8.47700,0.30100,-11.01500,0.54000,-11.04600,0.38200,-10.87500,0.42900,-10.66700,0.43800,-10.74400,0.41300,-10.62000,0.42300,-10.72000,0.53100,-10.55400,0.49000,-10.47900,0.42200,-10.56700,0.49200,-10.66500,0.62900,-8.24200,0.38100,-8.31400,0.47400,-8.44700,0.50800,-8.23300,0.48900,-8.15500,0.61300,-8.25400,0.43000,-7.95900,0.55000,-8.25700,0.48800,-8.44400,0.51900,-8.19800,0.33700,-8.11700,0.50800,-7.92800,0.91300,-8.36300,0.58600,-8.23500,0.45500,0,-9999,-9999,-9999,29020120,14.15000,4.33000
19.67500,-99.32500,MexicoCity,1,0.00100,1141.00000,0.01100,4067.00000,0.01860,5093.00000,0.02370,9156.00000,-8.25700,0.39600,-8.08700,0.23300,-7.96300,0.44100,-8.29600,0.30200,-8.36500,0.40700,-8.04600,0.67100,-8.30800,0.34600,-8.24600,0.29800,-10.66100,0.60700,-10.63700,0.42000,-10.44800,0.55800,-10.24000,0.49100,-10.26900,0.46600,-10.09100,0.49800,-10.22400,0.55300,-9.97900,0.53800,-9.87600,0.42800,-9.93400,0.52900,-9.99500,0.70100,-7.95800,0.43800,-7.97600,0.53000,-8.17000,0.63000,-7.89000,0.62100,-7.82200,0.74400,-7.77700,0.47800,-7.38600,0.62200,-7.62400,0.59300,-7.92100,0.59900,-7.62100,0.46400,-7.56300,0.71300,-7.30200,1.12900,-7.77500,0.76600,-7.77300,0.57600,0,-9999,-9999,-9999,29020120,9.92000,3.56000
19.67500,-99.27500,MexicoCity,2,0.01170,27953.00000,0.06610,36894.00000,0.10310,45259.00000,0.14920,60551.00000,-8.17100,0.39500,-8.00300,0.23600,-7.86500,0.44900,-8.20500,0.30900,-8.26800,0.42800,-7.95700,0.71400,-8.20800,0.35500,-8.12900,0.29500,-10.26200,0.67100,-10.16400,0.45500,-9.96800,0.62800,-9.79700,0.55900,-9.71500,0.52100,-9.50700,0.55700,-9.68400,0.57600,-9.35600,0.55900,-9.23100,0.44200,-9.25200,0.56300,-9.31200,0.74700,-7.22100,0.47500,-7.23000,0.61200,-7.43500,0.68300,-7.04800,0.72700,-7.02800,0.74800,-6.97700,0.55500,-6.54100,0.70200,-6.67200,0.63100,-6.99000,0.70600,-6.66000,0.54700,-6.65800,0.78500,-6.44700,1.17400,-6.80700,0.81300,-6.88300,0.72400,0,-9999,-9999,-9999,29020120,7.31000,2.97000
19.67500,-99.22500,MexicoCity,3,0.09800,159526.00000,0.36140,203449.00000,0.45620,227958.00000,0.54780,233901.00000,-8.07300,0.40400,-7.93400,0.26000,-7.75300,0.47700,-8.13500,0.35900,-8.21400,0.47500,-7.91100,0.84800,-8.09700,0.44500,-8.01200,0.28900,-9.97600,0.70500,-9.79700,0.46900,-9.61400,0.66800,-9.47500,0.56300,-9.28600,0.58000,-9.08600,0.60100,-9.31800,0.62200,-8.91000,0.56900,-8.77300,0.47000,-8.79500,0.58200,-8.82200,0.77400,-6.33200,0.62400,-6.40100,0.65100,-6.54800,0.76800,-6.24500,0.77900,-6.09500,0.82700,-6.12700,0.60100,-5.66400,0.72900,-5.81900,0.66100,-5.99800,0.81800,-5.72300,0.58700,-5.69500,0.84000,-5.60500,1.23800,-5.93800,0.78700,-5.83400,0.89400,0,-9999,-9999,-9999,29020120,4.11000,1.98000
19.67500,-99.17500,MexicoCity,3,0.14040,32733.00000,0.37560,63278.00000,0.48190,94802.00000,0.59610,165273.00000,-8.06300,0.40900,-7.93700,0.26300,-7.74200,0.47900,-8.13900,0.37000,-8.22200,0.47500,-7.91300,0.86600,-8.09000,0.45400,-8.01200,0.29200,-9.80100,0.71500,-9.56000,0.46500,-9.40300,0.67400,-9.33800,0.57100,-9.02000,0.62300,-8.86500,0.61600,-9.14000,0.64000,-8.67700,0.53600,-8.55900,0.50000,-8.55800,0.60400,-8.57600,0.80900,-6.12400,0.57700,-6.20600,0.61500,-6.36300,0.76100,-5.90900,0.83200,-5.88600,0.82100,-5.91700,0.66200,-5.52100,0.80800,-5.58700,0.67700,-5.78600,0.86400,-5.41500,0.67600,-5.35400,0.78300,-5.38800,1.31800,-5.60700,0.85900,-5.47100,0.92900,0,-9999,-9999,-9999,29020120,4.05000,1.98000
19.67500,-99.12500,MexicoCity,3,0.08030,81628.00000,0.21320,127489.00000,0.35060,174607.00000,0.47390,264273.00000,-8.09900,0.42700,-8.01100,0.27600,-7.78300,0.48800,-8.22400,0.41200,-8.32800,0.47800,-8.00300,0.92700,-8.14700,0.48600,-8.08400,0.30500,-9.87900,0.70100,-9.62200,0.46600,-9.48700,0.63500,-9.45600,0.54600,-9.05600,0.63100,-8.97200,0.58700,-9.26400,0.64300,-8.77200,0.51100,-8.63800,0.52500,-8.65700,0.60300,-8.67900,0.81300,-6.42100,0.56500,-6.51700,0.66000,-6.62200,0.76100,-6.12300,0.85700,-6.16700,0.89400,-6.21500,0.70300,-5.86700,0.89300,-5.88000,0.68600,-6.11900,0.91600,-5.65600,0.72500,-5.62700,0.77700,-5.69900,1.36900,-5.87900,0.93800,-5.72800,0.99000,0,-9999,-9999,-9999,29020120,4.53000,2.00000
19.67500,-99.07500,MexicoCity,3,0.09560,216996.00000,0.28180,253257.00000,0.41650,265178.00000,0.48540,263772.00000,-8.21600,0.45200,-8.15300,0.27200,-7.90800,0.49400,-8.39000,0.44500,-8.49500,0.47400,-8.15500,0.95400,-8.30300,0.50800,-8.22700,0.32500,-10.09400,0.68200,-9.87800,0.45900,-9.71800,0.60500,-9.72400,0.52700,-9.29100,0.60700,-9.26200,0.53500,-9.56800,0.62700,-9.06000,0.48100,-8.95800,0.55400,-8.94700,0.60000,-8.99700,0.80900,-7.10300,0.59100,-7.13800,0.61400,-7.41200,0.80700,-6.84200,0.89500,-6.78000,0.99500,-6.94800,0.75800,-6.62400,0.94700,-6.63700,0.76400,-6.87900,0.95600,-6.39400,0.75200,-6.33400,0.78600,-6.25700,1.35400,-6.60200,0.99500,-6.37600,1.01100,0,-9999,-9999,-9999,29020120,3.73000,1.85000
19.67500,-99.02500,MexicoCity,3,0.05280,10121.00000,0.18390,28658.00000,0.20870,51533.00000,0.28570,116791.00000,-8.29900,0.47000,-8.25600,0.26900,-7.99800,0.49800,-8.51200,0.46700,-8.61600,0.46800,-8.26300,0.97400,-8.41600,0.52400,-8.33200,0.34000,-10.42400,0.67000,-10.27000,0.44400,-10.09400,0.57700,-10.11500,0.51100,-9.68600,0.58400,-9.70300,0.48500,-10.01700,0.58800,-9.51900,0.43600,-9.42800,0.57300,-9.41700,0.59400,-9.48100,0.79500,-7.55100,0.62200,-7.56900,0.66200,-8.05500,0.87200,-7.41800,0.91100,-7.33100,0.99000,-7.48100,0.74800,-7.19000,0.91400,-7.20200,0.76100,-7.54400,0.99700,-7.07700,0.79400,-7.00300,0.85500,-6.82400,1.28900,-7.29600,1.05300,-7.03000,0.98300,0,-9999,-9999,-9999,29020120,4.90000,2.29000
19.67500,-98.97500,MexicoCity,2,0.01570,11663.00000,0.21310,36018.00000,0.25590,66933.00000,0.29630,153940.00000,-8.62800,0.53500,-8.61000,0.26300,-8.35100,0.51000,-8.92700,0.52900,-9.03400,0.48600,-8.66600,1.01300,-8.85000,0.57500,-8.72100,0.37600,-10.82600,0.68100,-10.71800,0.43700,-10.53600,0.53200,-10.56900,0.51500,-10.16100,0.51900,-10.20300,0.43100,-10.55000,0.50800,-10.03000,0.40200,-10.00600,0.55000,-9.93800,0.56900,-10.04600,0.74200,-7.90600,0.60300,-7.88800,0.71800,-8.34200,0.79500,-7.67200,0.85100,-7.77300,0.87800,-7.99100,0.65700,-7.64400,0.87300,-7.59200,0.67900,-7.99000,0.88700,-7.50500,0.76200,-7.56300,0.82100,-7.50000,1.28600,-7.85400,0.99900,-7.82900,1.04200,0,-9999,-9999,-9999,29020120,4.37000,1.92000
19.67500,-98.92500,MexicoCity,1,0.01040,4714.00000,0.03890,6830.00000,0.05140,10569.00000,0.06040,27181.00000,-8.69700,0.55000,-8.68300,0.26100,-8.42800,0.51200,-8.99700,0.56700,-9.12000,0.48900,-8.75200,1.01900,-8.94600,0.58700,-8.80900,0.38200,-11.24300,0.67400,-11.20300,0.41500,-10.95900,0.51300,-11.05200,0.51300,-10.65100,0.44300,-10.69900,0.40200,-11.05200,0.44200,-10.54800,0.41500,-10.57900,0.51800,-10.51000,0.51200,-10.67300,0.67000,-8.57400,0.62200,-8.47400,0.73000,-8.76100,0.74000,-8.27700,0.79300,-8.42900,0.88300,-8.62000,0.64000,-8.19200,0.77600,-8.25100,0.61800,-8.69100,0.78900,-8.19200,0.69100,-8.20700,0.83500,-8.05700,1.20000,-8.54400,0.96500,-8.47100,0.93800,0,-9999,-9999,-9999,29020120,6.54000,2.63000
