latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
31.72500,104.52500,Mianyang,0,0.00000,1487.00000,0.00000,1507.00000,0.00010,1401.00000,0.00030,1833.00000,-8.20500,0.13200,-8.33200,0.25500,-8.20500,0.23200,-8.46800,0.34800,-8.33300,0.17700,-8.21600,0.33700,-8.06700,0.30800,-8.14400,0.13600,-10.10100,0.24500,-10.18500,0.27000,-10.12700,0.42300,-10.29500,0.25600,-10.02000,0.23500,-10.16400,0.22300,-10.09200,0.25100,-10.19900,0.27400,-9.97200,0.29000,-9.86800,0.22500,-9.82100,0.25500,-7.69300,0.32000,-7.69500,0.32100,-7.57700,0.28000,-7.42700,0.28200,-7.57200,0.26500,-7.49600,0.28400,-7.37800,0.33200,-7.52000,0.27700,-7.61400,0.24900,-7.47000,0.23600,-7.44100,0.22700,-7.26700,0.37400,-7.33700,0.39400,-7.13000,0.30400,0,0.00270,1.74790,0.13180,26271850,48.11000,9.16000
31.72500,104.57500,Mianyang,0,0.00780,4942.00000,0.01060,5731.00000,0.01410,6064.00000,0.01490,4620.00000,-8.24100,0.13500,-8.36900,0.26500,-8.24700,0.22100,-8.50800,0.35600,-8.37800,0.17800,-8.25900,0.33700,-8.11500,0.30700,-8.18800,0.14100,-10.28200,0.26300,-10.35000,0.26500,-10.31800,0.48800,-10.45400,0.26800,-10.21100,0.22600,-10.31400,0.23700,-10.24600,0.25700,-10.35800,0.29800,-10.08800,0.27800,-9.98000,0.24500,-9.90400,0.28200,-7.82100,0.35400,-7.86700,0.36100,-7.69000,0.29400,-7.49200,0.29900,-7.63100,0.27700,-7.54400,0.29600,-7.42800,0.35900,-7.55000,0.28100,-7.66600,0.29200,-7.47500,0.23300,-7.44800,0.23700,-7.26100,0.38500,-7.31400,0.40200,-7.09000,0.33000,0,0.00400,1.91050,0.23880,26271850,29.73000,7.99000
31.72500,104.62500,Mianyang,1,0.04390,20476.00000,0.05910,19889.00000,0.08390,17279.00000,0.08460,13821.00000,-8.35800,0.14600,-8.49100,0.30000,-8.38200,0.18400,-8.63600,0.37900,-8.52300,0.18400,-8.40000,0.33700,-8.27300,0.30400,-8.33000,0.15900,-10.42100,0.29700,-10.51800,0.26800,-10.48100,0.52600,-10.61200,0.29600,-10.39800,0.23100,-10.43800,0.25200,-10.39600,0.27000,-10.51200,0.32300,-10.20900,0.30200,-10.05800,0.27400,-9.98500,0.33600,-7.96000,0.44400,-7.98000,0.41500,-7.78300,0.36200,-7.51600,0.34300,-7.66800,0.31800,-7.55800,0.35200,-7.45300,0.39000,-7.53200,0.29200,-7.62900,0.31100,-7.45100,0.24900,-7.41800,0.24900,-7.21500,0.41000,-7.22800,0.41300,-7.01000,0.35600,0,0.00850,3.51930,0.48700,26271850,20.73000,6.69000
31.72500,104.67500,Mianyang,1,0.06020,2328.00000,0.12840,4198.00000,0.29390,5905.00000,0.29410,5025.00000,-8.40900,0.14800,-8.54400,0.32500,-8.43900,0.18000,-8.68200,0.38200,-8.59400,0.19400,-8.45300,0.34200,-8.34300,0.30800,-8.39500,0.16900,-10.59200,0.34900,-10.67600,0.30600,-10.62900,0.53600,-10.77100,0.31900,-10.56500,0.22000,-10.55700,0.28200,-10.53500,0.29600,-10.67300,0.34100,-10.36200,0.34200,-10.13700,0.31300,-10.08400,0.38600,-8.08700,0.52000,-8.05500,0.46500,-7.80200,0.38600,-7.52900,0.40000,-7.68500,0.36900,-7.54500,0.42100,-7.45500,0.41500,-7.48700,0.31900,-7.53800,0.33100,-7.40200,0.28200,-7.34700,0.23900,-7.12900,0.45500,-7.12400,0.46300,-6.87700,0.38200,0,0.02260,5.25510,1.99980,26271850,21.22000,6.83000
31.72500,104.72500,Mianyang,2,0.09670,18802.00000,0.23510,21870.00000,0.48220,20249.00000,0.48220,16623.00000,-8.50100,0.15200,-8.63900,0.37000,-8.54000,0.17300,-8.76600,0.38700,-8.72300,0.21300,-8.54900,0.35100,-8.46900,0.31400,-8.51200,0.18500,-10.76700,0.38100,-10.83800,0.36200,-10.78200,0.52400,-10.93600,0.34200,-10.72200,0.20400,-10.67200,0.30000,-10.69300,0.32800,-10.85200,0.33500,-10.53500,0.39300,-10.24900,0.35600,-10.21500,0.41000,-8.18800,0.52500,-8.09200,0.46600,-7.82200,0.39600,-7.56600,0.42000,-7.70400,0.36900,-7.58500,0.43000,-7.47100,0.42000,-7.50500,0.35200,-7.54200,0.39100,-7.44100,0.31500,-7.30900,0.21600,-7.11300,0.48400,-7.13000,0.52400,-6.84700,0.44100,0,0.06360,11.92700,9.32800,26271850,17.94000,6.71000
31.72500,104.77500,Mianyang,1,0.03230,21390.00000,0.07850,26941.00000,0.14660,27948.00000,0.14710,22460.00000,-8.56300,0.15300,-8.69800,0.40100,-8.61000,0.18600,-8.81800,0.38000,-8.82500,0.22500,-8.60800,0.35500,-8.55700,0.31900,-8.59800,0.19800,-10.91800,0.39700,-10.98300,0.39400,-10.92800,0.52100,-11.10200,0.36500,-10.85900,0.20700,-10.77900,0.29800,-10.84700,0.35000,-11.03000,0.33000,-10.70300,0.42300,-10.39600,0.38400,-10.37200,0.41700,-8.35300,0.50100,-8.23200,0.45200,-7.99800,0.41600,-7.75100,0.44100,-7.89600,0.38900,-7.83000,0.45300,-7.66700,0.41800,-7.73200,0.39800,-7.79300,0.46800,-7.70200,0.38600,-7.46100,0.25300,-7.29300,0.53400,-7.35600,0.52700,-7.01100,0.48700,0,0.01320,3.98940,1.30620,26271850,23.52000,7.08000
31.72500,104.82500,Mianyang,0,0.00070,23455.00000,0.00230,26310.00000,0.00550,20681.00000,0.00570,16335.00000,-8.63100,0.15300,-8.76300,0.43500,-8.68700,0.20200,-8.87600,0.37200,-8.93800,0.23900,-8.67200,0.35900,-8.65400,0.32400,-8.69400,0.21100,-11.05200,0.39900,-11.10000,0.39800,-11.06400,0.51900,-11.25400,0.37900,-10.99000,0.21000,-10.89700,0.30200,-10.99300,0.36900,-11.19800,0.31500,-10.87700,0.44500,-10.58300,0.39800,-10.56100,0.41200,-8.54800,0.49500,-8.49100,0.43000,-8.28000,0.43300,-8.06600,0.42600,-8.24800,0.41900,-8.24700,0.46800,-8.09200,0.42100,-8.13800,0.42700,-8.24800,0.54700,-8.18500,0.44400,-7.89400,0.32200,-7.66400,0.60300,-7.80400,0.56200,-7.42700,0.47200,0,0.00790,3.90270,0.40400,26271850,22.34000,7.15000
31.72500,104.87500,Mianyang,0,0.00000,7712.00000,0.00020,12777.00000,0.00050,11881.00000,0.00060,9765.00000,-8.69400,0.15300,-8.82800,0.46600,-8.76500,0.21900,-8.92600,0.35800,-9.04700,0.25200,-8.70100,0.32800,-8.74800,0.32500,-8.77500,0.21800,-11.15200,0.36300,-11.18400,0.38100,-11.18200,0.51100,-11.37400,0.38000,-11.10600,0.21600,-11.01300,0.31800,-11.12500,0.36700,-11.34200,0.29300,-11.02800,0.43800,-10.77700,0.37700,-10.76600,0.39300,-8.70100,0.52700,-8.68800,0.39200,-8.47600,0.40800,-8.33200,0.38100,-8.52600,0.38900,-8.52700,0.42500,-8.47300,0.39700,-8.48500,0.42300,-8.64300,0.52000,-8.58800,0.43400,-8.29100,0.32400,-8.08300,0.53900,-8.25000,0.53800,-7.96400,0.42100,0,0.00480,2.36840,0.17000,26271850,23.47000,7.00000
31.72500,104.92500,Mianyang,0,0.00000,5625.00000,0.00000,366.00000,0.00000,341.00000,0.00000,568.00000,-8.73700,0.15300,-8.87300,0.48700,-8.81900,0.23100,-8.96000,0.34900,-9.12200,0.26100,-8.72100,0.30700,-8.81200,0.32600,-8.83000,0.22300,-11.22100,0.31300,-11.24000,0.36400,-11.28300,0.50400,-11.45800,0.38500,-11.19900,0.20800,-11.09700,0.32700,-11.22300,0.34300,-11.45900,0.27900,-11.13200,0.43100,-10.95400,0.33200,-10.95400,0.36600,-8.76800,0.53200,-8.79500,0.34200,-8.56000,0.38800,-8.46400,0.34500,-8.67900,0.36000,-8.65500,0.38500,-8.66300,0.36200,-8.67900,0.38100,-8.83800,0.46500,-8.80100,0.39000,-8.48800,0.27500,-8.37000,0.46000,-8.50100,0.44400,-8.27300,0.39500,0,0.00310,1.49240,0.12160,26271850,23.15000,7.08000
31.72500,104.97500,Mianyang,1,0.00010,3454.00000,0.00030,2948.00000,0.00040,2741.00000,0.00050,2882.00000,-8.78600,0.15000,-8.93000,0.50400,-8.88100,0.24700,-8.99600,0.33300,-9.20900,0.25900,-8.69700,0.24100,-8.87800,0.32200,-8.88000,0.22800,-11.25500,0.28700,-11.25100,0.34100,-11.34200,0.51600,-11.47300,0.37300,-11.22800,0.18700,-11.14500,0.30700,-11.26900,0.31200,-11.50300,0.28100,-11.17100,0.41300,-11.06800,0.28400,-11.09000,0.33400,-8.79900,0.52200,-8.86300,0.32700,-8.58500,0.38000,-8.52300,0.33500,-8.75700,0.34400,-8.70900,0.35700,-8.74400,0.34500,-8.76900,0.36100,-8.91300,0.44400,-8.87900,0.36400,-8.60000,0.26400,-8.48000,0.43600,-8.60600,0.40800,-8.40600,0.34800,0,0.00650,3.57500,0.27950,26271850,21.66000,7.08000
