latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
45.22500,-93.52500,Minneapolis,1,0.02880,3128.00000,0.06120,3612.00000,0.10420,3951.00000,0.12730,4495.00000,-10.41600,0.44000,-10.45800,0.29100,-10.43700,0.48100,-11.05700,0.30400,-10.32600,0.37800,-10.38300,0.26400,-10.43700,0.25900,-10.65600,0.38700,-11.40000,0.48700,-11.68400,0.58400,-11.39700,0.39800,-11.11600,0.40600,-11.44100,0.43000,-11.24600,0.31200,-11.28000,0.25200,-11.39000,0.38900,-11.44200,0.36500,-11.41800,0.27200,-11.41500,0.28800,-10.26900,0.46400,-10.37200,0.25300,-10.23900,0.28400,-9.92400,0.23500,-9.93100,0.43300,-10.22500,0.34800,-10.17800,0.28400,-9.98100,0.35500,-9.87500,0.21300,-9.62000,0.35900,-9.84000,0.30700,-9.69600,0.46200,-9.63900,0.30000,-9.69000,0.31600,0,0.01900,4.01060,0.77930,21820928,14.75000,6.62000
45.22500,-93.47500,Minneapolis,1,0.04780,2456.00000,0.06690,2934.00000,0.10450,3134.00000,0.13860,3567.00000,-10.35100,0.31100,-10.41100,0.30100,-10.33100,0.47300,-10.93700,0.25100,-10.28000,0.37900,-10.28400,0.24500,-10.33200,0.25300,-10.52100,0.34700,-11.36500,0.45700,-11.60100,0.52800,-11.32600,0.38900,-11.04800,0.41000,-11.37400,0.42500,-11.19800,0.30500,-11.24500,0.24200,-11.30800,0.39400,-11.37000,0.34500,-11.32100,0.27200,-11.29400,0.28100,-10.17100,0.41700,-10.26500,0.24600,-10.11500,0.33400,-9.85900,0.21700,-9.83400,0.43800,-10.11500,0.31800,-10.05400,0.25900,-9.84800,0.33800,-9.80500,0.21900,-9.53700,0.35300,-9.73600,0.30700,-9.61000,0.45900,-9.56500,0.26500,-9.58000,0.29200,0,0.01560,3.54910,0.72380,21820928,12.66000,5.84000
45.22500,-93.42500,Minneapolis,2,0.12720,10496.00000,0.18840,12551.00000,0.31280,14253.00000,0.36050,16276.00000,-10.35100,0.31100,-10.41100,0.30100,-10.33100,0.47300,-10.93700,0.25100,-10.28000,0.37900,-10.28400,0.24500,-10.33200,0.25300,-10.52100,0.34700,-11.32200,0.41200,-11.54100,0.51200,-11.25500,0.38200,-10.99100,0.38800,-11.33100,0.42000,-11.17100,0.28900,-11.19400,0.25100,-11.22500,0.39400,-11.31000,0.34300,-11.19700,0.29000,-11.17800,0.29800,-10.07600,0.33900,-10.15100,0.24300,-10.01900,0.36700,-9.74900,0.21100,-9.71300,0.45600,-9.95400,0.31300,-9.93000,0.26400,-9.71600,0.31600,-9.71200,0.22200,-9.45900,0.33500,-9.63600,0.27300,-9.46600,0.44000,-9.45800,0.27000,-9.48800,0.29700,1,0.05170,4.37790,2.64790,21820928,15.11000,5.59000
45.22500,-93.37500,Minneapolis,2,0.16170,11599.00000,0.27050,14396.00000,0.34960,16310.00000,0.36680,18743.00000,-10.27400,0.21200,-10.32800,0.32100,-10.20200,0.46500,-10.79600,0.19300,-10.22800,0.39400,-10.17900,0.22700,-10.20700,0.25100,-10.38900,0.32400,-11.34200,0.37100,-11.55900,0.48900,-11.24900,0.38900,-11.00700,0.39600,-11.33900,0.42100,-11.20000,0.28600,-11.19900,0.22100,-11.22300,0.37700,-11.28800,0.34800,-11.14500,0.28100,-11.11100,0.31400,-10.09200,0.27700,-10.07600,0.21600,-9.99100,0.34100,-9.73100,0.22000,-9.67800,0.47500,-9.92600,0.31900,-9.89200,0.26000,-9.66900,0.31400,-9.73000,0.23000,-9.46800,0.31900,-9.59800,0.26500,-9.42700,0.42700,-9.37800,0.26900,-9.44400,0.30200,0,0.05580,4.60670,2.47730,21820928,17.64000,6.45000
45.22500,-93.32500,Minneapolis,2,0.11200,12651.00000,0.24490,15935.00000,0.31960,18257.00000,0.35250,21219.00000,-10.27400,0.21200,-10.32800,0.32100,-10.20200,0.46500,-10.79600,0.19300,-10.22800,0.39400,-10.17900,0.22700,-10.20700,0.25100,-10.38900,0.32400,-11.35900,0.35700,-11.59400,0.47300,-11.26500,0.38500,-11.03900,0.38300,-11.36100,0.41400,-11.24500,0.29100,-11.20200,0.21000,-11.23300,0.35500,-11.28800,0.36700,-11.11400,0.28400,-11.06100,0.32400,-10.16700,0.32800,-10.13600,0.21200,-10.13300,0.37200,-9.79300,0.21100,-9.74500,0.45800,-10.02700,0.34100,-9.96400,0.27100,-9.74300,0.31100,-9.82800,0.21800,-9.65200,0.34700,-9.66700,0.28800,-9.51400,0.42700,-9.42500,0.30100,-9.56000,0.34100,0,0.05530,4.26350,2.33780,21820928,19.19000,6.40000
45.22500,-93.27500,Minneapolis,1,0.03930,6517.00000,0.07130,7869.00000,0.12770,9404.00000,0.13520,10872.00000,-10.25300,0.23100,-10.28300,0.32900,-10.15400,0.45100,-10.72700,0.19900,-10.21500,0.39400,-10.16200,0.22500,-10.16600,0.26200,-10.36100,0.31500,-11.39200,0.36200,-11.65600,0.46300,-11.32300,0.38800,-11.10900,0.38300,-11.42600,0.42300,-11.33600,0.30500,-11.23900,0.21200,-11.27600,0.37200,-11.34000,0.38300,-11.13000,0.28500,-11.06500,0.35000,-10.23400,0.33200,-10.26000,0.23600,-10.28500,0.35500,-9.89300,0.22000,-9.80900,0.45900,-10.12000,0.33400,-10.08600,0.27900,-9.82700,0.31100,-9.88800,0.19800,-9.77400,0.33800,-9.75500,0.26700,-9.63300,0.43700,-9.55300,0.33300,-9.72700,0.37700,0,0.02900,4.24100,1.17180,21820928,20.65000,6.80000
45.22500,-93.22500,Minneapolis,1,0.04280,7226.00000,0.07950,8829.00000,0.11910,10253.00000,0.13940,11779.00000,-10.24400,0.23800,-10.26500,0.33300,-10.13600,0.44600,-10.70000,0.20200,-10.21000,0.39400,-10.15600,0.22500,-10.15100,0.26600,-10.35000,0.31100,-11.45000,0.38000,-11.75500,0.44400,-11.42400,0.37700,-11.22400,0.37600,-11.52600,0.42300,-11.45500,0.31700,-11.31500,0.22900,-11.36300,0.38300,-11.42100,0.39300,-11.18100,0.30400,-11.14000,0.37700,-10.33500,0.34600,-10.33600,0.24700,-10.37800,0.34500,-9.97600,0.19800,-9.86500,0.45400,-10.21500,0.33000,-10.17900,0.27500,-9.88700,0.31800,-9.92500,0.18700,-9.87200,0.33500,-9.86500,0.25600,-9.72800,0.43400,-9.71200,0.30100,-9.85400,0.39700,0,0.04260,4.30350,1.66130,21820928,19.94000,6.96000
45.22500,-93.17500,Minneapolis,1,0.00190,2060.00000,0.00630,2496.00000,0.01030,2805.00000,0.02270,3764.00000,-10.25300,0.25800,-10.25200,0.33200,-10.14600,0.44100,-10.71000,0.22700,-10.22600,0.38800,-10.19200,0.23600,-10.17000,0.27300,-10.37800,0.31100,-11.53100,0.39800,-11.87500,0.42900,-11.54500,0.37200,-11.36000,0.36300,-11.64800,0.42400,-11.59300,0.32800,-11.43400,0.23800,-11.48900,0.37100,-11.52400,0.39500,-11.26700,0.32400,-11.25800,0.39600,-10.47500,0.36300,-10.42400,0.24000,-10.47200,0.32600,-10.05200,0.17000,-9.94600,0.46700,-10.32900,0.34700,-10.27200,0.28400,-9.95800,0.31300,-9.98200,0.18400,-9.97100,0.32300,-10.00400,0.24300,-9.81300,0.41900,-9.86700,0.26200,-9.95700,0.39500,0,0.01240,3.49630,0.49670,21820928,26.59000,7.62000
45.22500,-93.12500,Minneapolis,1,0.00880,279.00000,0.01480,269.00000,0.02060,360.00000,0.03000,386.00000,-10.26400,0.28200,-10.23600,0.33200,-10.15900,0.43500,-10.72200,0.25900,-10.24600,0.38000,-10.23700,0.25000,-10.19300,0.28300,-10.41200,0.31100,-11.62300,0.41500,-11.99100,0.42600,-11.67800,0.37400,-11.50000,0.35300,-11.77900,0.42000,-11.74200,0.34300,-11.57000,0.23900,-11.63400,0.34100,-11.64800,0.38900,-11.38600,0.33000,-11.39800,0.41100,-10.60500,0.36200,-10.54000,0.22800,-10.58800,0.30700,-10.12800,0.15900,-10.04200,0.48300,-10.45400,0.36800,-10.37300,0.30500,-10.04100,0.30500,-10.05000,0.18100,-10.05400,0.30500,-10.13500,0.21600,-9.89900,0.39500,-9.98900,0.24600,-10.05000,0.36900,0,0.00380,1.30980,0.14310,21820928,31.32000,7.89000
45.22500,-93.07500,Minneapolis,1,0.01150,691.00000,0.01770,882.00000,0.02280,922.00000,0.03620,1124.00000,-10.27300,0.28300,-10.23200,0.32800,-10.16800,0.43400,-10.74300,0.26100,-10.26300,0.38000,-10.25800,0.25800,-10.21000,0.28600,-10.43100,0.31500,-11.71000,0.44500,-12.08800,0.43300,-11.82500,0.36300,-11.63000,0.35500,-11.90400,0.40000,-11.88700,0.36200,-11.68600,0.24300,-11.76900,0.31900,-11.78500,0.37500,-11.52600,0.32400,-11.55700,0.43100,-10.67300,0.34000,-10.62200,0.22400,-10.68000,0.31600,-10.18900,0.16400,-10.11100,0.46600,-10.55400,0.37200,-10.44800,0.31400,-10.10600,0.31300,-10.09200,0.17600,-10.08800,0.30600,-10.20200,0.18900,-9.97100,0.36900,-10.05700,0.23300,-10.10700,0.33400,1,0.00650,2.60900,0.28060,21820928,24.09000,8.51000
