latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
54.12500,27.32500,Minsk,0,0.00010,0.00000,0.00050,27.00000,0.00050,19.00000,0.00050,25.00000,-9.68300,0.23900,-10.02900,0.23900,-10.13700,0.30600,-10.14600,0.73000,-9.88800,0.30300,-9.62900,0.17300,-10.55800,0.43300,-9.96800,0.38400,-12.59200,0.52000,-12.17100,0.40000,-11.83700,0.39900,-12.39800,0.45400,-12.01000,0.39200,-11.95000,0.34900,-11.99300,0.32600,-11.74100,0.47900,-12.06200,0.41300,-11.75200,0.31800,-11.79200,0.30300,-9.97800,0.44600,-9.57000,0.26800,-9.54400,0.24800,-9.23600,0.24000,-9.22300,0.28000,-9.66900,0.24500,-9.48000,0.28500,-9.40100,0.31400,-9.84300,0.43600,-9.30400,0.23500,-9.13400,0.33800,-9.37300,0.39600,-9.39800,0.32800,-9.34400,0.33700,0,-9999.00000,-9999.00000,-9999.00000,18192948,17.04000,4.89000
54.12500,27.37500,Minsk,0,0.00010,55.00000,0.00060,47.00000,0.00110,56.00000,0.00110,41.00000,-9.67500,0.24200,-10.00700,0.24000,-10.09400,0.30600,-10.09500,0.74600,-9.84600,0.30600,-9.58200,0.18000,-10.52000,0.43200,-9.93000,0.38700,-12.55600,0.52900,-12.14500,0.40000,-11.79000,0.40600,-12.34300,0.44400,-11.97600,0.39200,-11.91000,0.35300,-11.94400,0.31400,-11.70000,0.48000,-12.03200,0.41000,-11.71200,0.31900,-11.73600,0.31000,-9.98100,0.45100,-9.57300,0.26900,-9.53800,0.24700,-9.24400,0.24100,-9.23300,0.27700,-9.67000,0.24700,-9.49700,0.28800,-9.40200,0.30800,-9.85800,0.43600,-9.31900,0.23200,-9.15500,0.33200,-9.38900,0.38700,-9.40300,0.32200,-9.32600,0.34600,0,-9999.00000,-9999.00000,-9999.00000,18192948,20.98000,5.06000
54.12500,27.42500,Minsk,0,0.00010,0.00000,0.00040,0.00000,0.00100,19.00000,0.00170,30.00000,-9.67600,0.24200,-10.00800,0.24000,-10.09400,0.30600,-10.09700,0.74500,-9.84600,0.30600,-9.58200,0.18000,-10.52100,0.43200,-9.93000,0.38700,-12.52800,0.54100,-12.11600,0.40800,-11.74300,0.42000,-12.27900,0.43200,-11.93200,0.39500,-11.86900,0.36700,-11.88500,0.30400,-11.65500,0.48400,-11.99100,0.41300,-11.67400,0.31400,-11.66200,0.32200,-9.97300,0.45500,-9.56800,0.26900,-9.52700,0.24700,-9.24600,0.24000,-9.24300,0.27100,-9.66500,0.25100,-9.50400,0.29400,-9.39300,0.30000,-9.86700,0.44200,-9.32100,0.23300,-9.16600,0.33000,-9.39700,0.38400,-9.40400,0.31700,-9.29400,0.35700,0,-9999.00000,-9999.00000,-9999.00000,18192948,28.49000,5.57000
54.12500,27.47500,Minsk,0,0.00010,24.00000,0.00020,52.00000,0.00030,38.00000,0.00060,41.00000,-9.70100,0.26400,-9.99500,0.24600,-10.02700,0.31700,-9.99500,0.82300,-9.79900,0.32100,-9.51300,0.19800,-10.49100,0.43600,-9.86100,0.39400,-12.49300,0.53300,-12.09500,0.40200,-11.70000,0.41900,-12.22400,0.41700,-11.88100,0.38700,-11.83000,0.36600,-11.81600,0.28600,-11.60400,0.47600,-11.94800,0.41100,-11.63800,0.32100,-11.58600,0.31100,-9.94600,0.46100,-9.55300,0.26600,-9.49100,0.24900,-9.24400,0.23800,-9.25500,0.26700,-9.64800,0.26700,-9.49500,0.29700,-9.37100,0.29500,-9.86700,0.45200,-9.30900,0.23600,-9.16400,0.33300,-9.37800,0.38100,-9.38500,0.31400,-9.25200,0.35800,0,-9999.00000,-9999.00000,-9999.00000,18192948,29.75000,5.74000
54.12500,27.52500,Minsk,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9.70400,0.26600,-9.99400,0.24600,-10.02000,0.31800,-9.98500,0.83100,-9.79500,0.32200,-9.50600,0.20000,-10.48900,0.43600,-9.85500,0.39500,-12.48800,0.52100,-12.09400,0.40700,-11.69300,0.41700,-12.21000,0.41200,-11.87100,0.38100,-11.81800,0.36900,-11.79300,0.28200,-11.58800,0.46800,-11.93400,0.40900,-11.63300,0.31500,-11.55700,0.29700,-9.93500,0.46000,-9.54100,0.26600,-9.45600,0.25100,-9.24400,0.23800,-9.26600,0.26600,-9.63600,0.28500,-9.48500,0.29800,-9.36100,0.29500,-9.86000,0.45800,-9.29800,0.23900,-9.16000,0.33700,-9.35900,0.38600,-9.36100,0.31400,-9.22300,0.35900,0,-9999.00000,-9999.00000,-9999.00000,18192948,28.53000,5.77000
54.12500,27.57500,Minsk,0,0.00000,200.00000,0.00000,78.00000,0.00000,56.00000,0.00000,0.00000,-9.72000,0.27000,-10.00000,0.24600,-10.01900,0.32000,-10.00900,0.77300,-9.80000,0.32600,-9.51100,0.19100,-10.49900,0.43400,-9.85200,0.39700,-12.49600,0.50800,-12.10200,0.41100,-11.70200,0.41400,-12.21300,0.41400,-11.87200,0.37600,-11.81400,0.37200,-11.78700,0.28300,-11.57800,0.46000,-11.93100,0.41300,-11.64100,0.30800,-11.54100,0.28400,-9.93200,0.45900,-9.53400,0.26800,-9.42400,0.25300,-9.24600,0.23800,-9.27800,0.26600,-9.63000,0.30300,-9.47800,0.30000,-9.35500,0.29700,-9.85800,0.46300,-9.28900,0.24300,-9.15700,0.34200,-9.34100,0.39200,-9.34100,0.31500,-9.19900,0.36000,0,-9999.00000,-9999.00000,-9999.00000,18192948,27.40000,5.55000
54.12500,27.62500,Minsk,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00040,95.00000,-9.78800,0.28800,-10.02600,0.24700,-10.01100,0.32700,-10.10800,0.52800,-9.81700,0.34200,-9.52900,0.15500,-10.54200,0.42500,-9.83800,0.40400,-12.53700,0.48700,-12.13200,0.40800,-11.74300,0.40600,-12.25800,0.43200,-11.89400,0.37100,-11.83100,0.37200,-11.81900,0.28900,-11.57300,0.44800,-11.95500,0.43300,-11.68100,0.30200,-11.54700,0.27100,-9.95000,0.45900,-9.53600,0.27600,-9.39700,0.25300,-9.25300,0.24000,-9.29900,0.27000,-9.64000,0.32100,-9.48400,0.30300,-9.35500,0.30600,-9.87000,0.46800,-9.28400,0.24900,-9.15700,0.35100,-9.32600,0.40200,-9.33000,0.31700,-9.18400,0.36500,0,-9999.00000,-9999.00000,-9999.00000,18192948,28.38000,5.05000
54.12500,27.67500,Minsk,0,0.00010,48.00000,0.00030,68.00000,0.00030,47.00000,0.00030,15.00000,-9.78900,0.28800,-10.02600,0.24700,-10.01200,0.32700,-10.10900,0.52800,-9.81700,0.34200,-9.52900,0.15500,-10.54200,0.42500,-9.83800,0.40400,-12.61000,0.46100,-12.21100,0.40400,-11.79700,0.40100,-12.32900,0.45100,-11.95800,0.36000,-11.87100,0.38700,-11.87800,0.30600,-11.60800,0.44900,-12.01100,0.44400,-11.75000,0.28500,-11.60100,0.26100,-9.98300,0.46500,-9.55500,0.27700,-9.39800,0.25300,-9.26800,0.23900,-9.34700,0.28800,-9.68800,0.35700,-9.51200,0.30000,-9.40400,0.33400,-9.89700,0.46900,-9.29500,0.25500,-9.19100,0.37300,-9.33000,0.41800,-9.34400,0.31900,-9.19800,0.37500,0,-9999.00000,-9999.00000,-9999.00000,18192948,22.25000,5.13000
54.12500,27.72500,Minsk,0,0.00040,335.00000,0.00080,386.00000,0.00080,331.00000,0.00100,347.00000,-9.84300,0.29000,-10.05300,0.24200,-10.03700,0.33000,-10.12100,0.53600,-9.85600,0.35200,-9.56800,0.15700,-10.59600,0.42500,-9.85400,0.40800,-12.68700,0.45200,-12.27700,0.40300,-11.84300,0.39800,-12.39900,0.47000,-12.02300,0.35600,-11.92100,0.39500,-11.94400,0.30400,-11.65900,0.44900,-12.06500,0.45400,-11.80300,0.28100,-11.66100,0.25900,-10.03000,0.46900,-9.58800,0.27500,-9.42200,0.24900,-9.29000,0.23700,-9.43000,0.31800,-9.74800,0.38500,-9.57500,0.31600,-9.46700,0.35400,-9.94500,0.48200,-9.32300,0.26400,-9.23800,0.38500,-9.34900,0.42300,-9.38200,0.32800,-9.22900,0.38200,0,-9999.00000,-9999.00000,-9999.00000,18192948,20.86000,5.24000
54.12500,27.77500,Minsk,0,0.00010,176.00000,0.00030,315.00000,0.00040,224.00000,0.00060,388.00000,-9.91000,0.29300,-10.08500,0.23700,-10.06700,0.33400,-10.13600,0.54700,-9.90400,0.36500,-9.61500,0.15900,-10.66100,0.42500,-9.87300,0.41400,-12.77300,0.45000,-12.34400,0.40200,-11.88900,0.39600,-12.47500,0.48900,-12.09600,0.35300,-11.97700,0.40400,-12.01600,0.29800,-11.71700,0.44800,-12.12300,0.46500,-11.85500,0.27900,-11.72900,0.26100,-10.09600,0.47900,-9.63500,0.27300,-9.45700,0.24400,-9.31900,0.23400,-9.53100,0.35100,-9.82000,0.41100,-9.65600,0.33700,-9.54700,0.37400,-10.02000,0.50200,-9.36500,0.27400,-9.29500,0.39300,-9.38700,0.42700,-9.43500,0.34500,-9.27200,0.39300,0,-9999.00000,-9999.00000,-9999.00000,18192948,26.84000,5.17000
