latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
25.92500,-100.57500,Monterrey,0,0.00250,0.00000,0.00800,0.00000,0.00900,0.00000,0.00960,0.00000,-9.26300,0.09900,-9.19100,0.07400,-9.24000,0.34100,-9.21300,0.54500,-9.10300,0.21400,-8.95700,0.13800,-9.07400,0.14100,-9.05300,0.15100,-10.67100,0.18500,-10.57000,0.31200,-10.65800,0.26000,-10.81200,0.21800,-10.77300,0.30300,-10.81800,0.24700,-10.81700,0.28100,-10.67400,0.24200,-10.98400,0.19300,-10.82200,0.19800,-10.49000,0.30200,-8.86500,0.24100,-8.64800,0.33600,-8.39800,0.28800,-8.50700,0.36800,-8.53900,0.24500,-8.40400,0.24400,-8.44000,0.44800,-8.55700,0.34100,-8.65600,0.34700,-8.67300,0.24900,-8.42300,0.27800,-8.63900,0.35400,-8.46800,0.47500,-8.56900,0.29500,0,-9999.00000,-9999.00000,-9999.00000,27746896,7.05000,2.07000
25.92500,-100.52500,Monterrey,0,0.00210,0.00000,0.01020,0.00000,0.01280,1.00000,0.01420,1.00000,-9.06800,0.11700,-9.07700,0.08200,-9.05500,0.31200,-8.94500,0.22600,-8.98600,0.25600,-8.78100,0.13800,-8.95300,0.12300,-8.89900,0.13900,-10.56400,0.17900,-10.45500,0.30100,-10.51400,0.24900,-10.60800,0.20600,-10.55200,0.30800,-10.59800,0.22900,-10.62300,0.27200,-10.44800,0.20500,-10.69300,0.20900,-10.52400,0.19000,-10.27700,0.28100,-8.51500,0.22100,-8.34700,0.25500,-8.13200,0.23100,-8.26100,0.33900,-8.31200,0.19200,-8.10000,0.23100,-8.13900,0.43300,-8.23100,0.19700,-8.32500,0.23600,-8.28700,0.17900,-8.05400,0.19500,-8.26200,0.33000,-8.17300,0.38500,-8.21300,0.28400,0,-9999.00000,-9999.00000,-9999.00000,27746896,17.33000,4.27000
25.92500,-100.47500,Monterrey,0,0.00270,3.00000,0.00880,5.00000,0.01050,7.00000,0.01710,7.00000,-9.03900,0.13100,-9.09200,0.08500,-9.03200,0.29800,-8.96200,0.24800,-9.00900,0.28300,-8.77700,0.14300,-8.95900,0.11700,-8.90500,0.13200,-10.54000,0.17900,-10.43900,0.29200,-10.44700,0.22900,-10.44600,0.22700,-10.42700,0.32100,-10.45300,0.24700,-10.47000,0.26400,-10.30700,0.18500,-10.44500,0.22800,-10.27800,0.21300,-10.15300,0.26200,-8.41800,0.23500,-8.23700,0.25000,-8.07000,0.21900,-8.18500,0.35900,-8.27600,0.17900,-8.02600,0.22500,-8.10300,0.43500,-8.12100,0.19300,-8.26800,0.23100,-8.17300,0.15700,-7.98900,0.23400,-8.13500,0.34300,-8.03900,0.38600,-8.05100,0.23000,0,-9999.00000,-9999.00000,-9999.00000,27746896,23.30000,5.39000
25.92500,-100.42500,Monterrey,0,0.00100,688.00000,0.01040,826.00000,0.01280,1012.00000,0.01690,1028.00000,-8.99400,0.15400,-9.11500,0.08900,-8.99500,0.27600,-8.98800,0.28200,-9.04400,0.32600,-8.77000,0.15200,-8.96900,0.10900,-8.91500,0.12100,-10.63000,0.20800,-10.54600,0.28100,-10.48400,0.22800,-10.36300,0.29500,-10.38100,0.35900,-10.36600,0.29200,-10.38800,0.27800,-10.24500,0.21200,-10.24500,0.27600,-10.04700,0.27700,-10.10700,0.25300,-8.43000,0.28300,-8.22600,0.27500,-8.09200,0.22300,-8.19600,0.39800,-8.32600,0.18800,-8.05300,0.23300,-8.12800,0.46000,-8.13800,0.24600,-8.29700,0.21900,-8.14200,0.16700,-7.98600,0.27200,-8.05400,0.37000,-7.94800,0.39700,-7.91900,0.25800,0,-9999.00000,-9999.00000,-9999.00000,27746896,23.79000,5.60000
25.92500,-100.37500,Monterrey,1,0.00360,1565.00000,0.02130,2332.00000,0.02960,4191.00000,0.04700,24281.00000,-9.03600,0.17600,-9.21200,0.10200,-9.04700,0.27200,-9.11900,0.35200,-9.17600,0.37300,-8.86200,0.15800,-9.05100,0.11200,-9.03000,0.13900,-10.84300,0.23400,-10.77000,0.25600,-10.63800,0.26700,-10.39400,0.39400,-10.44500,0.42000,-10.38600,0.36600,-10.41400,0.33100,-10.31000,0.28400,-10.16200,0.33500,-9.93700,0.35300,-10.15600,0.27100,-8.56900,0.34300,-8.33400,0.32300,-8.27600,0.26000,-8.28000,0.45300,-8.47000,0.22900,-8.22900,0.26600,-8.22600,0.53200,-8.25600,0.30300,-8.40300,0.20300,-8.16700,0.18300,-8.03700,0.30700,-7.99600,0.44300,-7.88800,0.41100,-7.78200,0.32500,0,-9999.00000,-9999.00000,-9999.00000,27746896,8.99000,3.32000
25.92500,-100.32500,Monterrey,1,0.00330,247.00000,0.01550,633.00000,0.02410,965.00000,0.06550,6096.00000,-9.06300,0.18900,-9.27200,0.11100,-9.07900,0.26900,-9.19900,0.39600,-9.25700,0.40200,-8.91800,0.16100,-9.10200,0.11400,-9.10100,0.15000,-11.11700,0.25000,-11.08000,0.23500,-10.87400,0.34100,-10.53900,0.47400,-10.63900,0.47600,-10.53800,0.44100,-10.56800,0.37000,-10.50500,0.35200,-10.23000,0.38000,-9.98500,0.39900,-10.31700,0.31400,-8.88600,0.47500,-8.63800,0.49200,-8.83200,0.42000,-8.41500,0.56300,-8.80200,0.26200,-8.71300,0.36900,-8.49400,0.72800,-8.47600,0.35800,-8.52900,0.23500,-8.19000,0.27700,-8.09900,0.37300,-7.99100,0.49900,-7.83100,0.45800,-7.59600,0.48400,0,-9999.00000,-9999.00000,-9999.00000,27746896,6.91000,2.65000
25.92500,-100.27500,Monterrey,1,0.00010,2473.00000,0.00250,5145.00000,0.01280,6375.00000,0.06480,10826.00000,-9.18800,0.20900,-9.41500,0.13300,-9.21900,0.28700,-9.39500,0.45400,-9.45500,0.42200,-9.09900,0.16200,-9.24700,0.14100,-9.29600,0.19600,-11.36700,0.28700,-11.35500,0.22100,-11.07500,0.44100,-10.69400,0.53700,-10.81500,0.49100,-10.69200,0.49800,-10.70900,0.38900,-10.68600,0.41100,-10.30500,0.42100,-10.05200,0.44300,-10.46100,0.33600,-9.11900,0.55700,-8.89800,0.66700,-9.22200,0.50700,-8.55200,0.70500,-9.13400,0.32900,-9.12600,0.41000,-8.74500,0.90400,-8.70000,0.51300,-8.62600,0.32200,-8.28300,0.42700,-8.26200,0.47000,-7.99400,0.58400,-7.81100,0.53200,-7.51600,0.58500,0,-9999.00000,-9999.00000,-9999.00000,27746896,4.68000,2.06000
25.92500,-100.22500,Monterrey,1,0.00010,0.00000,0.00800,38.00000,0.02460,159.00000,0.08090,2756.00000,-9.20000,0.21400,-9.43200,0.14000,-9.23100,0.29200,-9.42200,0.46600,-9.48100,0.42900,-9.12100,0.16400,-9.26200,0.14700,-9.31700,0.20500,-11.64200,0.30200,-11.64900,0.20600,-11.33000,0.49000,-10.97300,0.54700,-11.10000,0.44600,-10.96600,0.49700,-10.98300,0.38900,-10.98000,0.43000,-10.54900,0.44300,-10.27500,0.46600,-10.72800,0.34600,-9.25300,0.60100,-9.01800,0.77700,-9.38700,0.57100,-8.64900,0.72100,-9.33600,0.39400,-9.41000,0.40200,-8.84600,0.96800,-8.92000,0.61700,-8.73900,0.32000,-8.47200,0.49800,-8.44400,0.51900,-8.10700,0.65300,-7.93100,0.63500,-7.70100,0.59800,0,-9999.00000,-9999.00000,-9999.00000,27746896,5.25000,2.44000
25.92500,-100.17500,Monterrey,2,0.01490,150.00000,0.03210,873.00000,0.03810,3037.00000,0.14490,180486.00000,-9.36200,0.22700,-9.56700,0.14500,-9.39600,0.27700,-9.66800,0.56600,-9.63500,0.37300,-9.31500,0.16700,-9.43500,0.14100,-9.49000,0.18800,-11.85400,0.30700,-11.85900,0.21100,-11.54300,0.51300,-11.25600,0.49500,-11.37200,0.42000,-11.22800,0.47300,-11.26500,0.34300,-11.24900,0.39800,-10.85400,0.40800,-10.56600,0.44700,-10.99100,0.31600,-9.38000,0.51400,-9.18300,0.72300,-9.53700,0.56100,-8.91600,0.73300,-9.54600,0.42800,-9.60200,0.36200,-9.10400,0.91500,-9.19500,0.60400,-9.11100,0.37700,-9.04800,0.45000,-8.99300,0.52300,-8.64100,0.63100,-8.53800,0.64100,-8.36300,0.59200,0,-9999.00000,-9999.00000,-9999.00000,27746896,7.28000,3.18000
25.92500,-100.12500,Monterrey,1,0.00290,0.00000,0.00890,0.00000,0.01240,3.00000,0.02260,1504.00000,-9.37900,0.23000,-9.57600,0.14700,-9.40200,0.27200,-9.68400,0.58200,-9.64300,0.36400,-9.33000,0.16800,-9.45100,0.13700,-9.49700,0.18400,-11.93800,0.26600,-11.92300,0.20900,-11.65900,0.49700,-11.45400,0.42500,-11.53700,0.36300,-11.39300,0.41700,-11.45800,0.29900,-11.45000,0.34400,-11.10300,0.36300,-10.81100,0.40000,-11.19600,0.27700,-9.46800,0.40300,-9.27100,0.66300,-9.59100,0.49900,-9.10600,0.64300,-9.64500,0.36500,-9.66800,0.34200,-9.29300,0.79100,-9.35100,0.50200,-9.36300,0.25600,-9.28000,0.34400,-9.28700,0.44600,-8.97300,0.51300,-9.01400,0.62200,-8.81300,0.51300,0,-9999.00000,-9999.00000,-9999.00000,27746896,6.99000,2.99000
