latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
45.72500,-73.82500,Montreal,1,0.00610,1144.00000,0.02970,1946.00000,0.03670,2301.00000,0.04830,2980.00000,-9.08800,0.44900,-8.66600,0.36000,-8.73200,0.53600,-9.00100,0.36100,-8.98000,0.48400,-8.49300,0.32700,-8.48500,0.33400,-8.57300,0.23300,-10.42200,0.34100,-10.33700,0.40700,-10.35500,0.38200,-10.40300,0.29400,-10.30500,0.34800,-10.23500,0.27600,-10.17700,0.22000,-10.10600,0.26400,-10.10600,0.32100,-9.93200,0.37700,-9.91000,0.35000,-9.10300,0.36000,-8.76500,0.40900,-8.70400,0.34000,-8.73900,0.40700,-8.72600,0.27300,-8.73700,0.43900,-8.49300,0.38600,-8.61500,0.36400,-8.52900,0.34300,-8.52400,0.32900,-8.37600,0.30700,-8.33200,0.47300,-8.52800,0.39900,-8.40100,0.45100,0,-9999.00000,-9999.00000,-9999.00000,21630710,32.45000,6.84000
45.72500,-73.77500,Montreal,1,0.00420,1007.00000,0.02470,1524.00000,0.03040,1875.00000,0.04720,2550.00000,-8.75200,0.46200,-8.42000,0.40800,-8.53600,0.53900,-8.74400,0.38700,-8.85400,0.62800,-8.25700,0.30000,-8.28000,0.37100,-8.35300,0.28900,-10.19900,0.33700,-10.14300,0.38800,-10.14200,0.37200,-10.20800,0.32200,-10.11300,0.34200,-10.00700,0.29400,-9.93900,0.21800,-9.88900,0.28800,-9.84300,0.28600,-9.72200,0.37300,-9.70200,0.32000,-8.93400,0.37700,-8.61300,0.42000,-8.57200,0.32300,-8.62600,0.37200,-8.53400,0.28600,-8.54600,0.46700,-8.30800,0.40100,-8.46000,0.37300,-8.34600,0.35400,-8.33500,0.32400,-8.09900,0.29400,-8.15200,0.46200,-8.27100,0.35200,-8.13500,0.45300,0,-9999.00000,-9999.00000,-9999.00000,21630710,27.42000,6.81000
45.72500,-73.72500,Montreal,1,0.01290,740.00000,0.03490,622.00000,0.07450,1184.00000,0.15030,1549.00000,-8.75200,0.46200,-8.42000,0.40800,-8.53600,0.53900,-8.74400,0.38700,-8.85400,0.62800,-8.25700,0.30000,-8.28000,0.37100,-8.35300,0.28900,-10.03100,0.34400,-9.97000,0.37700,-9.97500,0.35300,-10.05000,0.33600,-9.92100,0.36400,-9.81200,0.31500,-9.72200,0.23100,-9.68700,0.30200,-9.61800,0.25300,-9.53500,0.37300,-9.52100,0.29000,-8.74900,0.35800,-8.44900,0.40900,-8.39700,0.31200,-8.41200,0.32700,-8.34000,0.28600,-8.27700,0.44400,-8.08600,0.39200,-8.20500,0.36700,-8.15500,0.37000,-8.08800,0.30000,-7.85400,0.29200,-7.93700,0.46000,-7.99600,0.35000,-7.88400,0.41300,0,-9999.00000,-9999.00000,-9999.00000,21630710,21.07000,6.57000
45.72500,-73.67500,Montreal,2,0.09700,11480.00000,0.45710,18727.00000,0.54740,25051.00000,0.63710,38870.00000,-8.44000,0.39300,-8.25400,0.44900,-8.34800,0.58100,-8.51000,0.49500,-8.79500,0.79700,-8.08900,0.28900,-8.16000,0.40400,-8.21400,0.32800,-9.93700,0.33600,-9.85800,0.36300,-9.86900,0.34200,-9.95300,0.34900,-9.80100,0.35500,-9.69700,0.33600,-9.57400,0.23200,-9.57300,0.32000,-9.48700,0.24100,-9.42200,0.36300,-9.40600,0.28500,-8.59700,0.35300,-8.30700,0.37400,-8.28400,0.29600,-8.25500,0.30600,-8.20700,0.27700,-8.12700,0.46400,-7.95600,0.38800,-8.05100,0.36100,-8.03500,0.37600,-7.98900,0.30600,-7.72200,0.31400,-7.81500,0.44000,-7.87200,0.32600,-7.75800,0.38600,0,-9999.00000,-9999.00000,-9999.00000,21630710,20.79000,5.66000
45.72500,-73.62500,Montreal,3,0.09450,12952.00000,0.24330,20949.00000,0.34460,28181.00000,0.51820,43649.00000,-8.31900,0.36600,-8.19000,0.46500,-8.27500,0.59700,-8.42000,0.53700,-8.77200,0.86300,-8.02500,0.28500,-8.11400,0.41700,-8.16100,0.34300,-9.89500,0.34200,-9.80700,0.34200,-9.82800,0.34000,-9.93000,0.35200,-9.74900,0.34400,-9.64600,0.36100,-9.50500,0.24400,-9.52500,0.34000,-9.42600,0.24400,-9.37900,0.35200,-9.35800,0.28700,-8.59800,0.34500,-8.29100,0.37000,-8.26900,0.30400,-8.21800,0.29800,-8.19100,0.27900,-8.10800,0.50100,-7.93200,0.39300,-8.02500,0.35600,-8.04100,0.40500,-8.01100,0.32000,-7.72100,0.34000,-7.85600,0.45000,-7.88600,0.31400,-7.74800,0.37400,0,-9999.00000,-9999.00000,-9999.00000,21630710,19.88000,5.49000
45.72500,-73.57500,Montreal,1,0.04290,3512.00000,0.10470,5342.00000,0.13310,6988.00000,0.19840,10298.00000,-8.23600,0.28200,-8.24600,0.46200,-8.30600,0.57200,-8.44800,0.54500,-8.86600,0.92200,-8.06800,0.29300,-8.18500,0.43100,-8.23200,0.35100,-9.92600,0.35500,-9.84000,0.31700,-9.86600,0.34400,-9.98300,0.34600,-9.77600,0.33600,-9.67400,0.37900,-9.53400,0.25400,-9.57600,0.35400,-9.45900,0.24600,-9.42900,0.34900,-9.38400,0.28000,-8.81700,0.34300,-8.52000,0.37400,-8.47200,0.32700,-8.43500,0.31800,-8.43700,0.31300,-8.40700,0.50900,-8.21100,0.41400,-8.32000,0.32600,-8.34700,0.39400,-8.30200,0.34500,-8.04300,0.35600,-8.15400,0.49000,-8.17300,0.34100,-8.03400,0.38500,0,-9999.00000,-9999.00000,-9999.00000,21630710,18.98000,6.08000
45.72500,-73.52500,Montreal,2,0.09040,3696.00000,0.16290,5734.00000,0.19810,7738.00000,0.27040,11858.00000,-8.12800,0.18800,-8.30200,0.46000,-8.34400,0.53900,-8.47600,0.54100,-8.96500,0.96200,-8.11400,0.30500,-8.26300,0.45100,-8.30900,0.36400,-10.03100,0.36000,-9.94200,0.30100,-9.97100,0.36000,-10.08300,0.34000,-9.87600,0.32900,-9.77500,0.38400,-9.64500,0.26500,-9.70500,0.35000,-9.56500,0.24800,-9.55100,0.35700,-9.49100,0.27500,-9.03900,0.34200,-8.76600,0.39300,-8.73800,0.33300,-8.69300,0.33800,-8.75500,0.36600,-8.74600,0.51000,-8.57700,0.41900,-8.63800,0.30500,-8.65100,0.35100,-8.60600,0.36800,-8.43300,0.36200,-8.46000,0.51600,-8.47800,0.35000,-8.31100,0.38600,0,-9999.00000,-9999.00000,-9999.00000,21630710,21.18000,6.46000
45.72500,-73.47500,Montreal,2,0.21900,15676.00000,0.34880,20989.00000,0.38140,24925.00000,0.44020,31887.00000,-8.17600,0.18300,-8.40700,0.44300,-8.46600,0.51300,-8.58800,0.49200,-9.00200,0.83200,-8.22200,0.31200,-8.36800,0.45100,-8.42200,0.36300,-10.20800,0.34900,-10.10900,0.29800,-10.13000,0.37500,-10.24000,0.34000,-10.06300,0.33400,-9.95000,0.39000,-9.83400,0.26700,-9.90500,0.33900,-9.74500,0.26000,-9.74300,0.38200,-9.68500,0.27500,-9.14900,0.33700,-8.90200,0.39800,-8.92300,0.30000,-8.85600,0.34000,-8.93000,0.39400,-8.90800,0.50800,-8.77900,0.39900,-8.78300,0.33000,-8.76100,0.34000,-8.75000,0.39400,-8.62900,0.38100,-8.64600,0.54800,-8.62800,0.32400,-8.47400,0.36700,2,-9999.00000,-9999.00000,-9999.00000,21630710,15.87000,6.30000
45.72500,-73.42500,Montreal,1,0.11170,4169.00000,0.16950,5607.00000,0.17510,6679.00000,0.18430,8604.00000,-8.20200,0.20500,-8.54900,0.41600,-8.66000,0.44200,-8.70200,0.47400,-8.87000,0.43000,-8.38600,0.32200,-8.52900,0.46400,-8.59900,0.37400,-10.40800,0.33700,-10.29800,0.31900,-10.32000,0.38200,-10.42100,0.33200,-10.28600,0.34900,-10.15300,0.39200,-10.06600,0.25600,-10.14200,0.33000,-9.95200,0.26000,-9.96700,0.41200,-9.90900,0.26600,-9.23700,0.33300,-9.01500,0.39100,-9.06800,0.27100,-8.99700,0.34600,-9.07000,0.42800,-9.08600,0.53100,-8.92900,0.40200,-8.95200,0.39200,-8.92700,0.33500,-8.94100,0.44100,-8.78400,0.39500,-8.85400,0.60600,-8.81100,0.32700,-8.75300,0.37500,37,-9999.00000,-9999.00000,-9999.00000,21630710,8.30000,7.01000
45.72500,-73.37500,Montreal,1,0.01310,161.00000,0.02520,221.00000,0.03580,275.00000,0.05410,330.00000,-8.26000,0.21700,-8.64200,0.40100,-8.77400,0.42400,-8.80700,0.42300,-8.89500,0.38300,-8.48400,0.33000,-8.61800,0.46100,-8.69800,0.37600,-10.61000,0.32400,-10.50400,0.36000,-10.50800,0.38900,-10.60700,0.31000,-10.51700,0.34400,-10.35800,0.37800,-10.30600,0.26600,-10.38400,0.32900,-10.17000,0.28500,-10.20000,0.45800,-10.15800,0.26700,-9.33400,0.33000,-9.13300,0.39400,-9.20200,0.30300,-9.10000,0.34100,-9.20100,0.44400,-9.23300,0.54900,-9.06300,0.42100,-9.19000,0.43300,-9.08100,0.32000,-9.12400,0.46200,-8.97900,0.40300,-9.05500,0.63500,-9.04000,0.35900,-8.97300,0.39700,0,-9999.00000,-9999.00000,-9999.00000,21630710,6.67000,4.33000
