latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
30.42500,71.22500,Multan,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-11.97100,0.28700,-11.66400,0.73100,-11.56800,0.57600,-11.86000,0.38800,-11.63600,0.53500,-11.86100,0.67000,-11.99800,0.50900,-12.09200,0.26700,-14.12400,0.20600,-14.50100,0.28300,-14.02700,0.66600,-14.64600,0.26200,-13.86100,0.56900,-14.01000,0.53900,-13.53600,0.31800,-14.17200,0.58900,-13.96300,0.29100,-13.63900,0.64900,-13.78000,0.46500,-13.13300,0.42900,-12.68500,0.91800,-13.00300,0.63800,-11.99500,0.84100,-12.49100,0.73800,-12.47800,1.36800,-12.78200,0.60900,-12.76600,0.72100,-12.33400,0.67100,-12.54200,0.78500,-12.61000,0.49200,-13.42000,0.76700,-12.57600,0.72700,-12.69800,0.67700,0,-9999,-9999,-9999,26626402,2.76000,1.08000
30.42500,71.27500,Multan,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-11.98500,0.23400,-11.71700,0.75300,-11.64000,0.52900,-11.89500,0.35600,-11.66200,0.52900,-12.01300,0.61300,-12.06500,0.49200,-12.16600,0.25500,-14.59000,0.23000,-14.97500,0.25000,-14.46400,0.70200,-15.07500,0.26400,-14.21200,0.57800,-14.33700,0.56300,-13.82600,0.30800,-14.50300,0.59800,-14.26200,0.25800,-13.96500,0.69600,-14.07300,0.48600,-13.70000,0.42800,-13.24500,0.91000,-13.57400,0.63300,-12.51400,0.88300,-13.02000,0.71200,-13.13700,1.44700,-13.28700,0.65100,-13.44000,0.67100,-12.77100,0.68400,-13.01200,0.82900,-13.14500,0.52200,-13.95300,0.78500,-13.18900,0.71300,-13.18100,0.75000,0,-9999,-9999,-9999,26626402,0.94000,0.43000
30.42500,71.32500,Multan,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-11.90800,0.19600,-11.65700,0.72000,-11.63000,0.47200,-11.81400,0.33400,-11.58000,0.52100,-12.08900,0.61600,-12.02700,0.44900,-12.13800,0.24300,-14.81400,0.25000,-15.15300,0.22500,-14.61600,0.69100,-15.19900,0.28800,-14.30500,0.54300,-14.38700,0.56000,-13.88400,0.29300,-14.54100,0.56800,-14.31200,0.25800,-14.04500,0.69700,-14.11500,0.47700,-13.94100,0.44000,-13.54000,0.89400,-13.83600,0.66300,-12.78600,0.90700,-13.35100,0.65400,-13.56100,1.42800,-13.58500,0.69700,-13.86800,0.63400,-13.00400,0.67600,-13.33500,0.82500,-13.47900,0.51000,-14.26800,0.77700,-13.54400,0.66400,-13.44700,0.76700,0,-9999,-9999,-9999,26626402,-9999.00000,0.39000
30.42500,71.37500,Multan,0,0.00000,0.00000,0.00020,0.00000,0.00090,1497.00000,0.00310,7389.00000,-11.79800,0.17300,-11.55400,0.68900,-11.57300,0.42400,-11.69700,0.31600,-11.46300,0.50900,-12.10600,0.64200,-11.93600,0.40400,-12.04900,0.23200,-14.71800,0.24100,-14.97700,0.21400,-14.44700,0.62800,-14.95100,0.29000,-14.07900,0.47600,-14.14000,0.52200,-13.67200,0.28700,-14.26600,0.51000,-14.07100,0.25700,-13.86100,0.64100,-13.87900,0.42200,-13.92300,0.46900,-13.57000,0.85800,-13.81200,0.67000,-12.84300,0.90300,-13.44600,0.61600,-13.69300,1.36800,-13.63100,0.70300,-13.96600,0.63400,-13.02600,0.64100,-13.44100,0.79800,-13.58100,0.49000,-14.30800,0.77400,-13.62300,0.63300,-13.48600,0.73700,0,-9999,-9999,-9999,26626402,-9999.00000,0.50000
30.42500,71.42500,Multan,0,0.00000,0.00000,0.00010,758.00000,0.00050,2017.00000,0.00210,25639.00000,-11.67300,0.18600,-11.42300,0.66900,-11.47300,0.42600,-11.55400,0.31200,-11.33600,0.51200,-12.06300,0.75400,-11.79700,0.38800,-11.92300,0.24000,-14.41800,0.23100,-14.61400,0.19800,-14.14800,0.55600,-14.59700,0.29500,-13.72900,0.44000,-13.77600,0.48400,-13.38400,0.30400,-13.85200,0.46100,-13.69100,0.24900,-13.57600,0.56900,-13.52000,0.39300,-13.53600,0.48300,-13.32700,0.79900,-13.42300,0.61700,-12.68200,0.82200,-13.30900,0.54700,-13.56900,1.21600,-13.35100,0.71300,-13.73700,0.66700,-12.89300,0.58800,-13.37400,0.74400,-13.43800,0.46600,-14.03500,0.77600,-13.44400,0.59500,-13.30800,0.69400,0,-9999,-9999,-9999,26626402,-9999.00000,0.52000
30.42500,71.47500,Multan,1,0.00000,0.00000,0.00010,684.00000,0.00390,4057.00000,0.01120,10666.00000,-11.45000,0.19500,-11.19600,0.65100,-11.27100,0.42900,-11.31500,0.31100,-11.11700,0.50900,-11.91800,0.87900,-11.54500,0.36500,-11.66800,0.24700,-13.78300,0.22000,-13.90300,0.18800,-13.54300,0.46400,-13.91400,0.30700,-13.11900,0.39000,-13.15500,0.43300,-12.86800,0.32700,-13.20000,0.39900,-13.08800,0.22400,-13.06800,0.45000,-12.94400,0.34400,-12.48700,0.45900,-12.23400,0.68000,-12.23700,0.52900,-11.83800,0.69300,-12.41800,0.51300,-12.53800,0.93500,-12.29100,0.64400,-12.62100,0.66100,-12.05900,0.53800,-12.52500,0.63000,-12.41500,0.45200,-12.77500,0.70500,-12.39000,0.49000,-12.32700,0.62900,0,-9999,-9999,-9999,26626402,2.34000,1.12000
30.42500,71.52500,Multan,1,0.00000,0.00000,0.00040,0.00000,0.00180,1259.00000,0.01070,7913.00000,-11.11800,0.21200,-10.88000,0.66300,-10.94000,0.45900,-10.96400,0.32600,-10.79300,0.50600,-12.01900,1.42600,-11.14300,0.34000,-11.25800,0.28900,-13.02000,0.22800,-13.07200,0.20200,-12.84300,0.40600,-13.12600,0.32100,-12.42800,0.35500,-12.45900,0.39600,-12.28900,0.35600,-12.50000,0.34700,-12.44400,0.21200,-12.50700,0.33200,-12.34200,0.28500,-11.10300,0.39600,-10.80600,0.59700,-10.83600,0.45600,-10.66100,0.58500,-11.13300,0.48300,-11.02500,0.68200,-10.95000,0.55400,-11.09600,0.59100,-10.82000,0.47900,-11.17600,0.51000,-11.04000,0.40800,-11.18300,0.57400,-11.03000,0.39800,-10.99600,0.50900,0,-9999,-9999,-9999,26626402,3.89000,1.64000
30.42500,71.57500,Multan,0,0.00010,44.00000,0.00170,271.00000,0.00170,388.00000,0.00180,297.00000,-10.76400,0.22900,-10.54900,0.68100,-10.59000,0.49600,-10.59100,0.34700,-10.43700,0.50200,-11.75400,1.53200,-10.70900,0.31600,-10.82100,0.33900,-12.34600,0.24300,-12.36100,0.20600,-12.25600,0.39300,-12.48500,0.34400,-11.87900,0.35500,-11.89400,0.37900,-11.81800,0.38700,-11.92700,0.32000,-11.92200,0.21400,-12.05300,0.25400,-11.86600,0.26700,-10.12800,0.34200,-9.96700,0.51700,-9.97300,0.40800,-9.81800,0.48000,-10.08900,0.40700,-9.92100,0.51900,-10.04200,0.44900,-10.02900,0.45400,-9.89700,0.36600,-10.23700,0.44100,-10.18800,0.31800,-10.22900,0.51500,-10.22200,0.34400,-10.17100,0.39800,0,-9999,-9999,-9999,26626402,5.97000,1.97000
30.42500,71.62500,Multan,1,0.00010,340.00000,0.00580,10412.00000,0.00650,9850.00000,0.00790,10657.00000,-10.44100,0.25000,-10.25200,0.71500,-10.24800,0.52300,-10.24700,0.37500,-10.09300,0.50200,-11.74600,2.02200,-10.28000,0.29800,-10.40300,0.42200,-11.66500,0.25100,-11.65600,0.23400,-11.67700,0.39000,-11.86200,0.35700,-11.34700,0.35600,-11.31800,0.37200,-11.32500,0.41100,-11.38700,0.30200,-11.45100,0.21000,-11.60800,0.21200,-11.42900,0.25000,-9.55400,0.28000,-9.53100,0.41700,-9.53900,0.37800,-9.31100,0.38800,-9.38200,0.36400,-9.29000,0.45100,-9.56600,0.31600,-9.44300,0.33400,-9.38400,0.28700,-9.74100,0.34500,-9.70300,0.23800,-9.75200,0.48500,-9.85600,0.29800,-9.78400,0.38600,0,-9999,-9999,-9999,26626402,6.50000,2.04000
30.42500,71.67500,Multan,1,0.00010,659.00000,0.00680,10439.00000,0.00750,11057.00000,0.00970,14119.00000,-10.17500,0.28000,-10.01500,0.75500,-9.95600,0.56000,-9.95200,0.40600,-9.79600,0.51400,-12.42200,3.32000,-9.90400,0.28700,-10.05800,0.52600,-11.16500,0.25200,-11.17200,0.28000,-11.28000,0.41600,-11.42900,0.39200,-10.95900,0.36600,-10.89400,0.38700,-10.98800,0.44200,-11.03200,0.32900,-11.13500,0.20200,-11.30000,0.22300,-11.15400,0.24700,-9.34600,0.25700,-9.34500,0.44200,-9.34300,0.36700,-9.11200,0.38000,-9.08500,0.35500,-9.05300,0.42800,-9.37900,0.26900,-9.19600,0.31800,-9.19600,0.30300,-9.56000,0.30700,-9.54600,0.24800,-9.57900,0.48500,-9.72100,0.30800,-9.66300,0.43400,0,-9999,-9999,-9999,26626402,5.50000,1.99000
