latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
35.42500,136.67500,Nagoya,3,0.11920,36143.00000,0.58680,58021.00000,0.60020,58439.00000,0.63820,56269.00000,-6.52100,0.16500,-6.83300,0.32600,-6.69400,0.32400,-6.48100,0.50000,-6.15100,0.26700,-6.36800,0.18300,-6.21300,0.23600,-6.31200,0.21600,-7.71100,0.38900,-7.74000,0.32500,-7.53200,0.36100,-7.40700,0.40100,-7.28200,0.43000,-7.36100,0.39900,-7.39000,0.39200,-7.21100,0.42900,-7.07000,0.36100,-7.19600,0.44200,-7.23300,0.35500,-5.17700,0.47100,-5.27300,0.41100,-5.11600,0.37200,-5.05800,0.39200,-5.15900,0.35100,-5.13400,0.37700,-5.21000,0.43700,-5.10200,0.41500,-4.97900,0.43200,-5.04800,0.34100,-4.98700,0.38500,-4.96800,0.56400,-4.86200,0.41600,-4.80500,0.47200,0,-9999,-9999,-9999,25189066,10.64000,3.26000
35.42500,136.72500,Nagoya,3,0.42350,75352.00000,0.78420,96191.00000,0.78910,96170.00000,0.81660,91034.00000,-6.53300,0.17500,-6.82600,0.31500,-6.71400,0.32700,-6.49200,0.50600,-6.17400,0.27000,-6.38000,0.18100,-6.22000,0.24000,-6.33200,0.20600,-7.42200,0.39700,-7.44800,0.32400,-7.26200,0.34800,-7.13200,0.42200,-7.00500,0.44000,-7.03700,0.39300,-7.07900,0.37500,-6.89300,0.42300,-6.76800,0.32600,-6.86400,0.44500,-6.88100,0.36500,-5.00200,0.47000,-5.05800,0.43700,-4.95400,0.35800,-4.87300,0.38100,-4.96200,0.35400,-4.95900,0.37000,-5.00600,0.43700,-4.91700,0.42200,-4.78200,0.42800,-4.83100,0.33800,-4.79600,0.34800,-4.74900,0.54300,-4.67400,0.44200,-4.62700,0.46200,0,-9999,-9999,-9999,25189066,7.72000,2.70000
35.42500,136.77500,Nagoya,3,0.55740,109797.00000,0.69690,84456.00000,0.69880,84068.00000,0.71520,78482.00000,-6.41300,0.18700,-6.65700,0.29700,-6.58000,0.33400,-6.37900,0.53600,-6.09300,0.27700,-6.26800,0.18900,-6.09600,0.26100,-6.24100,0.19900,-7.21700,0.38400,-7.28800,0.30400,-7.11700,0.33000,-6.98400,0.43500,-6.84300,0.43000,-6.84400,0.38900,-6.86700,0.35400,-6.69100,0.41100,-6.61700,0.27700,-6.65200,0.44500,-6.66800,0.38600,-4.86000,0.47000,-4.89700,0.45900,-4.83200,0.35300,-4.74700,0.38000,-4.82200,0.35000,-4.83000,0.35500,-4.86200,0.42100,-4.79100,0.43200,-4.64000,0.42300,-4.67300,0.33200,-4.65700,0.32100,-4.63900,0.51300,-4.54400,0.46300,-4.51900,0.45900,0,-9999,-9999,-9999,25189066,27.96000,5.01000
35.42500,136.82500,Nagoya,3,0.25460,41754.00000,0.45530,50168.00000,0.45920,50016.00000,0.50270,50171.00000,-6.42100,0.19200,-6.64700,0.28900,-6.58500,0.33500,-6.39100,0.54600,-6.11900,0.27900,-6.28500,0.19000,-6.10500,0.26900,-6.26300,0.19600,-7.04400,0.39000,-7.12500,0.29200,-6.98400,0.31100,-6.83400,0.43800,-6.66800,0.41200,-6.64800,0.38400,-6.65000,0.33600,-6.50600,0.41700,-6.44400,0.26500,-6.43600,0.44000,-6.47800,0.38500,-4.82200,0.46600,-4.84600,0.52600,-4.84000,0.36600,-4.73400,0.39900,-4.79300,0.37100,-4.83600,0.34600,-4.82700,0.39600,-4.81900,0.46400,-4.61800,0.43800,-4.62600,0.32300,-4.61500,0.30200,-4.68300,0.49900,-4.58500,0.52800,-4.55100,0.45900,0,-9999,-9999,-9999,25189066,25.01000,5.26000
35.42500,136.87500,Nagoya,2,0.22400,32352.00000,0.34020,34694.00000,0.35130,34970.00000,0.39170,34826.00000,-6.28300,0.18600,-6.47900,0.27800,-6.40800,0.34400,-6.27700,0.55500,-6.01800,0.28000,-6.16300,0.19500,-5.97600,0.28900,-6.15700,0.20600,-7.11600,0.38000,-7.19800,0.29300,-7.08700,0.30900,-6.93800,0.43800,-6.74500,0.40100,-6.74400,0.37300,-6.71300,0.30600,-6.60100,0.42300,-6.54900,0.26500,-6.51500,0.43200,-6.54400,0.37300,-5.41000,0.46700,-5.36700,0.63000,-5.41600,0.44400,-5.29000,0.37100,-5.36500,0.36900,-5.39800,0.38400,-5.34100,0.40700,-5.35500,0.46000,-5.15100,0.45500,-5.20700,0.37300,-5.15800,0.37100,-5.17500,0.47400,-5.14000,0.55000,-5.09800,0.45400,0,-9999,-9999,-9999,25189066,23.34000,5.36000
35.42500,136.92500,Nagoya,2,0.10780,17240.00000,0.20230,20998.00000,0.21190,21319.00000,0.25530,21647.00000,-6.20800,0.18300,-6.38700,0.27100,-6.31200,0.34800,-6.21500,0.55900,-5.96300,0.28100,-6.09700,0.19800,-5.90700,0.30000,-6.09900,0.21100,-7.34300,0.36200,-7.44900,0.29400,-7.37000,0.30800,-7.21200,0.44200,-6.98900,0.38200,-7.02000,0.38200,-6.95600,0.29000,-6.85900,0.42200,-6.82900,0.27300,-6.76600,0.40400,-6.76800,0.35900,-5.90300,0.42200,-5.80900,0.55900,-5.86400,0.43400,-5.71800,0.34700,-5.78500,0.35200,-5.79300,0.37900,-5.73400,0.35800,-5.70100,0.41700,-5.53200,0.41200,-5.59600,0.34200,-5.56100,0.36800,-5.50200,0.45000,-5.49500,0.52700,-5.42100,0.43200,0,-9999,-9999,-9999,25189066,45.09000,7.30000
35.42500,136.97500,Nagoya,2,0.10220,16160.00000,0.20610,16699.00000,0.22790,16673.00000,0.29800,16165.00000,-6.21700,0.17800,-6.39200,0.25000,-6.29400,0.35300,-6.25700,0.55200,-6.02300,0.27500,-6.15000,0.20400,-5.95600,0.30000,-6.14900,0.21900,-7.57600,0.35700,-7.70100,0.30300,-7.62800,0.29200,-7.47800,0.43000,-7.22500,0.37500,-7.28900,0.38500,-7.20900,0.29000,-7.11400,0.41500,-7.09300,0.26300,-7.02600,0.38400,-7.00700,0.35300,-6.01800,0.38800,-5.94500,0.44900,-5.97500,0.41500,-5.81100,0.33800,-5.91600,0.33600,-5.88100,0.34500,-5.82600,0.31500,-5.77300,0.35600,-5.62600,0.38600,-5.69200,0.30000,-5.63900,0.33300,-5.56000,0.43600,-5.58800,0.49400,-5.50300,0.41900,0,-9999,-9999,-9999,25189066,41.61000,6.59000
35.42500,137.02500,Nagoya,3,0.14100,71509.00000,0.32870,68242.00000,0.37600,65118.00000,0.46890,61766.00000,-6.44800,0.16800,-6.61100,0.22200,-6.49900,0.35800,-6.52300,0.52900,-6.32100,0.26500,-6.42900,0.19700,-6.24000,0.29400,-6.43800,0.21500,-8.05400,0.33000,-8.19700,0.30500,-8.12400,0.26700,-8.00500,0.39400,-7.73300,0.34200,-7.82000,0.36500,-7.74500,0.27100,-7.66400,0.38800,-7.61800,0.24200,-7.57000,0.34600,-7.53400,0.34600,-6.06900,0.39000,-6.05700,0.41100,-6.02600,0.40300,-5.86200,0.34300,-5.97900,0.33500,-5.94600,0.33600,-5.90200,0.31700,-5.80700,0.33300,-5.68600,0.37700,-5.74500,0.30000,-5.69100,0.31100,-5.63700,0.43700,-5.63700,0.47200,-5.61100,0.44400,0,-9999,-9999,-9999,25189066,13.45000,4.09000
35.42500,137.07500,Nagoya,2,0.07000,36314.00000,0.18760,47527.00000,0.22350,47240.00000,0.29040,43931.00000,-6.76800,0.15900,-6.92900,0.19800,-6.79300,0.37100,-6.87800,0.50100,-6.70800,0.25400,-6.79400,0.19600,-6.61700,0.28300,-6.80900,0.21600,-8.61400,0.29200,-8.76900,0.29600,-8.70400,0.24700,-8.59100,0.36000,-8.31200,0.33300,-8.44900,0.33600,-8.36200,0.27300,-8.28000,0.36000,-8.21400,0.22600,-8.19900,0.30200,-8.14200,0.33900,-6.25700,0.41100,-6.31400,0.40000,-6.31300,0.42900,-6.12100,0.35900,-6.18600,0.35700,-6.22400,0.33000,-6.15800,0.31000,-6.03600,0.33500,-5.92500,0.40600,-6.00900,0.35900,-5.92600,0.27700,-5.87800,0.40600,-5.85000,0.44400,-5.88800,0.48600,0,-9999,-9999,-9999,25189066,14.21000,3.93000
35.42500,137.12500,Nagoya,1,0.02470,13815.00000,0.05390,13768.00000,0.06870,14571.00000,0.10290,15536.00000,-6.92200,0.15400,-7.09100,0.18000,-6.91800,0.38900,-7.06400,0.48700,-6.91500,0.24600,-6.98800,0.20400,-6.81800,0.27800,-6.99900,0.22800,-9.09500,0.26500,-9.24000,0.27700,-9.18500,0.22500,-9.09100,0.31200,-8.80600,0.33900,-8.96100,0.30600,-8.86500,0.29300,-8.79600,0.33600,-8.71900,0.21800,-8.72100,0.28800,-8.65300,0.31700,-6.68300,0.43500,-6.72300,0.43700,-6.81400,0.48100,-6.64400,0.38000,-6.65400,0.36200,-6.74000,0.33500,-6.63900,0.29100,-6.51400,0.37100,-6.45200,0.41500,-6.50300,0.39000,-6.47100,0.28400,-6.38500,0.37900,-6.33800,0.42700,-6.37000,0.47300,0,-9999,-9999,-9999,25189066,31.17000,5.75000
