latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
21.42500,78.82500,Nagpur,1,0.00010,21.00000,0.00230,1517.00000,0.00330,1489.00000,0.00860,4967.00000,-8.82000,0.34700,-8.43700,0.39700,-8.66400,0.38100,-8.67400,0.44900,-8.75700,0.39100,-8.32300,0.24600,-8.41700,0.56100,-8.86900,0.45600,-10.99400,0.26000,-10.78300,0.32700,-10.66100,0.37900,-10.95700,0.65700,-10.82800,0.50600,-10.82100,0.49300,-10.69600,0.38900,-10.61200,0.58400,-10.66500,0.35700,-10.74200,0.57300,-10.95200,0.62700,-8.60200,0.44000,-8.77200,0.73300,-8.97200,0.51400,-8.51500,0.47400,-8.23600,0.70300,-8.38000,0.48700,-8.38800,0.39000,-9.04800,0.80400,-8.68700,0.63800,-8.50100,0.40600,-8.56400,0.77800,-8.65200,0.55800,-8.26300,0.98400,-8.09600,0.58900,0,-9999,-9999,-9999,28697424,10.38000,3.47000
21.42500,78.87500,Nagpur,1,0.00090,42.00000,0.00590,2077.00000,0.00860,3368.00000,0.01290,5512.00000,-8.82100,0.34500,-8.45700,0.39200,-8.67700,0.31300,-8.62300,0.40000,-8.71300,0.41400,-8.30400,0.24600,-8.42000,0.56200,-8.83200,0.46700,-10.94100,0.25600,-10.72000,0.32700,-10.63400,0.39500,-10.90400,0.64100,-10.77700,0.54000,-10.77300,0.53900,-10.67500,0.36600,-10.55800,0.56500,-10.59900,0.37300,-10.64400,0.57700,-10.89000,0.61300,-8.54100,0.43000,-8.72000,0.71800,-8.90600,0.52800,-8.47600,0.53900,-8.21000,0.72200,-8.35500,0.52700,-8.32600,0.38000,-8.92500,0.81500,-8.63700,0.64100,-8.43400,0.40400,-8.49800,0.80100,-8.57900,0.56000,-8.14400,1.04900,-8.02400,0.62000,0,-9999,-9999,-9999,28697424,11.64000,3.83000
21.42500,78.92500,Nagpur,1,0.00310,73.00000,0.01030,2372.00000,0.01510,3048.00000,0.02460,4401.00000,-8.83100,0.34600,-8.47200,0.39200,-8.69000,0.30000,-8.62100,0.39400,-8.71400,0.42200,-8.30800,0.24800,-8.43000,0.56200,-8.83400,0.46900,-10.80400,0.31300,-10.62800,0.30700,-10.59500,0.41500,-10.84800,0.61400,-10.68200,0.54700,-10.68300,0.57800,-10.61600,0.36900,-10.48100,0.54400,-10.49400,0.37800,-10.51800,0.55600,-10.81600,0.61200,-8.46300,0.43900,-8.69800,0.70300,-8.85000,0.51900,-8.43400,0.57300,-8.19600,0.72300,-8.32400,0.56100,-8.30600,0.38800,-8.82200,0.78100,-8.62100,0.66100,-8.37900,0.41800,-8.41700,0.84400,-8.47100,0.59200,-8.09300,1.03600,-7.99500,0.65300,0,-9999,-9999,-9999,28697424,11.30000,4.02000
21.42500,78.97500,Nagpur,2,0.01070,9855.00000,0.01840,15004.00000,0.02610,16686.00000,0.04720,24906.00000,-8.82400,0.33600,-8.48400,0.39100,-8.70400,0.23300,-8.58500,0.37400,-8.66600,0.45200,-8.27600,0.25200,-8.43000,0.54700,-8.79200,0.47700,-10.64500,0.32700,-10.49800,0.29600,-10.52400,0.40500,-10.75800,0.58800,-10.55400,0.57400,-10.55700,0.58100,-10.53300,0.35300,-10.40800,0.50600,-10.34500,0.38400,-10.34800,0.53200,-10.69100,0.60300,-8.38200,0.42400,-8.68300,0.66800,-8.82900,0.53100,-8.40600,0.58500,-8.16900,0.70400,-8.28500,0.55900,-8.31200,0.39700,-8.71300,0.74100,-8.60500,0.67300,-8.35700,0.42600,-8.36400,0.84700,-8.40500,0.62400,-8.09100,1.01800,-8.02700,0.67400,0,-9999,-9999,-9999,28697424,9.44000,3.53000
21.42500,79.02500,Nagpur,1,0.00450,1606.00000,0.00830,1844.00000,0.01160,2673.00000,0.01940,3617.00000,-8.81800,0.32600,-8.47700,0.38900,-8.70900,0.22400,-8.57600,0.36900,-8.64700,0.45700,-8.26600,0.25500,-8.42800,0.52600,-8.78000,0.47900,-10.46300,0.36600,-10.34500,0.27900,-10.43200,0.36800,-10.66800,0.56300,-10.42900,0.54900,-10.42400,0.55100,-10.44300,0.31800,-10.33000,0.44800,-10.20600,0.37300,-10.19800,0.48400,-10.56100,0.57000,-8.31800,0.36200,-8.67100,0.61500,-8.80000,0.53000,-8.39800,0.58700,-8.14200,0.64300,-8.25100,0.51200,-8.31800,0.39900,-8.58500,0.70700,-8.60800,0.67100,-8.35800,0.41600,-8.32700,0.82700,-8.35800,0.62400,-8.15900,0.97600,-8.07100,0.69300,0,-9999,-9999,-9999,28697424,9.64000,3.73000
21.42500,79.07500,Nagpur,0,0.00040,13.00000,0.00120,143.00000,0.00160,146.00000,0.00260,243.00000,-8.80100,0.31000,-8.45800,0.38600,-8.70800,0.21100,-8.55800,0.36300,-8.61300,0.46100,-8.24400,0.25900,-8.41900,0.49400,-8.75400,0.48000,-10.34300,0.37500,-10.24800,0.27100,-10.38100,0.32500,-10.61700,0.55600,-10.36900,0.51900,-10.33400,0.51600,-10.38800,0.30300,-10.28200,0.39400,-10.14100,0.35000,-10.12200,0.43000,-10.47300,0.52800,-8.29800,0.30900,-8.62200,0.51000,-8.76500,0.51200,-8.39800,0.55400,-8.14000,0.58100,-8.20600,0.42300,-8.31200,0.38100,-8.49200,0.63900,-8.62200,0.63000,-8.35400,0.37000,-8.27300,0.76000,-8.31700,0.60100,-8.24800,0.89300,-8.13800,0.68600,0,-9999,-9999,-9999,28697424,8.60000,3.43000
21.42500,79.12500,Nagpur,0,0.00010,0.00000,0.00080,14.00000,0.00100,33.00000,0.00150,68.00000,-8.77600,0.29200,-8.42700,0.37500,-8.69700,0.23100,-8.54800,0.39200,-8.58100,0.44200,-8.22500,0.25700,-8.39500,0.45000,-8.73700,0.47300,-10.31300,0.36900,-10.22100,0.27000,-10.36500,0.28600,-10.60100,0.56300,-10.37600,0.49100,-10.29300,0.46900,-10.38800,0.30100,-10.28600,0.35600,-10.16900,0.32600,-10.13300,0.37300,-10.43600,0.48800,-8.30700,0.29400,-8.56700,0.40900,-8.71000,0.47600,-8.40700,0.52500,-8.16600,0.54200,-8.18300,0.35900,-8.30700,0.34300,-8.46600,0.58600,-8.61900,0.56200,-8.34000,0.34000,-8.23900,0.67100,-8.31100,0.54600,-8.26500,0.77900,-8.19300,0.63600,0,-9999,-9999,-9999,28697424,10.16000,4.20000
21.42500,79.17500,Nagpur,1,0.00210,625.00000,0.00370,850.00000,0.00520,1163.00000,0.00770,1216.00000,-8.76600,0.28500,-8.41400,0.37100,-8.69200,0.23900,-8.54500,0.40400,-8.56700,0.43400,-8.21800,0.25600,-8.38500,0.43100,-8.73000,0.47000,-10.30900,0.36400,-10.23300,0.26300,-10.36900,0.25400,-10.60700,0.53900,-10.41900,0.47500,-10.30000,0.42000,-10.43100,0.31600,-10.30800,0.34600,-10.23100,0.29400,-10.20200,0.32300,-10.46900,0.45300,-8.31800,0.29900,-8.55800,0.37000,-8.68500,0.45700,-8.41200,0.49800,-8.18800,0.52200,-8.17600,0.32800,-8.29300,0.30700,-8.45400,0.52700,-8.61400,0.51100,-8.32600,0.33300,-8.23500,0.61900,-8.32500,0.46700,-8.24600,0.69800,-8.19800,0.56600,0,-9999,-9999,-9999,28697424,8.79000,3.54000
21.42500,79.22500,Nagpur,0,0.00110,20.00000,0.00190,19.00000,0.00260,26.00000,0.00670,255.00000,-8.72200,0.25900,-8.38000,0.35600,-8.66200,0.26900,-8.54600,0.45500,-8.54200,0.36300,-8.22100,0.24300,-8.34200,0.37800,-8.73200,0.45200,-10.35500,0.31400,-10.33900,0.24300,-10.41700,0.25700,-10.67100,0.51200,-10.50300,0.44900,-10.37200,0.36100,-10.52000,0.33500,-10.38900,0.35600,-10.36000,0.27900,-10.34000,0.28800,-10.57700,0.41400,-8.33200,0.30700,-8.58900,0.35700,-8.68700,0.45100,-8.39800,0.46000,-8.20700,0.50700,-8.18900,0.31100,-8.28000,0.28900,-8.47400,0.51700,-8.60600,0.48200,-8.32100,0.36000,-8.22400,0.57400,-8.38600,0.44700,-8.24000,0.65000,-8.16800,0.49700,0,-9999,-9999,-9999,28697424,12.43000,4.57000
21.42500,79.27500,Nagpur,2,0.00070,25308.00000,0.00230,16539.00000,0.00470,23154.00000,0.02120,41757.00000,-8.71500,0.25400,-8.37800,0.35200,-8.65900,0.27100,-8.55200,0.45800,-8.54400,0.34800,-8.22900,0.23800,-8.33700,0.36800,-8.73400,0.44600,-10.39500,0.31200,-10.38500,0.21800,-10.43200,0.28900,-10.69300,0.47400,-10.54200,0.42600,-10.40800,0.33500,-10.57000,0.33800,-10.40900,0.33000,-10.44300,0.28000,-10.40300,0.28600,-10.65300,0.39000,-8.41800,0.28500,-8.62900,0.35600,-8.72900,0.46000,-8.39400,0.42300,-8.24500,0.50600,-8.18800,0.29200,-8.31900,0.27800,-8.58600,0.56300,-8.64700,0.45100,-8.37400,0.39900,-8.25100,0.55100,-8.40600,0.47400,-8.28500,0.57400,-8.14900,0.46600,0,-9999,-9999,-9999,28697424,8.14000,3.41000
