latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
39.02500,125.07500,Nampo,-9999,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999.00000,-9999.00000,-9999.00000,24033818,-9999.00000,-9999.00000
39.02500,125.12500,Nampo,-9999,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999.00000,-9999.00000,-9999.00000,24033818,-9999.00000,-9999.00000
39.02500,125.17500,Nampo,1,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-11.94100,0.44300,-12.24300,0.64700,-11.83200,0.61100,-11.91600,0.25400,-12.08900,0.58400,-11.57300,0.34200,-12.31400,0.44100,-11.70800,0.63100,-15.28500,0.44900,-14.96800,0.35500,-15.14100,0.44400,-14.96300,0.42700,-15.08400,0.40800,-14.97400,0.52200,-15.04400,0.50000,-15.12700,0.58600,-14.81500,0.39900,-14.96500,0.54400,-15.14900,0.73200,-10.48100,0.90000,-10.37100,0.88800,-10.68400,0.70500,-10.48700,0.93000,-10.90800,0.84400,-10.58600,0.93800,-10.40900,1.05500,-11.16500,0.78900,-10.73400,1.17200,-11.19400,0.77000,-10.42500,0.79200,-10.83700,0.90300,-11.27500,0.99700,-10.68300,0.88000,100,-9999.00000,-9999.00000,-9999.00000,24033818,5.00000,3.80000
39.02500,125.22500,Nampo,1,0.00240,1075.00000,0.00290,1008.00000,0.00560,1327.00000,0.01480,2987.00000,-11.94700,0.44400,-12.26900,0.65200,-11.85100,0.61700,-11.94600,0.24700,-12.10200,0.58300,-11.59300,0.32700,-12.32900,0.44100,-11.72500,0.62800,-14.58100,0.38800,-14.27600,0.35300,-14.42600,0.42700,-14.26100,0.40500,-14.33700,0.40800,-14.26200,0.48000,-14.32100,0.45100,-14.35600,0.55400,-14.12400,0.38000,-14.23100,0.53200,-14.43100,0.67100,-9.86100,0.81300,-9.69300,0.81100,-10.11700,0.67100,-9.86100,0.80400,-10.20800,0.76500,-9.91300,0.85500,-9.81500,0.93700,-10.59000,0.76200,-10.21300,1.08600,-10.40900,0.75500,-9.80700,0.75100,-10.26900,0.84500,-10.62800,0.84600,-10.00400,0.80900,59,-9999.00000,-9999.00000,-9999.00000,24033818,8.43000,3.55000
39.02500,125.27500,Nampo,1,0.00380,3533.00000,0.00630,4535.00000,0.01440,7269.00000,0.02220,8600.00000,-11.57900,0.42200,-11.83400,0.57400,-11.43900,0.59900,-11.56000,0.26000,-11.72600,0.57500,-11.19900,0.30900,-11.94000,0.40600,-11.34700,0.63000,-13.44400,0.29100,-13.15000,0.35100,-13.25300,0.41200,-13.13300,0.37000,-13.12000,0.40700,-13.11300,0.41600,-13.14700,0.38300,-13.10800,0.49900,-13.00200,0.34000,-13.04000,0.51800,-13.26200,0.56600,-9.03900,0.69300,-8.79100,0.69800,-9.37300,0.62700,-8.98400,0.61100,-9.23100,0.67700,-8.99800,0.73700,-9.02000,0.76300,-9.81600,0.72700,-9.48800,0.94300,-9.33200,0.72200,-8.99800,0.68900,-9.47900,0.71800,-9.74600,0.64600,-9.06600,0.67800,0,-9999.00000,-9999.00000,-9999.00000,24033818,7.60000,2.39000
39.02500,125.32500,Nampo,1,0.00030,274.00000,0.00030,267.00000,0.00110,747.00000,0.00260,1009.00000,-10.37700,0.35300,-10.36300,0.30800,-10.06000,0.51400,-10.23900,0.31700,-10.47700,0.55300,-9.87600,0.29300,-10.64800,0.29800,-10.08500,0.63900,-12.49300,0.24000,-12.16000,0.29800,-12.21700,0.42500,-12.15800,0.37300,-12.09100,0.41400,-12.11100,0.40300,-12.10500,0.34800,-12.06700,0.45000,-11.99300,0.31700,-11.98400,0.51500,-12.20200,0.48400,-8.51500,0.67100,-8.31500,0.56300,-8.93200,0.59200,-8.41200,0.55200,-8.65300,0.64500,-8.47300,0.64200,-8.53500,0.68700,-9.45900,0.66700,-9.03500,0.85200,-8.79200,0.67700,-8.58200,0.65800,-8.91400,0.57600,-9.31600,0.57500,-8.56500,0.59600,0,-9999.00000,-9999.00000,-9999.00000,24033818,10.38000,3.33000
39.02500,125.37500,Nampo,1,0.00010,173.00000,0.00030,189.00000,0.00060,300.00000,0.00180,724.00000,-10.25200,0.34900,-10.20700,0.30300,-9.91100,0.50200,-10.10300,0.32000,-10.33700,0.54900,-9.74000,0.29500,-10.50800,0.29600,-9.95200,0.63800,-11.95100,0.20800,-11.62200,0.28900,-11.63200,0.39700,-11.60900,0.34300,-11.54900,0.40200,-11.54900,0.39500,-11.51900,0.32100,-11.49600,0.44400,-11.44300,0.32000,-11.41200,0.52000,-11.58900,0.46400,-8.35800,0.61800,-8.20400,0.53200,-8.75400,0.59900,-8.21800,0.54300,-8.45400,0.63000,-8.29900,0.61300,-8.40900,0.65900,-9.29500,0.66900,-8.90700,0.81100,-8.60200,0.64700,-8.45200,0.63600,-8.68700,0.55500,-9.11300,0.51800,-8.31800,0.56300,0,-9999.00000,-9999.00000,-9999.00000,24033818,12.59000,4.02000
39.02500,125.42500,Nampo,1,0.00150,1159.00000,0.00270,1640.00000,0.00580,2163.00000,0.01130,3496.00000,-9.51300,0.31400,-9.24300,0.26300,-9.00700,0.44100,-9.26600,0.35700,-9.50400,0.52000,-8.91400,0.32700,-9.66200,0.28500,-9.14000,0.63500,-11.61400,0.18600,-11.31600,0.29000,-11.30700,0.37500,-11.30100,0.34000,-11.21800,0.38700,-11.20100,0.39000,-11.17800,0.30800,-11.18000,0.44800,-11.08100,0.28200,-11.03000,0.51100,-11.21100,0.44400,-8.26100,0.60100,-8.13600,0.51500,-8.70700,0.59400,-8.11500,0.51600,-8.35300,0.61700,-8.16800,0.57800,-8.32700,0.65400,-9.16200,0.67100,-8.81800,0.80300,-8.51900,0.62800,-8.37700,0.61400,-8.58400,0.57800,-9.02200,0.51500,-8.20100,0.56000,0,-9999.00000,-9999.00000,-9999.00000,24033818,5.81000,2.08000
39.02500,125.47500,Nampo,1,0.00140,1064.00000,0.00590,2960.00000,0.00780,3603.00000,0.01340,5561.00000,-9.40600,0.30900,-9.10200,0.26000,-8.87600,0.43300,-9.14500,0.36300,-9.38200,0.51600,-8.79300,0.33200,-9.53800,0.28300,-9.02100,0.63400,-11.45200,0.17700,-11.15800,0.32300,-11.13100,0.35800,-11.15400,0.36000,-11.05900,0.38100,-11.01400,0.39800,-11.00500,0.27900,-10.99700,0.44400,-10.84600,0.28200,-10.80900,0.50500,-10.98900,0.43700,-8.16100,0.58600,-8.06700,0.51500,-8.64800,0.56100,-8.03800,0.51700,-8.28900,0.62500,-8.11000,0.57200,-8.26700,0.63800,-9.08700,0.65000,-8.70400,0.77000,-8.46000,0.61000,-8.30100,0.61000,-8.48300,0.60000,-8.91200,0.50800,-8.10100,0.54900,0,-9999.00000,-9999.00000,-9999.00000,24033818,7.64000,2.35000
39.02500,125.52500,Nampo,1,0.01550,10770.00000,0.02720,15460.00000,0.02980,16992.00000,0.03420,17455.00000,-9.05900,0.29700,-8.63400,0.31300,-8.43600,0.43300,-8.75600,0.38600,-8.93900,0.51500,-8.38700,0.35500,-9.11500,0.28300,-8.59600,0.61500,-11.36500,0.18600,-11.07500,0.35900,-11.03200,0.35300,-11.08200,0.37000,-10.98000,0.37600,-10.89400,0.41700,-10.88900,0.26500,-10.87500,0.45200,-10.68700,0.30700,-10.68000,0.49600,-10.83900,0.45500,-7.98900,0.62600,-7.97400,0.53600,-8.55100,0.54600,-7.92800,0.52700,-8.19700,0.62000,-8.04600,0.56300,-8.18200,0.63600,-8.96700,0.62200,-8.52500,0.74700,-8.37400,0.58200,-8.11900,0.62000,-8.30500,0.58700,-8.72000,0.51800,-7.90700,0.56000,0,-9999.00000,-9999.00000,-9999.00000,24033818,8.34000,2.64000
