latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
31.02500,105.87500,Nanchong,1,0.00610,68588.00000,0.01440,43087.00000,0.03260,41468.00000,0.05490,48715.00000,-8.05800,0.26000,-8.61200,0.68100,-8.31300,0.31400,-8.68200,0.39900,-8.92000,0.32900,-8.00300,0.14400,-8.46300,0.26300,-8.39000,0.28500,-10.41500,0.26800,-10.37200,0.37100,-10.75600,0.48200,-10.56300,0.35100,-10.51800,0.30000,-10.50900,0.30300,-10.36400,0.45500,-11.09700,0.31900,-10.40900,0.29200,-10.36700,0.31100,-10.34400,0.26300,-8.33200,0.43600,-8.34200,0.39800,-8.31200,0.31400,-8.20100,0.33700,-8.60600,0.41700,-8.07300,0.40300,-8.26300,0.34800,-8.28300,0.52900,-8.35400,0.48500,-8.40200,0.26500,-8.36400,0.37300,-8.14700,0.35600,-8.01400,0.47300,-7.91800,0.32200,0,0.01200,4.44560,1.13360,26464458,24.20000,7.19000
31.02500,105.92500,Nanchong,1,0.00100,4333.00000,0.00230,4621.00000,0.00670,21360.00000,0.01200,31674.00000,-8.07900,0.26900,-8.65500,0.71100,-8.32600,0.33200,-8.71400,0.46200,-8.89400,0.35400,-8.05600,0.15600,-8.48000,0.26900,-8.39100,0.29100,-10.44200,0.27000,-10.35000,0.35500,-10.73100,0.46900,-10.57200,0.34700,-10.52600,0.30200,-10.50600,0.31800,-10.36000,0.47200,-11.10200,0.32500,-10.41600,0.30400,-10.33400,0.33200,-10.32600,0.27300,-8.36600,0.44600,-8.32900,0.39900,-8.34600,0.29300,-8.21400,0.32500,-8.65600,0.40700,-8.10600,0.42200,-8.28300,0.34900,-8.27100,0.53300,-8.34600,0.50100,-8.38500,0.27400,-8.34600,0.38300,-8.14300,0.37800,-7.96300,0.52000,-7.85900,0.31700,0,0.00410,1.77080,0.30230,26464458,23.36000,7.21000
31.02500,105.97500,Nanchong,0,0.00000,9399.00000,0.00000,10283.00000,0.00000,2707.00000,0.00010,2557.00000,-8.08300,0.26800,-8.65900,0.71400,-8.32500,0.33500,-8.71700,0.47300,-8.88500,0.35600,-8.07100,0.17100,-8.48100,0.27100,-8.38600,0.29100,-10.46400,0.27200,-10.33100,0.34800,-10.70400,0.46200,-10.56400,0.33200,-10.53300,0.31200,-10.51400,0.32500,-10.35500,0.46800,-11.12100,0.34900,-10.43000,0.33100,-10.31600,0.33900,-10.32600,0.28100,-8.40700,0.45400,-8.34400,0.41600,-8.39500,0.28100,-8.24400,0.31000,-8.72100,0.39600,-8.14100,0.44000,-8.33900,0.34400,-8.31400,0.53400,-8.39800,0.50600,-8.43400,0.28800,-8.42900,0.39900,-8.22500,0.40300,-8.00600,0.50200,-7.93800,0.31500,0,0.00080,0.46930,0.03220,26464458,25.96000,7.48000
31.02500,106.02500,Nanchong,1,0.00020,6225.00000,0.00020,6811.00000,0.00030,6667.00000,0.00040,5875.00000,-8.09800,0.26400,-8.67700,0.72700,-8.31800,0.34300,-8.72800,0.50900,-8.85500,0.36500,-8.12200,0.22200,-8.48600,0.27800,-8.36900,0.29200,-10.50700,0.28600,-10.33200,0.34200,-10.68700,0.46500,-10.56000,0.31700,-10.54300,0.33600,-10.52500,0.32500,-10.35600,0.44900,-11.15000,0.39000,-10.43900,0.35100,-10.31400,0.35600,-10.34800,0.29900,-8.44400,0.46700,-8.35200,0.42500,-8.44400,0.27800,-8.27700,0.30500,-8.78600,0.39400,-8.18300,0.44400,-8.42400,0.33700,-8.37000,0.53000,-8.49600,0.50300,-8.52000,0.29400,-8.53100,0.40900,-8.32500,0.42500,-8.12900,0.44400,-8.09600,0.29100,0,0.00060,0.32720,0.01790,26464458,26.42000,7.57000
31.02500,106.07500,Nanchong,0,0.00050,12184.00000,0.00050,13330.00000,0.00070,11906.00000,0.00110,10173.00000,-8.10000,0.25900,-8.67700,0.73000,-8.31100,0.34600,-8.70500,0.53000,-8.84000,0.36900,-8.14400,0.25800,-8.48100,0.28200,-8.35500,0.29000,-10.54900,0.29900,-10.34100,0.32100,-10.68400,0.45600,-10.57300,0.30600,-10.55700,0.35900,-10.53500,0.33700,-10.37000,0.44100,-11.20300,0.43600,-10.45000,0.36900,-10.31100,0.37300,-10.39900,0.31200,-8.46400,0.48200,-8.35600,0.42900,-8.47500,0.27200,-8.30200,0.30400,-8.83400,0.40400,-8.22400,0.43200,-8.48800,0.34700,-8.41100,0.51100,-8.57700,0.51300,-8.59100,0.28500,-8.57400,0.42200,-8.38000,0.43900,-8.19300,0.40400,-8.19200,0.27300,0,0.00160,1.09410,0.13060,26464458,26.04000,7.47000
31.02500,106.12500,Nanchong,0,0.00000,10938.00000,0.00000,11968.00000,0.00010,17640.00000,0.00090,15948.00000,-8.10400,0.24800,-8.67600,0.73500,-8.29700,0.35100,-8.66300,0.56800,-8.81200,0.37500,-8.18300,0.32500,-8.47200,0.28900,-8.32900,0.28500,-10.58800,0.32000,-10.36300,0.31200,-10.70100,0.45100,-10.59100,0.30500,-10.57400,0.37700,-10.53600,0.34100,-10.38600,0.43000,-11.27300,0.47400,-10.46600,0.37800,-10.31800,0.38900,-10.44800,0.32200,-8.47700,0.48800,-8.35800,0.42600,-8.49200,0.26800,-8.32100,0.30900,-8.84700,0.40200,-8.24800,0.42000,-8.51900,0.35400,-8.42700,0.49100,-8.61700,0.51200,-8.62600,0.28300,-8.57800,0.42800,-8.39400,0.45300,-8.21800,0.39400,-8.21800,0.27500,0,0.00380,2.39780,0.11060,26464458,25.68000,7.54000
31.02500,106.17500,Nanchong,0,0.00000,9999.00000,0.00010,18518.00000,0.00030,16897.00000,0.00100,15198.00000,-8.08700,0.23500,-8.66300,0.73700,-8.28500,0.35300,-8.65100,0.55800,-8.79100,0.37100,-8.19400,0.35900,-8.45000,0.29000,-8.29600,0.27400,-10.61700,0.34000,-10.39100,0.31000,-10.73800,0.44100,-10.61600,0.32000,-10.60000,0.38800,-10.54300,0.34800,-10.41600,0.42200,-11.33400,0.49000,-10.49400,0.38000,-10.35000,0.40000,-10.49800,0.32700,-8.49400,0.48700,-8.36600,0.41700,-8.50300,0.26400,-8.33700,0.31200,-8.83300,0.40600,-8.28200,0.41000,-8.53400,0.36100,-8.43200,0.47700,-8.63900,0.50700,-8.63900,0.28300,-8.56500,0.43400,-8.39000,0.46400,-8.23300,0.40800,-8.22300,0.27200,0,0.00110,0.67760,0.02170,26464458,25.57000,7.52000
31.02500,106.22500,Nanchong,0,0.00020,2144.00000,0.00060,1098.00000,0.00070,0.00000,0.00080,1217.00000,-8.07000,0.22200,-8.65000,0.73900,-8.27200,0.35500,-8.63800,0.54900,-8.76900,0.36600,-8.20500,0.39500,-8.42700,0.29000,-8.26100,0.26200,-10.63600,0.35400,-10.41700,0.29900,-10.76700,0.42300,-10.63900,0.34500,-10.61400,0.39100,-10.54800,0.36500,-10.44900,0.41100,-11.37700,0.48600,-10.50600,0.36800,-10.38400,0.39700,-10.53600,0.32400,-8.50400,0.48500,-8.38000,0.41100,-8.51000,0.26100,-8.34900,0.31700,-8.80000,0.41800,-8.32100,0.40400,-8.53700,0.36200,-8.43100,0.47100,-8.64100,0.49700,-8.63300,0.28500,-8.54600,0.43700,-8.36500,0.46700,-8.22200,0.43200,-8.20600,0.27600,0,0.00110,0.72090,0.02240,26464458,25.64000,7.60000
31.02500,106.27500,Nanchong,1,0.00040,22279.00000,0.00140,28337.00000,0.00160,27200.00000,0.00170,22623.00000,-8.03700,0.20800,-8.62300,0.74300,-8.25200,0.35700,-8.61200,0.53300,-8.75200,0.34700,-8.20300,0.42700,-8.39600,0.28400,-8.21900,0.25300,-10.65200,0.36200,-10.40700,0.30600,-10.77400,0.41700,-10.65100,0.38300,-10.61200,0.39200,-10.54900,0.39200,-10.46400,0.40700,-11.38800,0.46600,-10.50900,0.34200,-10.40600,0.37500,-10.56200,0.31100,-8.49800,0.47900,-8.37600,0.40900,-8.50900,0.25700,-8.35300,0.31600,-8.76400,0.42200,-8.34700,0.39900,-8.52600,0.35400,-8.42200,0.46300,-8.61900,0.48600,-8.61300,0.28800,-8.51600,0.44400,-8.32700,0.45400,-8.17700,0.45400,-8.16000,0.28900,0,0.00270,1.30000,0.13590,26464458,22.13000,7.40000
31.02500,106.32500,Nanchong,1,0.00140,13090.00000,0.00460,14678.00000,0.00620,14677.00000,0.00660,14221.00000,-8.01800,0.20000,-8.60600,0.74500,-8.24000,0.35800,-8.59700,0.52400,-8.74200,0.33600,-8.20200,0.44600,-8.37700,0.28100,-8.19400,0.24700,-10.64600,0.36600,-10.38400,0.33500,-10.78300,0.42400,-10.64900,0.41600,-10.58700,0.38600,-10.54500,0.42300,-10.45500,0.39300,-11.35700,0.43200,-10.50100,0.32300,-10.40400,0.36200,-10.56800,0.28900,-8.47500,0.47500,-8.35200,0.40300,-8.49700,0.25600,-8.32900,0.31100,-8.72000,0.41700,-8.34900,0.39500,-8.49600,0.34300,-8.39600,0.45700,-8.56800,0.46600,-8.57000,0.28900,-8.46300,0.45600,-8.26300,0.43600,-8.09600,0.47200,-8.08000,0.33100,0,0.00280,1.77750,0.10800,26464458,18.85000,7.13000
