latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
32.32500,118.52500,Nanjing,1,0.00010,0.00000,0.00230,7013.00000,0.00420,7610.00000,0.00940,14598.00000,-9.63000,0.41100,-10.47000,0.35700,-10.04200,0.46000,-9.53200,0.67200,-9.67900,0.43300,-9.79200,0.38600,-9.58900,0.58500,-9.69000,0.38500,-12.49600,0.66200,-12.35500,0.85900,-12.54800,0.53700,-12.26600,0.72100,-11.94200,0.52500,-11.81200,0.49700,-11.78700,0.61100,-11.61200,0.45900,-11.42700,0.58700,-11.59400,0.33000,-11.49100,0.57700,-9.04700,0.80300,-9.39700,0.64000,-9.34500,0.63800,-9.03500,0.71200,-9.01600,0.68200,-9.12600,0.71000,-9.20800,0.75900,-8.54300,0.55800,-9.03100,0.75800,-8.91900,1.03300,-8.97200,0.79800,-8.65400,0.67300,-8.81400,0.54300,-8.02600,0.69100,0,0.01440,4.73880,1.16430,26103626,11.77000,4.11000
32.32500,118.57500,Nanjing,0,0.00390,8791.00000,0.00650,9158.00000,0.00770,9282.00000,0.01250,9125.00000,-9.57700,0.43500,-10.29300,0.35500,-9.95700,0.43700,-9.39200,0.63600,-9.57900,0.44000,-9.61200,0.41800,-9.45900,0.56400,-9.50200,0.38000,-12.35600,0.63000,-12.20900,0.82800,-12.41700,0.49400,-12.15200,0.67800,-11.77700,0.49000,-11.64500,0.46900,-11.57500,0.59500,-11.45600,0.46900,-11.24800,0.60100,-11.37000,0.37000,-11.25700,0.55600,-9.04000,0.80600,-9.39000,0.63000,-9.34800,0.64800,-9.04200,0.69800,-9.01500,0.66300,-9.14200,0.70300,-9.25100,0.71800,-8.61700,0.53500,-9.14600,0.75200,-9.06100,1.00900,-9.11900,0.76200,-8.88700,0.70200,-9.20000,0.55000,-8.39100,0.62400,0,0.00990,3.79430,0.53000,26103626,13.45000,4.40000
32.32500,118.62500,Nanjing,1,0.00120,28080.00000,0.00450,27149.00000,0.00570,26250.00000,0.00780,19179.00000,-9.57400,0.43900,-10.27600,0.36000,-9.95700,0.44000,-9.38100,0.63500,-9.57500,0.44400,-9.58900,0.42500,-9.45800,0.57300,-9.48500,0.38000,-12.15300,0.59200,-11.97900,0.76400,-12.16700,0.40700,-11.92900,0.59600,-11.47100,0.47000,-11.37200,0.44600,-11.21700,0.54000,-11.15200,0.43900,-10.88100,0.57100,-10.96000,0.36800,-10.82200,0.53500,-9.00100,0.81200,-9.33500,0.61000,-9.29400,0.64500,-8.97000,0.67400,-8.95900,0.64100,-9.06000,0.69600,-9.13400,0.70000,-8.54300,0.55000,-9.04600,0.75300,-8.92600,0.99000,-8.93600,0.72000,-8.77500,0.72800,-9.14700,0.57900,-8.35900,0.62700,0,0.01140,3.86580,0.64360,26103626,14.56000,4.72000
32.32500,118.67500,Nanjing,1,0.00020,1407.00000,0.00180,6977.00000,0.00300,7667.00000,0.00510,10342.00000,-9.53400,0.43800,-10.15000,0.35200,-9.89500,0.43000,-9.27900,0.60500,-9.49400,0.45400,-9.42500,0.43500,-9.37500,0.57800,-9.34100,0.36700,-11.91600,0.54400,-11.73600,0.68900,-11.88600,0.34200,-11.64400,0.52200,-11.11400,0.43400,-11.06100,0.41300,-10.80500,0.47400,-10.78000,0.43100,-10.45600,0.54500,-10.48100,0.36800,-10.29900,0.48800,-8.92600,0.81000,-9.18500,0.57300,-9.10200,0.61100,-8.74700,0.61500,-8.72800,0.64200,-8.82100,0.66100,-8.79800,0.60900,-8.21600,0.58900,-8.65900,0.77800,-8.52200,1.01700,-8.51700,0.68200,-8.28700,0.77000,-8.68700,0.57100,-7.91900,0.64700,0,0.01110,4.53100,0.99390,26103626,13.13000,4.35000
32.32500,118.72500,Nanjing,1,0.00320,11408.00000,0.00650,11744.00000,0.00790,13424.00000,0.01510,7243.00000,-9.54000,0.43600,-10.14500,0.36100,-9.89800,0.43500,-9.28600,0.61100,-9.49700,0.45900,-9.41000,0.42300,-9.39100,0.60300,-9.33700,0.36600,-11.71900,0.49200,-11.52800,0.63100,-11.62700,0.29300,-11.37900,0.45600,-10.77100,0.40600,-10.77900,0.35900,-10.43400,0.43000,-10.42600,0.42600,-10.07000,0.51500,-10.07300,0.37200,-9.82000,0.44600,-8.68600,0.79400,-8.87900,0.49900,-8.67800,0.56000,-8.28100,0.60100,-8.16400,0.67700,-8.30400,0.62200,-8.19400,0.51800,-7.50800,0.60800,-7.94000,0.77700,-7.86600,1.01300,-7.74000,0.67100,-7.46400,0.73700,-7.83900,0.52700,-7.07300,0.64000,0,0.01950,5.80060,1.66640,26103626,12.91000,4.20000
32.32500,118.77500,Nanjing,1,0.01180,1324.00000,0.03020,3565.00000,0.04130,6161.00000,0.10440,22293.00000,-9.52400,0.42000,-10.07700,0.36900,-9.85100,0.43100,-9.25500,0.61300,-9.44500,0.46800,-9.29700,0.37900,-9.36100,0.65000,-9.25200,0.35800,-11.61400,0.46300,-11.41400,0.57100,-11.44900,0.27400,-11.20700,0.40600,-10.55900,0.39600,-10.61900,0.33300,-10.20900,0.42500,-10.19700,0.42100,-9.81100,0.49900,-9.83300,0.37200,-9.53800,0.40900,-8.31100,0.74500,-8.43900,0.44000,-8.16400,0.57400,-7.72700,0.53900,-7.53300,0.66300,-7.68000,0.62900,-7.46200,0.50400,-6.75000,0.59600,-7.19100,0.69200,-7.05200,0.97900,-6.85300,0.69100,-6.69000,0.77700,-6.97700,0.50300,-6.17200,0.65200,0,0.04720,8.53110,7.36380,26103626,12.02000,4.06000
32.32500,118.82500,Nanjing,3,0.08680,27191.00000,0.15480,41178.00000,0.17880,55638.00000,0.29390,77756.00000,-9.54500,0.41500,-10.09300,0.37800,-9.84900,0.43000,-9.29100,0.63100,-9.46700,0.47300,-9.30700,0.36700,-9.38400,0.66500,-9.26900,0.36100,-11.57700,0.44600,-11.36500,0.51100,-11.34300,0.27300,-11.12700,0.36900,-10.47500,0.39800,-10.57800,0.31400,-10.09800,0.41700,-10.08800,0.41400,-9.69600,0.47900,-9.73300,0.37200,-9.39700,0.39500,-8.15700,0.71500,-8.22300,0.41600,-7.92400,0.61500,-7.53800,0.48800,-7.27600,0.59900,-7.44100,0.67100,-7.21900,0.47900,-6.48000,0.57200,-6.89000,0.63300,-6.66500,0.91500,-6.45800,0.69900,-6.50500,0.83900,-6.71400,0.50800,-5.88100,0.57400,0,0.11930,14.62340,21.30840,26103626,9.09000,3.41000
32.32500,118.87500,Nanjing,2,0.06920,10180.00000,0.12090,21514.00000,0.12980,27869.00000,0.17740,35522.00000,-9.56100,0.39800,-10.08700,0.38200,-9.80900,0.41400,-9.32600,0.65500,-9.47000,0.48300,-9.28000,0.34300,-9.37800,0.67900,-9.25700,0.36300,-11.58600,0.43800,-11.39300,0.47100,-11.31000,0.27900,-11.13600,0.34900,-10.49600,0.41100,-10.63800,0.31100,-10.11800,0.40400,-10.07000,0.40200,-9.68600,0.46000,-9.74800,0.34300,-9.35200,0.38700,-8.17900,0.67000,-8.35200,0.44400,-7.98100,0.55900,-7.70000,0.47200,-7.42300,0.57200,-7.56400,0.68500,-7.41700,0.46800,-6.70400,0.51900,-7.08500,0.62900,-6.89200,0.89400,-6.72200,0.69900,-6.83400,0.82400,-6.96400,0.53700,-6.24000,0.55300,0,0.05910,9.61350,8.59880,26103626,15.50000,4.37000
32.32500,118.92500,Nanjing,1,0.00720,10781.00000,0.02230,14553.00000,0.02910,21038.00000,0.05000,31799.00000,-9.60000,0.39000,-10.12200,0.38800,-9.82000,0.41000,-9.38300,0.67500,-9.51500,0.49200,-9.31700,0.34200,-9.41100,0.66800,-9.30500,0.37300,-11.71300,0.42600,-11.53100,0.46100,-11.40900,0.29800,-11.27500,0.36400,-10.67800,0.41800,-10.86700,0.31100,-10.30600,0.40500,-10.20200,0.37000,-9.86200,0.43800,-9.93200,0.33000,-9.49900,0.37600,-8.38700,0.63800,-8.60400,0.51900,-8.23000,0.49000,-7.96800,0.48000,-7.76300,0.58100,-7.88200,0.66000,-7.85000,0.51100,-7.26200,0.48200,-7.50800,0.60100,-7.37700,0.85600,-7.27600,0.67300,-7.36500,0.77200,-7.45300,0.58900,-6.93800,0.53800,0,0.03750,7.78920,4.60520,26103626,12.61000,4.20000
32.32500,118.97500,Nanjing,1,0.00130,78.00000,0.00790,3779.00000,0.00930,4492.00000,0.01650,4847.00000,-9.60400,0.36600,-10.11100,0.37600,-9.78300,0.38600,-9.40400,0.68800,-9.50400,0.49900,-9.30000,0.34500,-9.38200,0.64300,-9.30000,0.37900,-11.82600,0.41700,-11.65300,0.46600,-11.51900,0.32700,-11.42000,0.40000,-10.87000,0.42800,-11.06100,0.30900,-10.45800,0.39800,-10.30400,0.34500,-10.01700,0.41200,-10.07400,0.32600,-9.61800,0.36300,-8.58800,0.62900,-8.72700,0.54600,-8.42700,0.44200,-8.05600,0.47400,-7.99500,0.59100,-8.14800,0.63500,-8.16400,0.55400,-7.59400,0.53000,-7.75300,0.56800,-7.70700,0.88800,-7.67800,0.58700,-7.57400,0.76700,-7.79800,0.61100,-7.36600,0.54100,0,0.02270,6.75320,2.36380,26103626,13.51000,4.31000
