latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
41.07500,13.97500,Naples,1,0.01210,251.00000,0.08450,989.00000,0.11210,1626.00000,0.15090,2653.00000,-10.87200,1.12300,-11.90200,3.27400,-10.26800,0.57900,-10.78200,0.89000,-9.74200,1.57700,-10.31700,0.53100,-10.26000,0.45100,-10.77800,0.31400,-12.34300,0.30300,-12.50000,0.42700,-12.48600,0.26300,-12.15300,0.34400,-12.47500,0.31000,-12.11400,0.21800,-12.11600,0.33600,-12.04300,0.31900,-12.15700,0.29300,-12.33400,0.30400,-12.15400,0.36000,-10.32600,0.51800,-10.37900,0.47000,-10.19800,0.56600,-10.27100,0.37500,-10.33600,0.31400,-10.25500,0.55300,-9.94300,0.90400,-9.76500,0.65000,-10.17700,0.43900,-9.95900,0.73300,-10.43100,0.55700,-9.98600,0.66400,-10.13800,0.44900,-10.08500,0.79700,0,0.00980,4.55070,0.44710,23332656,9.29000,4.37000
41.07500,14.02500,Naples,1,0.02660,2548.00000,0.08250,2452.00000,0.10620,2532.00000,0.13960,2484.00000,-10.66100,0.97900,-11.67400,3.35500,-10.02700,0.60000,-10.57200,1.05800,-9.45500,1.50800,-10.05200,0.50900,-10.02700,0.42600,-10.53500,0.30200,-11.32500,0.24300,-11.44700,0.38000,-11.38200,0.25600,-11.04900,0.34500,-11.35900,0.28700,-11.00800,0.20100,-10.97700,0.28700,-10.91300,0.28200,-11.04700,0.30800,-11.18500,0.28300,-10.98400,0.32500,-9.85800,0.40100,-9.95500,0.40300,-9.76400,0.53000,-9.77900,0.34900,-9.93400,0.28300,-9.79400,0.56100,-9.46700,0.88000,-9.26500,0.66600,-9.66400,0.41400,-9.52400,0.71700,-9.95900,0.54500,-9.47800,0.61300,-9.70600,0.41600,-9.64000,0.73300,0,0.01760,5.38690,1.02170,23332656,9.01000,4.28000
41.07500,14.07500,Naples,1,0.05250,4022.00000,0.10640,3831.00000,0.12280,3650.00000,0.16220,3822.00000,-10.05900,0.81900,-11.14400,3.47600,-9.44000,0.65800,-10.09400,1.41100,-8.86300,1.30800,-9.43900,0.42900,-9.49100,0.52000,-9.88600,0.26300,-10.58900,0.21100,-10.65400,0.34900,-10.54800,0.24300,-10.22700,0.33500,-10.50000,0.29100,-10.17400,0.18500,-10.12000,0.23200,-10.07600,0.25300,-10.20700,0.31200,-10.31400,0.26300,-10.09300,0.28800,-9.56100,0.35900,-9.61600,0.34700,-9.36100,0.49800,-9.32900,0.32800,-9.56300,0.25400,-9.36600,0.52500,-9.08100,0.84700,-8.90200,0.63700,-9.30900,0.34600,-9.17700,0.64000,-9.59300,0.53800,-9.04600,0.60900,-9.31400,0.39400,-9.33800,0.67600,0,0.01350,5.61910,0.85350,23332656,8.95000,4.18000
41.07500,14.12500,Naples,1,0.04820,4605.00000,0.12630,4257.00000,0.15180,4032.00000,0.20260,3621.00000,-9.64900,0.72000,-10.78100,3.53500,-9.04500,0.69400,-9.80700,1.67600,-8.47300,1.17800,-9.02500,0.37600,-9.14500,0.61100,-9.44700,0.23300,-10.10200,0.18800,-10.11600,0.33500,-9.98700,0.22700,-9.66600,0.31600,-9.90500,0.29000,-9.61000,0.16800,-9.54000,0.20200,-9.51000,0.23900,-9.62600,0.30200,-9.70500,0.24700,-9.49700,0.25500,-9.28800,0.35500,-9.29400,0.29700,-8.98800,0.46300,-8.96700,0.31400,-9.19900,0.24000,-9.00700,0.46100,-8.78100,0.78600,-8.57400,0.58700,-9.06900,0.26600,-8.86300,0.53600,-9.25600,0.48700,-8.72100,0.60600,-8.99100,0.39600,-9.03200,0.62800,0,0.01460,5.38610,0.91830,23332656,9.34000,4.29000
41.07500,14.17500,Naples,1,0.04790,1334.00000,0.12410,1849.00000,0.13570,2033.00000,0.19490,2919.00000,-9.32000,0.75100,-9.85800,2.36900,-8.75300,0.66100,-9.63800,1.83200,-8.38100,0.99500,-8.73700,0.33800,-8.92200,0.69900,-9.12800,0.22500,-9.77900,0.17200,-9.77000,0.33300,-9.61400,0.22100,-9.29500,0.30200,-9.51000,0.28300,-9.24500,0.16400,-9.16100,0.19500,-9.12500,0.24500,-9.24400,0.27600,-9.28100,0.23500,-9.11000,0.22800,-9.00400,0.35000,-9.00900,0.27800,-8.65800,0.44600,-8.69800,0.33300,-8.87500,0.26000,-8.72900,0.48200,-8.55500,0.72300,-8.30700,0.57600,-8.85800,0.23100,-8.62900,0.48800,-8.95400,0.43700,-8.47800,0.61200,-8.77000,0.42500,-8.75700,0.60800,0,0.00660,4.53110,0.33870,23332656,8.15000,3.95000
41.07500,14.22500,Naples,2,0.21880,15079.00000,0.32740,16460.00000,0.33660,16562.00000,0.35420,17494.00000,-8.86300,0.78900,-8.58000,0.88900,-8.35300,0.61000,-9.35600,1.99800,-8.23900,0.76500,-8.34100,0.28400,-8.60300,0.80300,-8.68000,0.21600,-9.55300,0.17200,-9.53100,0.33300,-9.33900,0.21600,-9.04400,0.29100,-9.23700,0.27400,-8.99100,0.17800,-8.90300,0.19300,-8.84600,0.25800,-8.98700,0.24300,-8.96700,0.22000,-8.83200,0.21500,-8.50300,0.34100,-8.52400,0.28800,-8.16100,0.43700,-8.22100,0.35700,-8.36900,0.28000,-8.25800,0.51700,-8.14500,0.68500,-7.88800,0.57300,-8.35900,0.24000,-8.21600,0.47000,-8.42700,0.40900,-8.06900,0.59000,-8.26600,0.40800,-8.25100,0.58700,0,0.03160,7.94050,3.12790,23332656,7.69000,4.12000
41.07500,14.27500,Naples,3,0.43630,54361.00000,0.50850,57816.00000,0.51120,60137.00000,0.51740,66942.00000,-8.78500,0.90100,-8.42800,0.85900,-8.26100,0.58100,-9.28500,1.95800,-8.22300,0.76600,-8.25000,0.27800,-8.52600,0.75000,-8.58600,0.21800,-9.45900,0.18100,-9.41600,0.33000,-9.20000,0.20800,-8.93200,0.28300,-9.10700,0.25500,-8.88000,0.19100,-8.78800,0.19400,-8.72400,0.27300,-8.87700,0.22900,-8.81300,0.22000,-8.68400,0.21300,-7.85500,0.29800,-7.84700,0.26400,-7.57700,0.40800,-7.61200,0.32600,-7.74600,0.26500,-7.64200,0.42400,-7.55000,0.63400,-7.32300,0.48400,-7.67800,0.25300,-7.60100,0.38800,-7.68000,0.36300,-7.54900,0.47300,-7.53100,0.31600,-7.52200,0.53400,0,0.08990,9.32390,8.81760,23332656,6.85000,3.81000
41.07500,14.32500,Naples,3,0.46850,85119.00000,0.51320,82914.00000,0.51650,81254.00000,0.52760,81326.00000,-8.58900,1.20000,-8.12900,0.72700,-8.01500,0.49600,-8.92100,1.64000,-8.16800,0.73800,-8.02600,0.26700,-8.24600,0.47700,-8.34400,0.21100,-9.51600,0.18800,-9.45300,0.32500,-9.23300,0.19700,-8.96700,0.27500,-9.15500,0.22700,-8.94000,0.20300,-8.84700,0.20800,-8.76300,0.29800,-8.93700,0.21800,-8.85100,0.22700,-8.72200,0.21100,-7.67400,0.26300,-7.64400,0.23100,-7.40600,0.37800,-7.44000,0.29700,-7.57600,0.24300,-7.46400,0.36400,-7.38000,0.57000,-7.18000,0.43200,-7.50600,0.22900,-7.40100,0.35400,-7.39200,0.35100,-7.37800,0.39000,-7.35500,0.27000,-7.35500,0.51000,0,0.10750,10.56830,11.50290,23332656,9.27000,4.11000
41.07500,14.37500,Naples,2,0.24310,35302.00000,0.28170,36347.00000,0.28560,35766.00000,0.29400,34982.00000,-8.56500,1.13000,-8.12500,0.71300,-8.01500,0.49000,-8.91100,1.62900,-8.17800,0.72400,-8.02900,0.26500,-8.24000,0.46800,-8.34700,0.21000,-9.62900,0.19800,-9.58300,0.30900,-9.35600,0.19900,-9.08700,0.27500,-9.28900,0.20600,-9.11000,0.20900,-9.00100,0.21100,-8.90800,0.31500,-9.09400,0.21200,-8.99200,0.23600,-8.85900,0.21200,-7.85200,0.26700,-7.82700,0.28200,-7.53800,0.38700,-7.61600,0.28000,-7.76800,0.27400,-7.61800,0.34400,-7.52300,0.52300,-7.40100,0.40400,-7.70500,0.22600,-7.56400,0.30800,-7.53700,0.35400,-7.59800,0.37800,-7.60500,0.29100,-7.57800,0.49900,0,0.03890,8.14820,3.72570,23332656,12.14000,4.69000
41.07500,14.42500,Naples,1,0.02880,4190.00000,0.07030,5048.00000,0.07640,5022.00000,0.08310,5829.00000,-8.31400,0.29400,-8.12300,0.54100,-8.02700,0.42800,-8.78100,1.45000,-8.29200,0.55000,-8.09200,0.25100,-8.17800,0.36200,-8.39800,0.19600,-9.79800,0.19500,-9.78600,0.28300,-9.56400,0.20000,-9.29200,0.28700,-9.50800,0.19900,-9.35400,0.21400,-9.26100,0.20100,-9.13900,0.32900,-9.34900,0.22300,-9.23800,0.24700,-9.09400,0.21500,-8.22900,0.27100,-8.19600,0.28500,-7.98500,0.36700,-8.04300,0.26600,-8.17700,0.27200,-8.02100,0.32200,-7.94600,0.47500,-7.80700,0.33200,-8.15000,0.21900,-8.01500,0.29700,-7.98900,0.33100,-8.03100,0.35600,-8.06400,0.27100,-8.01600,0.52300,0,0.01430,5.64400,1.15150,23332656,19.86000,5.79000
