latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
20.27500,73.52500,Nasik,0,0.00010,52113.00000,0.00020,70834.00000,0.00030,84792.00000,0.00060,78461.00000,-8.04800,0.21400,-7.90500,0.50500,-8.47500,0.74800,-8.62700,0.53100,-8.07700,0.36400,-7.93700,0.38600,-8.36100,0.57800,-8.33200,0.55800,-9.67900,0.38400,-9.84500,0.40900,-9.80900,0.44900,-9.88400,0.45500,-9.86100,0.30600,-9.87500,0.35200,-9.74900,0.41300,-9.79200,0.41400,-9.82500,0.27800,-9.79900,0.34300,-10.12000,0.47000,-7.73000,0.29200,-7.69600,0.48700,-8.08300,0.57900,-7.69800,0.35700,-7.72000,0.37200,-7.63400,0.40800,-7.61400,0.31400,-7.77200,0.66500,-8.11200,0.54800,-7.60600,0.23300,-7.70000,0.39600,-7.68000,0.61900,-7.63300,0.31300,-7.58600,0.32600,0,-9999,-9999,-9999,28912474,4.10000,2.02000
20.27500,73.57500,Nasik,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1812.00000,-8.09500,0.21400,-7.93900,0.51500,-8.51400,0.74300,-8.67500,0.54000,-8.12300,0.37700,-7.98700,0.39400,-8.40900,0.58300,-8.37100,0.56900,-10.09900,0.39700,-10.24700,0.46500,-10.16700,0.49700,-10.27700,0.51700,-10.24600,0.31900,-10.23900,0.40200,-10.11400,0.47800,-10.13200,0.44100,-10.20400,0.32700,-10.18200,0.41600,-10.48400,0.47300,-8.06900,0.30500,-7.92500,0.52000,-8.30900,0.65900,-7.93700,0.38800,-7.96100,0.38400,-7.85000,0.43500,-7.83000,0.32400,-8.11500,0.77400,-8.41300,0.61400,-7.90900,0.24500,-8.00600,0.45500,-7.92700,0.67200,-7.92200,0.34200,-7.89100,0.34500,0,-9999,-9999,-9999,28912474,4.49000,2.22000
20.27500,73.62500,Nasik,0,0.00000,0.00000,0.00000,89.00000,0.00000,513.00000,0.00040,9877.00000,-8.35100,0.23600,-8.10300,0.57000,-8.72900,0.69800,-8.91300,0.59300,-8.38400,0.46700,-8.28500,0.47100,-8.65500,0.61500,-8.62100,0.64100,-10.58300,0.40400,-10.67000,0.48400,-10.56900,0.52900,-10.70200,0.57000,-10.63500,0.34200,-10.61300,0.44000,-10.53600,0.52300,-10.45200,0.44100,-10.58800,0.36400,-10.55200,0.45800,-10.87000,0.49300,-8.36400,0.33900,-8.21200,0.68700,-8.54600,0.68000,-8.18400,0.41900,-8.19100,0.43300,-8.02700,0.45900,-8.06600,0.32300,-8.45600,0.83000,-8.67000,0.61800,-8.29600,0.31200,-8.31600,0.47500,-8.20900,0.75000,-8.19400,0.38900,-8.12600,0.36800,0,-9999,-9999,-9999,28912474,4.63000,2.22000
20.27500,73.67500,Nasik,0,0.00000,214.00000,0.00000,324.00000,0.00000,258.00000,0.00030,732.00000,-8.45000,0.25300,-8.16800,0.57900,-8.81200,0.68000,-8.99000,0.61000,-8.48100,0.49500,-8.38100,0.47600,-8.74000,0.62100,-8.71600,0.65300,-10.97400,0.44400,-10.98200,0.48300,-10.85800,0.54700,-11.00900,0.59900,-10.92100,0.37200,-10.87900,0.46400,-10.85600,0.53600,-10.69000,0.43600,-10.87400,0.39300,-10.82200,0.51600,-11.12900,0.49600,-8.59300,0.40200,-8.44000,0.74200,-8.80400,0.69200,-8.45200,0.45100,-8.38900,0.53200,-8.24100,0.49400,-8.30800,0.38200,-8.70800,0.92500,-8.94400,0.66100,-8.53600,0.34800,-8.46900,0.50000,-8.34300,0.74600,-8.41100,0.49100,-8.28500,0.38200,0,-9999,-9999,-9999,28912474,4.27000,1.93000
20.27500,73.72500,Nasik,0,0.00020,860.00000,0.00020,1299.00000,0.00030,1033.00000,0.00060,611.00000,-8.62800,0.29100,-8.27700,0.59500,-8.95700,0.63900,-9.12300,0.64200,-8.65400,0.55000,-8.56500,0.50000,-8.88400,0.63300,-8.89300,0.67900,-11.26500,0.46900,-11.19100,0.45300,-11.03300,0.52700,-11.20800,0.60800,-11.07100,0.40200,-11.03500,0.45300,-11.03800,0.55300,-10.85100,0.43000,-11.01200,0.39000,-10.97900,0.54600,-11.23900,0.47800,-8.71400,0.43500,-8.60200,0.76100,-8.94300,0.64600,-8.62300,0.50700,-8.54800,0.57200,-8.36600,0.51400,-8.38700,0.40500,-8.80400,0.92600,-9.12000,0.69500,-8.65400,0.38700,-8.52000,0.51600,-8.41700,0.73900,-8.44700,0.54100,-8.34200,0.38200,0,-9999,-9999,-9999,28912474,4.52000,2.05000
20.27500,73.77500,Nasik,1,0.00030,1072.00000,0.00030,1620.00000,0.00060,1981.00000,0.00300,3513.00000,-8.77800,0.32300,-8.36900,0.59100,-9.05600,0.60000,-9.18600,0.64200,-8.79800,0.61800,-8.70300,0.50100,-8.99600,0.62300,-9.05000,0.68800,-11.42700,0.47400,-11.29100,0.41600,-11.09400,0.47400,-11.29600,0.58900,-11.11400,0.42800,-11.10000,0.43400,-11.10200,0.56500,-10.91800,0.41100,-11.03500,0.38000,-11.03200,0.55400,-11.24400,0.45300,-8.75800,0.47500,-8.70100,0.75600,-8.96900,0.62000,-8.66500,0.52400,-8.60800,0.55500,-8.44100,0.47800,-8.40100,0.42100,-8.81200,0.92600,-9.18000,0.69000,-8.65400,0.42400,-8.50600,0.51900,-8.41500,0.74700,-8.40600,0.57100,-8.33000,0.38900,7,-9999,-9999,-9999,28912474,5.33000,2.26000
20.27500,73.82500,Nasik,1,0.00060,2717.00000,0.00060,4104.00000,0.00220,17136.00000,0.00900,18170.00000,-8.86700,0.34200,-8.42400,0.58800,-9.11500,0.57700,-9.22400,0.64200,-8.88400,0.65900,-8.78500,0.50200,-9.06300,0.61700,-9.14300,0.69400,-11.45700,0.46700,-11.32000,0.38600,-11.07700,0.40400,-11.30300,0.56000,-11.06800,0.44200,-11.08400,0.42000,-11.06500,0.55200,-10.90400,0.37800,-10.99400,0.37900,-10.99900,0.53100,-11.16600,0.42000,-8.74300,0.51200,-8.70900,0.73900,-8.90400,0.56600,-8.65700,0.54000,-8.60800,0.53800,-8.44600,0.47900,-8.35900,0.44100,-8.76500,0.92100,-9.19300,0.68800,-8.61000,0.47600,-8.43600,0.50900,-8.36500,0.77600,-8.24200,0.60500,-8.25100,0.40300,0,-9999,-9999,-9999,28912474,7.62000,2.45000
20.27500,73.87500,Nasik,1,0.00020,256.00000,0.00020,386.00000,0.00130,456.00000,0.00620,6565.00000,-9.08400,0.39800,-8.56000,0.58400,-9.26700,0.55700,-9.31300,0.63900,-9.10600,0.75700,-8.93100,0.45500,-9.23400,0.60200,-9.37500,0.70800,-11.39700,0.47700,-11.31000,0.37000,-11.02700,0.36600,-11.25100,0.52100,-11.00300,0.44900,-11.02500,0.41900,-10.98200,0.55700,-10.84100,0.36100,-10.92300,0.37700,-10.91800,0.51100,-11.04400,0.38700,-8.72000,0.54200,-8.70300,0.73300,-8.86600,0.52600,-8.63400,0.54700,-8.61400,0.54800,-8.43300,0.48800,-8.31000,0.44600,-8.70500,0.92700,-9.17000,0.71200,-8.56600,0.52900,-8.36700,0.52000,-8.32100,0.79400,-8.08100,0.61300,-8.18100,0.42000,0,-9999,-9999,-9999,28912474,5.92000,2.25000
20.27500,73.92500,Nasik,1,0.00030,174.00000,0.00030,263.00000,0.00040,209.00000,0.00350,3442.00000,-9.13300,0.41200,-8.60000,0.58500,-9.30800,0.55700,-9.34100,0.63800,-9.16100,0.77200,-8.96300,0.44300,-9.27300,0.60000,-9.41900,0.70300,-11.35200,0.47100,-11.31300,0.35500,-10.98100,0.37500,-11.20100,0.48500,-10.95800,0.43900,-10.96400,0.44700,-10.89700,0.55500,-10.76000,0.33400,-10.85200,0.37500,-10.87200,0.49800,-10.93100,0.37600,-8.72400,0.55300,-8.71000,0.76300,-8.88800,0.52400,-8.61100,0.54600,-8.66100,0.56200,-8.45600,0.50100,-8.28300,0.42600,-8.66800,0.95500,-9.13800,0.71400,-8.55100,0.55400,-8.35700,0.54600,-8.29200,0.77400,-8.01500,0.62800,-8.10300,0.47700,0,-9999,-9999,-9999,28912474,7.86000,2.40000
20.27500,73.97500,Nasik,0,0.00010,0.00000,0.00010,0.00000,0.00010,75.00000,0.00140,1984.00000,-9.37600,0.50500,-8.79500,0.58200,-9.49800,0.57700,-9.45100,0.62500,-9.42800,0.84500,-9.06500,0.39800,-9.44700,0.58000,-9.63600,0.69100,-11.32800,0.45100,-11.33200,0.36200,-10.96900,0.39300,-11.20400,0.46800,-10.98700,0.44400,-10.91900,0.47700,-10.84400,0.56100,-10.70900,0.33400,-10.82800,0.36600,-10.86300,0.48000,-10.88300,0.36600,-8.77600,0.55800,-8.79100,0.77100,-8.96000,0.52100,-8.63400,0.55800,-8.77000,0.61100,-8.60200,0.54500,-8.34600,0.42700,-8.66300,0.98500,-9.18500,0.73200,-8.59000,0.56200,-8.39500,0.56100,-8.32900,0.75900,-8.03700,0.65800,-8.10300,0.49600,0,-9999,-9999,-9999,28912474,6.98000,2.22000
