latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JFM_mean,ERS1993_JFM_std,ERS1994_JFM_mean,ERS1994_JFM_std,ERS1995_JFM_mean,ERS1995_JFM_std,ERS1996_JFM_mean,ERS1996_JFM_std,ERS1997_JFM_mean,ERS1997_JFM_std,ERS1998_JFM_mean,ERS1998_JFM_std,ERS1999_JFM_mean,ERS1999_JFM_std,ERS2000_JFM_mean,ERS2000_JFM_std,QSCAT1999_JFM_mean,QSCAT1999_JFM_std,QSCAT2000_JFM_mean,QSCAT2000_JFM_std,QSCAT2001_JFM_mean,QSCAT2001_JFM_std,QSCAT2002_JFM_mean,QSCAT2002_JFM_std,QSCAT2003_JFM_mean,QSCAT2003_JFM_std,QSCAT2004_JFM_mean,QSCAT2004_JFM_std,QSCAT2005_JFM_mean,QSCAT2005_JFM_std,QSCAT2006_JFM_mean,QSCAT2006_JFM_std,QSCAT2007_JFM_mean,QSCAT2007_JFM_std,QSCAT2008_JFM_mean,QSCAT2008_JFM_std,QSCAT2009_JFM_mean,QSCAT2009_JFM_std,ASCAT2007_JFM_mean,ASCAT2007_JFM_std,ASCAT2008_JFM_mean,ASCAT2008_JFM_std,ASCAT2009_JFM_mean,ASCAT2009_JFM_std,ASCAT2010_JFM_mean,ASCAT2010_JFM_std,ASCAT2011_JFM_mean,ASCAT2011_JFM_std,ASCAT2012_JFM_mean,ASCAT2012_JFM_std,ASCAT2013_JFM_mean,ASCAT2013_JFM_std,ASCAT2014_JFM_mean,ASCAT2014_JFM_std,ASCAT2015_JFM_mean,ASCAT2015_JFM_std,ASCAT2016_JFM_mean,ASCAT2016_JFM_std,ASCAT2017_JFM_mean,ASCAT2017_JFM_std,ASCAT2018_JFM_mean,ASCAT2018_JFM_std,ASCAT2019_JFM_mean,ASCAT2019_JFM_std,ASCAT2020_JFM_mean,ASCAT2020_JFM_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
-5.52500,-35.47500,Natal,0,0.00000,1202.00000,0.00000,1649.00000,0.00020,1141.00000,0.00070,1247.00000,-11.60700,0.23800,-11.05800,0.51700,-10.77100,0.21000,-10.27100,0.61500,-10.78400,0.63500,-10.37300,0.49500,-10.33100,0.53700,-10.47400,0.47100,-9999.00000,-9999.00000,-12.10400,0.43000,-11.88500,0.29300,-11.12800,0.43500,-11.40000,0.50000,-11.29700,0.46700,-12.39600,0.40500,-12.29800,0.43800,-11.51300,0.35600,-12.14600,0.49200,-11.39300,0.52200,-10.51400,0.45000,-11.16600,0.63900,-10.29700,0.67400,-10.68000,0.41800,-9.88200,0.44000,-10.81500,0.55600,-11.51600,0.33700,-10.67600,0.51600,-10.86900,0.71500,-10.21200,0.39500,-10.95400,0.53700,-10.44500,0.71500,-9.96300,0.73400,-10.03500,0.53900,0,-9999,-9999,-9999,30633518,7.07000,3.94000
-5.52500,-35.42500,Natal,0,0.00140,309.00000,0.00140,425.00000,0.00320,1373.00000,0.00340,1747.00000,-11.82600,0.22500,-11.43700,0.52100,-11.16200,0.22900,-10.68900,0.53000,-10.99600,0.56100,-10.66900,0.49600,-10.62600,0.51600,-10.89600,0.48500,-9999.00000,-9999.00000,-12.19300,0.38900,-12.00800,0.27000,-11.26900,0.38500,-11.44600,0.49600,-11.35600,0.44600,-12.43500,0.40000,-12.34400,0.36900,-11.54400,0.32800,-12.13000,0.46900,-11.52500,0.47600,-10.53700,0.39800,-11.08700,0.53400,-10.42800,0.62000,-10.65100,0.44000,-10.02600,0.41800,-10.77600,0.52400,-11.36600,0.32700,-10.67700,0.48500,-10.76200,0.64600,-10.26900,0.35700,-10.75500,0.49800,-10.42100,0.57500,-9.97900,0.66100,-10.04800,0.50100,0,-9999,-9999,-9999,30633518,5.28000,3.29000
-5.52500,-35.37500,Natal,0,0.00190,543.00000,0.00190,746.00000,0.00370,601.00000,0.00390,694.00000,-11.92800,0.22600,-11.53200,0.52300,-11.33800,0.24600,-10.88200,0.50000,-11.09100,0.54000,-10.81100,0.51100,-10.77600,0.51100,-11.07800,0.49200,-9999.00000,-9999.00000,-12.52100,0.33400,-12.38600,0.28800,-11.70900,0.31800,-11.82600,0.49400,-11.74400,0.42600,-12.69100,0.37500,-12.63000,0.29500,-11.93400,0.30200,-12.42400,0.42800,-11.91800,0.44400,-10.55100,0.37200,-10.98600,0.46500,-10.42700,0.53300,-10.61500,0.42300,-10.05400,0.37300,-10.67400,0.49800,-11.18500,0.30000,-10.60900,0.46300,-10.62800,0.57900,-10.25200,0.33600,-10.59800,0.44400,-10.38500,0.49700,-9.98900,0.60100,-10.05200,0.47300,0,-9999,-9999,-9999,30633518,6.00000,3.40000
-5.52500,-35.32500,Natal,0,0.00080,585.00000,0.00080,801.00000,0.00090,910.00000,0.00100,1008.00000,-12.19700,0.23800,-12.06100,0.54300,-11.86800,0.27600,-11.45300,0.41300,-11.35700,0.47000,-11.24700,0.55100,-11.22700,0.49200,-11.61900,0.50900,-9999.00000,-9999.00000,-13.19800,0.32800,-13.10700,0.29900,-12.48600,0.28700,-12.61900,0.51300,-12.48100,0.40300,-13.27900,0.33700,-13.25400,0.23400,-12.70900,0.27900,-13.09100,0.38600,-12.68500,0.37400,-10.64000,0.36600,-11.03900,0.42700,-10.52400,0.49300,-10.67200,0.41600,-10.16900,0.37200,-10.73800,0.47500,-11.17400,0.29300,-10.64700,0.43500,-10.64200,0.55300,-10.36100,0.30800,-10.65000,0.42100,-10.47900,0.46000,-10.11600,0.56400,-10.21200,0.46700,0,-9999,-9999,-9999,30633518,6.83000,3.64000
-5.52500,-35.27500,Natal,1,0.00390,1743.00000,0.00390,2933.00000,0.00390,3819.00000,0.00500,5033.00000,-12.19500,0.23900,-12.05100,0.54300,-11.86500,0.27600,-11.44900,0.41300,-11.35300,0.47100,-11.24300,0.55200,-11.22300,0.49200,-11.61500,0.50900,-9999.00000,-9999.00000,-14.39700,0.37000,-14.29300,0.35500,-13.80600,0.33400,-13.99500,0.55100,-13.73600,0.39100,-14.37400,0.32400,-14.34000,0.31600,-13.99400,0.29700,-14.27800,0.35100,-13.95300,0.33400,-11.29000,0.44100,-11.54100,0.45400,-11.19200,0.48900,-11.31000,0.44000,-10.91500,0.44200,-11.35600,0.47900,-11.52900,0.34800,-11.21700,0.49200,-11.24900,0.49400,-11.14800,0.42900,-11.26100,0.39100,-11.13900,0.50400,-10.97300,0.57000,-11.10200,0.46700,4,-9999,-9999,-9999,30633518,9.55000,4.52000
-5.52500,-35.22500,Natal,0,0.00040,0.00000,0.00040,1.00000,0.00040,1.00000,0.00060,2.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-16.13300,0.52700,-15.95400,0.49400,-15.69700,0.46300,-15.99300,0.68300,-15.60700,0.52200,-16.08200,0.53700,-15.94800,0.57700,-15.76000,0.44700,-16.04000,0.46700,-15.83500,0.41300,-13.53300,0.71700,-13.63200,0.79500,-13.46100,0.56200,-13.51100,0.67900,-13.39500,0.66200,-13.36400,0.55300,-13.41700,0.52200,-13.38500,0.62700,-13.50900,0.73300,-13.51100,0.62800,-13.37600,0.43200,-13.39400,0.69600,-13.58800,0.87700,-13.61600,0.77800,93,-9999,-9999,-9999,30633518,-9999.00000,-9999.00000
-5.52500,-35.17500,Natal,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,30633518,-9999.00000,-9999.00000
-5.52500,-35.12500,Natal,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,30633518,-9999.00000,-9999.00000
-5.52500,-35.07500,Natal,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,30633518,-9999.00000,-9999.00000
-5.52500,-35.02500,Natal,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,30633518,-9999.00000,-9999.00000
