latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
40.97500,-74.22500,NewYork,2,0.12650,12235.00000,0.27520,13148.00000,0.29670,13927.00000,0.36360,14458.00000,-7.65600,0.40300,-7.43500,0.38800,-7.77900,0.39000,-6.84400,1.59300,-7.53400,0.43900,-7.32800,0.18000,-7.57200,0.18400,-7.50200,0.17700,-9.70500,0.27000,-9.49300,0.34800,-9.60300,0.30600,-9.61500,0.25400,-9.38400,0.44800,-9.37000,0.31900,-9.52300,0.26900,-9.24600,0.32400,-9.32900,0.26400,-9.38500,0.25900,-9.21100,0.39400,-7.69900,0.27900,-7.63700,0.36800,-7.60600,0.28400,-7.64300,0.34100,-7.48800,0.35600,-7.56500,0.27200,-7.56300,0.34700,-7.63700,0.37800,-7.66100,0.27900,-7.68200,0.40000,-7.55700,0.29900,-7.30100,0.59900,-7.28300,0.55400,-7.36500,0.49200,0,0.05360,7.56510,4.08420,23367572,40.89000,6.70000
40.97500,-74.17500,NewYork,2,0.24130,24725.00000,0.41240,26665.00000,0.42780,28121.00000,0.49620,28851.00000,-7.41500,0.31800,-7.29600,0.39000,-7.52600,0.38500,-6.74200,1.30400,-7.29600,0.47400,-7.09700,0.18100,-7.33700,0.18400,-7.28800,0.17500,-9.41300,0.27100,-9.21900,0.34200,-9.33300,0.30600,-9.33000,0.25300,-9.10800,0.42500,-9.09600,0.32900,-9.22200,0.25800,-8.96200,0.31600,-9.03000,0.23600,-9.05900,0.26400,-8.87500,0.38000,-7.48400,0.29300,-7.39000,0.39300,-7.41100,0.32300,-7.41200,0.37600,-7.27700,0.37400,-7.37000,0.29200,-7.30600,0.38500,-7.43600,0.41500,-7.39900,0.31600,-7.47900,0.41000,-7.38100,0.35200,-7.04300,0.62500,-7.02800,0.58200,-7.15200,0.50400,0,0.08400,8.08270,6.11210,23367572,34.42000,6.34000
40.97500,-74.12500,NewYork,3,0.31580,40658.00000,0.54720,44021.00000,0.55450,46395.00000,0.63500,47465.00000,-7.14600,0.22200,-7.14000,0.39200,-7.24200,0.37800,-6.62700,0.98000,-7.03000,0.51300,-6.84000,0.18200,-7.07300,0.18300,-7.04900,0.17300,-9.16400,0.27700,-8.98400,0.32600,-9.09000,0.30100,-9.06200,0.25900,-8.84900,0.40200,-8.81800,0.33500,-8.93100,0.25800,-8.70200,0.31800,-8.75400,0.22400,-8.75200,0.26800,-8.56800,0.36800,-7.43800,0.32000,-7.25900,0.44700,-7.31700,0.38900,-7.25600,0.45800,-7.19100,0.38900,-7.28500,0.33500,-7.17900,0.40900,-7.29900,0.45300,-7.27200,0.36300,-7.36400,0.41300,-7.25600,0.41800,-6.87100,0.64400,-6.94300,0.56500,-7.04800,0.55600,0,0.10390,8.21370,7.93410,23367572,29.94000,5.86000
40.97500,-74.07500,NewYork,3,0.39560,25938.00000,0.56360,28120.00000,0.57500,29680.00000,0.65050,30320.00000,-7.05700,0.22000,-7.09700,0.39400,-7.12800,0.36700,-6.57400,0.96000,-6.94600,0.53300,-6.77100,0.17200,-6.98500,0.18800,-6.97000,0.17200,-8.98300,0.28800,-8.81400,0.30400,-8.89800,0.29400,-8.84900,0.27600,-8.65300,0.38200,-8.59000,0.34700,-8.70200,0.25100,-8.49200,0.33800,-8.54600,0.23300,-8.51100,0.26200,-8.32900,0.37400,-7.51500,0.36200,-7.31300,0.52000,-7.37500,0.43600,-7.27000,0.51200,-7.26300,0.40800,-7.31300,0.39100,-7.24900,0.44000,-7.32700,0.45700,-7.33900,0.40400,-7.37600,0.40200,-7.27400,0.44300,-6.88500,0.67400,-7.05700,0.52800,-7.03400,0.61600,0,0.08230,8.45270,6.32600,23367572,29.34000,5.83000
40.97500,-74.02500,NewYork,2,0.32470,28176.00000,0.47840,30608.00000,0.48700,32265.00000,0.55060,32989.00000,-6.87500,0.21500,-7.01000,0.39600,-6.89500,0.34500,-6.46700,0.91900,-6.77400,0.57300,-6.63300,0.15000,-6.80500,0.19700,-6.80700,0.17000,-8.89500,0.29400,-8.73900,0.29400,-8.80000,0.27600,-8.73800,0.29800,-8.55000,0.36800,-8.47300,0.35500,-8.58900,0.24500,-8.38600,0.36300,-8.43000,0.24300,-8.38500,0.24000,-8.19500,0.38000,-7.68800,0.35600,-7.50400,0.51600,-7.54100,0.37500,-7.47100,0.48300,-7.43500,0.39400,-7.48800,0.36200,-7.42900,0.42300,-7.52400,0.41800,-7.53900,0.35700,-7.44500,0.38700,-7.37000,0.41000,-6.98400,0.66100,-7.16700,0.51800,-7.10500,0.60700,0,0.07970,7.56410,5.18120,23367572,28.68000,5.98000
40.97500,-73.97500,NewYork,2,0.20750,22084.00000,0.31770,23926.00000,0.32480,25317.00000,0.40040,25890.00000,-6.98300,0.21900,-7.15700,0.38800,-7.04500,0.34500,-6.62000,0.96500,-6.91600,0.58600,-6.81800,0.14700,-6.96000,0.19500,-6.96100,0.17000,-8.93500,0.31100,-8.78100,0.29800,-8.82800,0.27300,-8.76500,0.30400,-8.58900,0.35000,-8.49400,0.33200,-8.59500,0.23000,-8.41800,0.37100,-8.44800,0.24400,-8.42000,0.21500,-8.21500,0.38000,-7.79700,0.33100,-7.63400,0.44100,-7.65300,0.28600,-7.60500,0.43100,-7.53800,0.36700,-7.63300,0.29000,-7.57100,0.36400,-7.67700,0.35900,-7.65000,0.29500,-7.42200,0.40200,-7.38800,0.36400,-7.05900,0.60800,-7.17100,0.48800,-7.13000,0.56900,0,0.06860,8.22170,4.73200,23367572,34.73000,6.35000
40.97500,-73.92500,NewYork,1,0.15250,5739.00000,0.24240,6046.00000,0.25070,6401.00000,0.30720,6579.00000,-7.02600,0.24100,-7.33000,0.37900,-7.13500,0.32800,-6.79100,1.03500,-7.04800,0.62000,-7.05000,0.14300,-7.09700,0.20300,-7.10600,0.17200,-9.08500,0.31300,-8.90900,0.29100,-8.97600,0.27100,-8.88800,0.31200,-8.72100,0.34400,-8.63400,0.34100,-8.72100,0.22600,-8.56800,0.38500,-8.60200,0.25500,-8.57000,0.23700,-8.37000,0.39400,-7.72600,0.31000,-7.55200,0.37000,-7.56200,0.29600,-7.47000,0.42500,-7.42500,0.33600,-7.49300,0.28000,-7.51200,0.33200,-7.53600,0.34600,-7.49800,0.27400,-7.24900,0.41500,-7.21000,0.31800,-6.90700,0.61300,-7.01400,0.52100,-6.92800,0.53900,0,0.02310,5.95180,1.87360,23367572,47.21000,6.80000
40.97500,-73.87500,NewYork,2,0.25270,31256.00000,0.38690,34316.00000,0.39530,36172.00000,0.44370,37271.00000,-7.15300,0.23700,-7.46600,0.37200,-7.30200,0.32500,-6.93500,1.09900,-7.20000,0.63100,-7.23100,0.14400,-7.26000,0.19900,-7.26900,0.16900,-9.34400,0.31800,-9.16700,0.28600,-9.26300,0.27900,-9.14400,0.32100,-8.98900,0.34600,-8.91500,0.34300,-8.99200,0.23200,-8.84600,0.39900,-8.88700,0.29000,-8.84800,0.25800,-8.66500,0.38800,-7.60500,0.26300,-7.41500,0.35500,-7.39600,0.27300,-7.33500,0.39200,-7.30200,0.30800,-7.32600,0.27200,-7.33200,0.30100,-7.31800,0.31700,-7.41200,0.23800,-7.18900,0.34400,-7.16300,0.26300,-6.84300,0.57700,-7.03200,0.47500,-6.94000,0.51500,0,0.07790,9.35200,8.66650,23367572,28.90000,6.28000
40.97500,-73.82500,NewYork,3,0.28940,45861.00000,0.50920,49766.00000,0.51680,52726.00000,0.60700,54235.00000,-7.35100,0.24500,-7.76100,0.34500,-7.58000,0.30100,-7.25400,1.16300,-7.50600,0.64400,-7.61300,0.16800,-7.56400,0.20800,-7.58200,0.16900,-9.71200,0.30400,-9.53300,0.28500,-9.65600,0.30600,-9.54400,0.30500,-9.37800,0.34400,-9.35200,0.36200,-9.40100,0.24300,-9.27000,0.41700,-9.30400,0.30700,-9.25700,0.27800,-9.09000,0.38000,-7.68000,0.22500,-7.50000,0.33600,-7.48100,0.26500,-7.45600,0.36400,-7.40500,0.30600,-7.40700,0.26900,-7.41700,0.28300,-7.42200,0.30300,-7.49700,0.22300,-7.30400,0.31900,-7.31300,0.27600,-6.99500,0.56300,-7.22600,0.45700,-7.11500,0.47400,0,0.09270,8.70650,8.46680,23367572,28.26000,5.71000
40.97500,-73.77500,NewYork,2,0.18710,21720.00000,0.36980,23593.00000,0.37500,24950.00000,0.44950,25795.00000,-7.46200,0.24700,-7.88800,0.33500,-7.72500,0.28600,-7.39300,1.21800,-7.65000,0.65500,-7.78300,0.17400,-7.71000,0.20900,-7.73100,0.16600,-10.20300,0.29100,-10.00100,0.29200,-10.15200,0.32300,-10.07300,0.28000,-9.87500,0.35700,-9.92100,0.32400,-9.93400,0.24200,-9.81000,0.42500,-9.85300,0.35100,-9.81600,0.26900,-9.66800,0.36300,-7.83900,0.18700,-7.69900,0.30000,-7.66400,0.23600,-7.67200,0.29900,-7.59600,0.25000,-7.58400,0.23500,-7.61200,0.24100,-7.65100,0.25400,-7.67400,0.19200,-7.54500,0.26900,-7.54300,0.23400,-7.21000,0.55100,-7.39300,0.41600,-7.36600,0.35000,0,0.06320,7.66490,4.39240,23367572,34.66000,6.33000
