latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
56.57500,43.77500,NizhnyNovgorod,1,0.00040,0.00000,0.00370,6.00000,0.00620,43.00000,0.00740,133.00000,-10.05900,0.16500,-9.67900,0.17500,-10.24700,0.29400,-10.40700,0.51200,-10.15600,0.28900,-9.82700,0.26100,-10.01600,0.29300,-9.94400,0.20900,-12.08200,0.45100,-11.94500,0.52200,-12.40600,0.51400,-12.68000,0.42700,-11.69300,0.41200,-11.86800,0.46100,-12.19000,0.56700,-11.97500,0.40800,-12.05300,0.33900,-11.73300,0.42600,-11.96800,0.36700,-10.68200,0.44100,-10.02300,0.38500,-10.45400,0.47600,-10.51600,0.33900,-10.16200,0.43700,-9.86300,0.29400,-9.53700,0.48000,-10.23600,0.40000,-10.12800,0.46200,-9.80300,0.22500,-9.60700,0.42600,-9.92800,0.40300,-9.55200,0.29200,-9.81000,0.41400,0,-9999,-9999,-9999,17110174,21.62000,6.50000
56.57500,43.82500,NizhnyNovgorod,0,0.00000,32.00000,0.00000,18.00000,0.00030,55.00000,0.00070,147.00000,-10.06900,0.16600,-9.69000,0.17400,-10.25800,0.29300,-10.42800,0.51600,-10.17100,0.28600,-9.83700,0.26100,-10.03100,0.29200,-9.94600,0.20900,-12.06500,0.44200,-11.92300,0.52500,-12.39300,0.51500,-12.67700,0.43200,-11.68000,0.41400,-11.83200,0.46600,-12.16300,0.57600,-11.95500,0.40700,-12.01800,0.33800,-11.69700,0.44100,-11.93900,0.36400,-10.66200,0.43100,-10.00400,0.39200,-10.41900,0.49600,-10.48200,0.34600,-10.13200,0.42900,-9.84900,0.29100,-9.53200,0.46900,-10.21800,0.41200,-10.11500,0.46500,-9.78900,0.22800,-9.57100,0.42400,-9.90100,0.39900,-9.55900,0.28900,-9.79500,0.41300,0,-9999,-9999,-9999,17110174,29.49000,7.40000
56.57500,43.87500,NizhnyNovgorod,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-10.00200,0.18000,-9.60700,0.17400,-10.21100,0.30800,-10.38100,0.50600,-10.11200,0.27100,-9.78900,0.27000,-9.96600,0.28700,-9.86200,0.21600,-12.06400,0.43800,-11.92100,0.52300,-12.38900,0.51100,-12.67800,0.43900,-11.68900,0.41600,-11.82800,0.47200,-12.15600,0.58100,-11.95200,0.40800,-11.99400,0.33900,-11.69600,0.45600,-11.93400,0.36500,-10.58400,0.41500,-9.95300,0.39500,-10.34700,0.48700,-10.40200,0.34100,-10.05600,0.40500,-9.80200,0.28200,-9.51600,0.45000,-10.16400,0.41500,-10.07500,0.45200,-9.75400,0.23500,-9.50700,0.41500,-9.85500,0.39100,-9.55600,0.28300,-9.76300,0.40700,0,-9999,-9999,-9999,17110174,34.97000,7.87000
56.57500,43.92500,NizhnyNovgorod,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9.98800,0.18600,-9.58800,0.17200,-10.20300,0.31400,-10.37800,0.50600,-10.10200,0.26200,-9.78000,0.27400,-9.95300,0.28300,-9.83600,0.21800,-12.07600,0.43600,-11.93500,0.51800,-12.39400,0.51300,-12.68800,0.43600,-11.71100,0.41800,-11.84400,0.46400,-12.16400,0.58600,-11.96500,0.41400,-11.99100,0.33800,-11.71900,0.47600,-11.95300,0.36500,-10.47200,0.41700,-9.87300,0.39000,-10.25600,0.47800,-10.29300,0.33400,-9.96400,0.38200,-9.74700,0.27900,-9.49300,0.42700,-10.09700,0.41300,-10.01500,0.44100,-9.69500,0.24100,-9.44900,0.40500,-9.80100,0.37600,-9.53600,0.28100,-9.72500,0.40400,0,-9999,-9999,-9999,17110174,42.48000,7.57000
56.57500,43.97500,NizhnyNovgorod,0,0.00090,0.00000,0.00200,3.00000,0.00280,2.00000,0.00290,8.00000,-10.00300,0.18800,-9.60400,0.17100,-10.21600,0.31600,-10.40100,0.51000,-10.11900,0.25800,-9.79300,0.27600,-9.96900,0.28100,-9.84400,0.21700,-12.09900,0.43400,-11.95800,0.50700,-12.40600,0.51500,-12.70500,0.43200,-11.74400,0.41900,-11.87700,0.44600,-12.18600,0.59200,-11.98900,0.42000,-12.00200,0.33900,-11.76100,0.49600,-11.98700,0.36900,-10.34400,0.43300,-9.77800,0.36900,-10.15800,0.47600,-10.17400,0.33000,-9.87700,0.36700,-9.69200,0.28100,-9.46500,0.40200,-10.02200,0.41100,-9.93500,0.43800,-9.62200,0.24500,-9.40000,0.39300,-9.74000,0.35800,-9.50700,0.27900,-9.68600,0.40700,0,-9999,-9999,-9999,17110174,35.59000,7.06000
56.57500,44.02500,NizhnyNovgorod,1,0.00360,356.00000,0.00840,1021.00000,0.01150,1040.00000,0.01270,1139.00000,-9.97400,0.21100,-9.55900,0.17200,-10.18100,0.33900,-10.38000,0.50200,-10.09300,0.23700,-9.78200,0.28200,-9.93300,0.26600,-9.80200,0.22500,-12.13200,0.43500,-12.00100,0.48800,-12.43400,0.51100,-12.72400,0.43100,-11.79000,0.42600,-11.93700,0.42400,-12.22200,0.59200,-12.04400,0.42400,-12.04500,0.34000,-11.83700,0.51500,-12.04800,0.38100,-10.19000,0.43600,-9.69100,0.34600,-10.05200,0.47000,-10.10900,0.32600,-9.80900,0.36700,-9.62900,0.26400,-9.43000,0.37300,-9.93500,0.39000,-9.80400,0.41500,-9.56700,0.23200,-9.37500,0.38500,-9.67000,0.35300,-9.48400,0.28400,-9.63800,0.39600,0,-9999,-9999,-9999,17110174,24.53000,6.77000
56.57500,44.07500,NizhnyNovgorod,0,0.00020,943.00000,0.00090,841.00000,0.00110,719.00000,0.00220,851.00000,-9.95900,0.22000,-9.53700,0.17200,-10.16400,0.34800,-10.36600,0.49700,-10.07800,0.22900,-9.77400,0.28400,-9.91400,0.26000,-9.78300,0.22900,-12.16500,0.43200,-12.04200,0.47500,-12.45200,0.49800,-12.73000,0.42500,-11.84500,0.43300,-12.00000,0.39800,-12.25800,0.58400,-12.09000,0.42600,-12.08000,0.34400,-11.91100,0.52500,-12.11100,0.39100,-9.99900,0.39000,-9.60400,0.31300,-9.94800,0.42400,-9.99500,0.28500,-9.69500,0.33900,-9.56400,0.24300,-9.40300,0.35300,-9.86100,0.37700,-9.70700,0.38900,-9.49700,0.22400,-9.35700,0.37600,-9.61800,0.33700,-9.46400,0.27800,-9.57900,0.37500,0,-9999,-9999,-9999,17110174,35.37000,7.44000
56.57500,44.12500,NizhnyNovgorod,0,0.00010,0.00000,0.00040,20.00000,0.00040,17.00000,0.00050,36.00000,-9.95900,0.22200,-9.53700,0.17200,-10.16300,0.35000,-10.36700,0.49700,-10.07800,0.22800,-9.77600,0.28400,-9.91400,0.26000,-9.78300,0.23000,-12.20000,0.43000,-12.08600,0.46500,-12.47000,0.48400,-12.73500,0.41300,-11.90400,0.43900,-12.06800,0.37200,-12.30000,0.57500,-12.13800,0.42600,-12.11500,0.34800,-11.98800,0.52700,-12.18000,0.39600,-9.84800,0.33900,-9.54100,0.28700,-9.88000,0.38500,-9.88600,0.24600,-9.60100,0.31100,-9.52000,0.23200,-9.39000,0.34200,-9.81500,0.37400,-9.66100,0.37500,-9.44400,0.22600,-9.35000,0.37100,-9.59300,0.32000,-9.45500,0.27200,-9.53900,0.36100,0,-9999,-9999,-9999,17110174,40.86000,7.69000
56.57500,44.17500,NizhnyNovgorod,0,0.00000,0.00000,0.00020,21.00000,0.00030,17.00000,0.00030,4.00000,-9.96800,0.25500,-9.53300,0.16900,-10.14600,0.37200,-10.37700,0.49900,-10.08500,0.21200,-9.80200,0.28400,-9.90700,0.25000,-9.78400,0.24000,-12.22800,0.43900,-12.12900,0.44900,-12.48500,0.48300,-12.73400,0.40300,-11.95900,0.44700,-12.13400,0.34500,-12.34000,0.56700,-12.18200,0.42400,-12.16800,0.35000,-12.07100,0.52000,-12.24800,0.40100,-9.79300,0.31400,-9.53200,0.28600,-9.86000,0.37800,-9.81700,0.23400,-9.58700,0.30400,-9.51100,0.23100,-9.39200,0.33300,-9.78900,0.37200,-9.65600,0.36800,-9.43700,0.23300,-9.36300,0.36800,-9.59600,0.31100,-9.46400,0.27700,-9.53800,0.36200,0,-9999,-9999,-9999,17110174,44.50000,7.56000
56.57500,44.22500,NizhnyNovgorod,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9.97200,0.26900,-9.53100,0.16800,-10.13900,0.38000,-10.38200,0.49900,-10.08800,0.20500,-9.81300,0.28400,-9.90500,0.24600,-9.78400,0.24400,-12.25800,0.44900,-12.17200,0.44000,-12.50500,0.47700,-12.72800,0.40000,-12.00900,0.45500,-12.18700,0.32800,-12.37400,0.55400,-12.21600,0.42700,-12.20800,0.35200,-12.13600,0.51500,-12.32000,0.40300,-9.76900,0.30400,-9.54000,0.29000,-9.85600,0.37700,-9.79600,0.23400,-9.58600,0.30000,-9.51400,0.23000,-9.40400,0.32200,-9.77200,0.36800,-9.66300,0.36600,-9.44200,0.23900,-9.38600,0.37000,-9.60800,0.30600,-9.49300,0.28800,-9.54400,0.36500,0,-9999,-9999,-9999,17110174,50.69000,7.15000
