latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
37.07500,-76.52500,Norfolk,2,0.10600,12837.00000,0.20520,13789.00000,0.23640,14466.00000,0.25380,14268.00000,-10.25200,0.25900,-10.03300,0.20600,-10.43500,0.40100,-10.07000,0.88800,-10.23300,0.28000,-10.14500,0.40300,-10.03500,0.19800,-9.94300,0.18300,-11.18000,0.39700,-11.25300,0.34900,-11.35300,0.28800,-11.33700,0.29900,-11.13000,0.23700,-11.00800,0.30900,-11.22000,0.25300,-11.32500,0.27200,-11.31300,0.26100,-11.23000,0.33500,-11.16600,0.31700,-9.42800,0.29700,-9.37200,0.30900,-9.27300,0.31000,-9.40800,0.42000,-9.22700,0.34500,-9.19000,0.30900,-9.25400,0.37500,-9.13400,0.32900,-9.36800,0.32300,-9.10500,0.37500,-9.27500,0.27900,-9.15900,0.46100,-9.25400,0.45600,-9.22300,0.35100,52,0.03550,5.07690,2.94690,24671796,26.29000,6.64000
37.07500,-76.47500,Norfolk,3,0.32660,35091.00000,0.57620,36101.00000,0.63520,37062.00000,0.68300,36653.00000,-10.33500,0.26400,-10.13600,0.20800,-10.52700,0.41200,-10.18100,0.85500,-10.33100,0.29400,-10.24000,0.41600,-10.14200,0.20100,-10.04600,0.17900,-11.37300,0.40600,-11.46100,0.35800,-11.59500,0.28500,-11.52600,0.31300,-11.32800,0.23700,-11.17300,0.33500,-11.39000,0.24500,-11.51000,0.28200,-11.44700,0.25900,-11.29600,0.35600,-11.23000,0.36300,-9.20300,0.28100,-9.12800,0.31300,-9.01400,0.26000,-9.18000,0.40600,-8.98600,0.29100,-8.94000,0.26400,-8.97100,0.34600,-8.87600,0.32900,-9.06800,0.32100,-8.80900,0.34800,-8.96100,0.23600,-8.87200,0.43400,-8.94300,0.40700,-8.84200,0.30100,5,0.10310,12.81080,13.02920,24671796,17.95000,5.76000
37.07500,-76.42500,Norfolk,3,0.20230,26693.00000,0.40070,27498.00000,0.50030,27657.00000,0.53920,27214.00000,-10.56900,0.26100,-10.48300,0.24300,-10.82100,0.51000,-10.51500,0.87500,-10.59800,0.35500,-10.50800,0.40000,-10.50400,0.25000,-10.44100,0.13100,-11.76800,0.44900,-11.90400,0.40300,-12.07400,0.30700,-12.01300,0.34300,-11.74800,0.25500,-11.60400,0.37600,-11.83700,0.27500,-11.92600,0.29700,-11.82600,0.27000,-11.64600,0.38100,-11.58800,0.41000,-9.19900,0.28900,-9.11100,0.32800,-9.01700,0.26300,-9.18600,0.43200,-8.99700,0.29800,-8.94200,0.27100,-8.97200,0.35200,-8.86000,0.34100,-9.05300,0.33700,-8.78500,0.35000,-8.92700,0.23900,-8.85600,0.44300,-8.91600,0.41700,-8.82000,0.31000,0,0.06200,11.20470,7.01400,24671796,34.06000,6.51000
37.07500,-76.37500,Norfolk,3,0.23490,17181.00000,0.36070,16464.00000,0.40330,15944.00000,0.42790,14553.00000,-10.71000,0.26900,-10.66100,0.25500,-10.98000,0.54000,-10.69900,0.87200,-10.75800,0.37500,-10.66500,0.40300,-10.69000,0.26400,-10.63300,0.12000,-12.37700,0.48100,-12.58000,0.47200,-12.77500,0.32500,-12.73400,0.37800,-12.41600,0.32500,-12.28500,0.42500,-12.53700,0.30800,-12.59800,0.34400,-12.47700,0.27900,-12.28600,0.39400,-12.25900,0.43900,-9.47200,0.32200,-9.35900,0.40000,-9.33500,0.31500,-9.51100,0.46500,-9.31600,0.36000,-9.23600,0.31300,-9.26800,0.40600,-9.16000,0.40100,-9.32000,0.40800,-9.08900,0.42300,-9.17300,0.27800,-9.14700,0.47100,-9.17700,0.44800,-9.09300,0.34900,0,0.05810,10.06400,6.78250,24671796,21.04000,6.35000
37.07500,-76.32500,Norfolk,2,0.27220,23445.00000,0.39280,22464.00000,0.40670,21707.00000,0.42070,19476.00000,-11.13400,0.30300,-11.14900,0.32500,-11.46300,0.66200,-11.20700,0.90100,-11.21500,0.46400,-11.11200,0.36000,-11.21900,0.36900,-11.21000,0.13100,-13.18700,0.56100,-13.46100,0.55100,-13.70200,0.34800,-13.69000,0.42500,-13.33000,0.38400,-13.18200,0.49900,-13.49100,0.33900,-13.49600,0.42300,-13.41600,0.32000,-13.19900,0.42800,-13.17200,0.46500,-10.73000,0.37100,-10.53300,0.43400,-10.51300,0.38900,-10.63200,0.52700,-10.45900,0.42900,-10.46700,0.34700,-10.54100,0.45600,-10.38900,0.48900,-10.58700,0.45200,-10.27400,0.54200,-10.40800,0.32700,-10.29700,0.49000,-10.33300,0.45200,-10.31400,0.44500,0,0.05200,7.01190,4.33540,24671796,21.83000,6.25000
37.07500,-76.27500,Norfolk,1,0.07010,7546.00000,0.10620,7259.00000,0.11490,7008.00000,0.12020,6271.00000,-11.32400,0.32500,-11.35900,0.34800,-11.67500,0.70300,-11.43000,0.91900,-11.42400,0.49100,-11.31100,0.35300,-11.44600,0.40300,-11.45400,0.13900,-14.33800,0.67600,-14.66400,0.64400,-14.98100,0.43600,-14.98000,0.47200,-14.59400,0.46900,-14.45800,0.59000,-14.82200,0.39600,-14.76600,0.54600,-14.72800,0.38100,-14.51900,0.47000,-14.46700,0.49500,-13.00400,0.47300,-12.78700,0.51000,-12.79000,0.53600,-12.80800,0.63800,-12.81300,0.45800,-12.84500,0.42000,-12.93100,0.46100,-12.63600,0.65400,-12.85600,0.58200,-12.54800,0.74800,-12.69600,0.41200,-12.50000,0.65000,-12.59500,0.63600,-12.65400,0.69000,72,0.01550,2.46730,1.12140,24671796,19.39000,5.84000
37.07500,-76.22500,Norfolk,0,0.00130,0.00000,0.00200,0.00000,0.00230,0.00000,0.00240,0.00000,-11.32400,0.32500,-11.35900,0.34800,-11.67500,0.70300,-11.43000,0.91900,-11.42400,0.49100,-11.31100,0.35300,-11.44600,0.40300,-11.45400,0.13900,-15.40700,0.82400,-15.83800,0.75400,-16.14800,0.53100,-16.19100,0.51800,-15.78000,0.56900,-15.64600,0.68400,-16.08600,0.44400,-15.95000,0.58700,-15.96900,0.47100,-15.77000,0.52300,-15.69000,0.54400,-15.41500,0.75400,-15.30800,0.76100,-15.27500,0.65500,-15.37400,0.74900,-15.21500,0.70900,-15.38100,0.52300,-15.44300,0.55900,-14.85600,0.73700,-15.33300,0.80300,-15.01300,1.01300,-15.10100,0.70700,-15.11900,0.97100,-15.03300,0.84500,-15.04700,0.76600,100,0.00000,0.00000,0.00000,24671796,-9999.00000,-9999.00000
37.07500,-76.17500,Norfolk,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-15.57100,0.85100,-16.02500,0.77500,-16.32700,0.54800,-16.38000,0.52700,-15.96500,0.58500,-15.82900,0.70300,-16.28200,0.45100,-16.13200,0.58500,-16.15700,0.49100,-15.96200,0.53000,-15.87700,0.55400,-15.86700,0.81900,-15.79500,0.82300,-15.75000,0.67300,-15.86900,0.76500,-15.66200,0.77400,-15.86600,0.54400,-15.91600,0.58700,-15.27100,0.74800,-15.80400,0.84800,-15.47900,1.06800,-15.54700,0.77500,-15.63500,1.04200,-15.49500,0.88300,-15.48800,0.76600,100,0.00000,0.00000,0.00000,24671796,-9999.00000,-9999.00000
37.07500,-76.12500,Norfolk,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,0.00000,0.00000,0.00000,24671796,-9999.00000,-9999.00000
37.07500,-76.07500,Norfolk,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,0.00000,0.00000,0.00000,24671796,-9999.00000,-9999.00000
