latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
38.02500,-122.47500,Oakland,0,0.04200,92.00000,0.05060,92.00000,0.05780,90.00000,0.06030,83.00000,-10.70900,0.20700,-10.70900,0.21200,-10.50300,0.19500,-10.70100,0.09300,-10.52600,0.09100,-10.36500,0.16100,-10.26700,0.24200,-10.52000,0.43400,-12.89200,0.15300,-12.76400,0.17400,-12.73000,0.22800,-12.65500,0.21800,-12.62700,0.21300,-12.63700,0.19800,-12.55600,0.18900,-12.58100,0.15500,-12.66200,0.21800,-12.62600,0.21500,-12.57500,0.17000,-11.73600,0.34100,-11.68700,0.30600,-11.55700,0.31200,-11.72500,0.30000,-11.76000,0.31000,-11.56900,0.29800,-11.63600,0.28900,-11.59700,0.33800,-11.47300,0.57900,-11.35000,0.72400,-11.47900,0.62600,-11.45500,0.70000,-11.05300,0.76000,-11.13300,0.49200,81,0.00040,0.29560,0.02460,24364558,7.72000,5.24000
38.02500,-122.42500,Oakland,0,0.00200,0.00000,0.00250,0.00000,0.00250,0.00000,0.00260,0.00000,-10.64800,0.21100,-10.63000,0.21800,-10.42800,0.19200,-10.62300,0.11000,-10.44300,0.09300,-10.29900,0.16100,-10.18200,0.23900,-10.44000,0.45000,-12.81000,0.16100,-12.70700,0.15500,-12.68100,0.22400,-12.64900,0.22200,-12.59100,0.22100,-12.59900,0.19800,-12.54200,0.18500,-12.49900,0.14700,-12.60300,0.19200,-12.55800,0.21700,-12.52200,0.19200,-12.45900,0.32800,-12.44500,0.28300,-12.30600,0.29000,-12.46300,0.26900,-12.45600,0.29800,-12.31300,0.28000,-12.42200,0.28600,-12.36400,0.33200,-12.23700,0.46500,-12.14800,0.55500,-12.19400,0.54800,-12.08400,0.85700,-11.72000,0.77500,-11.93500,0.58600,100,0.00000,0.00000,0.00000,24364558,-9999.00000,-9999.00000
38.02500,-122.37500,Oakland,0,0.00980,112.00000,0.01570,100.00000,0.02080,94.00000,0.02240,111.00000,-10.28100,0.17800,-10.34500,0.19700,-10.10600,0.18300,-10.23700,0.06000,-10.12500,0.08100,-10.00600,0.17100,-9.83800,0.19800,-10.08300,0.44600,-12.67700,0.14400,-12.66200,0.17700,-12.63700,0.19000,-12.62800,0.23300,-12.53300,0.21700,-12.53400,0.19700,-12.46500,0.16700,-12.40300,0.14400,-12.51300,0.19300,-12.49900,0.20500,-12.45600,0.22300,-11.92100,0.27900,-11.92900,0.22600,-11.87600,0.22800,-11.94700,0.20900,-11.86800,0.24000,-11.88500,0.29700,-11.92000,0.26900,-11.89200,0.30400,-11.96000,0.42000,-11.78000,0.48500,-11.81500,0.46000,-11.56000,0.80500,-11.52600,0.59900,-11.72700,0.47900,87,0.00030,0.06460,0.02020,24364558,21.76000,5.16000
38.02500,-122.32500,Oakland,1,0.14480,5583.00000,0.15610,6625.00000,0.15710,7517.00000,0.16090,8609.00000,-10.21100,0.18400,-10.25800,0.20200,-10.01700,0.18200,-10.15400,0.05600,-10.03100,0.08200,-9.93300,0.16900,-9.74600,0.19800,-9.99100,0.45800,-11.88900,0.15700,-11.91200,0.18900,-11.89400,0.16100,-11.84400,0.22700,-11.72800,0.20300,-11.78000,0.21800,-11.70100,0.18400,-11.60200,0.15500,-11.69800,0.18100,-11.69000,0.15900,-11.64200,0.18300,-10.18700,0.25500,-10.20600,0.23400,-10.19000,0.30400,-10.29900,0.23500,-10.20400,0.24500,-10.33200,0.27100,-10.33500,0.22300,-10.40700,0.27200,-10.54700,0.48800,-10.33300,0.39400,-10.15000,0.54500,-9.96400,0.86200,-9.87600,0.67800,-10.12100,0.41000,80,0.01430,1.42980,1.12790,24364558,2.54000,2.87000
38.02500,-122.27500,Oakland,2,0.23660,21578.00000,0.40090,25333.00000,0.41650,28890.00000,0.45820,32940.00000,-10.17400,0.13400,-10.31500,0.18600,-10.05200,0.17300,-10.19700,0.08000,-10.08700,0.08100,-9.97400,0.17400,-9.84200,0.21300,-10.05700,0.42900,-11.68100,0.15200,-11.70100,0.23700,-11.73200,0.17700,-11.64600,0.21500,-11.52900,0.20200,-11.59300,0.20300,-11.50900,0.19300,-11.40000,0.18300,-11.48400,0.15600,-11.50200,0.15100,-11.47100,0.19700,-9.87600,0.20500,-9.83900,0.16500,-9.83400,0.24600,-9.86200,0.27600,-9.81900,0.21000,-9.95600,0.22000,-9.99400,0.27800,-10.15200,0.23500,-10.07000,0.42600,-9.86400,0.30400,-9.72400,0.39000,-9.72900,0.79900,-9.52600,0.48200,-9.75200,0.39900,25,0.08260,5.31310,7.51100,24364558,6.99000,2.76000
38.02500,-122.22500,Oakland,1,0.09940,3473.00000,0.17400,4297.00000,0.18010,4892.00000,0.18690,5613.00000,-10.14500,0.13600,-10.28000,0.18600,-10.01500,0.17200,-10.16200,0.07900,-10.05000,0.08100,-9.94100,0.17300,-9.80600,0.21400,-10.02000,0.43300,-11.69900,0.15100,-11.72600,0.23100,-11.76200,0.21300,-11.62300,0.20900,-11.52600,0.19300,-11.58600,0.19600,-11.50200,0.18100,-11.41500,0.19400,-11.48200,0.17600,-11.54600,0.16700,-11.47900,0.18500,-9.72400,0.15400,-9.67100,0.13600,-9.65300,0.17200,-9.64300,0.16600,-9.63400,0.16100,-9.70000,0.14700,-9.71200,0.20500,-9.77900,0.20900,-9.79700,0.34100,-9.69300,0.27400,-9.56000,0.35500,-9.55500,0.60700,-9.34200,0.64100,-9.60200,0.38800,1,0.01980,5.86450,2.24250,24364558,9.35000,3.58000
38.02500,-122.17500,Oakland,1,0.12970,1815.00000,0.15270,2033.00000,0.15510,2212.00000,0.15850,2368.00000,-10.32400,0.12100,-10.50800,0.18400,-10.23400,0.15600,-10.40200,0.08600,-10.28500,0.09800,-10.12300,0.17700,-10.10100,0.23100,-10.25700,0.42900,-11.53000,0.14900,-11.52000,0.21600,-11.55900,0.23900,-11.40300,0.20800,-11.32700,0.18800,-11.37600,0.19900,-11.28000,0.17900,-11.22100,0.19900,-11.28600,0.17500,-11.33400,0.20000,-11.26000,0.17800,-9.46100,0.09700,-9.40900,0.10500,-9.38800,0.12300,-9.36600,0.10800,-9.38600,0.14200,-9.44500,0.11300,-9.44500,0.17700,-9.45600,0.20000,-9.42900,0.27900,-9.35100,0.30900,-9.26300,0.33000,-9.27000,0.51600,-9.01100,0.62000,-9.25700,0.31500,2,0.01330,3.49050,0.99820,24364558,11.09000,3.95000
38.02500,-122.12500,Oakland,2,0.36420,11464.00000,0.39930,13760.00000,0.40950,15628.00000,0.42100,17763.00000,-10.27600,0.11700,-10.44900,0.18500,-10.17000,0.15300,-10.34300,0.08500,-10.22100,0.09600,-10.06700,0.17600,-10.04100,0.23100,-10.19400,0.43000,-11.56700,0.15100,-11.51700,0.18300,-11.57800,0.23500,-11.41700,0.19800,-11.34600,0.17400,-11.37500,0.18700,-11.28400,0.17900,-11.24600,0.20800,-11.33000,0.16700,-11.33900,0.20300,-11.25900,0.16300,-9.34600,0.09200,-9.29400,0.10100,-9.27900,0.11800,-9.25400,0.09600,-9.28000,0.13700,-9.33500,0.10600,-9.33600,0.17300,-9.34200,0.19100,-9.29600,0.26600,-9.27300,0.43600,-9.14200,0.31900,-9.17400,0.53800,-8.97300,0.58300,-9.11800,0.31000,4,0.09980,8.30440,10.07890,24364558,7.67000,3.09000
38.02500,-122.07500,Oakland,2,0.36050,2692.00000,0.37850,3296.00000,0.39040,3784.00000,0.40630,4434.00000,-10.50500,0.11800,-10.69000,0.20500,-10.39300,0.15300,-10.59400,0.07900,-10.48400,0.10300,-10.27400,0.17300,-10.35200,0.21000,-10.44800,0.42500,-11.64700,0.14800,-11.55400,0.17700,-11.62200,0.23900,-11.49100,0.18800,-11.39500,0.15900,-11.42700,0.18100,-11.32400,0.18300,-11.30500,0.20700,-11.41800,0.16700,-11.38500,0.21600,-11.31100,0.16000,-9.32100,0.10000,-9.25700,0.11800,-9.25300,0.11700,-9.22400,0.10500,-9.24800,0.14400,-9.28500,0.11800,-9.32300,0.19000,-9.33700,0.19400,-9.33100,0.29300,-9.29800,0.51500,-9.14900,0.34900,-9.23500,0.61300,-9.04200,0.60300,-9.17800,0.39500,0,0.04740,7.63280,5.93360,24364558,5.54000,2.83000
38.02500,-122.02500,Oakland,1,0.20860,3290.00000,0.26120,4018.00000,0.27140,4619.00000,0.28020,5280.00000,-10.62500,0.11200,-10.81300,0.21900,-10.50500,0.15300,-10.72500,0.07500,-10.62200,0.10400,-10.37800,0.17100,-10.52100,0.19700,-10.58200,0.42500,-11.79500,0.14100,-11.67200,0.18400,-11.72800,0.23000,-11.64700,0.17000,-11.52500,0.15700,-11.56200,0.17900,-11.44300,0.19300,-11.42100,0.20300,-11.58300,0.17500,-11.50100,0.21300,-11.44800,0.17500,-9.52700,0.17000,-9.41200,0.17300,-9.45800,0.17000,-9.43200,0.16000,-9.42400,0.18400,-9.42500,0.18300,-9.45400,0.21700,-9.47300,0.21500,-9.46500,0.34500,-9.41000,0.59400,-9.25500,0.42100,-9.34000,0.71000,-9.21700,0.65100,-9.33700,0.49500,0,0.03790,7.36470,3.30190,24364558,4.90000,2.60000
