latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
12.62500,-1.77500,Ouagadougou,0,0.00000,0.00000,0.00000,0.00000,0.00020,36.00000,0.00060,210.00000,-10.95100,1.27300,-10.64300,1.01600,-10.50400,0.57000,-10.99800,0.94300,-11.37300,0.80200,-10.84800,1.20100,-10.64700,1.47400,-11.30200,0.62500,-11.74900,0.68000,-12.13500,0.48800,-12.14700,0.73800,-12.06000,0.75300,-11.65300,0.38100,-12.22900,0.53000,-11.72400,0.61100,-12.15000,0.82400,-12.19900,1.01100,-11.76100,0.65500,-12.08500,0.66700,-10.86300,1.20000,-10.27800,0.89800,-10.94800,0.98100,-10.47900,1.24300,-11.12100,0.85000,-10.44100,1.09600,-10.75400,1.08200,-10.58900,0.94900,-10.41300,1.11500,-10.33500,0.99500,-10.50900,0.67600,-10.33600,0.94600,-10.36400,0.73100,-10.46900,1.23300,0,-9999,-9999,-9999,30047856,1.00000,0.18000
12.62500,-1.72500,Ouagadougou,0,0.00000,1770.00000,0.00020,1034.00000,0.00030,404.00000,0.00070,982.00000,-10.95500,1.32100,-10.62700,0.97700,-10.54700,0.56800,-10.97100,0.92700,-11.36100,0.80500,-10.88500,1.24600,-10.62900,1.47500,-11.36900,0.67300,-11.76200,0.65800,-12.15000,0.50600,-12.14400,0.75200,-12.08700,0.73900,-11.63200,0.36700,-12.24100,0.54100,-11.75100,0.61100,-12.15900,0.85900,-12.19700,1.03100,-11.79300,0.65500,-12.11100,0.67600,-10.88900,1.21900,-10.31700,0.93600,-10.99900,0.97800,-10.50800,1.24600,-11.17300,0.86800,-10.48200,1.09600,-10.83800,1.07900,-10.65200,0.96900,-10.49200,1.11300,-10.40000,1.02800,-10.64000,0.67900,-10.41000,0.98000,-10.41600,0.74400,-10.50400,1.23800,0,-9999,-9999,-9999,30047856,1.00000,0.17000
12.62500,-1.67500,Ouagadougou,0,0.00010,0.00000,0.00020,128.00000,0.00020,40.00000,0.00050,33.00000,-10.95300,1.37000,-10.61500,0.94600,-10.61200,0.58000,-10.95600,0.92900,-11.35000,0.79600,-10.90800,1.27600,-10.59200,1.45000,-11.41900,0.79100,-11.78000,0.63800,-12.18500,0.54200,-12.15900,0.74700,-12.12200,0.74500,-11.61600,0.36600,-12.24400,0.56400,-11.77600,0.59600,-12.17800,0.88700,-12.21100,1.04500,-11.81800,0.65700,-12.12700,0.69000,-10.98700,1.21500,-10.38200,0.98200,-11.07800,0.97300,-10.57500,1.24200,-11.23900,0.85600,-10.53300,1.08100,-10.92300,1.08600,-10.73800,0.99000,-10.60500,1.13100,-10.48700,1.07200,-10.77100,0.66200,-10.46200,1.01800,-10.51400,0.76600,-10.57700,1.26600,0,-9999,-9999,-9999,30047856,1.00000,0.20000
12.62500,-1.62500,Ouagadougou,0,0.00020,1111.00000,0.00030,508.00000,0.00050,372.00000,0.00110,1106.00000,-10.94800,1.38300,-10.60000,0.93400,-10.62800,0.58400,-10.93800,0.92800,-11.33900,0.79200,-10.91000,1.28700,-10.56600,1.43800,-11.42600,0.83700,-11.79400,0.63800,-12.21300,0.55700,-12.19100,0.75400,-12.15300,0.77300,-11.60400,0.35900,-12.24100,0.58700,-11.76500,0.59600,-12.20700,0.91600,-12.23000,1.05000,-11.81700,0.65200,-12.13600,0.68200,-11.06400,1.19500,-10.45800,0.99000,-11.12200,0.98800,-10.60000,1.22300,-11.27700,0.79900,-10.58700,1.05300,-11.00200,1.04900,-10.90800,1.04200,-10.70500,1.14100,-10.58800,1.07000,-10.83600,0.66700,-10.50900,1.02000,-10.59500,0.77500,-10.68100,1.30200,0,-9999,-9999,-9999,30047856,1.00000,0.19000
12.62500,-1.57500,Ouagadougou,0,0.00010,1946.00000,0.00010,807.00000,0.00060,1258.00000,0.00380,3075.00000,-10.96500,1.35700,-10.62200,0.94700,-10.71900,0.62600,-10.94200,0.94100,-11.33600,0.76200,-10.89500,1.27000,-10.51300,1.38600,-11.34600,0.84000,-11.80800,0.64300,-12.23300,0.53300,-12.23100,0.74800,-12.21900,0.79900,-11.59500,0.36200,-12.23300,0.60000,-11.74200,0.60600,-12.24400,0.94000,-12.27000,1.03600,-11.79900,0.62400,-12.13400,0.69500,-11.10800,1.19200,-10.46900,0.96600,-11.16800,0.99300,-10.58500,1.19900,-11.23800,0.74400,-10.63200,1.03300,-11.03700,1.02300,-11.02000,1.00900,-10.80200,1.12400,-10.62300,1.06600,-10.86400,0.68000,-10.53100,1.02000,-10.64200,0.78300,-10.74900,1.31900,0,-9999,-9999,-9999,30047856,1.00000,0.18000
12.62500,-1.52500,Ouagadougou,0,0.00000,786.00000,0.00010,1763.00000,0.00040,1227.00000,0.00260,3546.00000,-10.97200,1.33800,-10.61600,0.95600,-10.73900,0.64500,-10.94100,0.94400,-11.33500,0.75300,-10.87400,1.26200,-10.49100,1.36700,-11.30300,0.82800,-11.84600,0.66300,-12.23300,0.51500,-12.26100,0.74600,-12.26400,0.83900,-11.57500,0.40200,-12.23800,0.62500,-11.75200,0.62400,-12.31100,0.94400,-12.30700,1.02000,-11.78500,0.61000,-12.15200,0.68600,-11.15600,1.23100,-10.43200,0.92600,-11.20600,0.98500,-10.52200,1.13900,-11.19600,0.72300,-10.64600,1.00900,-11.04400,1.01900,-11.03700,1.00500,-10.81900,1.12900,-10.64200,1.07300,-10.88600,0.68500,-10.50800,1.04100,-10.68000,0.78900,-10.76900,1.32200,0,-9999,-9999,-9999,30047856,1.00000,0.17000
12.62500,-1.47500,Ouagadougou,0,0.00000,0.00000,0.00000,0.00000,0.00030,324.00000,0.00130,765.00000,-10.99800,1.31300,-10.63700,0.97800,-10.80500,0.68100,-10.97300,0.95400,-11.35500,0.73400,-10.84800,1.24500,-10.48000,1.33200,-11.25300,0.80900,-11.87800,0.67200,-12.23400,0.49900,-12.25900,0.74700,-12.34000,0.85900,-11.58500,0.42200,-12.28300,0.65800,-11.78700,0.65500,-12.36800,0.95000,-12.35300,1.01300,-11.78000,0.58700,-12.17400,0.68900,-11.19200,1.24500,-10.38600,0.88400,-11.22700,0.98200,-10.44600,1.07700,-11.15000,0.71100,-10.63000,0.98400,-11.00500,1.01800,-11.01500,1.00400,-10.80500,1.14500,-10.64400,1.08000,-10.87300,0.68800,-10.45400,1.01400,-10.72800,0.78700,-10.77000,1.32300,0,-9999,-9999,-9999,30047856,1.00000,0.18000
12.62500,-1.42500,Ouagadougou,0,0.00000,0.00000,0.00010,371.00000,0.00010,149.00000,0.00120,749.00000,-11.02400,1.28100,-10.61300,0.99700,-10.86300,0.71400,-11.02100,0.95700,-11.39500,0.72100,-10.81900,1.22100,-10.48100,1.29100,-11.22300,0.79400,-11.92000,0.67600,-12.23800,0.48300,-12.26500,0.75200,-12.44800,0.87200,-11.62000,0.44700,-12.36600,0.66800,-11.85600,0.69600,-12.43000,0.95000,-12.39500,1.02400,-11.79600,0.58300,-12.22000,0.67300,-11.18100,1.27300,-10.31300,0.85500,-11.24300,0.98600,-10.39200,1.03900,-11.11900,0.73500,-10.59100,0.96200,-10.95500,1.03200,-10.95600,0.98600,-10.79400,1.16300,-10.63800,1.09300,-10.80500,0.68900,-10.38500,0.98100,-10.75900,0.77500,-10.77600,1.32800,0,-9999,-9999,-9999,30047856,1.00000,0.17000
12.62500,-1.37500,Ouagadougou,0,0.00000,0.00000,0.00010,0.00000,0.00020,0.00000,0.00120,392.00000,-11.03700,1.26500,-10.60200,1.00600,-10.89000,0.72900,-11.04300,0.95800,-11.41400,0.71600,-10.80500,1.21000,-10.48200,1.27100,-11.20800,0.78700,-11.96400,0.69500,-12.26800,0.48100,-12.27200,0.77200,-12.60300,0.88700,-11.68400,0.50500,-12.47000,0.67100,-11.95600,0.75600,-12.50700,0.96600,-12.45000,1.05300,-11.82500,0.58900,-12.30100,0.67200,-11.16700,1.29200,-10.26100,0.83900,-11.27400,0.98700,-10.36600,1.03100,-11.14600,0.76700,-10.59000,0.95600,-10.94000,1.06300,-10.90100,0.97000,-10.80400,1.18000,-10.62500,1.10400,-10.69900,0.66000,-10.32200,0.96100,-10.74500,0.77600,-10.78000,1.35300,0,-9999,-9999,-9999,30047856,1.00000,0.16000
12.62500,-1.32500,Ouagadougou,1,0.00040,34928.00000,0.00080,9069.00000,0.00240,6919.00000,0.01170,9146.00000,-11.05300,1.21200,-10.59500,1.08500,-10.92900,0.75900,-11.11400,0.95400,-11.49900,0.70000,-10.77100,1.17100,-10.49900,1.20700,-11.18700,0.76800,-12.01300,0.69900,-12.31200,0.48100,-12.31400,0.76900,-12.83200,0.91400,-11.79100,0.56700,-12.59600,0.69700,-12.07800,0.78700,-12.60000,0.99600,-12.50700,1.07900,-11.87300,0.59300,-12.38800,0.72000,-11.17300,1.30300,-10.27400,0.83000,-11.34500,1.00000,-10.37700,1.02200,-11.24700,0.86100,-10.63500,0.96900,-10.98500,1.09000,-10.89300,0.97800,-10.87900,1.21900,-10.64800,1.11800,-10.66500,0.62500,-10.33600,0.95900,-10.74500,0.81100,-10.81300,1.36600,0,-9999,-9999,-9999,30047856,1.00000,0.20000
