latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JFM_mean,ERS1993_JFM_std,ERS1994_JFM_mean,ERS1994_JFM_std,ERS1995_JFM_mean,ERS1995_JFM_std,ERS1996_JFM_mean,ERS1996_JFM_std,ERS1997_JFM_mean,ERS1997_JFM_std,ERS1998_JFM_mean,ERS1998_JFM_std,ERS1999_JFM_mean,ERS1999_JFM_std,ERS2000_JFM_mean,ERS2000_JFM_std,QSCAT1999_JFM_mean,QSCAT1999_JFM_std,QSCAT2000_JFM_mean,QSCAT2000_JFM_std,QSCAT2001_JFM_mean,QSCAT2001_JFM_std,QSCAT2002_JFM_mean,QSCAT2002_JFM_std,QSCAT2003_JFM_mean,QSCAT2003_JFM_std,QSCAT2004_JFM_mean,QSCAT2004_JFM_std,QSCAT2005_JFM_mean,QSCAT2005_JFM_std,QSCAT2006_JFM_mean,QSCAT2006_JFM_std,QSCAT2007_JFM_mean,QSCAT2007_JFM_std,QSCAT2008_JFM_mean,QSCAT2008_JFM_std,QSCAT2009_JFM_mean,QSCAT2009_JFM_std,ASCAT2007_JFM_mean,ASCAT2007_JFM_std,ASCAT2008_JFM_mean,ASCAT2008_JFM_std,ASCAT2009_JFM_mean,ASCAT2009_JFM_std,ASCAT2010_JFM_mean,ASCAT2010_JFM_std,ASCAT2011_JFM_mean,ASCAT2011_JFM_std,ASCAT2012_JFM_mean,ASCAT2012_JFM_std,ASCAT2013_JFM_mean,ASCAT2013_JFM_std,ASCAT2014_JFM_mean,ASCAT2014_JFM_std,ASCAT2015_JFM_mean,ASCAT2015_JFM_std,ASCAT2016_JFM_mean,ASCAT2016_JFM_std,ASCAT2017_JFM_mean,ASCAT2017_JFM_std,ASCAT2018_JFM_mean,ASCAT2018_JFM_std,ASCAT2019_JFM_mean,ASCAT2019_JFM_std,ASCAT2020_JFM_mean,ASCAT2020_JFM_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
-2.72500,104.52500,Palembang,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00010,58.00000,-7.98400,0.11000,-7.74900,0.16500,-7.97300,0.07700,-7.97900,0.11000,-8.26200,0.05400,-8.22600,0.12000,-8.14600,0.04400,-8.18600,0.13600,-9999.00000,-9999.00000,-9.26000,0.23700,-9.18700,0.19400,-9.05600,0.17600,-9.03300,0.22200,-9.08900,0.22300,-9.17600,0.21800,-9.22400,0.29500,-9.36300,0.21000,-9.25300,0.19200,-9.13400,0.20400,-7.87800,0.13200,-8.01400,0.12500,-7.82400,0.16600,-7.71800,0.15000,-7.93800,0.15100,-7.93900,0.19200,-7.98500,0.16600,-8.06400,0.21300,-8.08500,0.18400,-8.21400,0.19200,-7.85800,0.15000,-7.78300,0.14300,-7.70900,0.17700,-7.84900,0.16300,0,-9999,-9999,-9999,30738812,23.89000,10.02000
-2.72500,104.57500,Palembang,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00020,0.00000,-7.99300,0.10700,-7.73200,0.17100,-7.97200,0.07800,-7.97600,0.10400,-8.27500,0.05200,-8.21500,0.10800,-8.15300,0.04500,-8.19200,0.14100,-9999.00000,-9999.00000,-9.30000,0.24100,-9.27000,0.18700,-9.16600,0.19200,-9.15800,0.20800,-9.20800,0.21100,-9.30300,0.21900,-9.33800,0.30800,-9.48900,0.19400,-9.38800,0.20600,-9.24900,0.19800,-7.92900,0.13400,-8.08500,0.14000,-7.92300,0.17000,-7.80900,0.16200,-7.97100,0.14900,-8.02700,0.20500,-8.01300,0.16300,-8.08400,0.23900,-8.10300,0.20100,-8.22500,0.17700,-7.84500,0.15200,-7.79100,0.14100,-7.72700,0.17200,-7.85700,0.16700,0,-9999,-9999,-9999,30738812,23.69000,9.68000
-2.72500,104.62500,Palembang,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00020,91.00000,-8.01800,0.09700,-7.71500,0.17400,-7.96200,0.07500,-7.99300,0.09500,-8.31600,0.05400,-8.21100,0.08200,-8.17100,0.04800,-8.21200,0.14900,-9999.00000,-9999.00000,-9.40200,0.23100,-9.40300,0.20900,-9.31600,0.22600,-9.31400,0.19000,-9.35600,0.22100,-9.45900,0.20900,-9.47300,0.31300,-9.65900,0.17300,-9.58800,0.19600,-9.42800,0.18800,-8.01900,0.16400,-8.21100,0.18100,-8.04700,0.17400,-7.91200,0.18900,-8.02500,0.16200,-8.11100,0.21900,-8.07300,0.17700,-8.10500,0.26300,-8.12700,0.21200,-8.23000,0.17300,-7.85000,0.15500,-7.80800,0.14000,-7.77400,0.18000,-7.88600,0.18700,0,-9999,-9999,-9999,30738812,24.52000,9.58000
-2.72500,104.67500,Palembang,0,0.00030,0.00000,0.00030,0.00000,0.00030,0.00000,0.00040,0.00000,-8.03300,0.09300,-7.70900,0.17300,-7.96100,0.07600,-8.01300,0.09600,-8.33900,0.05600,-8.22600,0.07700,-8.18900,0.04800,-8.22900,0.15000,-9999.00000,-9999.00000,-9.56600,0.23900,-9.60800,0.25100,-9.49600,0.25600,-9.52000,0.19100,-9.52900,0.23500,-9.62600,0.23300,-9.64300,0.30300,-9.88000,0.13900,-9.84200,0.20000,-9.66500,0.19500,-8.18600,0.25200,-8.37900,0.21600,-8.20100,0.23800,-8.07500,0.22800,-8.11300,0.19100,-8.23400,0.20900,-8.19700,0.19100,-8.18000,0.26800,-8.21900,0.23200,-8.33600,0.20200,-7.93900,0.18200,-7.88100,0.16800,-7.90100,0.21000,-8.01700,0.20500,0,-9999,-9999,-9999,30738812,25.56000,9.52000
-2.72500,104.72500,Palembang,0,0.00070,993.00000,0.00070,1255.00000,0.00070,1043.00000,0.00090,963.00000,-8.06200,0.08500,-7.69900,0.16900,-7.96000,0.07800,-8.05300,0.10000,-8.38400,0.06200,-8.25800,0.07000,-8.22400,0.04800,-8.26200,0.15100,-9999.00000,-9999.00000,-9.75700,0.25100,-9.78500,0.27800,-9.68000,0.27600,-9.68800,0.19500,-9.71200,0.24100,-9.79000,0.23800,-9.80900,0.29900,-10.12100,0.15800,-10.08300,0.20700,-9.90600,0.20300,-8.43800,0.31000,-8.49800,0.24200,-8.31600,0.27900,-8.21500,0.30400,-8.26800,0.23400,-8.42700,0.20900,-8.40500,0.22700,-8.42400,0.24500,-8.49600,0.28400,-8.61500,0.23400,-8.13900,0.24300,-8.11900,0.24300,-8.11600,0.28600,-8.30700,0.24000,0,-9999,-9999,-9999,30738812,25.44000,9.31000
-2.72500,104.77500,Palembang,0,0.00040,38.00000,0.00040,48.00000,0.00080,320.00000,0.00120,401.00000,-8.09000,0.08400,-7.68100,0.16500,-7.98200,0.08400,-8.11700,0.11600,-8.44400,0.06900,-8.32100,0.08600,-8.27600,0.04800,-8.30400,0.14400,-9999.00000,-9999.00000,-9.97200,0.27200,-9.97200,0.28600,-9.87400,0.28100,-9.88300,0.18900,-9.90200,0.25800,-9.96700,0.23400,-10.00000,0.28400,-10.39100,0.20400,-10.34400,0.22500,-10.17400,0.22300,-8.71200,0.31600,-8.61800,0.28400,-8.41000,0.31000,-8.34500,0.35900,-8.43700,0.28700,-8.62600,0.24000,-8.61800,0.26300,-8.70100,0.26100,-8.90400,0.36600,-9.03900,0.35600,-8.34300,0.30400,-8.34700,0.30300,-8.41600,0.41300,-8.69300,0.35900,0,-9999,-9999,-9999,30738812,14.20000,8.06000
-2.72500,104.82500,Palembang,0,0.00050,0.00000,0.00050,0.00000,0.00100,5.00000,0.00130,11.00000,-8.10600,0.08300,-7.67200,0.16300,-7.99800,0.08800,-8.15500,0.12600,-8.47900,0.07400,-8.36000,0.09500,-8.30700,0.04800,-8.33000,0.14000,-9999.00000,-9999.00000,-10.17000,0.28000,-10.14100,0.24800,-10.07000,0.27700,-10.07900,0.19900,-10.09900,0.26900,-10.16000,0.23300,-10.16300,0.27000,-10.67200,0.25000,-10.58900,0.25300,-10.44300,0.24300,-8.94200,0.31300,-8.72800,0.32700,-8.48200,0.34000,-8.46300,0.41200,-8.59800,0.36100,-8.76500,0.26600,-8.78700,0.32600,-8.86800,0.28800,-9.27700,0.43500,-9.38800,0.53900,-8.42300,0.35600,-8.43100,0.36100,-8.57800,0.49400,-8.98100,0.52000,0,-9999,-9999,-9999,30738812,12.28000,7.93000
-2.72500,104.87500,Palembang,0,0.00000,0.00000,0.00000,0.00000,0.00010,0.00000,0.00020,0.00000,-8.12000,0.09200,-7.64500,0.15000,-8.06800,0.09000,-8.26800,0.15700,-8.57000,0.08900,-8.49300,0.12700,-8.37700,0.05500,-8.38700,0.12900,-9999.00000,-9999.00000,-10.33000,0.25600,-10.26200,0.22800,-10.24900,0.27900,-10.24700,0.22700,-10.29200,0.27900,-10.35000,0.24400,-10.30100,0.24600,-10.94300,0.28100,-10.79100,0.26000,-10.69400,0.26200,-9.21900,0.36400,-8.90500,0.41600,-8.55900,0.40100,-8.58500,0.48100,-8.71000,0.43300,-8.95000,0.29900,-8.90400,0.42000,-9.01100,0.31300,-9.53300,0.48000,-9.51200,0.63200,-8.42500,0.38900,-8.48000,0.41300,-8.65900,0.51300,-9.14000,0.62000,0,-9999,-9999,-9999,30738812,12.12000,8.07000
-2.72500,104.92500,Palembang,0,0.00060,268.00000,0.00060,339.00000,0.00160,640.00000,0.00200,662.00000,-8.10700,0.09900,-7.64400,0.14700,-8.10300,0.09600,-8.29900,0.16900,-8.59300,0.09300,-8.54500,0.13400,-8.39000,0.06100,-8.39300,0.12800,-9999.00000,-9999.00000,-10.43300,0.24300,-10.34500,0.23800,-10.37400,0.28100,-10.36100,0.24200,-10.43600,0.26300,-10.50100,0.25100,-10.42400,0.25200,-11.14700,0.29700,-10.93300,0.25400,-10.84700,0.24600,-9.51100,0.43400,-9.02500,0.46800,-8.65900,0.47900,-8.65300,0.52600,-8.74100,0.45700,-9.11400,0.32100,-9.01800,0.45200,-9.12400,0.33500,-9.59900,0.52700,-9.47500,0.63100,-8.43800,0.37400,-8.51600,0.45300,-8.65300,0.52300,-9.13800,0.64400,2,-9999,-9999,-9999,30738812,11.31000,7.79000
-2.72500,104.97500,Palembang,0,0.00120,878.00000,0.00120,1110.00000,0.00210,1725.00000,0.00260,2370.00000,-8.08500,0.10900,-7.64000,0.14100,-8.15800,0.10500,-8.34700,0.18800,-8.63000,0.09900,-8.62700,0.14600,-8.41000,0.07000,-8.40300,0.12800,-9999.00000,-9999.00000,-10.49100,0.26300,-10.38700,0.26000,-10.43600,0.26900,-10.41200,0.24300,-10.51000,0.25700,-10.58600,0.24200,-10.49300,0.26400,-11.24900,0.31100,-10.97400,0.24100,-10.92800,0.21700,-9.54800,0.46600,-9.04800,0.48500,-8.70000,0.49000,-8.62300,0.51700,-8.72800,0.43200,-9.18800,0.30200,-9.02900,0.45300,-9.12700,0.39200,-9.45600,0.52200,-9.29000,0.55200,-8.40600,0.34900,-8.44500,0.44700,-8.55500,0.44200,-8.97000,0.62800,0,-9999,-9999,-9999,30738812,13.53000,8.19000
