latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
9.22500,-79.77500,PanamaCity,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-8.35500,0.15700,-8.30700,0.10300,-8.29600,0.10000,-8.73600,0.50800,-8.65500,0.29000,-8.32100,0.19800,-8.35400,0.18900,-8.30400,0.25500,-9.35100,0.14600,-9.26400,0.22800,-9.14600,0.20000,-9.14200,0.23800,-9.17100,0.20900,-9.10900,0.18600,-9.07200,0.23200,-8.97000,0.26900,-9.02000,0.22400,-9.04000,0.26900,-9.07600,0.27200,-8.19300,0.27800,-8.27000,0.29100,-8.25700,0.26000,-8.30300,0.23400,-8.29400,0.21800,-8.19500,0.22700,-8.16400,0.22200,-8.24400,0.22700,-8.19000,0.30700,-8.13200,0.26100,-8.11200,0.22900,-7.98000,0.34200,-8.14000,0.36300,-8.00100,0.36300,0,-9999,-9999,-9999,30385132,49.22000,12.70000
9.22500,-79.72500,PanamaCity,0,0.00000,147.00000,0.00020,0.00000,0.00060,10.00000,0.00090,11.00000,-7.79900,0.15100,-7.76300,0.07800,-7.74600,0.10100,-8.43500,0.85000,-8.15400,0.28100,-7.83300,0.21000,-7.91400,0.19400,-7.81100,0.27300,-9.03800,0.14300,-8.92900,0.22300,-8.83300,0.19800,-8.87000,0.22200,-8.83400,0.20300,-8.78200,0.20400,-8.77400,0.24800,-8.65600,0.27100,-8.72800,0.23600,-8.74600,0.26200,-8.76700,0.27900,-7.66100,0.16500,-7.69200,0.18000,-7.72900,0.14400,-7.70400,0.16700,-7.70100,0.18700,-7.66800,0.14900,-7.62900,0.17000,-7.71300,0.18000,-7.76600,0.24000,-7.52100,0.19600,-7.55800,0.16300,-7.43400,0.22000,-7.51100,0.27100,-7.47400,0.35200,0,-9999,-9999,-9999,30385132,30.54000,11.54000
9.22500,-79.67500,PanamaCity,1,0.00110,1377.00000,0.00310,3132.00000,0.00630,3062.00000,0.00980,5035.00000,-7.62600,0.14400,-7.58300,0.07100,-7.56800,0.09400,-8.36200,1.09400,-7.98000,0.26700,-7.66200,0.20100,-7.76100,0.18700,-7.65000,0.27700,-8.79600,0.13700,-8.67800,0.18900,-8.58800,0.20600,-8.63100,0.21000,-8.57300,0.21500,-8.53000,0.23200,-8.55200,0.23600,-8.42100,0.24800,-8.48500,0.23400,-8.51400,0.26900,-8.51900,0.24200,-7.59800,0.14800,-7.59900,0.16800,-7.65600,0.15400,-7.61000,0.16600,-7.54800,0.16400,-7.59000,0.14100,-7.53100,0.15100,-7.59900,0.18200,-7.70800,0.22700,-7.38300,0.17200,-7.44000,0.18900,-7.34300,0.19800,-7.37600,0.24300,-7.33500,0.30100,0,-9999,-9999,-9999,30385132,25.39000,10.32000
9.22500,-79.62500,PanamaCity,1,0.00390,2804.00000,0.00700,4731.00000,0.01300,6730.00000,0.01880,8946.00000,-7.36700,0.13200,-7.30900,0.06000,-7.29200,0.08100,-8.27200,1.56200,-7.70100,0.23400,-7.39700,0.18100,-7.51800,0.16900,-7.39000,0.27800,-8.62600,0.16000,-8.50800,0.17600,-8.42000,0.20900,-8.47600,0.20700,-8.39400,0.21200,-8.34700,0.22800,-8.38500,0.21500,-8.27500,0.21000,-8.31500,0.22500,-8.33300,0.27400,-8.33500,0.22800,-7.59800,0.14700,-7.59700,0.18700,-7.63600,0.16300,-7.59900,0.16600,-7.51400,0.15300,-7.56900,0.14200,-7.51500,0.18000,-7.58600,0.18100,-7.70700,0.21800,-7.37800,0.15500,-7.43800,0.17800,-7.33800,0.18500,-7.35800,0.24600,-7.33000,0.27200,6,-9999,-9999,-9999,30385132,27.95000,10.32000
9.22500,-79.57500,PanamaCity,0,0.00140,0.00000,0.00200,0.00000,0.00380,0.00000,0.00560,0.00000,-7.24700,0.13500,-7.15600,0.06600,-7.15000,0.07200,-8.29100,1.97000,-7.52200,0.20500,-7.22400,0.16000,-7.37400,0.13800,-7.23900,0.26400,-8.51100,0.20000,-8.37200,0.17200,-8.30700,0.20200,-8.35500,0.23000,-8.28900,0.21300,-8.23100,0.21900,-8.25600,0.18300,-8.19200,0.17700,-8.19600,0.21600,-8.19900,0.27300,-8.19500,0.22500,-7.56800,0.14900,-7.57800,0.20200,-7.59600,0.17500,-7.56600,0.16200,-7.46700,0.15200,-7.52200,0.14900,-7.48300,0.21800,-7.55400,0.18200,-7.68000,0.21900,-7.36100,0.14100,-7.41400,0.16900,-7.34200,0.14200,-7.36000,0.23000,-7.32600,0.24200,24,-9999,-9999,-9999,30385132,18.13000,8.64000
9.22500,-79.52500,PanamaCity,0,0.00010,0.00000,0.00020,85.00000,0.00050,126.00000,0.00080,324.00000,-7.20800,0.13900,-7.09600,0.06900,-7.09700,0.06800,-8.31700,2.16200,-7.44700,0.19800,-7.15200,0.15000,-7.32300,0.12600,-7.18300,0.25500,-8.43100,0.24900,-8.28200,0.19400,-8.22500,0.19000,-8.25900,0.24400,-8.24700,0.22000,-8.17400,0.21800,-8.17300,0.17000,-8.15800,0.16200,-8.11800,0.20700,-8.10600,0.26100,-8.13000,0.23800,-7.44600,0.16600,-7.49700,0.23100,-7.50700,0.19000,-7.47300,0.16700,-7.36500,0.18400,-7.43000,0.18200,-7.38400,0.25900,-7.47300,0.20800,-7.59000,0.23400,-7.31400,0.15000,-7.33600,0.16400,-7.27100,0.19500,-7.31500,0.22900,-7.25500,0.27100,0,-9999,-9999,-9999,30385132,51.80000,11.87000
9.22500,-79.47500,PanamaCity,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-7.23300,0.15200,-7.06800,0.08100,-7.08600,0.06600,-8.43900,2.45000,-7.38300,0.21600,-7.08700,0.14000,-7.32400,0.12500,-7.17400,0.23100,-8.39500,0.27300,-8.24500,0.18900,-8.21000,0.19900,-8.19200,0.24200,-8.24800,0.23800,-8.17900,0.22000,-8.15000,0.18000,-8.15600,0.17900,-8.10800,0.21300,-8.06800,0.23500,-8.13200,0.25600,-7.25900,0.18700,-7.32000,0.25000,-7.36000,0.23300,-7.33500,0.16400,-7.27300,0.20700,-7.30700,0.20700,-7.23600,0.25900,-7.38500,0.22700,-7.47400,0.24500,-7.25900,0.17000,-7.21800,0.16600,-7.19700,0.24700,-7.24000,0.22800,-7.15000,0.30800,0,-9999,-9999,-9999,30385132,60.86000,11.92000
9.22500,-79.42500,PanamaCity,0,0.00000,42.00000,0.00000,170.00000,0.00000,124.00000,0.00010,271.00000,-7.33700,0.16800,-7.12700,0.08800,-7.15800,0.08200,-8.57500,2.54100,-7.42500,0.24800,-7.13100,0.15500,-7.40800,0.13600,-7.26100,0.22500,-8.35700,0.28400,-8.24800,0.20700,-8.22200,0.21300,-8.15700,0.24400,-8.25600,0.26200,-8.20100,0.22600,-8.16400,0.21800,-8.15900,0.21300,-8.12900,0.21600,-8.07000,0.20300,-8.16300,0.24200,-7.17400,0.17000,-7.20900,0.23600,-7.27900,0.23800,-7.20200,0.18600,-7.22600,0.19400,-7.22900,0.22500,-7.13700,0.22400,-7.31800,0.22000,-7.39000,0.22200,-7.21500,0.18500,-7.14600,0.21400,-7.15000,0.27000,-7.18100,0.23700,-7.10600,0.27300,0,-9999,-9999,-9999,30385132,58.08000,12.14000
9.22500,-79.37500,PanamaCity,0,0.00000,42.00000,0.00020,146.00000,0.00020,160.00000,0.00030,133.00000,-7.42500,0.18200,-7.17700,0.09500,-7.21900,0.09500,-8.69000,2.61900,-7.46100,0.27600,-7.16900,0.16900,-7.48000,0.14600,-7.33500,0.21900,-8.34200,0.29100,-8.28600,0.22600,-8.27500,0.23000,-8.16800,0.26000,-8.29100,0.27200,-8.24200,0.23700,-8.20500,0.22900,-8.18900,0.23500,-8.17900,0.21100,-8.12100,0.17900,-8.22200,0.21100,-7.16400,0.16700,-7.18400,0.21200,-7.27400,0.25000,-7.13200,0.22000,-7.23200,0.17900,-7.23800,0.26300,-7.13100,0.23500,-7.30400,0.23500,-7.39900,0.20200,-7.23500,0.18700,-7.13100,0.21900,-7.14000,0.26300,-7.17200,0.29200,-7.11000,0.24100,0,-9999,-9999,-9999,30385132,40.23000,12.43000
9.22500,-79.32500,PanamaCity,0,0.00000,0.00000,0.00000,0.00000,0.00000,6.00000,0.00000,11.00000,-7.68400,0.21000,-7.36400,0.09900,-7.41400,0.13400,-8.94000,2.57900,-7.65500,0.31100,-7.32800,0.19100,-7.72800,0.15800,-7.57100,0.18800,-8.37100,0.26700,-8.38500,0.23000,-8.36300,0.23800,-8.21800,0.27700,-8.34000,0.27100,-8.32300,0.23500,-8.26400,0.22800,-8.23300,0.26600,-8.25100,0.21500,-8.19700,0.17500,-8.32800,0.17300,-7.23900,0.20900,-7.28700,0.19500,-7.44900,0.28400,-7.15500,0.23100,-7.33100,0.14600,-7.34100,0.25300,-7.21600,0.21300,-7.39400,0.23700,-7.54600,0.20700,-7.30900,0.16900,-7.18900,0.19100,-7.17400,0.25700,-7.20300,0.35600,-7.15600,0.25000,0,-9999,-9999,-9999,30385132,46.53000,12.62000
