latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
25.87500,84.87500,Patna,0,0.00000,0.00000,0.00010,0.00000,0.00010,0.00000,0.00010,0.00000,-9.35600,0.49600,-9.42800,0.34900,-9.24500,0.24900,-9.40500,0.50700,-9.56600,0.53500,-8.94400,0.36600,-9.01500,0.31700,-8.67900,0.24600,-11.20700,0.26300,-11.40000,0.28000,-11.49500,0.28800,-11.51800,0.26100,-11.60300,0.49800,-11.74400,0.41800,-11.60600,0.36200,-11.53800,0.30900,-11.68400,0.29000,-11.89000,0.37700,-11.79200,0.52700,-9.21700,0.48400,-9.24000,0.42900,-9.33700,0.54500,-9.18200,0.60300,-8.84300,0.36300,-8.92800,0.56000,-9.09800,0.32300,-8.71900,0.46700,-9.14100,0.56900,-8.91500,0.53400,-8.78400,0.39000,-9.36400,0.94300,-8.81800,0.54600,-9.25800,0.53000,0,-9999.00000,-9999.00000,-9999.00000,27758400,7.71000,2.76000
25.87500,84.92500,Patna,0,0.00000,1754.00000,0.00000,0.00000,0.00010,2413.00000,0.00010,3594.00000,-9.33900,0.49600,-9.41400,0.34200,-9.23100,0.24800,-9.38700,0.50400,-9.55400,0.52700,-8.91900,0.37200,-9.00100,0.31800,-8.66100,0.24700,-11.19700,0.29900,-11.41300,0.28000,-11.49800,0.28400,-11.58000,0.26500,-11.65300,0.55500,-11.72800,0.41800,-11.59300,0.36000,-11.54000,0.29500,-11.71000,0.27500,-12.00000,0.35200,-11.79200,0.52400,-9.20600,0.49200,-9.27400,0.45800,-9.35300,0.52700,-9.17700,0.57100,-8.89300,0.39400,-8.89700,0.51900,-9.12900,0.31100,-8.75600,0.45000,-9.15100,0.58100,-8.94400,0.52800,-8.77800,0.35400,-9.31000,0.91500,-8.78500,0.54300,-9.46900,0.57600,0,-9999.00000,-9999.00000,-9999.00000,27758400,8.38000,3.05000
25.87500,84.97500,Patna,0,0.00010,13324.00000,0.00030,0.00000,0.00030,0.00000,0.00050,0.00000,-9.22700,0.49000,-9.33700,0.33100,-9.15900,0.24400,-9.28000,0.49200,-9.45900,0.46400,-8.75000,0.39200,-8.92200,0.32600,-8.56600,0.25500,-11.17100,0.31400,-11.40100,0.27900,-11.45400,0.25800,-11.55900,0.25700,-11.64200,0.57200,-11.68400,0.44000,-11.51900,0.35800,-11.48900,0.26000,-11.67900,0.25600,-12.03200,0.35500,-11.73500,0.48400,-9.23700,0.49200,-9.34200,0.46700,-9.36200,0.49400,-9.17500,0.56600,-8.93600,0.39400,-8.87400,0.50500,-9.14600,0.29900,-8.79200,0.42100,-9.17100,0.58000,-8.98700,0.53800,-8.78600,0.35200,-9.29300,0.89800,-8.80300,0.52300,-9.58200,0.59600,0,-9999.00000,-9999.00000,-9999.00000,27758400,8.21000,2.99000
25.87500,85.02500,Patna,1,0.00000,13663.00000,0.00050,70312.00000,0.00060,91670.00000,0.00120,60448.00000,-9.20600,0.48700,-9.31900,0.32700,-9.15000,0.24300,-9.25900,0.48800,-9.43000,0.44700,-8.70800,0.39100,-8.90200,0.32700,-8.54600,0.26300,-11.12900,0.29500,-11.36000,0.27500,-11.38700,0.25000,-11.46600,0.25000,-11.54700,0.54600,-11.56800,0.44700,-11.41200,0.35000,-11.41000,0.23300,-11.58300,0.24800,-11.98800,0.37500,-11.62000,0.45600,-9.31000,0.51300,-9.47700,0.45300,-9.35600,0.49800,-9.16200,0.53300,-8.98100,0.38400,-8.86100,0.50800,-9.17500,0.31400,-8.83800,0.41700,-9.19100,0.57200,-9.08100,0.58100,-8.80400,0.33800,-9.30700,0.91400,-8.83000,0.49600,-9.60000,0.59000,0,-9999.00000,-9999.00000,-9999.00000,27758400,8.03000,2.86000
25.87500,85.07500,Patna,1,0.00000,15386.00000,0.00030,33493.00000,0.00030,39003.00000,0.00100,29783.00000,-9.14100,0.47800,-9.25900,0.32100,-9.11500,0.24100,-9.19400,0.48000,-9.35400,0.41400,-8.58900,0.39000,-8.84200,0.32800,-8.48100,0.28600,-11.03500,0.26400,-11.27200,0.26300,-11.26100,0.26700,-11.29700,0.25300,-11.37800,0.50500,-11.40500,0.43800,-11.27400,0.33100,-11.29100,0.22500,-11.42100,0.24100,-11.84900,0.38100,-11.45000,0.42100,-9.33600,0.51400,-9.58800,0.40700,-9.34300,0.50300,-9.15700,0.51100,-9.01500,0.38700,-8.85800,0.51200,-9.17600,0.35600,-8.89900,0.40800,-9.18500,0.56200,-9.12000,0.56400,-8.80900,0.33800,-9.29300,0.93300,-8.85500,0.45900,-9.47900,0.58000,0,-9999.00000,-9999.00000,-9999.00000,27758400,8.16000,2.98000
25.87500,85.12500,Patna,1,0.00000,8001.00000,0.00000,0.00000,0.00000,2804.00000,0.00090,61265.00000,-9.10600,0.46400,-9.22100,0.31900,-9.09000,0.23500,-9.16200,0.47500,-9.29700,0.40100,-8.52400,0.38300,-8.82100,0.34200,-8.43500,0.30000,-10.92700,0.22800,-11.13500,0.24100,-11.09800,0.27600,-11.10000,0.24300,-11.16300,0.45100,-11.22600,0.41800,-11.11300,0.32000,-11.16900,0.21800,-11.22800,0.25900,-11.66600,0.36300,-11.26200,0.38500,-9.25700,0.51500,-9.54600,0.34200,-9.31500,0.50000,-9.08000,0.45600,-8.95000,0.35700,-8.82500,0.50800,-9.05700,0.33600,-8.83200,0.37500,-9.12000,0.54500,-9.02100,0.49000,-8.75100,0.35100,-9.20100,0.92900,-8.81500,0.47400,-9.16700,0.52300,0,-9999.00000,-9999.00000,-9999.00000,27758400,7.89000,3.02000
25.87500,85.17500,Patna,1,0.00000,0.00000,0.00130,48033.00000,0.00140,45773.00000,0.01270,51713.00000,-9.07400,0.45100,-9.18500,0.31700,-9.06600,0.23000,-9.13300,0.47000,-9.24500,0.39200,-8.46300,0.37600,-8.80200,0.35500,-8.39200,0.31300,-10.80100,0.20300,-10.96500,0.22400,-10.93700,0.27100,-10.90400,0.23100,-10.94900,0.38200,-11.07200,0.41100,-10.95500,0.31100,-11.07000,0.24100,-11.06100,0.27800,-11.48000,0.33000,-11.10100,0.34800,-9.08900,0.47100,-9.40600,0.29200,-9.22700,0.48800,-8.99100,0.39900,-8.79000,0.32700,-8.74300,0.50800,-8.84600,0.26000,-8.63700,0.35400,-8.95600,0.50000,-8.80000,0.40800,-8.57500,0.35700,-9.02900,0.89000,-8.68500,0.46400,-8.78500,0.46200,0,-9999.00000,-9999.00000,-9999.00000,27758400,8.99000,3.00000
25.87500,85.22500,Patna,1,0.00000,0.00000,0.00030,0.00000,0.00040,3158.00000,0.00670,118067.00000,-9.03300,0.41300,-9.14200,0.33100,-9.01600,0.21900,-9.13000,0.48300,-9.17000,0.38400,-8.41800,0.34700,-8.80900,0.39100,-8.33500,0.31300,-10.69300,0.21300,-10.81700,0.22300,-10.81300,0.25500,-10.75400,0.23000,-10.77700,0.33300,-10.97200,0.41900,-10.84700,0.30100,-10.99900,0.27700,-10.94000,0.28200,-11.32800,0.32800,-10.98000,0.32800,-8.97200,0.43600,-9.30400,0.27800,-9.14200,0.46400,-8.95700,0.39600,-8.65500,0.33800,-8.65900,0.51600,-8.70500,0.22700,-8.47300,0.32600,-8.79500,0.43200,-8.63500,0.37500,-8.41800,0.34400,-8.86800,0.82600,-8.56200,0.44100,-8.53000,0.39400,0,-9999.00000,-9999.00000,-9999.00000,27758400,8.56000,2.96000
25.87500,85.27500,Patna,1,0.00000,17007.00000,0.00040,31672.00000,0.00070,38511.00000,0.01600,152468.00000,-9.02300,0.40100,-9.13300,0.33400,-9.00200,0.21500,-9.13100,0.48500,-9.14800,0.38100,-8.40700,0.33700,-8.81400,0.40200,-8.32100,0.31100,-10.61000,0.21600,-10.70700,0.24800,-10.71300,0.24200,-10.68300,0.24700,-10.68000,0.30000,-10.91300,0.42700,-10.78900,0.30300,-10.95600,0.31000,-10.87300,0.28800,-11.22100,0.33600,-10.89900,0.31800,-8.93700,0.42700,-9.21700,0.25000,-9.06100,0.40200,-8.96800,0.41900,-8.58600,0.34900,-8.60500,0.52400,-8.62100,0.21500,-8.38300,0.28600,-8.71700,0.39800,-8.55800,0.34000,-8.35500,0.33600,-8.80000,0.78800,-8.49200,0.42800,-8.39800,0.35000,0,-9999.00000,-9999.00000,-9999.00000,27758400,8.98000,3.02000
25.87500,85.32500,Patna,1,0.00000,19702.00000,0.00070,80924.00000,0.00070,83889.00000,0.01080,41064.00000,-8.99000,0.34300,-9.08700,0.33200,-8.95500,0.21000,-9.18100,0.51000,-9.09800,0.38100,-8.42500,0.32300,-8.87600,0.44300,-8.29800,0.29000,-10.59200,0.22900,-10.66600,0.27900,-10.66900,0.22000,-10.67200,0.28400,-10.66500,0.27600,-10.95300,0.39900,-10.78400,0.31900,-10.95600,0.33500,-10.89200,0.33200,-11.18400,0.33800,-10.89300,0.31200,-8.95200,0.41300,-9.15700,0.25200,-9.02700,0.34300,-9.00500,0.44300,-8.56100,0.34900,-8.56900,0.52600,-8.58400,0.21700,-8.35100,0.26100,-8.68700,0.38800,-8.51400,0.29600,-8.34300,0.34000,-8.78900,0.79600,-8.47200,0.43200,-8.32400,0.32900,0,-9999.00000,-9999.00000,-9999.00000,27758400,9.10000,3.25000
