latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JFM_mean,ERS1993_JFM_std,ERS1994_JFM_mean,ERS1994_JFM_std,ERS1995_JFM_mean,ERS1995_JFM_std,ERS1996_JFM_mean,ERS1996_JFM_std,ERS1997_JFM_mean,ERS1997_JFM_std,ERS1998_JFM_mean,ERS1998_JFM_std,ERS1999_JFM_mean,ERS1999_JFM_std,ERS2000_JFM_mean,ERS2000_JFM_std,QSCAT1999_JFM_mean,QSCAT1999_JFM_std,QSCAT2000_JFM_mean,QSCAT2000_JFM_std,QSCAT2001_JFM_mean,QSCAT2001_JFM_std,QSCAT2002_JFM_mean,QSCAT2002_JFM_std,QSCAT2003_JFM_mean,QSCAT2003_JFM_std,QSCAT2004_JFM_mean,QSCAT2004_JFM_std,QSCAT2005_JFM_mean,QSCAT2005_JFM_std,QSCAT2006_JFM_mean,QSCAT2006_JFM_std,QSCAT2007_JFM_mean,QSCAT2007_JFM_std,QSCAT2008_JFM_mean,QSCAT2008_JFM_std,QSCAT2009_JFM_mean,QSCAT2009_JFM_std,ASCAT2007_JFM_mean,ASCAT2007_JFM_std,ASCAT2008_JFM_mean,ASCAT2008_JFM_std,ASCAT2009_JFM_mean,ASCAT2009_JFM_std,ASCAT2010_JFM_mean,ASCAT2010_JFM_std,ASCAT2011_JFM_mean,ASCAT2011_JFM_std,ASCAT2012_JFM_mean,ASCAT2012_JFM_std,ASCAT2013_JFM_mean,ASCAT2013_JFM_std,ASCAT2014_JFM_mean,ASCAT2014_JFM_std,ASCAT2015_JFM_mean,ASCAT2015_JFM_std,ASCAT2016_JFM_mean,ASCAT2016_JFM_std,ASCAT2017_JFM_mean,ASCAT2017_JFM_std,ASCAT2018_JFM_mean,ASCAT2018_JFM_std,ASCAT2019_JFM_mean,ASCAT2019_JFM_std,ASCAT2020_JFM_mean,ASCAT2020_JFM_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
-31.72500,115.57500,Perth,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,26271850,-9999.00000,-9999.00000
-31.72500,115.62500,Perth,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-12.31300,0.37600,-17.16800,2.33800,-12.50000,0.47600,-12.32100,0.32600,-12.39000,0.40600,-12.50800,0.24100,-12.23800,0.24500,-12.10200,0.29400,-9999.00000,-9999.00000,-15.36500,0.44400,-15.44300,0.41800,-15.50500,0.49700,-15.49700,0.61600,-15.57000,0.73600,-15.27900,0.77400,-15.14300,0.56500,-15.12100,0.47800,-15.00400,0.40200,-15.07600,0.44800,-12.55800,0.68900,-12.36800,0.88000,-12.19200,0.63800,-12.19900,0.69400,-12.34300,0.89100,-11.82100,0.63500,-11.83600,0.70400,-11.70000,0.61100,-11.88500,0.58700,-11.85100,0.69600,-11.42100,0.61700,-11.27700,0.62200,-11.46800,0.57700,-11.16700,0.52600,100,-9999,-9999,-9999,26271850,-9999.00000,-9999.00000
-31.72500,115.67500,Perth,0,0.00630,0.00000,0.01360,0.00000,0.01750,0.00000,0.01850,0.00000,-12.31300,0.37600,-17.16800,2.33800,-12.50000,0.47600,-12.32100,0.32600,-12.39000,0.40600,-12.50800,0.24100,-12.23800,0.24500,-12.10200,0.29400,-9999.00000,-9999.00000,-14.66800,0.34600,-14.74500,0.37400,-14.78000,0.45700,-14.71500,0.49100,-14.75600,0.56800,-14.48300,0.63700,-14.38400,0.47100,-14.35100,0.43300,-14.17500,0.34700,-14.28700,0.38400,-11.75700,0.53300,-11.58100,0.66700,-11.49900,0.53300,-11.39500,0.54800,-11.41100,0.66200,-11.02300,0.52500,-11.06500,0.61900,-10.82700,0.56700,-10.92700,0.45500,-10.97200,0.64600,-10.59500,0.60600,-10.49100,0.55500,-10.60000,0.50700,-10.36800,0.46200,100,-9999,-9999,-9999,26271850,-9999.00000,-9999.00000
-31.72500,115.72500,Perth,2,0.07590,15349.00000,0.33410,18863.00000,0.41650,21080.00000,0.44900,26545.00000,-11.87700,0.36700,-17.71100,2.23100,-12.01100,0.40500,-11.84900,0.26500,-11.96800,0.39600,-11.97100,0.21300,-11.75100,0.23500,-11.62100,0.25200,-9999.00000,-9999.00000,-13.70900,0.25100,-13.80100,0.28700,-13.77800,0.36100,-13.66200,0.35500,-13.68600,0.36000,-13.43800,0.42200,-13.36900,0.33000,-13.32500,0.35400,-13.12700,0.27400,-13.27800,0.29300,-11.13800,0.41000,-10.97000,0.50200,-10.94100,0.40900,-10.78600,0.42300,-10.69800,0.49800,-10.44800,0.43600,-10.45200,0.53400,-10.22300,0.48200,-10.23300,0.37900,-10.29500,0.55300,-9.99900,0.57800,-9.89200,0.44500,-9.95100,0.42600,-9.79700,0.43000,39,-9999,-9999,-9999,26271850,8.04000,3.58000
-31.72500,115.77500,Perth,2,0.13980,19416.00000,0.37270,23986.00000,0.41990,26811.00000,0.45940,34654.00000,-11.29000,0.35500,-18.44400,2.08500,-11.35100,0.31000,-11.21500,0.18200,-11.40100,0.38200,-11.24700,0.17500,-11.09600,0.22100,-10.97300,0.19400,-9999.00000,-9999.00000,-12.72600,0.21300,-12.83400,0.22500,-12.74700,0.26000,-12.62700,0.26000,-12.61200,0.23600,-12.44800,0.27200,-12.36000,0.23700,-12.30900,0.29900,-12.11400,0.25200,-12.24900,0.24600,-10.82500,0.39400,-10.64600,0.46400,-10.63600,0.36000,-10.50200,0.39500,-10.35300,0.45900,-10.19500,0.40300,-10.12600,0.50800,-9.99500,0.39600,-9.91700,0.39000,-9.94000,0.47100,-9.72900,0.54200,-9.60900,0.38000,-9.63700,0.37900,-9.53900,0.43700,0,-9999,-9999,-9999,26271850,9.85000,3.96000
-31.72500,115.82500,Perth,2,0.12400,8478.00000,0.23320,10913.00000,0.28090,12321.00000,0.37660,15491.00000,-11.02200,0.36000,-15.49600,1.34300,-11.03000,0.30000,-10.91900,0.17700,-11.14400,0.37000,-10.90300,0.17500,-10.78600,0.20600,-10.65400,0.16400,-9999.00000,-9999.00000,-12.13800,0.19800,-12.23700,0.25900,-12.15000,0.21700,-12.05300,0.21700,-12.00700,0.24300,-11.89800,0.23100,-11.81000,0.25900,-11.75800,0.26800,-11.55800,0.25500,-11.67000,0.25900,-10.59500,0.42500,-10.41900,0.45700,-10.43400,0.35600,-10.36000,0.41800,-10.13400,0.44500,-10.07000,0.40400,-9.94000,0.54300,-9.91000,0.35200,-9.76100,0.45100,-9.71400,0.44800,-9.58600,0.51500,-9.47700,0.39400,-9.45500,0.37700,-9.40200,0.46600,0,-9999,-9999,-9999,26271850,12.27000,4.23000
-31.72500,115.87500,Perth,1,0.01680,146.00000,0.05080,220.00000,0.06700,252.00000,0.08170,326.00000,-10.72300,0.36600,-11.63600,0.38300,-10.68100,0.27400,-10.58700,0.17300,-10.87400,0.35900,-10.51500,0.17700,-10.44200,0.18100,-10.29600,0.13000,-9999.00000,-9999.00000,-11.87900,0.19600,-11.99300,0.28400,-11.90500,0.20300,-11.82600,0.19900,-11.75500,0.26600,-11.68100,0.22300,-11.61900,0.28500,-11.56900,0.24000,-11.39300,0.24900,-11.46100,0.26400,-11.14600,0.42200,-10.98500,0.46700,-10.98400,0.36100,-10.92700,0.41600,-10.77700,0.43500,-10.68900,0.42200,-10.51400,0.54400,-10.57600,0.37800,-10.49600,0.53800,-10.43000,0.49800,-10.32100,0.47200,-10.15800,0.46600,-10.14500,0.40100,-10.18500,0.50900,0,-9999,-9999,-9999,26271850,14.09000,4.29000
-31.72500,115.92500,Perth,1,0.00190,1.00000,0.01370,0.00000,0.02270,1.00000,0.03060,1.00000,-10.68300,0.35900,-11.31200,0.42200,-10.65600,0.23600,-10.53500,0.16200,-10.84300,0.33600,-10.46100,0.17200,-10.41400,0.15800,-10.24500,0.11900,-9999.00000,-9999.00000,-11.86500,0.20900,-11.99300,0.27300,-11.90100,0.20100,-11.85300,0.21300,-11.75700,0.27000,-11.74300,0.22600,-11.66000,0.29000,-11.63900,0.22500,-11.46500,0.24400,-11.48800,0.24900,-11.65100,0.37400,-11.48100,0.46200,-11.50200,0.30700,-11.44100,0.35200,-11.38200,0.41200,-11.22200,0.41700,-11.19500,0.47500,-11.21000,0.41000,-11.15500,0.53400,-11.16400,0.52900,-10.91100,0.43500,-10.76000,0.46100,-10.83500,0.38000,-10.95400,0.45100,0,-9999,-9999,-9999,26271850,19.05000,4.74000
-31.72500,115.97500,Perth,1,0.00280,151.00000,0.02760,657.00000,0.04860,683.00000,0.07530,371.00000,-10.62500,0.35000,-10.48200,0.51400,-10.61600,0.17900,-10.45100,0.14400,-10.77900,0.30500,-10.37900,0.16500,-10.36100,0.13400,-10.16300,0.10200,-9999.00000,-9999.00000,-11.97500,0.22300,-12.10300,0.25900,-12.01600,0.20300,-12.02000,0.24000,-11.87300,0.24500,-11.93700,0.22600,-11.81400,0.28400,-11.84800,0.21700,-11.65100,0.23600,-11.65600,0.27300,-11.77000,0.31200,-11.57100,0.38400,-11.65700,0.23500,-11.54800,0.30800,-11.56200,0.40200,-11.42600,0.36000,-11.45200,0.44600,-11.43200,0.35100,-11.39700,0.50400,-11.36400,0.50500,-11.00000,0.43800,-11.02500,0.41100,-11.10800,0.32700,-11.23400,0.38500,0,-9999,-9999,-9999,26271850,12.04000,3.64000
-31.72500,116.02500,Perth,1,0.00270,536.00000,0.02060,457.00000,0.03520,822.00000,0.05440,997.00000,-10.62800,0.33300,-10.44300,0.48000,-10.60800,0.16400,-10.43400,0.12400,-10.75500,0.26400,-10.37900,0.16000,-10.36700,0.13400,-10.15500,0.09300,-9999.00000,-9999.00000,-12.05400,0.23500,-12.17700,0.25400,-12.10000,0.21300,-12.13900,0.25600,-11.97800,0.23500,-12.07200,0.22500,-11.91400,0.24300,-11.99900,0.21800,-11.78600,0.22900,-11.78300,0.31100,-11.53600,0.28600,-11.31900,0.34400,-11.41200,0.23500,-11.28300,0.30600,-11.32600,0.36900,-11.19500,0.32700,-11.24200,0.43700,-11.16300,0.32800,-11.18700,0.41300,-11.05600,0.46200,-10.72600,0.43000,-10.85800,0.40500,-10.92300,0.30500,-11.07200,0.33900,0,-9999,-9999,-9999,26271850,9.24000,3.32000
-31.72500,116.07500,Perth,0,0.00030,4.00000,0.00190,5.00000,0.00350,12.00000,0.00560,24.00000,-10.62000,0.30900,-10.38000,0.42700,-10.58400,0.14400,-10.39700,0.09800,-10.70900,0.20800,-10.36600,0.15300,-10.36100,0.13200,-10.13200,0.08000,-9999.00000,-9999.00000,-12.10000,0.25700,-12.20700,0.25600,-12.14100,0.20600,-12.20300,0.27600,-12.03500,0.23900,-12.14200,0.24700,-11.97300,0.21100,-12.10200,0.23700,-11.87100,0.21700,-11.89500,0.34300,-11.30200,0.26700,-11.07400,0.31400,-11.18200,0.23100,-11.07300,0.27200,-11.11300,0.32600,-11.00600,0.29300,-11.05800,0.43100,-10.96400,0.30700,-11.01100,0.34800,-10.86300,0.41900,-10.58800,0.41300,-10.75200,0.39200,-10.80500,0.27200,-10.94600,0.31300,0,-9999,-9999,-9999,26271850,22.53000,5.25000
-31.77500,115.57500,Perth,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,26257940,-9999.00000,-9999.00000
