latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
34.27500,71.27500,Peshawar,0,0.00000,316.00000,0.00040,600.00000,0.00050,828.00000,0.00190,2288.00000,-8.75400,0.07800,-8.83100,0.13500,-8.80800,0.17600,-8.92900,0.18100,-8.75600,0.13200,-8.69400,0.28000,-8.72100,0.04100,-8.64300,0.10900,-10.75100,0.27400,-10.65400,0.25600,-10.59600,0.22600,-10.53400,0.27500,-10.65600,0.19900,-10.43900,0.25200,-10.57800,0.22800,-10.73800,0.20700,-10.70800,0.18200,-10.79700,0.21000,-10.55100,0.30100,-8.45800,0.10600,-8.50900,0.23600,-8.35900,0.16000,-8.33000,0.56100,-8.50700,0.14800,-8.30000,0.20400,-8.54300,0.16200,-8.39500,0.14800,-8.60700,0.26500,-8.43700,0.10900,-8.44300,0.17700,-8.41100,0.19500,-8.42600,0.18000,-8.46500,0.14800,0,-9999,-9999,-9999,25537144,5.03000,2.36000
34.27500,71.32500,Peshawar,0,0.00000,973.00000,0.00010,0.00000,0.00010,0.00000,0.00040,3439.00000,-8.82400,0.07600,-8.86500,0.14300,-8.86100,0.17400,-8.98700,0.18200,-8.81900,0.13800,-8.74200,0.26600,-8.80300,0.04700,-8.69900,0.12100,-10.84100,0.28700,-10.73500,0.23100,-10.67300,0.22700,-10.56800,0.27400,-10.70600,0.21300,-10.49300,0.24600,-10.62300,0.20800,-10.78700,0.18800,-10.77000,0.18000,-10.82000,0.20600,-10.59000,0.30300,-8.55800,0.12000,-8.56900,0.25200,-8.42000,0.16600,-8.37400,0.57400,-8.56500,0.15300,-8.34400,0.19200,-8.62400,0.18200,-8.46700,0.15800,-8.65100,0.27300,-8.50100,0.12900,-8.55300,0.17200,-8.53300,0.20400,-8.51100,0.18400,-8.51900,0.16300,0,-9999,-9999,-9999,25537144,5.87000,2.49000
34.27500,71.37500,Peshawar,0,0.00000,0.00000,0.00010,269.00000,0.00010,763.00000,0.00030,703.00000,-8.93400,0.07700,-8.92000,0.16300,-8.94400,0.17100,-9.08400,0.18700,-8.91900,0.14400,-8.82100,0.24200,-8.92800,0.05900,-8.79000,0.14600,-10.91400,0.29100,-10.81000,0.21300,-10.75600,0.22300,-10.59800,0.26800,-10.73600,0.21400,-10.56900,0.23300,-10.66900,0.19300,-10.82400,0.16800,-10.82500,0.18000,-10.82600,0.20000,-10.64100,0.28500,-8.65300,0.14800,-8.63900,0.27300,-8.49100,0.17700,-8.42100,0.57100,-8.64300,0.18100,-8.42200,0.18500,-8.70400,0.19700,-8.53100,0.16100,-8.71200,0.27300,-8.58400,0.15800,-8.65500,0.17000,-8.66100,0.21000,-8.61600,0.17700,-8.57000,0.19600,0,-9999,-9999,-9999,25537144,7.09000,2.76000
34.27500,71.42500,Peshawar,0,0.00000,0.00000,0.00000,43.00000,0.00020,70.00000,0.00030,224.00000,-8.99100,0.08300,-8.94900,0.17100,-8.98000,0.16500,-9.12700,0.19000,-8.97000,0.15000,-8.84600,0.24800,-8.96400,0.16000,-8.83400,0.17000,-10.96300,0.28100,-10.85900,0.20300,-10.81400,0.20800,-10.61500,0.27000,-10.73900,0.18900,-10.65100,0.22300,-10.70500,0.19500,-10.84100,0.15300,-10.87000,0.18000,-10.81700,0.20000,-10.68300,0.25900,-8.78900,0.18700,-8.73600,0.28900,-8.63100,0.19000,-8.50900,0.56800,-8.75700,0.22100,-8.58800,0.19900,-8.80900,0.21300,-8.63000,0.17600,-8.81700,0.25400,-8.72400,0.18400,-8.79000,0.19600,-8.78900,0.22200,-8.74400,0.17400,-8.62400,0.27000,0,-9999,-9999,-9999,25537144,3.46000,1.92000
34.27500,71.47500,Peshawar,0,0.00060,2362.00000,0.00630,1205.00000,0.00960,2428.00000,0.02320,8224.00000,-9.16300,0.11300,-9.01000,0.20400,-9.07200,0.15300,-9.28200,0.21400,-9.10900,0.16000,-8.95200,0.24500,-8.96300,0.79500,-8.95200,0.28300,-10.98300,0.25800,-10.86500,0.19300,-10.83700,0.18300,-10.60900,0.26000,-10.73700,0.17200,-10.72000,0.21400,-10.72600,0.21500,-10.82900,0.15200,-10.88300,0.18400,-10.77800,0.21200,-10.70100,0.21100,-8.98700,0.19200,-8.87100,0.28100,-8.90600,0.18000,-8.68800,0.55800,-8.93300,0.22700,-8.92200,0.23900,-8.93900,0.18000,-8.85400,0.21000,-8.94100,0.26300,-9.00600,0.17900,-8.97600,0.21500,-8.93800,0.21900,-8.90600,0.16400,-8.78700,0.28200,0,-9999,-9999,-9999,25537144,3.47000,1.89000
34.27500,71.52500,Peshawar,1,0.01110,6280.00000,0.01810,5723.00000,0.02050,8294.00000,0.02550,23779.00000,-9.17000,0.11500,-9.01500,0.20500,-9.07700,0.15300,-9.28700,0.21400,-9.11600,0.16200,-8.95500,0.24700,-8.97100,0.79700,-8.95800,0.28500,-10.99200,0.25700,-10.84000,0.17800,-10.82800,0.17100,-10.58500,0.23700,-10.72900,0.16700,-10.78600,0.19900,-10.73900,0.23000,-10.80300,0.17200,-10.87900,0.18400,-10.72700,0.20400,-10.73900,0.19300,-9.06600,0.18100,-8.94000,0.29200,-9.03300,0.14900,-8.79400,0.50300,-9.04900,0.22300,-9.05800,0.26000,-8.99300,0.15100,-8.98900,0.23700,-8.97300,0.28100,-9.16500,0.16800,-9.02900,0.22300,-8.99400,0.23200,-8.95500,0.20000,-8.90100,0.24600,0,-9999,-9999,-9999,25537144,2.83000,1.68000
34.27500,71.57500,Peshawar,2,0.10040,19218.00000,0.12340,26045.00000,0.13310,34001.00000,0.13820,47180.00000,-9.34500,0.16200,-9.04800,0.23600,-9.11600,0.23300,-9.43400,0.25400,-9.22500,0.16700,-9.18600,0.27900,-9.55000,0.88500,-9.02700,0.36700,-10.98500,0.26300,-10.76500,0.17600,-10.78600,0.19300,-10.55600,0.22800,-10.68300,0.17300,-10.79100,0.19000,-10.71400,0.25200,-10.71500,0.20500,-10.81000,0.19400,-10.65700,0.23700,-10.71000,0.19600,-9.09500,0.18600,-8.97700,0.29200,-9.10400,0.16400,-8.83500,0.49600,-9.07800,0.22600,-9.12000,0.26000,-9.00100,0.16600,-9.07200,0.22900,-8.95900,0.30400,-9.23400,0.18500,-9.04100,0.22600,-8.99300,0.27100,-8.95700,0.23500,-8.94000,0.25100,0,-9999,-9999,-9999,25537144,9.27000,2.67000
34.27500,71.62500,Peshawar,3,0.08240,18441.00000,0.09980,25197.00000,0.10660,35047.00000,0.10920,49835.00000,-9.39900,0.17600,-9.08800,0.24200,-9.15300,0.24900,-9.47500,0.26700,-9.27500,0.17600,-9.21900,0.28700,-9.61500,0.89200,-9.07200,0.38000,-10.95200,0.26700,-10.67100,0.17800,-10.72400,0.22500,-10.51100,0.25000,-10.62000,0.16900,-10.76400,0.17900,-10.66200,0.24900,-10.61300,0.22600,-10.73000,0.21900,-10.57000,0.29700,-10.63100,0.22700,-9.10200,0.19900,-8.96500,0.30600,-9.11600,0.19400,-8.82400,0.48800,-9.08600,0.23500,-9.12300,0.26700,-8.95600,0.19700,-9.07000,0.23600,-8.91100,0.32800,-9.24700,0.19900,-9.01400,0.23800,-8.95900,0.32900,-8.94100,0.26800,-8.95500,0.25900,0,-9999,-9999,-9999,25537144,11.50000,3.06000
34.27500,71.67500,Peshawar,3,0.11060,46157.00000,0.13730,70931.00000,0.14110,92518.00000,0.14480,130192.00000,-9.54000,0.21800,-9.09700,0.27400,-9.12500,0.39700,-9.58600,0.29500,-9.34900,0.19200,-9.32000,0.67400,-9.71100,0.88100,-9.13600,0.34800,-10.92600,0.26900,-10.58700,0.20800,-10.67000,0.24400,-10.46800,0.26500,-10.56500,0.16200,-10.70000,0.19700,-10.60200,0.22500,-10.53000,0.23800,-10.65300,0.24100,-10.50800,0.35400,-10.56000,0.22400,-9.08000,0.25100,-8.94000,0.32700,-9.11500,0.21700,-8.80500,0.47800,-9.06600,0.24400,-9.10400,0.26800,-8.89500,0.25100,-9.07500,0.24300,-8.87400,0.36100,-9.24600,0.21400,-8.98200,0.26200,-8.93400,0.41500,-8.90800,0.36300,-8.96200,0.27100,0,-9999,-9999,-9999,25537144,10.60000,2.94000
34.27500,71.72500,Peshawar,3,0.08370,30966.00000,0.12710,53953.00000,0.13180,70193.00000,0.13800,95440.00000,-9.59200,0.23300,-9.13500,0.27900,-9.16000,0.41700,-9.62900,0.30900,-9.39900,0.20400,-9.34800,0.68600,-9.77300,0.87800,-9.19200,0.34600,-10.87500,0.27300,-10.51900,0.25200,-10.59600,0.25500,-10.41800,0.27100,-10.50000,0.18600,-10.63000,0.22000,-10.51300,0.21600,-10.46900,0.27000,-10.55500,0.27500,-10.43200,0.41900,-10.45200,0.21000,-9.06600,0.29000,-8.91500,0.36700,-9.11200,0.22900,-8.77500,0.48300,-9.02100,0.25900,-9.07400,0.28100,-8.85000,0.31100,-9.07600,0.25500,-8.84900,0.40000,-9.24200,0.21800,-8.94100,0.31000,-8.92300,0.45400,-8.88700,0.44900,-8.96000,0.30200,0,-9999,-9999,-9999,25537144,9.08000,2.88000
