latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
11.82500,104.67500,PhnomPenh,0,0.00000,2967.00000,0.00000,1351.00000,0.00010,1830.00000,0.00180,860.00000,-9.69700,0.16000,-10.03100,0.41700,-9.73500,0.18600,-9.74200,0.29100,-9.85800,0.27900,-9.66800,0.32000,-9.75300,0.35800,-9.94800,0.35000,-11.24300,0.35300,-11.25700,0.20500,-11.34000,0.34200,-11.76600,0.47800,-11.04600,0.36700,-11.46200,0.37100,-11.78900,0.34000,-11.70200,0.51000,-11.02900,0.23600,-11.10100,0.29800,-11.23400,0.44700,-9.28900,0.36200,-9.48400,0.35000,-9.44800,0.36200,-9.30800,0.32700,-9.36100,0.54100,-9.34400,0.37400,-9.08100,0.39700,-9.45600,0.29000,-9.57000,0.60300,-9.37600,0.44000,-9.06200,0.35900,-9.30900,0.48200,-9.07800,0.45200,-8.86800,0.39700,0,-9999,-9999,-9999,30136564,3.93000,3.06000
11.82500,104.72500,PhnomPenh,1,0.00030,8824.00000,0.00200,21776.00000,0.00280,31605.00000,0.00830,13879.00000,-9.81400,0.28600,-10.34100,0.52400,-9.97900,0.39700,-9.99000,0.49200,-10.19600,0.52000,-9.66400,0.30100,-9.95100,0.40200,-10.41500,0.44200,-11.83500,0.41000,-12.10800,0.31000,-12.03000,0.32300,-12.53500,0.36800,-11.36700,0.46900,-12.02500,0.38500,-12.36300,0.50300,-12.27500,0.41100,-11.31800,0.38500,-11.57800,0.36900,-11.78500,0.48800,-9.33000,0.36500,-9.63300,0.39700,-9.82200,0.44100,-9.34400,0.29000,-9.73000,0.57400,-9.47500,0.36900,-9.25100,0.37800,-9.60900,0.37200,-9.60500,0.53800,-9.42800,0.35500,-9.17900,0.33400,-9.43700,0.42400,-9.06800,0.46000,-8.75300,0.36400,0,-9999,-9999,-9999,30136564,4.32000,3.00000
11.82500,104.77500,PhnomPenh,1,0.00070,3696.00000,0.00210,6564.00000,0.00260,10968.00000,0.00680,14734.00000,-9.86200,0.35100,-10.48000,0.59100,-10.09200,0.51900,-10.10400,0.59600,-10.35900,0.64500,-9.64900,0.29400,-10.03900,0.44600,-10.65600,0.49900,-12.51200,0.54500,-13.17600,0.60900,-12.87800,0.71200,-13.44800,0.65500,-11.68400,0.74300,-12.62300,0.78700,-13.01600,1.00000,-12.89800,0.63100,-11.65300,0.76100,-12.15700,0.62800,-12.32000,0.68400,-9.57600,0.85500,-10.17500,0.76200,-10.41600,0.88200,-9.37400,0.51500,-10.46700,0.94200,-9.51200,0.69700,-9.69100,0.74500,-10.09600,0.77600,-9.56800,0.48000,-9.45700,0.42500,-9.70400,0.68000,-10.11000,0.78500,-9.18200,0.71400,-8.65600,0.34700,0,-9999,-9999,-9999,30136564,5.11000,3.51000
11.82500,104.82500,PhnomPenh,0,0.00060,10518.00000,0.00170,13371.00000,0.00200,18074.00000,0.00430,15362.00000,-9.94100,0.49700,-10.73600,0.76400,-10.30800,0.81800,-10.31300,0.81800,-10.68700,0.91900,-9.56900,0.28300,-10.18200,0.57900,-11.16300,0.64800,-12.98900,0.69800,-14.04100,0.89500,-13.55700,1.19300,-14.15700,1.07000,-11.89600,1.03200,-13.07300,1.22600,-13.52100,1.50500,-13.29900,1.00200,-11.89000,1.06800,-12.58800,0.88600,-12.67200,0.91500,-9.83500,1.24400,-10.66400,1.28600,-10.77200,1.24800,-9.38700,0.85600,-11.13100,1.64100,-9.61000,1.16500,-10.06100,1.23800,-10.61600,1.22000,-9.47500,0.50800,-9.54700,0.62200,-10.34100,1.06100,-11.06400,1.43500,-9.42200,1.09000,-8.61400,0.33600,0,-9999,-9999,-9999,30136564,5.69000,3.49000
11.82500,104.87500,PhnomPenh,0,0.00000,1059.00000,0.00000,0.00000,0.00030,0.00000,0.00160,0.00000,-9.94900,0.55900,-10.85600,0.86900,-10.38100,0.98100,-10.39300,0.92300,-10.82400,1.05200,-9.49200,0.27900,-10.20800,0.64900,-11.38100,0.75400,-13.32000,0.84700,-14.75000,1.18200,-14.08000,1.63500,-14.72700,1.46900,-12.04100,1.26100,-13.42900,1.57400,-13.89300,1.93700,-13.55500,1.35300,-12.06400,1.29700,-12.90900,1.10300,-12.90000,1.12300,-9.89200,1.39900,-10.76900,1.48200,-10.79800,1.40200,-9.31300,0.92800,-11.44900,2.02000,-9.62000,1.23500,-10.14700,1.41200,-10.74100,1.36700,-9.40200,0.51700,-9.52200,0.66800,-10.46500,1.16400,-11.36200,1.66800,-9.47900,1.22700,-8.54300,0.34900,0,-9999,-9999,-9999,30136564,9.34000,4.39000
11.82500,104.92500,PhnomPenh,0,0.00010,162.00000,0.00090,1764.00000,0.00130,2402.00000,0.00300,2293.00000,-9.95700,0.61500,-10.96100,0.96200,-10.44400,1.12600,-10.46100,1.01600,-10.94400,1.17000,-9.42200,0.27500,-10.23000,0.71000,-11.57100,0.84800,-13.44400,0.95500,-15.13900,1.39300,-14.37800,1.96200,-15.07900,1.72200,-12.12900,1.36900,-13.60900,1.77500,-14.11000,2.21000,-13.63400,1.55300,-12.15900,1.39100,-13.05100,1.22800,-12.95600,1.24200,-9.82600,1.37800,-10.74500,1.47700,-10.74900,1.42100,-9.27200,0.94000,-11.48200,2.09000,-9.61800,1.23800,-10.14800,1.44200,-10.67700,1.38100,-9.36200,0.51400,-9.49100,0.67500,-10.47800,1.18400,-11.33500,1.67600,-9.45000,1.27000,-8.45300,0.36300,10,-9999,-9999,-9999,30136564,9.38000,4.56000
11.82500,104.97500,PhnomPenh,1,0.00070,20036.00000,0.00530,14083.00000,0.00760,19631.00000,0.01200,20323.00000,-9.93900,0.67000,-11.10800,1.10100,-10.46900,1.28000,-10.50300,1.12200,-11.06200,1.28900,-9.33200,0.25500,-10.22300,0.77800,-11.77600,1.00600,-13.37000,1.01900,-15.23800,1.54700,-14.47200,2.13600,-15.21000,1.83600,-12.18800,1.40400,-13.70000,1.82600,-14.18100,2.31600,-13.52900,1.61300,-12.18300,1.32700,-13.02200,1.25800,-12.88900,1.24100,-9.75200,1.25000,-10.74900,1.33800,-10.67200,1.34000,-9.27400,0.89600,-11.39300,1.90700,-9.55600,1.07300,-10.08400,1.33000,-10.61600,1.32900,-9.37900,0.52300,-9.44000,0.56900,-10.41800,1.12800,-10.99600,1.51400,-9.33200,1.20700,-8.42900,0.37800,9,-9999,-9999,-9999,30136564,6.67000,4.16000
11.82500,105.02500,PhnomPenh,1,0.00070,7693.00000,0.00690,6723.00000,0.00790,7610.00000,0.00970,6457.00000,-9.93100,0.68000,-11.15100,1.13500,-10.46900,1.32000,-10.50400,1.14100,-11.09600,1.31500,-9.31500,0.24500,-10.19200,0.78200,-11.83400,1.06800,-13.18600,1.03800,-15.15600,1.65600,-14.45600,2.18200,-15.21900,1.84900,-12.17100,1.34800,-13.68500,1.76900,-14.14000,2.32800,-13.30600,1.58200,-12.13600,1.17400,-12.86600,1.19300,-12.75800,1.16300,-9.68800,0.99000,-10.57700,1.09900,-10.46600,1.10200,-9.20700,0.67800,-11.16700,1.69200,-9.48800,0.77800,-9.82400,1.13000,-10.46300,1.21900,-9.46500,0.53200,-9.33200,0.35700,-9.98700,0.87100,-10.64300,1.41000,-9.22600,1.03300,-8.46600,0.36600,1,-9999,-9999,-9999,30136564,4.67000,4.00000
11.82500,105.07500,PhnomPenh,1,0.00020,14336.00000,0.00310,17963.00000,0.00330,17966.00000,0.00360,14844.00000,-9.91400,0.68600,-11.21400,1.17500,-10.45700,1.37000,-10.48700,1.15000,-11.14300,1.33900,-9.30500,0.22600,-10.10600,0.76800,-11.91400,1.18200,-13.00400,1.05700,-15.03200,1.72700,-14.43600,2.20200,-15.18600,1.82900,-12.13600,1.28900,-13.63500,1.68000,-14.09400,2.31400,-13.09500,1.51500,-12.07700,1.02200,-12.70100,1.10800,-12.62000,1.03400,-9.58900,0.70000,-10.32700,0.94300,-10.10400,0.82100,-9.15400,0.45800,-11.04600,1.64700,-9.43800,0.66000,-9.60700,1.01000,-10.30300,1.19000,-9.49100,0.53500,-9.28000,0.31600,-9.69100,0.73100,-10.60200,1.40000,-9.27300,1.00000,-8.57300,0.33900,1,-9999,-9999,-9999,30136564,6.04000,4.21000
11.82500,105.12500,PhnomPenh,1,0.00020,14439.00000,0.00360,12798.00000,0.00500,15230.00000,0.00540,11614.00000,-9.90900,0.65300,-11.20500,1.14400,-10.42100,1.32700,-10.44500,1.08000,-11.13900,1.31000,-9.34900,0.20500,-9.98700,0.71400,-11.90300,1.21800,-12.83600,1.08400,-14.94900,1.80600,-14.46600,2.25300,-15.17300,1.83700,-12.07800,1.26700,-13.55600,1.62500,-14.08000,2.30900,-12.89000,1.43900,-11.99300,0.88400,-12.53100,1.05800,-12.46800,0.92000,-9.60700,0.57000,-10.22300,0.92100,-9.97100,0.72500,-9.15900,0.35400,-11.05200,1.71900,-9.36100,0.62600,-9.57500,1.10400,-10.31600,1.32200,-9.38300,0.54200,-9.19200,0.28400,-9.64500,0.73700,-10.81400,1.55900,-9.35000,1.11200,-8.65100,0.33400,11,-9999,-9999,-9999,30136564,5.26000,3.75000
