latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
33.67500,-112.32500,Phoenix,2,0.13760,7207.00000,0.29120,10367.00000,0.31370,13238.00000,0.40090,18161.00000,-10.84000,0.15600,-10.57900,0.17500,-10.47000,0.19500,-10.69900,0.19900,-10.58500,0.12100,-10.48900,0.12800,-10.42400,0.10400,-10.33700,0.16100,-11.87900,0.16300,-11.53400,0.23500,-11.66800,0.26700,-11.41400,0.31500,-11.46100,0.37000,-11.28500,0.23300,-11.21800,0.35200,-11.06100,0.39900,-11.00100,0.31800,-10.98400,0.32300,-10.87300,0.36200,-10.07900,0.25000,-9.89500,0.31200,-9.87800,0.20500,-9.75400,0.31600,-9.79100,0.29000,-9.85400,0.29500,-9.87600,0.28500,-9.64500,0.34000,-9.69000,0.28800,-9.61100,0.33400,-9.51800,0.35800,-9.28300,0.57400,-9.29600,0.56800,-9.10300,0.42500,0,0.07200,6.18180,5.58150,25714644,1.19000,0.27000
33.67500,-112.27500,Phoenix,2,0.23510,13351.00000,0.33120,19359.00000,0.47110,24766.00000,0.58520,34034.00000,-10.80400,0.15800,-10.53900,0.17600,-10.42700,0.19600,-10.65300,0.20300,-10.54800,0.12100,-10.44400,0.12800,-10.37600,0.10700,-10.28800,0.16200,-11.48800,0.13200,-11.08800,0.25800,-11.25300,0.27300,-10.98200,0.35100,-11.01600,0.37700,-10.85200,0.28500,-10.77200,0.35600,-10.61900,0.38900,-10.53500,0.34500,-10.50800,0.34900,-10.41100,0.35900,-9.42000,0.29700,-9.29600,0.39800,-9.20600,0.24400,-9.16200,0.29000,-9.22000,0.27000,-9.22100,0.29800,-9.13700,0.31400,-9.02300,0.31400,-9.07100,0.28600,-9.03200,0.38000,-8.93800,0.35700,-8.77700,0.47200,-8.69600,0.49900,-8.57500,0.41100,0,0.13990,5.96970,9.05450,25714644,1.01000,0.22000
33.67500,-112.22500,Phoenix,3,0.34150,17485.00000,0.51810,25397.00000,0.61200,32675.00000,0.70070,44379.00000,-10.45300,0.21500,-10.28700,0.18200,-10.10600,0.19900,-10.33000,0.21800,-10.22300,0.13400,-10.08200,0.12200,-10.01300,0.08800,-9.87900,0.13800,-11.16400,0.13500,-10.74300,0.29800,-10.93300,0.30400,-10.66700,0.36300,-10.66900,0.35800,-10.51100,0.31000,-10.42600,0.35900,-10.30000,0.37100,-10.19200,0.38300,-10.20500,0.37300,-10.04800,0.35500,-8.98600,0.27000,-8.89600,0.33000,-8.79800,0.26100,-8.72100,0.27100,-8.81300,0.21400,-8.75800,0.32000,-8.64600,0.33100,-8.59900,0.35700,-8.63400,0.29100,-8.67400,0.34000,-8.57500,0.32100,-8.41500,0.48600,-8.36500,0.42400,-8.25800,0.38600,0,0.18160,5.95600,11.05260,25714644,1.02000,0.38000
33.67500,-112.17500,Phoenix,3,0.12330,12659.00000,0.39850,18513.00000,0.46250,23594.00000,0.48590,32282.00000,-10.41700,0.21400,-10.24900,0.18100,-10.06000,0.20000,-10.28300,0.22000,-10.18300,0.13400,-10.03200,0.12100,-9.96200,0.09000,-9.82600,0.13800,-10.96500,0.14000,-10.60500,0.34000,-10.76200,0.33900,-10.49000,0.38400,-10.51200,0.37900,-10.33700,0.32500,-10.26200,0.36500,-10.15400,0.35400,-10.04700,0.40000,-10.08600,0.37500,-9.87000,0.36000,-8.79200,0.25700,-8.71600,0.26200,-8.58700,0.26800,-8.51600,0.23900,-8.61800,0.21200,-8.55800,0.26200,-8.43500,0.32600,-8.41300,0.31900,-8.46500,0.26100,-8.51700,0.30800,-8.39800,0.27700,-8.26700,0.50300,-8.18500,0.40800,-8.14600,0.40700,0,0.12290,6.04340,8.61040,25714644,1.17000,0.38000
33.67500,-112.12500,Phoenix,3,0.19310,17667.00000,0.53540,25482.00000,0.62830,32604.00000,0.67210,44585.00000,-10.20600,0.20900,-10.13500,0.16200,-9.88600,0.21200,-10.13300,0.22600,-10.00700,0.14100,-9.85400,0.10500,-9.75700,0.09400,-9.64900,0.12700,-10.84800,0.16900,-10.49200,0.37500,-10.61700,0.35100,-10.37000,0.39100,-10.37800,0.38800,-10.18900,0.35000,-10.12300,0.36900,-10.05000,0.36100,-9.92000,0.42100,-9.98700,0.36700,-9.75200,0.35200,-8.68000,0.24300,-8.57900,0.28200,-8.43200,0.23200,-8.38000,0.19000,-8.48900,0.19900,-8.46700,0.21100,-8.33800,0.33300,-8.35600,0.28300,-8.42900,0.29100,-8.41600,0.29800,-8.35700,0.29100,-8.18400,0.54300,-8.11900,0.40800,-8.08600,0.43800,0,0.17840,6.75220,12.64280,25714644,0.99000,0.25000
33.67500,-112.07500,Phoenix,2,0.10480,13744.00000,0.44760,19902.00000,0.51520,25507.00000,0.58060,34839.00000,-10.17300,0.21100,-10.10100,0.15700,-9.84200,0.21300,-10.09000,0.22800,-9.96800,0.14000,-9.80500,0.10400,-9.70700,0.09200,-9.59700,0.12800,-10.81800,0.17900,-10.47000,0.36700,-10.56000,0.33000,-10.32500,0.41300,-10.34000,0.38600,-10.16000,0.35200,-10.08900,0.36600,-10.03300,0.35900,-9.88900,0.42600,-9.97800,0.37100,-9.73600,0.35300,-8.66300,0.22200,-8.50700,0.27900,-8.34200,0.19500,-8.32300,0.20100,-8.39200,0.18200,-8.38800,0.22200,-8.29600,0.32300,-8.33200,0.26900,-8.40000,0.29600,-8.40500,0.30600,-8.38800,0.29600,-8.19700,0.54300,-8.13100,0.38500,-8.06100,0.42100,0,0.13490,6.69810,9.97900,25714644,0.99000,0.22000
33.67500,-112.02500,Phoenix,2,0.06780,14506.00000,0.24210,20692.00000,0.38340,26742.00000,0.46270,36244.00000,-10.10700,0.17700,-10.12300,0.12400,-9.81700,0.22800,-10.11000,0.21700,-9.95400,0.14300,-9.81900,0.09400,-9.70400,0.11100,-9.63900,0.11000,-10.93000,0.17700,-10.59600,0.36400,-10.63900,0.30000,-10.45400,0.41600,-10.45900,0.39500,-10.27000,0.32900,-10.23100,0.35600,-10.18000,0.33100,-10.02300,0.41600,-10.13300,0.36000,-9.88300,0.37800,-8.99800,0.24800,-8.83800,0.36500,-8.49200,0.21200,-8.45700,0.22900,-8.55600,0.20500,-8.56700,0.22600,-8.63600,0.36600,-8.60100,0.30900,-8.75600,0.28700,-8.65500,0.39100,-8.72200,0.32800,-8.45700,0.61100,-8.36200,0.36100,-8.30200,0.45300,0,0.11660,6.54120,8.30290,25714644,1.13000,0.28000
33.67500,-111.97500,Phoenix,2,0.03290,8448.00000,0.09380,12650.00000,0.22130,16406.00000,0.38310,22900.00000,-10.10700,0.17700,-10.12300,0.12400,-9.81700,0.22800,-10.11000,0.21700,-9.95400,0.14300,-9.81900,0.09400,-9.70400,0.11100,-9.63900,0.11000,-11.15900,0.18600,-10.81000,0.35000,-10.85500,0.24200,-10.67400,0.43400,-10.69300,0.38400,-10.48500,0.28500,-10.48400,0.35500,-10.45400,0.36700,-10.30500,0.36900,-10.40100,0.34200,-10.17500,0.37800,-9.47800,0.27000,-9.33400,0.33900,-9.20800,0.24200,-9.02000,0.25700,-9.15900,0.22700,-9.11900,0.25200,-9.18600,0.37800,-9.06800,0.30800,-9.14800,0.30900,-9.00100,0.42200,-9.08100,0.30600,-8.79000,0.59800,-8.78000,0.32000,-8.67800,0.44400,0,0.08740,7.21400,7.66330,25714644,1.06000,0.30000
33.67500,-111.92500,Phoenix,2,0.01980,4754.00000,0.03990,6327.00000,0.16640,8097.00000,0.25200,11463.00000,-10.18700,0.15000,-10.23000,0.11300,-9.91700,0.24400,-10.27000,0.18800,-10.07700,0.16300,-9.98900,0.08900,-9.85500,0.13300,-9.83900,0.08000,-11.42000,0.17900,-11.03300,0.35200,-11.07300,0.21200,-10.91600,0.41900,-10.93400,0.35700,-10.76200,0.23000,-10.78400,0.35900,-10.76200,0.34900,-10.60100,0.33100,-10.68300,0.31900,-10.50000,0.36000,-9.65100,0.25000,-9.49800,0.26900,-9.46200,0.23100,-9.48800,0.19400,-9.45400,0.19500,-9.45200,0.25400,-9.38200,0.35400,-9.26500,0.27600,-9.29400,0.27900,-9.14700,0.30900,-9.20800,0.25700,-9.01000,0.59500,-9.04400,0.38400,-8.86900,0.39300,0,0.07560,5.58640,5.54350,25714644,1.19000,0.34000
33.67500,-111.87500,Phoenix,2,0.01630,4580.00000,0.08920,6205.00000,0.18460,7688.00000,0.25970,11143.00000,-10.17100,0.14900,-10.21200,0.11400,-9.89500,0.24400,-10.24400,0.19000,-10.05300,0.16100,-9.96000,0.08900,-9.83000,0.13200,-9.80900,0.08000,-11.65300,0.20200,-11.24000,0.36100,-11.26600,0.22500,-11.12000,0.38900,-11.16700,0.31600,-11.02200,0.22600,-11.05200,0.34800,-11.06000,0.32900,-10.89700,0.33200,-10.95800,0.28700,-10.78700,0.33300,-9.62700,0.26500,-9.53100,0.28200,-9.52600,0.23200,-9.43500,0.16000,-9.48900,0.21000,-9.45400,0.26200,-9.37600,0.34600,-9.30100,0.27800,-9.33800,0.23300,-9.26000,0.32200,-9.27000,0.27700,-9.18400,0.51800,-9.05100,0.36200,-8.95800,0.32500,0,0.09160,6.33880,5.87040,25714644,1.20000,0.44000
33.67500,-111.82500,Phoenix,1,0.00000,56.00000,0.00010,116.00000,0.00140,119.00000,0.00200,92.00000,-10.29500,0.23100,-10.30400,0.11900,-10.01100,0.25700,-10.39700,0.16700,-10.20400,0.17300,-10.14000,0.09200,-9.99400,0.14300,-10.00800,0.06200,-11.86000,0.21600,-11.41300,0.31500,-11.47000,0.27800,-11.33900,0.37100,-11.42100,0.30600,-11.29400,0.23700,-11.33400,0.32500,-11.37000,0.29900,-11.18900,0.30500,-11.24100,0.26900,-11.06700,0.31900,-9.91600,0.28200,-9.90500,0.34500,-9.79600,0.28700,-9.73200,0.21300,-9.80500,0.28700,-9.88000,0.35700,-9.68700,0.34700,-9.69200,0.35500,-9.69700,0.28300,-9.70100,0.37300,-9.59900,0.34500,-9.63000,0.59400,-9.34500,0.40900,-9.29600,0.33800,0,0.00820,3.02260,0.87760,25714644,1.45000,0.61000
33.62500,-112.32500,Phoenix,3,0.16010,18770.00000,0.33460,27229.00000,0.39640,34868.00000,0.56380,47714.00000,-10.78000,0.15600,-10.48200,0.17700,-10.37900,0.19800,-10.59400,0.21200,-10.52000,0.13600,-10.40800,0.12300,-10.32500,0.12800,-10.25400,0.17200,-11.58700,0.13400,-11.18600,0.25500,-11.35500,0.30700,-11.05500,0.31400,-11.06000,0.36300,-10.94300,0.27800,-10.78100,0.36600,-10.68400,0.42200,-10.61400,0.33400,-10.52700,0.36200,-10.49900,0.40700,-9.59300,0.29000,-9.40600,0.37600,-9.38900,0.23600,-9.31100,0.30500,-9.34400,0.29500,-9.38200,0.29100,-9.36200,0.29600,-9.17200,0.31400,-9.20700,0.30200,-9.17600,0.37800,-9.05900,0.35900,-8.80000,0.57100,-8.85900,0.54200,-8.65600,0.42000,0,0.13510,6.19040,9.38130,25729308,1.02000,0.21000
33.62500,-112.27500,Phoenix,3,0.80760,15054.00000,0.87860,21886.00000,0.89180,27950.00000,0.90700,38468.00000,-10.63100,0.16700,-10.34800,0.18100,-10.21900,0.20100,-10.42800,0.22200,-10.36800,0.12300,-10.22500,0.12800,-10.14400,0.11900,-10.04600,0.16700,-11.17800,0.11600,-10.72300,0.28700,-10.90900,0.31500,-10.60900,0.34200,-10.59600,0.36900,-10.48600,0.30500,-10.33800,0.37300,-10.22700,0.41300,-10.13400,0.36400,-10.06300,0.38400,-10.02100,0.40500,-8.99700,0.28100,-8.85200,0.33800,-8.85700,0.24200,-8.79300,0.27600,-8.86000,0.22300,-8.83000,0.27900,-8.76200,0.31800,-8.65800,0.31100,-8.69800,0.27900,-8.72400,0.37800,-8.58800,0.32400,-8.40500,0.47000,-8.42200,0.47700,-8.24900,0.42800,0,0.14500,6.30060,10.69200,25729308,1.10000,0.29000
33.62500,-112.22500,Phoenix,3,0.36610,17777.00000,0.62810,25595.00000,0.69560,32760.00000,0.74100,44847.00000,-10.40800,0.20000,-10.20100,0.17700,-10.01500,0.20200,-10.23200,0.22600,-10.15500,0.13000,-9.98900,0.12100,-9.91100,0.10200,-9.78200,0.14800,-10.80100,0.10900,-10.35800,0.31900,-10.54600,0.34800,-10.24600,0.36600,-10.22500,0.36600,-10.10900,0.32100,-9.98900,0.37200,-9.87400,0.38600,-9.76300,0.39900,-9.74600,0.39300,-9.64800,0.37700,-8.58200,0.25100,-8.48200,0.27200,-8.45500,0.24900,-8.37100,0.23600,-8.48000,0.19900,-8.44800,0.24500,-8.32700,0.32900,-8.30200,0.31200,-8.33000,0.27400,-8.38800,0.33800,-8.25500,0.29300,-8.08600,0.50000,-8.07900,0.43500,-8.00600,0.39900,0,0.19080,6.41210,13.12710,25729308,1.21000,0.39000
