latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
40.67500,-80.22500,Pittsburgh,1,0.12430,8001.00000,0.14470,7479.00000,0.14670,7183.00000,0.15430,6496.00000,-8.64600,0.53200,-8.70200,0.49400,-8.91100,0.25700,-9.18300,0.75400,-8.95400,0.15300,-8.94500,0.16400,-8.93700,0.24600,-8.67000,0.15800,-10.34100,0.23900,-10.03700,0.33000,-10.00300,0.21300,-10.23300,0.31600,-9.81100,0.24100,-9.81200,0.26300,-9.96000,0.20800,-9.88400,0.28100,-9.81400,0.25300,-9.85000,0.30500,-9.86200,0.35400,-7.98600,0.24600,-8.08900,0.30700,-8.11100,0.32400,-8.10100,0.25700,-7.95300,0.29800,-8.14400,0.27400,-7.93600,0.27200,-7.88500,0.29300,-7.96400,0.31900,-7.94100,0.31700,-7.86800,0.25600,-7.64300,0.36300,-7.70000,0.26000,-7.89700,0.42200,0,0.03280,4.22890,2.34930,23471884,38.71000,7.39000
40.67500,-80.17500,Pittsburgh,1,0.02360,7019.00000,0.04020,6906.00000,0.05180,6799.00000,0.06970,6069.00000,-8.53200,0.55800,-8.63700,0.45900,-8.83500,0.24000,-9.09700,0.75200,-8.89300,0.13700,-8.90500,0.13800,-8.87500,0.25800,-8.62100,0.15300,-10.35800,0.26600,-10.05500,0.31400,-10.02600,0.20200,-10.22900,0.33300,-9.83700,0.25200,-9.83700,0.25500,-9.96700,0.21800,-9.91200,0.28300,-9.84100,0.22300,-9.88200,0.29000,-9.88000,0.35200,-8.28200,0.26400,-8.36000,0.34700,-8.35600,0.31300,-8.30800,0.26700,-8.19100,0.31600,-8.36800,0.22300,-8.11400,0.26100,-8.07000,0.31500,-8.15200,0.31200,-8.15700,0.32300,-8.04200,0.25100,-7.84600,0.36500,-7.85000,0.27500,-8.07900,0.40200,0,0.02050,4.48330,1.06610,23471884,33.13000,7.20000
40.67500,-80.12500,Pittsburgh,2,0.08850,10463.00000,0.12930,11397.00000,0.19750,12420.00000,0.22970,12795.00000,-8.53100,0.56300,-8.64900,0.45000,-8.84900,0.24100,-9.10500,0.75300,-8.91200,0.13500,-8.93100,0.13600,-8.88800,0.26400,-8.64300,0.15000,-10.37400,0.29600,-10.07400,0.30200,-10.05000,0.19100,-10.21300,0.33100,-9.84800,0.24600,-9.83700,0.24200,-9.96600,0.22800,-9.93700,0.28300,-9.85200,0.20500,-9.93500,0.28500,-9.88000,0.33900,-8.54400,0.29400,-8.63800,0.32200,-8.53400,0.29700,-8.50600,0.24100,-8.38600,0.30000,-8.53700,0.20700,-8.28900,0.25000,-8.22500,0.31900,-8.33400,0.29000,-8.31400,0.29400,-8.25800,0.25900,-8.03700,0.37300,-8.02200,0.27500,-8.24400,0.41600,0,0.07020,5.01510,4.57950,23471884,23.02000,6.24000
40.67500,-80.07500,Pittsburgh,1,0.10750,7442.00000,0.15070,8115.00000,0.20860,8970.00000,0.25250,9293.00000,-8.45700,0.58700,-8.62900,0.38100,-8.82600,0.23600,-9.06800,0.73600,-8.90400,0.14600,-8.93100,0.14500,-8.89200,0.27500,-8.64000,0.14100,-10.46500,0.31300,-10.15100,0.29000,-10.13900,0.20300,-10.26500,0.32500,-9.89400,0.25700,-9.89100,0.23900,-10.01600,0.26900,-10.01400,0.28400,-9.92100,0.21400,-10.03500,0.29500,-9.93000,0.33400,-8.71400,0.31000,-8.83500,0.30600,-8.65400,0.28600,-8.63500,0.22300,-8.49900,0.30100,-8.65100,0.22300,-8.45000,0.22400,-8.38400,0.29800,-8.47900,0.28000,-8.41600,0.25200,-8.44600,0.27800,-8.17700,0.39900,-8.20400,0.27200,-8.41300,0.43900,0,0.05270,5.38570,3.35230,23471884,31.73000,6.84000
40.67500,-80.02500,Pittsburgh,2,0.02660,8501.00000,0.03760,9231.00000,0.07630,9646.00000,0.11230,9916.00000,-8.41300,0.59800,-8.60800,0.35100,-8.80300,0.23100,-9.04000,0.72800,-8.88600,0.14900,-8.91500,0.14700,-8.88100,0.27800,-8.62400,0.13700,-10.55800,0.31200,-10.22100,0.28500,-10.22100,0.20800,-10.34000,0.33000,-9.93700,0.27900,-9.94900,0.21700,-10.06700,0.28900,-10.06600,0.28500,-9.99900,0.22600,-10.12800,0.30300,-9.96100,0.31800,-8.82100,0.31700,-8.92400,0.30100,-8.71700,0.28400,-8.71300,0.21400,-8.57800,0.31600,-8.70300,0.24200,-8.54000,0.21400,-8.47100,0.28300,-8.57700,0.28400,-8.49600,0.24500,-8.55800,0.28000,-8.26200,0.42500,-8.34500,0.28300,-8.55500,0.42200,0,0.03930,4.83760,2.35840,23471884,33.57000,7.22000
40.67500,-79.97500,Pittsburgh,1,0.02700,4006.00000,0.03850,4493.00000,0.05130,4492.00000,0.07280,4674.00000,-8.36100,0.62400,-8.61400,0.28900,-8.79100,0.23500,-9.02500,0.71300,-8.87900,0.17500,-8.91400,0.16400,-8.90000,0.27600,-8.61600,0.13200,-10.64600,0.29600,-10.30000,0.30000,-10.30000,0.21400,-10.43400,0.32800,-9.99800,0.28900,-10.01600,0.20300,-10.13000,0.29200,-10.12200,0.28900,-10.07300,0.24600,-10.20800,0.29800,-10.00100,0.29800,-8.91200,0.30500,-9.00500,0.30000,-8.79700,0.29700,-8.78300,0.19700,-8.68500,0.33000,-8.76300,0.25700,-8.60700,0.21800,-8.55500,0.27400,-8.66300,0.30000,-8.61900,0.27500,-8.64700,0.27100,-8.34700,0.42800,-8.45300,0.29300,-8.68900,0.39300,0,0.02180,4.77310,1.26570,23471884,39.12000,7.44000
40.67500,-79.92500,Pittsburgh,1,0.02080,3044.00000,0.02990,3208.00000,0.03370,3343.00000,0.04280,3339.00000,-8.32200,0.64400,-8.61900,0.24300,-8.78200,0.23800,-9.01400,0.70200,-8.87400,0.19400,-8.91300,0.17600,-8.91300,0.27500,-8.61000,0.12700,-10.70500,0.26500,-10.36100,0.31500,-10.35700,0.21500,-10.52300,0.31100,-10.04700,0.29300,-10.06500,0.19700,-10.18400,0.29700,-10.16900,0.30000,-10.11700,0.28000,-10.26600,0.28700,-10.04900,0.28900,-9.01100,0.29900,-9.07900,0.31000,-8.88400,0.30300,-8.85800,0.19500,-8.79700,0.33000,-8.84700,0.25900,-8.65900,0.23500,-8.67600,0.28000,-8.76200,0.30400,-8.74100,0.30900,-8.72500,0.25800,-8.45100,0.39600,-8.53300,0.29100,-8.81400,0.38700,0,0.01610,4.01380,0.93990,23471884,35.32000,7.45000
40.67500,-79.87500,Pittsburgh,1,0.00660,1352.00000,0.00820,1431.00000,0.00960,1488.00000,0.01270,1544.00000,-8.31300,0.65000,-8.65100,0.23700,-8.80500,0.24700,-9.03000,0.69200,-8.90100,0.21000,-8.94100,0.18800,-8.95900,0.26900,-8.63700,0.12400,-10.76000,0.24200,-10.42800,0.33000,-10.39900,0.22800,-10.62100,0.30300,-10.09800,0.29100,-10.11400,0.20000,-10.24800,0.30500,-10.21300,0.29200,-10.16100,0.30100,-10.32600,0.28600,-10.10800,0.29200,-9.09100,0.30200,-9.13200,0.31800,-8.92700,0.29900,-8.90200,0.20900,-8.86700,0.32800,-8.93000,0.27100,-8.69400,0.25800,-8.75900,0.30400,-8.83500,0.31400,-8.82600,0.32800,-8.76900,0.26200,-8.52300,0.36200,-8.59600,0.28500,-8.90100,0.40400,0,0.00430,2.61460,0.21040,23471884,47.46000,7.96000
40.67500,-79.82500,Pittsburgh,1,0.01670,1777.00000,0.02100,1808.00000,0.02260,1842.00000,0.02440,1643.00000,-8.30200,0.65700,-8.69000,0.23100,-8.83300,0.25900,-9.05100,0.68000,-8.93500,0.22900,-8.97400,0.20300,-9.01400,0.26100,-8.66900,0.12100,-10.82100,0.24200,-10.51600,0.34500,-10.45100,0.25900,-10.72800,0.31100,-10.16700,0.28600,-10.17900,0.20800,-10.33200,0.31100,-10.25800,0.27100,-10.21200,0.30100,-10.39000,0.29700,-10.18300,0.30200,-9.09900,0.32300,-9.15400,0.33500,-8.91800,0.31000,-8.90400,0.23300,-8.87200,0.32400,-8.96600,0.28500,-8.70300,0.26800,-8.78700,0.32100,-8.85600,0.33700,-8.86900,0.34000,-8.77400,0.27900,-8.54000,0.33400,-8.62400,0.29200,-8.93200,0.42500,0,0.00680,3.29260,0.34170,23471884,41.84000,7.95000
40.67500,-79.77500,Pittsburgh,1,0.00780,1116.00000,0.01170,1164.00000,0.01510,1246.00000,0.01860,1278.00000,-8.44900,0.73600,-8.74500,0.24900,-8.89500,0.26300,-9.04000,0.81300,-8.99400,0.23700,-9.03600,0.20800,-9.08900,0.25900,-8.73600,0.11800,-10.85800,0.25400,-10.58900,0.35200,-10.51500,0.28500,-10.82000,0.31800,-10.23900,0.27800,-10.24100,0.19500,-10.41300,0.29800,-10.28700,0.25500,-10.25900,0.30000,-10.44500,0.30700,-10.25500,0.31200,-9.05500,0.35200,-9.10600,0.34500,-8.88200,0.32100,-8.84600,0.26900,-8.83700,0.33700,-8.93400,0.27500,-8.68000,0.27100,-8.78100,0.35200,-8.84800,0.35600,-8.85200,0.35100,-8.75500,0.30200,-8.53400,0.31700,-8.61200,0.30200,-8.95200,0.44700,0,0.00510,3.10060,0.24970,23471884,45.38000,8.14000
