latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
18.77500,-72.57500,PortAuPrince,0,0.00150,0.00000,0.00210,0.00000,0.00240,6.00000,0.00340,0.00000,-10.90300,0.12100,-10.47100,0.24400,-10.67400,0.44300,-11.64200,2.30800,-10.51500,0.26600,-10.38700,0.32000,-10.67800,0.28100,-10.73100,0.16300,-14.09100,0.21500,-14.17300,0.34900,-14.32900,0.29600,-14.11400,0.32100,-14.14900,0.29300,-14.17500,0.27000,-14.12000,0.33700,-14.13500,0.43700,-14.25200,0.38000,-14.23000,0.41700,-14.30400,0.17700,-11.42500,0.44600,-11.19800,0.56400,-11.28800,0.47400,-11.11600,0.45700,-11.30400,0.48600,-11.24600,0.55600,-11.28700,0.46300,-11.24100,0.48500,-11.46300,0.44100,-11.27600,0.50100,-11.19600,0.54100,-11.28500,0.91900,-10.91800,0.49300,-11.01000,0.53900,93,-9999,-9999,-9999,29175708,-9999,-9999
18.77500,-72.52500,PortAuPrince,2,0.02220,1604.00000,0.03750,8829.00000,0.03920,14773.00000,0.04230,35355.00000,-10.87800,0.11600,-10.44200,0.24100,-10.64800,0.43900,-11.60600,2.29600,-10.48300,0.26300,-10.35800,0.31800,-10.64800,0.27900,-10.70200,0.16000,-13.70400,0.21600,-13.76000,0.33400,-13.95400,0.28700,-13.76400,0.29100,-13.75700,0.28400,-13.79700,0.26500,-13.74000,0.31100,-13.75300,0.42800,-13.86700,0.36700,-13.82100,0.39700,-13.91500,0.18600,-10.71700,0.53000,-10.49100,0.61000,-10.63300,0.51100,-10.48200,0.52200,-10.64000,0.48700,-10.70700,0.67700,-10.67200,0.52100,-10.65100,0.55600,-10.93100,0.48300,-10.69400,0.52600,-10.63000,0.50300,-10.65200,0.95400,-10.35300,0.69300,-10.38100,0.58100,41,-9999,-9999,-9999,29175708,-9999,-9999
18.77500,-72.47500,PortAuPrince,1,0.00760,11234.00000,0.01870,23731.00000,0.02030,15073.00000,0.02440,7057.00000,-10.20600,0.09100,-9.83400,0.19900,-9.97200,0.36100,-10.87700,2.14000,-9.85000,0.20200,-9.72900,0.23400,-9.95600,0.21100,-10.02200,0.10400,-12.91200,0.22700,-12.90100,0.31700,-13.09700,0.26200,-12.92500,0.26000,-12.89500,0.27900,-12.93200,0.26900,-12.91800,0.24900,-12.91200,0.36200,-13.00800,0.32600,-12.96700,0.34500,-13.05100,0.21600,-9.46000,0.49100,-9.31700,0.53500,-9.53300,0.43500,-9.21500,0.41600,-9.44600,0.42300,-9.55600,0.56800,-9.39900,0.45700,-9.63200,0.53400,-9.78600,0.52300,-9.45700,0.39200,-9.56800,0.46100,-9.39400,0.82700,-9.32400,0.71100,-9.17700,0.48700,21,-9999,-9999,-9999,29175708,-9999,-9999
18.77500,-72.42500,PortAuPrince,1,0.01150,3618.00000,0.02320,5225.00000,0.02620,4327.00000,0.03350,7476.00000,-9.92500,0.08600,-9.58100,0.18000,-9.69600,0.33300,-10.55300,2.00500,-9.58800,0.17900,-9.46800,0.20200,-9.66900,0.18500,-9.74100,0.09000,-11.98500,0.24800,-11.92000,0.30300,-12.11700,0.23000,-11.94100,0.24100,-11.94800,0.24600,-11.97000,0.24400,-11.95300,0.20200,-11.93600,0.30100,-12.02100,0.27000,-11.95500,0.27800,-12.03800,0.23000,-8.62400,0.37800,-8.55900,0.46900,-8.84700,0.42700,-8.50100,0.37000,-8.66600,0.31500,-8.70200,0.46300,-8.60000,0.39800,-8.85200,0.50000,-8.98700,0.46600,-8.68200,0.32900,-8.75300,0.37500,-8.68100,0.68100,-8.53900,0.56100,-8.27300,0.40800,0,-9999,-9999,-9999,29175708,-9999,-9999
18.77500,-72.37500,PortAuPrince,1,0.00870,13446.00000,0.01650,22378.00000,0.01980,16044.00000,0.02550,14519.00000,-9.35100,0.10200,-9.09000,0.12900,-9.15100,0.29300,-9.87500,1.58200,-9.08800,0.14800,-8.96200,0.14900,-9.10700,0.15000,-9.18900,0.10600,-11.44000,0.22600,-11.26400,0.26600,-11.50800,0.24900,-11.33800,0.21400,-11.36700,0.20300,-11.34100,0.23200,-11.32500,0.19800,-11.35400,0.26600,-11.36300,0.25100,-11.32400,0.24500,-11.40100,0.20600,-8.42200,0.36600,-8.32800,0.37700,-8.50700,0.40900,-8.30300,0.33600,-8.44000,0.26600,-8.36300,0.32500,-8.35000,0.34100,-8.46600,0.40900,-8.67500,0.37400,-8.37400,0.28900,-8.37500,0.32500,-8.43800,0.68100,-8.30600,0.40700,-7.99200,0.29000,0,-9999,-9999,-9999,29175708,-9999,-9999
18.77500,-72.32500,PortAuPrince,0,0.00030,480.00000,0.00110,324.00000,0.00240,647.00000,0.00500,395.00000,-9.17600,0.11400,-8.93900,0.10600,-9.00200,0.28800,-9.40400,1.27200,-8.95700,0.14000,-8.83000,0.14000,-8.95300,0.13900,-9.03800,0.11500,-11.11400,0.23700,-10.86300,0.21500,-11.10700,0.27100,-10.98100,0.22300,-10.96600,0.16900,-10.93900,0.23900,-10.91900,0.18700,-11.02600,0.26200,-10.95300,0.23700,-10.90500,0.23000,-10.98900,0.17100,-8.29000,0.32700,-8.21500,0.31100,-8.33500,0.36100,-8.19600,0.28300,-8.30100,0.23600,-8.20600,0.25700,-8.21900,0.31300,-8.32400,0.33900,-8.44500,0.27400,-8.23300,0.22700,-8.22600,0.29100,-8.20800,0.69100,-8.24200,0.34200,-7.93800,0.27900,0,-9999,-9999,-9999,29175708,-9999,-9999
18.77500,-72.27500,PortAuPrince,1,0.00000,89.00000,0.00010,0.00000,0.00060,405.00000,0.00840,2594.00000,-8.93900,0.13200,-8.73800,0.07300,-8.80200,0.28200,-8.77300,0.90500,-8.78600,0.12900,-8.65700,0.12800,-8.74900,0.12300,-8.83800,0.12700,-10.90900,0.26500,-10.64200,0.20800,-10.86000,0.30100,-10.77500,0.21100,-10.72000,0.17200,-10.72200,0.25500,-10.68700,0.17300,-10.83900,0.26700,-10.72900,0.21800,-10.64800,0.21400,-10.74300,0.17500,-8.20800,0.29700,-8.16600,0.30000,-8.24900,0.33300,-8.13200,0.22500,-8.21500,0.21700,-8.14800,0.22300,-8.12900,0.27400,-8.23500,0.26800,-8.35900,0.19500,-8.17000,0.20400,-8.14800,0.25700,-8.09300,0.67500,-8.23300,0.33200,-7.94500,0.30000,0,-9999,-9999,-9999,29175708,-9999,-9999
18.77500,-72.22500,PortAuPrince,1,0.00000,130.00000,0.00040,5883.00000,0.00350,11626.00000,0.01490,11858.00000,-8.74800,0.14200,-8.63000,0.08600,-8.64800,0.27200,-8.71800,0.72500,-8.67000,0.10800,-8.53800,0.11900,-8.60100,0.10100,-8.68900,0.14100,-10.76800,0.24600,-10.50900,0.22200,-10.69900,0.30700,-10.64600,0.18500,-10.56800,0.20900,-10.57600,0.25700,-10.55700,0.17900,-10.71100,0.26300,-10.59900,0.18500,-10.50000,0.20600,-10.58000,0.20600,-8.20400,0.29900,-8.17000,0.30800,-8.23400,0.31700,-8.14100,0.21500,-8.19800,0.21300,-8.14900,0.21200,-8.11000,0.26200,-8.23100,0.25200,-8.37100,0.18700,-8.15300,0.20900,-8.14900,0.24200,-8.07600,0.66300,-8.24200,0.33700,-7.96400,0.28800,0,-9999,-9999,-9999,29175708,-9999,-9999
18.77500,-72.17500,PortAuPrince,0,0.00000,0.00000,0.00040,526.00000,0.00080,550.00000,0.00240,1104.00000,-8.66000,0.14800,-8.58400,0.09300,-8.57600,0.26700,-8.69800,0.63100,-8.61900,0.09800,-8.48500,0.11500,-8.53400,0.09100,-8.62100,0.14700,-10.68100,0.22700,-10.45400,0.25000,-10.59500,0.26600,-10.56500,0.16100,-10.48600,0.24800,-10.49800,0.24200,-10.49300,0.21600,-10.62300,0.24500,-10.53500,0.16800,-10.40500,0.19600,-10.49600,0.21900,-8.22700,0.29200,-8.19500,0.33700,-8.24900,0.30700,-8.17900,0.22000,-8.21200,0.22300,-8.17400,0.22600,-8.11300,0.24100,-8.25500,0.22400,-8.40800,0.18800,-8.16600,0.22500,-8.17100,0.23300,-8.10700,0.63400,-8.26400,0.33000,-7.99500,0.27100,0,-9999,-9999,-9999,29175708,-9999,-9999
18.77500,-72.12500,PortAuPrince,0,0.00000,1230.00000,0.00160,7057.00000,0.00200,5044.00000,0.00330,3725.00000,-8.53300,0.15400,-8.55000,0.11000,-8.48700,0.25200,-8.69100,0.35100,-8.54500,0.08700,-8.42900,0.10500,-8.45500,0.06500,-8.52800,0.14900,-10.55700,0.24500,-10.42000,0.26300,-10.48600,0.25200,-10.48300,0.17500,-10.41700,0.28200,-10.44000,0.21700,-10.44600,0.25100,-10.53300,0.21200,-10.46900,0.15800,-10.34400,0.19300,-10.42500,0.21200,-8.23800,0.28400,-8.22800,0.36100,-8.29700,0.29100,-8.19300,0.21800,-8.21200,0.23200,-8.19200,0.25900,-8.11800,0.22300,-8.27600,0.22800,-8.44200,0.19800,-8.16800,0.23700,-8.18400,0.23000,-8.14000,0.56900,-8.26600,0.32500,-8.00700,0.26100,0,-9999,-9999,-9999,29175708,-9999,-9999
