latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JFM_mean,ERS1993_JFM_std,ERS1994_JFM_mean,ERS1994_JFM_std,ERS1995_JFM_mean,ERS1995_JFM_std,ERS1996_JFM_mean,ERS1996_JFM_std,ERS1997_JFM_mean,ERS1997_JFM_std,ERS1998_JFM_mean,ERS1998_JFM_std,ERS1999_JFM_mean,ERS1999_JFM_std,ERS2000_JFM_mean,ERS2000_JFM_std,QSCAT1999_JFM_mean,QSCAT1999_JFM_std,QSCAT2000_JFM_mean,QSCAT2000_JFM_std,QSCAT2001_JFM_mean,QSCAT2001_JFM_std,QSCAT2002_JFM_mean,QSCAT2002_JFM_std,QSCAT2003_JFM_mean,QSCAT2003_JFM_std,QSCAT2004_JFM_mean,QSCAT2004_JFM_std,QSCAT2005_JFM_mean,QSCAT2005_JFM_std,QSCAT2006_JFM_mean,QSCAT2006_JFM_std,QSCAT2007_JFM_mean,QSCAT2007_JFM_std,QSCAT2008_JFM_mean,QSCAT2008_JFM_std,QSCAT2009_JFM_mean,QSCAT2009_JFM_std,ASCAT2007_JFM_mean,ASCAT2007_JFM_std,ASCAT2008_JFM_mean,ASCAT2008_JFM_std,ASCAT2009_JFM_mean,ASCAT2009_JFM_std,ASCAT2010_JFM_mean,ASCAT2010_JFM_std,ASCAT2011_JFM_mean,ASCAT2011_JFM_std,ASCAT2012_JFM_mean,ASCAT2012_JFM_std,ASCAT2013_JFM_mean,ASCAT2013_JFM_std,ASCAT2014_JFM_mean,ASCAT2014_JFM_std,ASCAT2015_JFM_mean,ASCAT2015_JFM_std,ASCAT2016_JFM_mean,ASCAT2016_JFM_std,ASCAT2017_JFM_mean,ASCAT2017_JFM_std,ASCAT2018_JFM_mean,ASCAT2018_JFM_std,ASCAT2019_JFM_mean,ASCAT2019_JFM_std,ASCAT2020_JFM_mean,ASCAT2020_JFM_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
-33.72500,25.37500,PortElizabeth,1,0.02000,27796.00000,0.07590,42038.00000,0.19860,52172.00000,0.25420,62296.00000,-10.03000,0.14200,-9.92800,0.16500,-9.76000,0.15800,-9.92200,0.24100,-10.29500,0.43800,-9.80400,0.17200,-10.01700,0.39700,-9.73000,0.62500,-9999.00000,-9999.00000,-11.34400,0.22700,-11.69700,0.15600,-11.60900,0.19500,-11.65100,0.24500,-11.24800,0.20800,-11.19900,0.22200,-11.19800,0.28900,-11.30800,0.21600,-11.31200,0.24300,-11.50500,0.20400,-9.56900,0.33800,-9.63700,0.36700,-9.67500,0.42700,-9.51700,0.37100,-9.76200,0.25900,-9.58100,0.34500,-9.69500,0.32500,-9.48800,0.31100,-9.61300,0.29900,-9.69400,0.22100,-9.58400,0.23300,-9.57700,0.30500,-9.58500,0.34300,-9.30400,0.37900,0,-9999,-9999,-9999,25699962,27.00000,6.04000
-33.72500,25.42500,PortElizabeth,1,0.07110,4526.00000,0.17730,6517.00000,0.18840,8040.00000,0.20550,9658.00000,-10.00900,0.14100,-9.93400,0.16200,-9.74400,0.14900,-9.90400,0.23800,-10.28100,0.45000,-9.77600,0.17100,-9.99500,0.39200,-9.69600,0.61400,-9999.00000,-9999.00000,-11.25800,0.25500,-11.62200,0.15200,-11.54400,0.21400,-11.58000,0.26400,-11.14700,0.19900,-11.12200,0.20500,-11.11900,0.27900,-11.22300,0.20500,-11.27000,0.24300,-11.42500,0.18200,-9.49600,0.33200,-9.59600,0.35000,-9.63100,0.40500,-9.46800,0.34400,-9.62100,0.26900,-9.46000,0.34900,-9.55800,0.31200,-9.36800,0.28800,-9.47900,0.29700,-9.57800,0.23100,-9.49300,0.20800,-9.51500,0.25400,-9.51000,0.31700,-9.20600,0.34300,0,-9999,-9999,-9999,25699962,29.80000,7.12000
-33.72500,25.47500,PortElizabeth,1,0.00310,134.00000,0.00860,146.00000,0.01180,176.00000,0.01250,213.00000,-10.08500,0.17400,-10.13800,0.16100,-9.84100,0.13500,-10.01800,0.22300,-10.39400,0.48300,-9.85300,0.16600,-10.09400,0.36900,-9.73200,0.61500,-9999.00000,-9999.00000,-11.25700,0.28300,-11.59600,0.14600,-11.55400,0.20700,-11.57300,0.29000,-11.13900,0.18600,-11.12100,0.20500,-11.14900,0.27600,-11.24200,0.18300,-11.30200,0.22700,-11.40900,0.17100,-9.51400,0.32700,-9.63100,0.32900,-9.66200,0.39500,-9.49400,0.33500,-9.59700,0.27900,-9.44100,0.35300,-9.51200,0.31200,-9.36000,0.26800,-9.45200,0.28900,-9.55900,0.23900,-9.50300,0.20500,-9.51900,0.20600,-9.52300,0.30800,-9.20200,0.31800,0,-9999,-9999,-9999,25699962,34.42000,8.10000
-33.72500,25.52500,PortElizabeth,1,0.00060,20.00000,0.00490,119.00000,0.00690,185.00000,0.00750,190.00000,-10.10000,0.18100,-10.18200,0.16100,-9.86000,0.13200,-10.04100,0.22000,-10.41800,0.49100,-9.86800,0.16500,-10.11300,0.36300,-9.73600,0.61500,-9999.00000,-9999.00000,-11.36800,0.28800,-11.67300,0.16200,-11.69100,0.19900,-11.67600,0.29800,-11.25700,0.18000,-11.23200,0.22800,-11.32900,0.26200,-11.37100,0.17600,-11.45700,0.22100,-11.49900,0.17900,-9.73800,0.32300,-9.85000,0.33700,-9.83000,0.41900,-9.64000,0.30800,-9.83200,0.29300,-9.63600,0.38200,-9.64000,0.31200,-9.56100,0.32000,-9.67100,0.29100,-9.79000,0.25900,-9.64200,0.21300,-9.66300,0.20700,-9.68600,0.31700,-9.34700,0.30700,0,-9999,-9999,-9999,25699962,32.41000,7.95000
-33.72500,25.57500,PortElizabeth,0,0.00190,87.00000,0.00910,211.00000,0.01120,294.00000,0.01230,402.00000,-10.41500,0.20500,-10.57000,0.16800,-10.20800,0.15500,-10.43700,0.19000,-10.78600,0.55700,-10.22600,0.19500,-10.52500,0.37000,-10.05400,0.57700,-9999.00000,-9999.00000,-11.61400,0.30100,-11.88000,0.18500,-11.95600,0.22700,-11.90900,0.29900,-11.51900,0.18400,-11.49200,0.22400,-11.65700,0.24800,-11.62700,0.17100,-11.73200,0.21000,-11.71300,0.18300,-10.21600,0.33600,-10.25700,0.37400,-10.19400,0.45000,-10.02300,0.34800,-10.23100,0.31400,-10.03000,0.37900,-10.00300,0.33000,-9.92100,0.34300,-10.00000,0.30000,-10.11700,0.26100,-9.95200,0.21900,-9.95300,0.21300,-10.02900,0.33100,-9.68900,0.32700,0,-9999,-9999,-9999,25699962,35.86000,8.26000
-33.72500,25.62500,PortElizabeth,1,0.00810,73.00000,0.02390,167.00000,0.02750,209.00000,0.03080,220.00000,-10.46600,0.20800,-10.63200,0.17000,-10.26400,0.15800,-10.49800,0.18700,-10.84400,0.56800,-10.28300,0.20200,-10.58900,0.37200,-10.11200,0.58100,-9999.00000,-9999.00000,-12.04200,0.30700,-12.29000,0.23600,-12.38200,0.24600,-12.33200,0.29300,-11.96800,0.21700,-11.95500,0.24000,-12.20000,0.25000,-12.07400,0.18300,-12.19300,0.23600,-12.12600,0.21600,-10.66300,0.37100,-10.69900,0.33400,-10.53100,0.45000,-10.43600,0.31300,-10.49100,0.32200,-10.31600,0.39200,-10.40300,0.34700,-10.26700,0.32300,-10.27800,0.32700,-10.47100,0.24500,-10.26900,0.28700,-10.33300,0.22300,-10.34900,0.30000,-10.02900,0.34500,0,-9999,-9999,-9999,25699962,26.77000,7.39000
-33.72500,25.67500,PortElizabeth,0,0.00400,1.00000,0.01540,4.00000,0.02110,6.00000,0.04020,12.00000,-11.01400,0.21800,-11.28800,0.19600,-10.89000,0.16900,-11.14300,0.16900,-11.39700,0.64900,-10.87500,0.31000,-11.26600,0.41700,-10.81800,0.73900,-9999.00000,-9999.00000,-12.72100,0.31600,-12.95300,0.28600,-13.05700,0.27700,-13.01800,0.33900,-12.70300,0.26400,-12.66400,0.25600,-12.98100,0.25400,-12.78400,0.23000,-12.93800,0.25300,-12.79300,0.28800,-10.87100,0.39800,-10.94700,0.33100,-10.79300,0.49600,-10.74400,0.35200,-10.70900,0.33700,-10.50200,0.40700,-10.67600,0.32400,-10.57900,0.32200,-10.60800,0.30200,-10.78600,0.25700,-10.52500,0.29200,-10.65100,0.23900,-10.65900,0.30000,-10.28700,0.36400,0,-9999,-9999,-9999,25699962,26.87000,7.66000
-33.72500,25.72500,PortElizabeth,0,0.00350,6.00000,0.01090,8.00000,0.01540,11.00000,0.02340,12.00000,-11.04500,0.22100,-11.32300,0.19800,-10.92400,0.16900,-11.17800,0.17600,-11.42800,0.64700,-10.90900,0.31200,-11.29900,0.42100,-10.84300,0.72900,-9999.00000,-9999.00000,-13.44000,0.33100,-13.69800,0.34600,-13.80700,0.32300,-13.76500,0.36100,-13.50100,0.31500,-13.44000,0.24400,-13.80300,0.26700,-13.51200,0.27000,-13.72900,0.32500,-13.53900,0.34600,-11.31600,0.49700,-11.41600,0.34400,-11.28200,0.54100,-11.22500,0.40000,-11.14900,0.37700,-10.83900,0.46100,-10.90800,0.37200,-10.98300,0.39700,-11.02000,0.34400,-11.16300,0.33000,-10.88600,0.35600,-10.97400,0.31500,-11.05900,0.35200,-10.67500,0.46300,0,-9999,-9999,-9999,25699962,26.51000,7.83000
-33.72500,25.77500,PortElizabeth,1,0.01400,69.00000,0.03620,121.00000,0.05260,161.00000,0.06120,184.00000,-11.45600,0.25700,-11.81000,0.23300,-11.38400,0.17300,-11.65000,0.24000,-11.82500,0.63000,-11.34500,0.36100,-11.75800,0.47200,-11.17600,0.60900,-9999.00000,-9999.00000,-14.26200,0.36900,-14.55000,0.44700,-14.64000,0.42200,-14.60800,0.39200,-14.41200,0.36400,-14.32300,0.27700,-14.68000,0.30100,-14.30900,0.32700,-14.57500,0.39500,-14.36100,0.38300,-12.18700,0.61500,-12.26200,0.48800,-12.17400,0.60300,-12.10100,0.46300,-12.02800,0.44600,-11.62900,0.55600,-11.63100,0.47300,-11.87600,0.47700,-11.86400,0.44900,-11.95800,0.42800,-11.63200,0.45400,-11.81100,0.41600,-11.97000,0.40900,-11.63700,0.57100,4,-9999,-9999,-9999,25699962,25.04000,6.96000
-33.72500,25.82500,PortElizabeth,1,0.02110,152.00000,0.04520,197.00000,0.05130,241.00000,0.05970,245.00000,-11.60100,0.27200,-11.98400,0.25000,-11.54400,0.18800,-11.82200,0.26900,-11.95200,0.61500,-11.49300,0.38300,-11.92400,0.48600,-11.27100,0.64200,-9999.00000,-9999.00000,-15.16000,0.41600,-15.43800,0.56600,-15.52100,0.55300,-15.50000,0.44300,-15.36800,0.40800,-15.30000,0.33200,-15.57700,0.34300,-15.14500,0.38900,-15.49200,0.46500,-15.31700,0.45800,-13.35700,0.72100,-13.39700,0.64400,-13.21800,0.72100,-13.39500,0.57000,-13.35400,0.59800,-12.95500,0.66400,-12.91700,0.63600,-13.23700,0.60700,-13.19200,0.64800,-13.19000,0.55600,-12.78200,0.54500,-13.13700,0.55200,-13.22100,0.56400,-12.97600,0.64500,32,-9999,-9999,-9999,25699962,6.64000,3.52000
