latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
5.07500,6.77500,PortHarcourt,0,0.01160,2185.00000,0.02290,2689.00000,0.02570,3518.00000,0.02730,3526.00000,-7.34300,0.11900,-7.39700,0.12500,-7.41100,0.10800,-7.62900,0.23400,-7.48600,0.16700,-7.52200,0.17300,-7.46800,0.12300,-7.67100,0.31900,-9.04900,0.19800,-9.12100,0.24300,-9.28300,0.24600,-9.07800,0.22200,-9.13000,0.25700,-9.17200,0.22400,-9.07800,0.28300,-9.03500,0.23600,-9.12100,0.18000,-9.05300,0.19900,-9.04000,0.26500,-7.32000,0.21900,-7.35500,0.20100,-7.13200,0.22300,-7.26100,0.20800,-7.14300,0.17700,-7.14000,0.14200,-7.18700,0.20200,-7.09300,0.20200,-6.99800,0.18100,-6.97800,0.18100,-6.95000,0.19200,-7.08900,0.23800,-6.89900,0.16200,-7.11000,0.27100,0,-9999,-9999,-9999,30655254,12.03000,4.53000
5.07500,6.82500,PortHarcourt,0,0.00360,5007.00000,0.00880,6956.00000,0.01030,8078.00000,0.01100,7723.00000,-7.34600,0.12000,-7.40000,0.11900,-7.41000,0.11700,-7.63200,0.26200,-7.48100,0.17600,-7.51400,0.17800,-7.46600,0.12500,-7.67400,0.33000,-9.03700,0.19200,-9.14500,0.25300,-9.28100,0.21600,-9.11900,0.23600,-9.15700,0.22500,-9.20300,0.24700,-9.09800,0.26200,-9.04900,0.24200,-9.13200,0.18400,-9.11200,0.23400,-9.05200,0.25400,-7.32400,0.21100,-7.36800,0.19300,-7.15100,0.22300,-7.27900,0.23400,-7.17100,0.18300,-7.15600,0.15000,-7.19700,0.22700,-7.10300,0.20200,-7.00600,0.18000,-6.97700,0.19500,-6.93300,0.19500,-7.08200,0.25100,-6.88100,0.17700,-7.11200,0.28300,0,-9999,-9999,-9999,30655254,13.11000,4.71000
5.07500,6.87500,PortHarcourt,0,0.00210,903.00000,0.00950,2017.00000,0.00960,2079.00000,0.00970,2114.00000,-7.36400,0.13000,-7.42100,0.10200,-7.42000,0.12700,-7.63200,0.35900,-7.47800,0.20200,-7.50500,0.18100,-7.46800,0.12500,-7.68200,0.33400,-9.04200,0.19800,-9.19000,0.26900,-9.27700,0.20100,-9.16700,0.25400,-9.18000,0.22900,-9.22200,0.28600,-9.08500,0.23500,-9.05800,0.25100,-9.14900,0.17100,-9.14800,0.29100,-9.08200,0.25400,-7.33100,0.19800,-7.37500,0.20000,-7.17900,0.21700,-7.29300,0.25800,-7.19700,0.18800,-7.18300,0.16300,-7.22300,0.24400,-7.12400,0.19300,-7.04500,0.19500,-6.97900,0.19500,-6.93300,0.20800,-7.05200,0.28000,-6.85900,0.20800,-7.12300,0.30300,0,-9999,-9999,-9999,30655254,13.71000,5.14000
5.07500,6.92500,PortHarcourt,0,0.00150,456.00000,0.00660,1278.00000,0.00660,1312.00000,0.00730,1283.00000,-7.36700,0.13700,-7.42800,0.10200,-7.41900,0.12200,-7.61300,0.41000,-7.47600,0.20900,-7.50200,0.18000,-7.46900,0.12600,-7.68600,0.33700,-9.09800,0.21100,-9.23700,0.27500,-9.28900,0.19500,-9.19500,0.28200,-9.20900,0.23500,-9.23500,0.31900,-9.09300,0.22200,-9.06000,0.26300,-9.16700,0.20100,-9.19400,0.31800,-9.11500,0.22900,-7.35800,0.19100,-7.40600,0.20500,-7.22400,0.21300,-7.31900,0.27500,-7.23400,0.19100,-7.21500,0.16900,-7.25800,0.24300,-7.16800,0.19000,-7.08500,0.19500,-6.99900,0.18100,-6.95700,0.22500,-7.05800,0.31500,-6.86600,0.21200,-7.17100,0.29400,0,-9999,-9999,-9999,30655254,11.91000,4.60000
5.07500,6.97500,PortHarcourt,0,0.00110,583.00000,0.00310,1665.00000,0.00390,1186.00000,0.00550,719.00000,-7.37000,0.14500,-7.43900,0.10300,-7.41800,0.11500,-7.58600,0.48300,-7.47400,0.21900,-7.49900,0.17800,-7.47100,0.12900,-7.69200,0.34200,-9.17100,0.23500,-9.29600,0.27400,-9.30800,0.18700,-9.22600,0.29500,-9.24300,0.23700,-9.24000,0.31400,-9.11600,0.21400,-9.06800,0.27100,-9.17900,0.22300,-9.25300,0.33900,-9.13500,0.21100,-7.41400,0.19400,-7.46400,0.20100,-7.28200,0.22000,-7.37100,0.29000,-7.28100,0.19700,-7.25400,0.16800,-7.30400,0.22900,-7.23500,0.20300,-7.13000,0.19000,-7.05600,0.16800,-7.03300,0.23300,-7.11800,0.31100,-6.91400,0.21400,-7.24600,0.27800,0,-9999,-9999,-9999,30655254,14.21000,5.22000
5.07500,7.02500,PortHarcourt,1,0.00120,2366.00000,0.00250,1651.00000,0.00530,3326.00000,0.01360,2414.00000,-7.37200,0.15000,-7.44500,0.11700,-7.41100,0.10000,-7.53300,0.59300,-7.47900,0.22900,-7.50600,0.17700,-7.47200,0.13000,-7.69600,0.34100,-9.23400,0.25900,-9.35200,0.28000,-9.33200,0.17400,-9.25700,0.30000,-9.26000,0.23100,-9.24800,0.28000,-9.15900,0.21900,-9.09800,0.28300,-9.21200,0.22900,-9.30500,0.31600,-9.16600,0.20700,-7.45900,0.20100,-7.51800,0.20300,-7.33200,0.23300,-7.43100,0.28100,-7.31200,0.19200,-7.28500,0.16400,-7.34900,0.21400,-7.30700,0.22900,-7.15500,0.18400,-7.12400,0.15400,-7.11900,0.23700,-7.18500,0.29500,-6.99000,0.23200,-7.30100,0.29500,0,-9999,-9999,-9999,30655254,10.18000,4.24000
5.07500,7.07500,PortHarcourt,1,0.00020,508.00000,0.00140,767.00000,0.00200,660.00000,0.01390,2858.00000,-7.37300,0.14900,-7.44100,0.12100,-7.40800,0.09500,-7.51000,0.64100,-7.48300,0.23300,-7.50900,0.17600,-7.47000,0.12900,-7.69600,0.34100,-9.28400,0.27300,-9.39700,0.31300,-9.34200,0.18500,-9.30000,0.29600,-9.27800,0.23000,-9.26100,0.24700,-9.21300,0.23700,-9.12200,0.29100,-9.23800,0.23100,-9.36300,0.28700,-9.19800,0.19000,-7.47400,0.21400,-7.53400,0.21300,-7.36600,0.24600,-7.47300,0.26900,-7.32700,0.19500,-7.28000,0.16600,-7.35800,0.21000,-7.33100,0.23400,-7.13100,0.18000,-7.14000,0.16600,-7.13200,0.24500,-7.19000,0.29700,-6.99100,0.23600,-7.29300,0.31900,0,-9999,-9999,-9999,30655254,11.44000,4.56000
5.07500,7.12500,PortHarcourt,1,0.00000,0.00000,0.00050,24.00000,0.00060,233.00000,0.01520,3755.00000,-7.37200,0.14000,-7.42100,0.12400,-7.40200,0.08800,-7.46000,0.74600,-7.49500,0.24100,-7.51700,0.17100,-7.45700,0.12000,-7.69200,0.33800,-9.30900,0.24900,-9.39100,0.31300,-9.31900,0.20600,-9.31800,0.28600,-9.26300,0.23100,-9.27600,0.23300,-9.23800,0.23800,-9.12200,0.27600,-9.21800,0.23900,-9.35400,0.28900,-9.18700,0.17100,-7.45000,0.21700,-7.50600,0.23100,-7.35500,0.24500,-7.46400,0.26000,-7.30200,0.20600,-7.22600,0.18300,-7.32700,0.21800,-7.29700,0.24000,-7.08000,0.18400,-7.11300,0.17000,-7.05600,0.25000,-7.07900,0.29600,-6.90400,0.24400,-7.22800,0.33500,0,-9999,-9999,-9999,30655254,11.58000,4.34000
5.07500,7.17500,PortHarcourt,1,0.00000,0.00000,0.00020,227.00000,0.00020,147.00000,0.00810,3286.00000,-7.36500,0.12600,-7.39800,0.13600,-7.39700,0.09300,-7.41100,0.83400,-7.49600,0.24100,-7.51400,0.16400,-7.44400,0.11300,-7.68300,0.34000,-9.28400,0.24900,-9.34800,0.26700,-9.28300,0.24800,-9.30200,0.28400,-9.22300,0.25400,-9.27000,0.25400,-9.22300,0.24900,-9.09600,0.25100,-9.16100,0.23800,-9.27800,0.30300,-9.14400,0.17200,-7.36700,0.21700,-7.43600,0.24500,-7.28900,0.23500,-7.38200,0.24300,-7.22500,0.21600,-7.13000,0.21300,-7.23500,0.24000,-7.20800,0.24500,-6.97900,0.18400,-7.02600,0.18500,-6.88300,0.25200,-6.90000,0.29700,-6.73800,0.27100,-7.06700,0.34000,0,-9999,-9999,-9999,30655254,11.83000,4.76000
5.07500,7.22500,PortHarcourt,0,0.00010,2252.00000,0.00110,4147.00000,0.00120,3108.00000,0.00270,1035.00000,-7.36000,0.11800,-7.37900,0.14200,-7.39100,0.09600,-7.37900,0.88900,-7.49300,0.24000,-7.51000,0.15900,-7.43400,0.10900,-7.67500,0.34000,-9.26700,0.25300,-9.31500,0.22600,-9.24300,0.26900,-9.26400,0.26200,-9.19500,0.27000,-9.24400,0.26500,-9.17800,0.25000,-9.05000,0.23500,-9.08700,0.24300,-9.19400,0.34000,-9.06700,0.16300,-7.22600,0.25000,-7.26200,0.29400,-7.04400,0.26000,-7.15000,0.30500,-7.02700,0.28100,-6.97000,0.27900,-6.99500,0.31000,-6.93700,0.29200,-6.70000,0.26300,-6.73700,0.26400,-6.61500,0.22700,-6.62100,0.27600,-6.46300,0.33500,-6.66300,0.33900,0,-9999,-9999,-9999,30655254,11.87000,5.07000
