latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
45.77500,-122.92500,Portland,1,0.01530,556.00000,0.02290,476.00000,0.02530,644.00000,0.02710,946.00000,-9.54600,0.25100,-9.56000,0.26100,-9.40300,0.32200,-9.53300,0.32600,-9.41800,0.29000,-9.38600,0.15800,-9.39100,0.34000,-9.46700,0.10900,-11.92800,0.23700,-12.00600,0.20600,-12.05000,0.30400,-11.99600,0.17400,-12.08000,0.26500,-11.96600,0.29300,-12.02300,0.23400,-12.05800,0.23100,-12.06500,0.18900,-12.03500,0.26600,-12.04900,0.24300,-9.32900,0.26900,-9.19000,0.19900,-9.16500,0.26900,-9.11700,0.28600,-9.09100,0.21300,-9.22500,0.22900,-9.00100,0.21200,-9.06500,0.18300,-9.21200,0.22800,-9.11800,0.20300,-8.99000,0.19300,-9.14400,0.37300,-8.99300,0.30800,-9.02400,0.30700,0,0.00120,1.00920,0.06860,21611594,48.89000,6.86000
45.77500,-122.87500,Portland,1,0.04930,3891.00000,0.07230,5206.00000,0.08220,5987.00000,0.09060,7011.00000,-9.60000,0.29500,-9.51200,0.29900,-9.41100,0.31300,-9.50000,0.31900,-9.36600,0.26000,-9.30500,0.17300,-9.32200,0.29200,-9.43500,0.14400,-11.73500,0.21000,-11.77600,0.21200,-11.76500,0.31800,-11.74700,0.16600,-11.82800,0.27700,-11.69900,0.28800,-11.75900,0.21700,-11.73400,0.22400,-11.75600,0.17300,-11.69600,0.25700,-11.71900,0.21700,-9.75100,0.24100,-9.61500,0.23200,-9.65600,0.26400,-9.58200,0.32900,-9.55300,0.21700,-9.65000,0.25300,-9.44400,0.28000,-9.55600,0.24900,-9.72700,0.27600,-9.52700,0.24700,-9.41100,0.20100,-9.48600,0.43100,-9.29500,0.31900,-9.30200,0.35100,0,0.02130,5.44100,1.25150,21611594,16.25000,5.96000
45.77500,-122.82500,Portland,1,0.02020,129.00000,0.03450,164.00000,0.04170,189.00000,0.05200,231.00000,-9.60000,0.29500,-9.51200,0.29900,-9.41100,0.31300,-9.50000,0.31900,-9.36600,0.26000,-9.30500,0.17300,-9.32200,0.29200,-9.43500,0.14400,-11.60900,0.18600,-11.60100,0.20300,-11.52400,0.32300,-11.56000,0.18400,-11.61800,0.27300,-11.47300,0.30700,-11.54400,0.19600,-11.46300,0.23800,-11.49900,0.17200,-11.44400,0.25900,-11.44900,0.21100,-10.07500,0.22600,-10.00200,0.24700,-10.05600,0.24300,-9.90200,0.31300,-9.89600,0.16900,-10.00800,0.22200,-9.76700,0.28300,-9.86900,0.23000,-10.06300,0.22800,-9.83500,0.24300,-9.68100,0.20800,-9.74500,0.45000,-9.53700,0.29700,-9.51000,0.37500,0,0.00270,1.79870,0.11760,21611594,19.14000,6.91000
45.77500,-122.77500,Portland,1,0.00650,11.00000,0.01450,8.00000,0.01590,8.00000,0.02040,8.00000,-9.58400,0.30900,-9.45800,0.30400,-9.39300,0.28400,-9.45400,0.31300,-9.31800,0.24600,-9.23700,0.18400,-9.25600,0.27800,-9.37500,0.15200,-11.49100,0.18500,-11.43500,0.21900,-11.35000,0.30700,-11.39400,0.19700,-11.43800,0.26300,-11.28100,0.30900,-11.37800,0.19000,-11.25400,0.24500,-11.29300,0.18000,-11.23800,0.24300,-11.24100,0.21500,-10.12100,0.21800,-10.08300,0.24500,-10.10500,0.23800,-9.95000,0.31100,-9.93000,0.16300,-10.07500,0.20000,-9.82700,0.27200,-9.91000,0.21400,-10.11400,0.22800,-9.88500,0.24200,-9.74200,0.20300,-9.80200,0.42500,-9.58700,0.29700,-9.57000,0.36300,0,0.00130,1.48020,0.04350,21611594,18.36000,7.28000
45.77500,-122.72500,Portland,1,0.00550,805.00000,0.01860,1230.00000,0.02450,1554.00000,0.03330,2045.00000,-9.56500,0.32200,-9.40700,0.30700,-9.37200,0.26300,-9.40700,0.30700,-9.26900,0.23400,-9.16800,0.19300,-9.18600,0.26300,-9.31000,0.16000,-11.39200,0.18500,-11.29200,0.23500,-11.20000,0.28800,-11.25300,0.20600,-11.28200,0.25700,-11.10600,0.31300,-11.22700,0.19200,-11.07200,0.25400,-11.10600,0.18000,-11.05000,0.23100,-11.04900,0.21800,-10.15500,0.21400,-10.12400,0.24600,-10.13500,0.23700,-9.98200,0.31000,-9.95300,0.16500,-10.11200,0.19300,-9.86600,0.26900,-9.93800,0.20400,-10.14800,0.22500,-9.91400,0.24300,-9.79100,0.19700,-9.85500,0.38100,-9.62500,0.29800,-9.61200,0.35500,0,0.01030,5.28250,0.56890,21611594,23.87000,6.59000
45.77500,-122.67500,Portland,1,0.03490,1233.00000,0.06110,1726.00000,0.07510,2276.00000,0.09730,2918.00000,-9.55800,0.32200,-9.40300,0.32100,-9.37400,0.25700,-9.38900,0.31200,-9.25400,0.23600,-9.14900,0.19300,-9.16300,0.26000,-9.28700,0.16200,-11.46000,0.19800,-11.30900,0.25000,-11.19100,0.27200,-11.27700,0.22800,-11.28300,0.24400,-11.09400,0.30900,-11.20900,0.24100,-11.06500,0.26000,-11.07500,0.20500,-11.02300,0.23200,-11.02600,0.19300,-10.13200,0.21600,-10.09900,0.26800,-10.09800,0.24200,-9.95100,0.31600,-9.91200,0.18100,-10.08700,0.20100,-9.84700,0.27900,-9.90300,0.20200,-10.12100,0.23100,-9.87200,0.26100,-9.77100,0.20100,-9.84200,0.37300,-9.59300,0.30100,-9.57200,0.35500,0,0.01740,7.41400,1.01860,21611594,20.29000,6.32000
45.77500,-122.62500,Portland,1,0.00850,1290.00000,0.03140,1991.00000,0.04530,2697.00000,0.06140,3417.00000,-9.49800,0.36000,-9.30300,0.28700,-9.28900,0.30600,-9.32000,0.28100,-9.17900,0.22000,-9.03600,0.20800,-9.05200,0.25500,-9.16400,0.18800,-11.54200,0.22200,-11.35600,0.26300,-11.23200,0.25100,-11.36000,0.25800,-11.30600,0.26600,-11.12300,0.30300,-11.22400,0.28600,-11.13100,0.25100,-11.10700,0.22100,-11.06500,0.24900,-11.07400,0.17500,-10.00700,0.22200,-9.92300,0.32900,-9.94700,0.26000,-9.81100,0.33800,-9.74700,0.21900,-9.95600,0.22100,-9.69000,0.33600,-9.74600,0.21200,-9.95000,0.23500,-9.71900,0.26600,-9.62200,0.22900,-9.68000,0.38400,-9.44600,0.29500,-9.40400,0.34300,0,0.01300,7.00100,0.71790,21611594,21.69000,6.52000
45.77500,-122.57500,Portland,1,0.04440,4943.00000,0.08270,7207.00000,0.12550,9175.00000,0.16860,12347.00000,-9.49300,0.36000,-9.30200,0.29200,-9.28800,0.30800,-9.30900,0.28300,-9.17000,0.22200,-9.02400,0.20600,-9.03600,0.25200,-9.14900,0.18800,-11.66700,0.23900,-11.46300,0.28300,-11.36800,0.23200,-11.48600,0.28200,-11.42000,0.25200,-11.23600,0.30900,-11.32400,0.30300,-11.28600,0.25900,-11.24800,0.22000,-11.18900,0.26700,-11.22400,0.15500,-9.63000,0.24400,-9.49500,0.26300,-9.54400,0.26600,-9.41600,0.31800,-9.39000,0.19900,-9.54300,0.19200,-9.31800,0.32800,-9.34300,0.20600,-9.48900,0.20100,-9.38300,0.20000,-9.35600,0.23600,-9.41900,0.37500,-9.24100,0.25400,-9.14300,0.33400,0,0.03120,7.02850,1.97850,21611594,19.99000,5.91000
45.77500,-122.52500,Portland,1,0.07790,6332.00000,0.13010,9080.00000,0.20770,11426.00000,0.26310,15528.00000,-9.46200,0.37500,-9.27300,0.28000,-9.25500,0.34800,-9.28500,0.27400,-9.14900,0.22100,-8.99600,0.21100,-9.00800,0.25900,-9.12100,0.19600,-11.73600,0.24400,-11.53500,0.28200,-11.46000,0.23300,-11.55700,0.28100,-11.48900,0.24600,-11.30800,0.31200,-11.40000,0.30700,-11.38100,0.26100,-11.34000,0.22100,-11.27700,0.25900,-11.31700,0.15900,-9.51000,0.25100,-9.38700,0.25500,-9.41500,0.25200,-9.28300,0.29900,-9.30000,0.21100,-9.40700,0.19200,-9.19200,0.30700,-9.22800,0.19900,-9.37200,0.20100,-9.27800,0.19300,-9.27100,0.23800,-9.32000,0.36500,-9.16000,0.24500,-9.04800,0.33200,0,0.03620,7.10120,2.71020,21611594,26.24000,6.28000
45.77500,-122.47500,Portland,1,0.00120,1396.00000,0.00580,2108.00000,0.01350,2632.00000,0.02090,3730.00000,-9.39800,0.39900,-9.21900,0.25200,-9.18800,0.41400,-9.23300,0.25600,-9.10200,0.21900,-8.93800,0.21800,-8.94700,0.26900,-9.06000,0.20800,-11.86900,0.25000,-11.68400,0.27500,-11.63500,0.23100,-11.70300,0.27400,-11.63600,0.23700,-11.45500,0.31500,-11.55800,0.31100,-11.57000,0.26600,-11.52600,0.22000,-11.45700,0.24300,-11.49500,0.16800,-9.34600,0.26100,-9.25300,0.24700,-9.25600,0.24500,-9.12500,0.29200,-9.17200,0.23300,-9.24600,0.19700,-9.02000,0.28600,-9.07600,0.19200,-9.24100,0.19800,-9.12600,0.18300,-9.16000,0.24400,-9.19400,0.34500,-9.03500,0.24500,-8.92800,0.33000,0,0.00850,5.73320,0.46390,21611594,35.96000,7.22000
