latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JFM_mean,ERS1993_JFM_std,ERS1994_JFM_mean,ERS1994_JFM_std,ERS1995_JFM_mean,ERS1995_JFM_std,ERS1996_JFM_mean,ERS1996_JFM_std,ERS1997_JFM_mean,ERS1997_JFM_std,ERS1998_JFM_mean,ERS1998_JFM_std,ERS1999_JFM_mean,ERS1999_JFM_std,ERS2000_JFM_mean,ERS2000_JFM_std,QSCAT1999_JFM_mean,QSCAT1999_JFM_std,QSCAT2000_JFM_mean,QSCAT2000_JFM_std,QSCAT2001_JFM_mean,QSCAT2001_JFM_std,QSCAT2002_JFM_mean,QSCAT2002_JFM_std,QSCAT2003_JFM_mean,QSCAT2003_JFM_std,QSCAT2004_JFM_mean,QSCAT2004_JFM_std,QSCAT2005_JFM_mean,QSCAT2005_JFM_std,QSCAT2006_JFM_mean,QSCAT2006_JFM_std,QSCAT2007_JFM_mean,QSCAT2007_JFM_std,QSCAT2008_JFM_mean,QSCAT2008_JFM_std,QSCAT2009_JFM_mean,QSCAT2009_JFM_std,ASCAT2007_JFM_mean,ASCAT2007_JFM_std,ASCAT2008_JFM_mean,ASCAT2008_JFM_std,ASCAT2009_JFM_mean,ASCAT2009_JFM_std,ASCAT2010_JFM_mean,ASCAT2010_JFM_std,ASCAT2011_JFM_mean,ASCAT2011_JFM_std,ASCAT2012_JFM_mean,ASCAT2012_JFM_std,ASCAT2013_JFM_mean,ASCAT2013_JFM_std,ASCAT2014_JFM_mean,ASCAT2014_JFM_std,ASCAT2015_JFM_mean,ASCAT2015_JFM_std,ASCAT2016_JFM_mean,ASCAT2016_JFM_std,ASCAT2017_JFM_mean,ASCAT2017_JFM_std,ASCAT2018_JFM_mean,ASCAT2018_JFM_std,ASCAT2019_JFM_mean,ASCAT2019_JFM_std,ASCAT2020_JFM_mean,ASCAT2020_JFM_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
-29.82500,-51.47500,PortoAlegre,1,0.00430,970.00000,0.01670,1513.00000,0.02610,1605.00000,0.03680,1873.00000,-9.80200,0.15100,-9.50100,0.10100,-9.48000,0.16000,-9.54700,0.21100,-9.86500,0.25800,-9.33100,0.10400,-9.55000,0.18700,-9.60100,0.17600,-9999.00000,-9999.00000,-11.69600,0.18400,-11.63500,0.23600,-11.68800,0.25600,-11.63400,0.21400,-11.92400,0.24600,-11.96700,0.32500,-11.68200,0.22600,-11.55600,0.31100,-11.68100,0.21400,-11.58200,0.21900,-9.35100,0.33400,-9.52800,0.32000,-9.31200,0.33100,-9.24100,0.29900,-9.35300,0.27100,-9.29900,0.36800,-9.34300,0.25600,-9.24500,0.23800,-9.29100,0.34100,-9.30200,0.28800,-9.29800,0.31000,-9.35100,0.27000,-9.31300,0.28200,-9.69500,0.31600,0,-9999,-9999,-9999,26785426,32.70000,8.24000
-29.82500,-51.42500,PortoAlegre,1,0.00220,155.00000,0.00880,364.00000,0.01370,587.00000,0.02980,876.00000,-9.73500,0.14600,-9.47000,0.10500,-9.41700,0.16000,-9.47500,0.21200,-9.79900,0.25800,-9.25900,0.11000,-9.47300,0.18000,-9.52900,0.17900,-9999.00000,-9999.00000,-11.62200,0.19800,-11.58000,0.24900,-11.62400,0.22900,-11.54600,0.21500,-11.87600,0.23400,-11.92400,0.31900,-11.64300,0.22100,-11.53000,0.32800,-11.63800,0.20400,-11.51600,0.20100,-9.38100,0.32900,-9.54900,0.31600,-9.31200,0.32300,-9.24000,0.29400,-9.35700,0.25600,-9.31200,0.38100,-9.34200,0.26000,-9.24900,0.23600,-9.27100,0.33500,-9.28400,0.26400,-9.29500,0.30600,-9.31800,0.26500,-9.30800,0.28400,-9.66100,0.31600,0,-9999,-9999,-9999,26785426,33.47000,9.05000
-29.82500,-51.37500,PortoAlegre,1,0.00290,1008.00000,0.01080,951.00000,0.01400,511.00000,0.02630,390.00000,-9.50300,0.12600,-9.36200,0.12100,-9.19900,0.16000,-9.22200,0.21400,-9.57100,0.25900,-9.00700,0.12700,-9.20500,0.15500,-9.28000,0.18900,-9999.00000,-9999.00000,-11.51300,0.22900,-11.45600,0.23900,-11.49700,0.19900,-11.39600,0.23000,-11.75000,0.23400,-11.79200,0.32200,-11.53200,0.20600,-11.43700,0.33200,-11.51900,0.22400,-11.37300,0.20500,-9.37500,0.32900,-9.53600,0.32100,-9.30500,0.32000,-9.23000,0.28800,-9.35000,0.24500,-9.31100,0.39400,-9.32400,0.26300,-9.23400,0.23700,-9.22700,0.35000,-9.23200,0.24600,-9.26400,0.30700,-9.25100,0.27200,-9.27900,0.27700,-9.60200,0.30700,0,-9999,-9999,-9999,26785426,30.60000,9.11000
-29.82500,-51.32500,PortoAlegre,1,0.00050,213.00000,0.00180,117.00000,0.00520,232.00000,0.02610,889.00000,-9.38700,0.12400,-9.36600,0.13600,-9.10600,0.15900,-9.11400,0.21900,-9.47000,0.26200,-8.90300,0.13600,-9.08700,0.14200,-9.17700,0.19400,-9999.00000,-9999.00000,-11.35400,0.24500,-11.24900,0.22900,-11.29100,0.19200,-11.17300,0.23400,-11.54100,0.21600,-11.54200,0.33800,-11.30200,0.20800,-11.22000,0.31600,-11.28800,0.25200,-11.12000,0.21500,-9.29100,0.33900,-9.46000,0.34600,-9.25100,0.32100,-9.14000,0.29400,-9.29800,0.25800,-9.23000,0.42700,-9.20200,0.30500,-9.15400,0.25100,-9.10700,0.38800,-9.10300,0.28300,-9.18600,0.32300,-9.12900,0.30800,-9.17700,0.29800,-9.44700,0.32600,0,-9999,-9999,-9999,26785426,21.22000,6.92000
-29.82500,-51.27500,PortoAlegre,1,0.00190,963.00000,0.00680,2194.00000,0.01440,2984.00000,0.02920,5781.00000,-9.20500,0.12100,-9.37300,0.16000,-8.96200,0.15800,-8.94500,0.22600,-9.31300,0.26600,-8.74100,0.14900,-8.90400,0.12100,-9.01700,0.20000,-9999.00000,-9999.00000,-11.15200,0.24300,-11.00400,0.22100,-11.05400,0.18900,-10.90800,0.24000,-11.26700,0.20400,-11.23000,0.34600,-11.00400,0.21800,-10.93600,0.29700,-10.99900,0.26300,-10.80300,0.22600,-8.94500,0.42600,-9.11100,0.43200,-8.95700,0.38800,-8.78200,0.34400,-8.98200,0.32900,-8.84400,0.48700,-8.79100,0.44300,-8.78700,0.33700,-8.68500,0.44700,-8.67200,0.40800,-8.75900,0.39800,-8.71300,0.36200,-8.74700,0.39100,-8.97200,0.41400,0,-9999,-9999,-9999,26785426,24.59000,7.30000
-29.82500,-51.22500,PortoAlegre,1,0.00040,358.00000,0.00150,842.00000,0.00300,1410.00000,0.00540,2606.00000,-9.08500,0.12200,-9.58000,0.18900,-8.89000,0.16100,-8.85600,0.22600,-9.22700,0.25600,-8.65900,0.15500,-8.80800,0.11300,-8.93500,0.19600,-9999.00000,-9999.00000,-10.95900,0.24000,-10.76200,0.20500,-10.83500,0.19500,-10.66600,0.23100,-10.98100,0.20500,-10.93100,0.33800,-10.72800,0.21500,-10.65000,0.30800,-10.71800,0.26400,-10.50800,0.22800,-8.36900,0.47100,-8.51100,0.46500,-8.35400,0.42300,-8.15200,0.36100,-8.27600,0.36200,-8.17100,0.47800,-8.11400,0.51900,-8.08400,0.38800,-7.97100,0.46000,-7.94200,0.45300,-7.91600,0.42400,-7.93400,0.36000,-7.98200,0.38500,-8.14000,0.48200,0,-9999,-9999,-9999,26785426,19.30000,6.26000
-29.82500,-51.17500,PortoAlegre,2,0.32090,52993.00000,0.45600,68072.00000,0.47690,74846.00000,0.50770,79163.00000,-8.99000,0.12300,-9.74700,0.21200,-8.83200,0.16300,-8.78500,0.22700,-9.15700,0.24800,-8.59300,0.16000,-8.73100,0.10600,-8.86900,0.19400,-9999.00000,-9999.00000,-10.81400,0.23500,-10.58800,0.20100,-10.66900,0.21700,-10.50600,0.21600,-10.75500,0.21100,-10.71500,0.31900,-10.52400,0.19600,-10.43400,0.31300,-10.50100,0.25300,-10.29900,0.23100,-8.07600,0.41900,-8.18200,0.43600,-7.94500,0.38800,-7.79500,0.33000,-7.84900,0.32100,-7.78000,0.44000,-7.73100,0.46500,-7.69900,0.34600,-7.58400,0.41900,-7.51300,0.41800,-7.44000,0.37400,-7.51700,0.31800,-7.53100,0.33100,-7.69000,0.49300,0,-9999,-9999,-9999,26785426,16.64000,5.69000
-29.82500,-51.12500,PortoAlegre,2,0.15140,60861.00000,0.29490,80792.00000,0.34880,90833.00000,0.40120,98884.00000,-8.95400,0.11100,-10.22700,0.25200,-8.83800,0.17200,-8.79100,0.21500,-9.15600,0.23700,-8.59700,0.15700,-8.73500,0.11700,-8.86500,0.17700,-9999.00000,-9999.00000,-10.73400,0.24100,-10.50900,0.20400,-10.60400,0.23300,-10.44100,0.20900,-10.62800,0.21400,-10.62400,0.30400,-10.43400,0.19100,-10.33000,0.31500,-10.39900,0.23600,-10.21200,0.22200,-8.07000,0.39100,-8.14400,0.42300,-7.87500,0.39000,-7.81200,0.31200,-7.80300,0.30600,-7.74500,0.41100,-7.72200,0.42600,-7.67300,0.34600,-7.57100,0.39100,-7.46800,0.40500,-7.39300,0.36300,-7.50900,0.33600,-7.45700,0.33700,-7.68200,0.49200,0,-9999,-9999,-9999,26785426,24.87000,6.93000
-29.82500,-51.07500,PortoAlegre,1,0.00220,1609.00000,0.00500,2035.00000,0.01490,2190.00000,0.01760,2325.00000,-8.93900,0.10600,-10.41500,0.26800,-8.84000,0.17600,-8.79300,0.21000,-9.15600,0.23300,-8.59800,0.15700,-8.73700,0.12100,-8.86300,0.17100,-9999.00000,-9999.00000,-10.74600,0.26300,-10.53900,0.20800,-10.64600,0.23200,-10.47700,0.20000,-10.62700,0.21800,-10.68200,0.28800,-10.47200,0.19100,-10.35500,0.31400,-10.43200,0.23000,-10.26500,0.21000,-8.27000,0.38900,-8.33100,0.44200,-8.07500,0.35200,-8.06000,0.32700,-7.96000,0.31500,-7.97100,0.41800,-7.97800,0.46200,-7.91200,0.32000,-7.82800,0.40900,-7.75600,0.42400,-7.77600,0.44600,-7.78900,0.39800,-7.75500,0.34900,-7.99200,0.44000,0,-9999,-9999,-9999,26785426,33.25000,8.30000
-29.82500,-51.02500,PortoAlegre,0,0.00060,596.00000,0.00270,453.00000,0.00620,489.00000,0.00960,447.00000,-9.05200,0.09500,-10.78700,0.27300,-8.97600,0.17900,-8.94000,0.20000,-9.29200,0.23400,-8.73500,0.15100,-8.90200,0.14500,-8.98600,0.15700,-9999.00000,-9999.00000,-10.85100,0.28400,-10.68700,0.20900,-10.79800,0.23500,-10.63900,0.18600,-10.77900,0.23000,-10.90000,0.27100,-10.63600,0.17800,-10.52600,0.30000,-10.61600,0.21100,-10.46300,0.20100,-8.71300,0.37600,-8.80900,0.41500,-8.47100,0.40200,-8.47100,0.34600,-8.48600,0.36100,-8.41500,0.43800,-8.48800,0.43400,-8.50100,0.32100,-8.36500,0.34600,-8.38000,0.40100,-8.36500,0.43600,-8.43800,0.35000,-8.40100,0.34500,-8.51900,0.45500,0,-9999,-9999,-9999,26785426,37.86000,9.09000
