latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
41.42500,-8.87500,Porto,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,0.00000,0.00000,0.00000,23209880,-9999.00000,-9999.00000
41.42500,-8.82500,Porto,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,0.00000,0.00000,0.00000,23209880,-9999.00000,-9999.00000
41.42500,-8.77500,Porto,2,0.30940,10889.00000,0.53480,11950.00000,0.55680,12440.00000,0.57400,12340.00000,-11.06100,0.62600,-11.38800,0.48300,-11.21600,0.67100,-11.67000,1.10100,-10.89100,0.36000,-10.54500,0.88500,-10.75100,0.51800,-10.45800,0.52300,-12.37400,0.48900,-12.38400,0.35000,-12.38200,0.34400,-12.23500,0.38100,-12.26400,0.46900,-12.32200,0.41400,-12.43100,0.35400,-12.20000,0.33900,-12.13400,0.39900,-12.12600,0.30500,-12.25200,0.35900,-10.42200,0.40000,-10.23400,0.37400,-10.32200,0.44700,-10.22400,0.35700,-10.20900,0.42500,-10.15200,0.42500,-10.09900,0.37100,-9.91200,0.60000,-10.08800,0.37200,-10.09300,0.32800,-10.15600,0.31600,-10.18700,0.54000,-10.04000,0.38700,-9.97300,0.42200,27,0.02650,4.49190,2.31200,23209880,7.46000,5.17000
41.42500,-8.72500,Porto,2,0.11070,7854.00000,0.21480,8687.00000,0.24050,9071.00000,0.25790,9015.00000,-11.05400,0.62500,-11.38200,0.48200,-11.21000,0.67100,-11.66300,1.10000,-10.88400,0.36000,-10.53800,0.88300,-10.74400,0.51700,-10.45000,0.52200,-12.18900,0.48700,-12.18700,0.33500,-12.18300,0.34200,-12.03200,0.36900,-12.06300,0.45700,-12.10500,0.41500,-12.24000,0.33400,-11.99100,0.33800,-11.92800,0.38600,-11.90000,0.30000,-12.04000,0.35600,-10.20600,0.41900,-10.06000,0.37500,-10.13800,0.45800,-10.04200,0.36600,-10.01900,0.43700,-9.93000,0.42700,-9.89300,0.38200,-9.70800,0.61200,-9.88700,0.37800,-9.91400,0.31700,-9.93500,0.32500,-9.96800,0.53700,-9.82700,0.36700,-9.76300,0.42100,0,0.02850,7.65630,2.28360,23209880,25.69000,6.63000
41.42500,-8.67500,Porto,1,0.04670,3749.00000,0.10560,4205.00000,0.12920,4442.00000,0.14200,4511.00000,-10.89200,0.61200,-11.21300,0.46600,-11.04000,0.65900,-11.48800,1.08000,-10.71000,0.35100,-10.35100,0.85500,-10.55800,0.48800,-10.26100,0.49200,-10.89200,0.38100,-10.84800,0.26000,-10.81400,0.28500,-10.63000,0.33800,-10.68500,0.37400,-10.68900,0.36200,-10.82600,0.30800,-10.60200,0.31600,-10.54000,0.36500,-10.48300,0.26300,-10.61600,0.29700,-9.43600,0.41800,-9.31200,0.31700,-9.38200,0.42400,-9.31400,0.36600,-9.34900,0.42600,-9.16800,0.38400,-9.15100,0.39900,-8.93700,0.53000,-9.14100,0.37400,-9.16000,0.32700,-9.19700,0.32600,-9.04000,0.57200,-9.02700,0.37500,-9.09300,0.40700,0,0.01530,5.99990,1.03820,23209880,20.45000,6.73000
41.42500,-8.62500,Porto,2,0.05330,7652.00000,0.14120,7876.00000,0.16650,7932.00000,0.18390,7576.00000,-9.71500,0.45700,-10.08200,0.36900,-9.92100,0.65100,-10.20500,0.84500,-9.47100,0.21900,-9.13300,0.60100,-9.35100,0.26000,-9.13500,0.32000,-10.13300,0.35500,-10.05600,0.24100,-9.98500,0.21000,-9.87800,0.32900,-9.90600,0.32200,-9.85000,0.33600,-9.97500,0.36500,-9.76900,0.30300,-9.72000,0.31600,-9.62200,0.22400,-9.77700,0.26300,-8.99900,0.34200,-8.93700,0.30100,-8.98300,0.37800,-8.93800,0.33300,-8.95100,0.40300,-8.75800,0.34300,-8.83300,0.35500,-8.54400,0.42900,-8.74000,0.37500,-8.75700,0.29700,-8.80200,0.33700,-8.62600,0.52100,-8.58800,0.40200,-8.65300,0.35500,0,0.02020,6.32660,1.31240,23209880,17.76000,6.51000
41.42500,-8.57500,Porto,1,0.05780,8493.00000,0.14560,8090.00000,0.18350,7710.00000,0.21180,6761.00000,-9.59200,0.46000,-9.95800,0.36200,-9.79500,0.66200,-10.09000,0.85900,-9.34100,0.22400,-8.99800,0.59400,-9.21600,0.24600,-9.00200,0.30300,-9.75800,0.33800,-9.70300,0.24800,-9.58900,0.18700,-9.50700,0.29500,-9.52800,0.27800,-9.43000,0.31300,-9.55900,0.32600,-9.34700,0.29700,-9.31800,0.29800,-9.21700,0.20700,-9.32300,0.23200,-8.45700,0.25900,-8.33500,0.26200,-8.44500,0.28600,-8.40000,0.24900,-8.36200,0.25100,-8.18400,0.32300,-8.30300,0.28800,-7.99400,0.41900,-8.15400,0.39000,-8.20400,0.24100,-8.24200,0.24300,-8.12500,0.41100,-7.96000,0.33300,-7.99300,0.26500,0,0.02260,6.08100,1.53480,23209880,26.90000,6.76000
41.42500,-8.52500,Porto,2,0.13880,42592.00000,0.24720,38591.00000,0.29960,35333.00000,0.34280,28958.00000,-9.15200,0.40000,-9.58100,0.34400,-9.37400,0.65700,-9.77800,1.19300,-8.93100,0.18700,-8.61100,0.54500,-8.81100,0.21200,-8.63300,0.25800,-9.63100,0.32900,-9.58300,0.25600,-9.48400,0.18000,-9.39100,0.27700,-9.39400,0.27500,-9.29900,0.30700,-9.43400,0.31800,-9.20500,0.28700,-9.18200,0.27900,-9.09200,0.20400,-9.15100,0.22400,-8.09600,0.21300,-8.00500,0.18900,-8.09500,0.22000,-8.06900,0.20300,-8.05700,0.21600,-7.87400,0.29900,-7.94300,0.26500,-7.64200,0.36500,-7.79400,0.31800,-7.86800,0.19200,-7.83900,0.21600,-7.79700,0.30700,-7.60800,0.24600,-7.56400,0.24300,0,0.05350,8.55410,5.54430,23209880,18.91000,6.18000
41.42500,-8.47500,Porto,2,0.12560,18063.00000,0.21250,16360.00000,0.26280,14986.00000,0.30610,12282.00000,-9.05600,0.38800,-9.49200,0.33800,-9.28200,0.65400,-9.72300,1.33100,-8.83900,0.17800,-8.52600,0.53700,-8.72000,0.20600,-8.54900,0.25100,-9.60700,0.33100,-9.56000,0.26100,-9.47600,0.17800,-9.38000,0.28200,-9.36500,0.26900,-9.28100,0.30500,-9.41400,0.31300,-9.16500,0.28000,-9.14500,0.27100,-9.06000,0.20200,-9.10300,0.21700,-7.99000,0.20700,-7.91600,0.18000,-8.01000,0.20400,-7.99100,0.19500,-7.97000,0.20900,-7.78200,0.29900,-7.85500,0.25700,-7.54600,0.35800,-7.69800,0.30700,-7.78100,0.18100,-7.74700,0.20800,-7.69600,0.28500,-7.52300,0.23100,-7.46400,0.24500,0,0.03070,7.01770,2.27750,23209880,23.29000,6.75000
41.42500,-8.42500,Porto,2,0.18820,31137.00000,0.36230,28422.00000,0.41450,26184.00000,0.44060,21803.00000,-9.01000,0.38600,-9.43400,0.33000,-9.23500,0.65400,-9.71300,1.48800,-8.78700,0.17600,-8.47800,0.54000,-8.66700,0.20400,-8.49800,0.25000,-9.64200,0.32800,-9.59900,0.26600,-9.53400,0.17700,-9.45100,0.29500,-9.39200,0.26100,-9.32500,0.29500,-9.45900,0.30900,-9.19700,0.27200,-9.17600,0.25800,-9.10600,0.20800,-9.11600,0.21000,-7.91500,0.20200,-7.86800,0.17400,-7.96400,0.19300,-7.96000,0.20500,-7.93900,0.19900,-7.73700,0.29600,-7.81300,0.23300,-7.50900,0.35100,-7.66500,0.30500,-7.75800,0.17200,-7.70900,0.21100,-7.64400,0.27100,-7.48900,0.21800,-7.42500,0.22000,0,0.04140,7.86170,3.63480,23209880,14.94000,5.70000
