latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
50.32500,14.22500,Prague,1,0.00960,783.00000,0.01250,753.00000,0.01390,765.00000,0.02180,804.00000,-9.66500,0.54700,-10.02000,0.47800,-9.29300,0.36200,-9.46600,0.71000,-9.43100,0.57800,-9.41800,0.68000,-9.70100,0.47300,-9.87900,0.45800,-11.69600,0.28700,-11.62100,0.27800,-10.99200,0.37800,-11.12000,0.24900,-11.68000,0.38600,-11.88300,0.26500,-11.27800,0.30000,-11.57000,0.36600,-11.60100,0.43800,-11.57100,0.27900,-11.58900,0.25600,-10.13000,0.66700,-10.08800,0.44800,-10.08700,0.55200,-9.44000,0.53000,-9.55100,0.50200,-9.84200,0.73600,-9.35800,0.48800,-9.31800,0.48400,-10.35800,0.60000,-9.63700,0.44900,-9.53600,0.45700,-10.28500,0.71400,-9.98400,0.71400,-10.13700,0.93100,0,0.00470,1.81620,0.27350,19803020,7.27000,4.67000
50.32500,14.27500,Prague,1,0.01290,575.00000,0.01930,695.00000,0.02570,696.00000,0.05360,855.00000,-9.43100,0.48900,-9.99500,0.36600,-9.23700,0.39300,-9.44300,0.72200,-9.36300,0.48200,-9.33200,0.66600,-9.69100,0.49200,-9.81800,0.40200,-11.62600,0.29000,-11.53000,0.27500,-10.91500,0.36100,-11.04400,0.25500,-11.58800,0.37100,-11.77000,0.27400,-11.15100,0.28400,-11.40300,0.36100,-11.42900,0.41400,-11.42800,0.28600,-11.44200,0.24900,-9.94600,0.63400,-9.88600,0.41500,-9.88200,0.51300,-9.31500,0.50500,-9.41100,0.45800,-9.58000,0.61800,-9.24200,0.47900,-9.25800,0.46100,-10.17100,0.51700,-9.58400,0.42100,-9.39000,0.42200,-10.06200,0.64000,-9.83100,0.70400,-9.88600,0.87200,0,0.00770,2.47180,0.42860,19803020,7.51000,4.68000
50.32500,14.32500,Prague,1,0.03170,545.00000,0.04620,870.00000,0.05330,1054.00000,0.08060,1686.00000,-9.40000,0.48100,-9.99200,0.35100,-9.23000,0.39700,-9.44100,0.72300,-9.35500,0.46900,-9.32100,0.66400,-9.69000,0.49500,-9.81000,0.39400,-11.58300,0.29300,-11.48200,0.27900,-10.87400,0.34800,-11.00200,0.27100,-11.55000,0.35600,-11.70200,0.28000,-11.06500,0.27900,-11.31000,0.34300,-11.31800,0.40900,-11.33300,0.28800,-11.35900,0.25400,-9.81000,0.57600,-9.79500,0.39400,-9.79900,0.49700,-9.24500,0.48400,-9.33200,0.43300,-9.47600,0.58300,-9.19600,0.46900,-9.25600,0.47300,-10.09300,0.48000,-9.55800,0.40500,-9.32700,0.40300,-9.97800,0.60000,-9.77300,0.67300,-9.70900,0.78800,0,0.00910,3.68480,0.52340,19803020,10.90000,5.37000
50.32500,14.37500,Prague,1,0.06210,1797.00000,0.08530,1983.00000,0.08830,2115.00000,0.10070,2426.00000,-9.37300,0.47400,-9.99400,0.33900,-9.23000,0.40100,-9.44500,0.70700,-9.35300,0.46100,-9.32000,0.66300,-9.69700,0.50100,-9.81300,0.39100,-11.54700,0.29500,-11.44800,0.28400,-10.84600,0.33700,-10.97300,0.28900,-11.52700,0.34400,-11.64600,0.28600,-10.99400,0.27600,-11.23900,0.32400,-11.22700,0.40800,-11.25400,0.28800,-11.29600,0.25800,-9.68200,0.51100,-9.73900,0.38400,-9.74700,0.48300,-9.19100,0.46600,-9.27300,0.41200,-9.41400,0.56400,-9.17100,0.45100,-9.27900,0.49700,-10.04100,0.44900,-9.54300,0.38800,-9.28300,0.38900,-9.93200,0.57000,-9.75000,0.63400,-9.56300,0.71400,0,0.01110,3.49150,0.66930,19803020,8.06000,5.03000
50.32500,14.42500,Prague,1,0.02940,1585.00000,0.04360,1720.00000,0.04800,1702.00000,0.06000,1737.00000,-9.21100,0.43500,-10.00800,0.26700,-9.22800,0.42900,-9.47400,0.60900,-9.34300,0.40900,-9.31400,0.65500,-9.74100,0.53900,-9.82900,0.36700,-11.53900,0.29800,-11.45600,0.29300,-10.87000,0.34400,-10.99400,0.31900,-11.55000,0.33400,-11.63700,0.29700,-10.97600,0.26800,-11.22400,0.30300,-11.19100,0.40500,-11.23500,0.29600,-11.29400,0.26100,-9.55200,0.46700,-9.68900,0.39800,-9.70800,0.46400,-9.12800,0.47600,-9.21200,0.41200,-9.37800,0.54000,-9.13900,0.42900,-9.26700,0.50200,-9.98200,0.42600,-9.50300,0.38100,-9.22900,0.40400,-9.87900,0.56400,-9.74100,0.58300,-9.43900,0.67900,0,0.00950,3.63440,0.58990,19803020,9.63000,5.66000
50.32500,14.47500,Prague,1,0.05960,6138.00000,0.08490,5570.00000,0.09130,5628.00000,0.10430,5737.00000,-9.21100,0.43500,-10.00800,0.26700,-9.22800,0.42900,-9.47400,0.60900,-9.34300,0.40900,-9.31400,0.65500,-9.74100,0.53900,-9.82900,0.36700,-11.52800,0.31200,-11.50100,0.29900,-10.90600,0.35500,-11.05500,0.34700,-11.59900,0.32900,-11.63400,0.31100,-10.99200,0.26800,-11.22500,0.29800,-11.16600,0.39500,-11.24000,0.28700,-11.32000,0.26300,-9.49600,0.45700,-9.65100,0.41600,-9.69000,0.45000,-9.08100,0.48400,-9.17400,0.41100,-9.35100,0.53800,-9.12800,0.42000,-9.25100,0.50300,-9.94800,0.42900,-9.46500,0.38300,-9.20300,0.41000,-9.86200,0.56100,-9.72900,0.55600,-9.36300,0.68400,0,0.01610,3.84650,1.23350,19803020,11.30000,5.80000
50.32500,14.52500,Prague,1,0.05810,3306.00000,0.09600,4186.00000,0.10430,4732.00000,0.12790,5708.00000,-9.13900,0.46100,-10.06900,0.29900,-9.26500,0.45200,-9.46500,0.40200,-9.36600,0.41500,-9.37800,0.66400,-9.71100,0.76400,-9.71700,0.66700,-11.50800,0.31900,-11.51400,0.29500,-10.90500,0.36500,-11.09100,0.35800,-11.62100,0.32400,-11.63000,0.32700,-10.99700,0.27100,-11.23400,0.29000,-11.16100,0.39400,-11.22100,0.28300,-11.32100,0.27100,-9.48400,0.45400,-9.64500,0.42800,-9.69300,0.44800,-9.07000,0.48200,-9.16000,0.41300,-9.35400,0.53700,-9.12700,0.41900,-9.25800,0.52100,-9.94700,0.43000,-9.45500,0.39400,-9.19200,0.40500,-9.90000,0.56200,-9.70800,0.55200,-9.38600,0.69500,0,0.01850,4.93450,1.22320,19803020,12.16000,5.73000
50.32500,14.57500,Prague,1,0.02170,828.00000,0.02940,965.00000,0.03050,1055.00000,0.03500,1284.00000,-9.11100,0.47700,-10.08200,0.31100,-9.26000,0.46200,-9.45100,0.34000,-9.35700,0.41500,-9.38900,0.66500,-9.68900,0.83700,-9.66800,0.76400,-11.50600,0.31200,-11.54600,0.29700,-10.92200,0.37000,-11.12800,0.36100,-11.64400,0.32100,-11.64500,0.33100,-11.02400,0.26600,-11.26100,0.28700,-11.17800,0.39000,-11.23500,0.27700,-11.34800,0.28900,-9.48300,0.45300,-9.65500,0.43800,-9.70400,0.44900,-9.07300,0.48300,-9.15700,0.42300,-9.36900,0.54000,-9.13700,0.42300,-9.28200,0.54000,-9.96800,0.43000,-9.46500,0.40600,-9.18300,0.40400,-9.98400,0.55800,-9.71400,0.55900,-9.41800,0.70700,0,0.00670,2.44810,0.39530,19803020,15.89000,6.06000
50.32500,14.62500,Prague,1,0.01470,828.00000,0.02220,1060.00000,0.02310,1197.00000,0.02810,1435.00000,-9.11000,0.49000,-10.07100,0.31200,-9.24200,0.46500,-9.43800,0.34300,-9.34000,0.41400,-9.37800,0.66400,-9.67900,0.83300,-9.65600,0.75600,-11.52600,0.29700,-11.60900,0.30100,-10.96400,0.37400,-11.18700,0.36000,-11.69000,0.32000,-11.69100,0.32900,-11.09000,0.25600,-11.32200,0.28900,-11.23000,0.38500,-11.29200,0.27300,-11.41600,0.31200,-9.48900,0.45200,-9.67600,0.44600,-9.72100,0.45500,-9.08600,0.48500,-9.16300,0.43900,-9.39600,0.54600,-9.15700,0.43000,-9.31800,0.56500,-10.00400,0.42900,-9.49000,0.42000,-9.17400,0.40600,-10.10000,0.54300,-9.74200,0.57500,-9.46000,0.72300,0,0.00560,1.49130,0.33430,19803020,14.64000,6.04000
50.32500,14.67500,Prague,1,0.01140,704.00000,0.01690,853.00000,0.01750,988.00000,0.01910,1341.00000,-9.30600,0.65700,-9.97800,0.31900,-9.31800,0.49400,-9.49000,0.29400,-9.40700,0.45800,-9.45100,0.66200,-9.90600,0.61500,-9.86500,0.34100,-11.56100,0.26100,-11.68100,0.30700,-11.03300,0.38700,-11.25600,0.33000,-11.73900,0.32800,-11.76200,0.31900,-11.19700,0.26400,-11.41400,0.31800,-11.31600,0.37300,-11.38400,0.27600,-11.50000,0.34400,-9.49200,0.45300,-9.70800,0.45700,-9.74600,0.46800,-9.10300,0.49000,-9.16900,0.45800,-9.41400,0.53900,-9.18700,0.44900,-9.34600,0.58500,-10.04300,0.43300,-9.52400,0.43300,-9.15700,0.39900,-10.21900,0.52400,-9.79300,0.59700,-9.51200,0.73600,0,0.00730,2.89550,0.41830,19803020,11.48000,5.67000
