latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JFM_mean,ERS1993_JFM_std,ERS1994_JFM_mean,ERS1994_JFM_std,ERS1995_JFM_mean,ERS1995_JFM_std,ERS1996_JFM_mean,ERS1996_JFM_std,ERS1997_JFM_mean,ERS1997_JFM_std,ERS1998_JFM_mean,ERS1998_JFM_std,ERS1999_JFM_mean,ERS1999_JFM_std,ERS2000_JFM_mean,ERS2000_JFM_std,QSCAT1999_JFM_mean,QSCAT1999_JFM_std,QSCAT2000_JFM_mean,QSCAT2000_JFM_std,QSCAT2001_JFM_mean,QSCAT2001_JFM_std,QSCAT2002_JFM_mean,QSCAT2002_JFM_std,QSCAT2003_JFM_mean,QSCAT2003_JFM_std,QSCAT2004_JFM_mean,QSCAT2004_JFM_std,QSCAT2005_JFM_mean,QSCAT2005_JFM_std,QSCAT2006_JFM_mean,QSCAT2006_JFM_std,QSCAT2007_JFM_mean,QSCAT2007_JFM_std,QSCAT2008_JFM_mean,QSCAT2008_JFM_std,QSCAT2009_JFM_mean,QSCAT2009_JFM_std,ASCAT2007_JFM_mean,ASCAT2007_JFM_std,ASCAT2008_JFM_mean,ASCAT2008_JFM_std,ASCAT2009_JFM_mean,ASCAT2009_JFM_std,ASCAT2010_JFM_mean,ASCAT2010_JFM_std,ASCAT2011_JFM_mean,ASCAT2011_JFM_std,ASCAT2012_JFM_mean,ASCAT2012_JFM_std,ASCAT2013_JFM_mean,ASCAT2013_JFM_std,ASCAT2014_JFM_mean,ASCAT2014_JFM_std,ASCAT2015_JFM_mean,ASCAT2015_JFM_std,ASCAT2016_JFM_mean,ASCAT2016_JFM_std,ASCAT2017_JFM_mean,ASCAT2017_JFM_std,ASCAT2018_JFM_mean,ASCAT2018_JFM_std,ASCAT2019_JFM_mean,ASCAT2019_JFM_std,ASCAT2020_JFM_mean,ASCAT2020_JFM_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
-25.47500,27.97500,Pretoria,2,0.21250,6057.00000,0.22840,12485.00000,0.23330,18972.00000,0.25850,30874.00000,-10.49000,0.32400,-10.52100,0.49700,-11.09000,0.25300,-9.93400,0.28600,-10.62800,0.67400,-10.76600,0.27400,-10.86300,0.39100,-10.13200,0.31900,-9999.00000,-9999.00000,-12.12200,0.36400,-12.83000,0.36200,-13.05100,0.30100,-12.67400,0.43000,-12.12700,0.49200,-12.52400,0.26600,-12.05700,0.36100,-13.00500,0.33600,-11.98800,0.43800,-12.05200,0.29700,-11.62800,0.56200,-10.24800,0.60000,-10.21000,0.50100,-10.70900,0.67000,-10.38300,0.69900,-10.85200,0.72700,-10.94400,0.53700,-10.39300,0.86900,-10.97600,0.55600,-10.40100,0.87700,-9.79500,0.69900,-10.43300,0.61000,-10.18800,0.62700,-10.07300,0.45800,0,-9999,-9999,-9999,27849682,3.53000,0.87000
-25.47500,28.02500,Pretoria,3,0.51070,12696.00000,0.55070,25190.00000,0.56640,37217.00000,0.62130,58076.00000,-10.34000,0.32700,-10.41800,0.47500,-10.94700,0.23200,-9.80600,0.27300,-10.49900,0.61500,-10.60500,0.25800,-10.72000,0.37700,-10.01300,0.35200,-9999.00000,-9999.00000,-12.08800,0.39500,-12.75300,0.37200,-12.99300,0.29200,-12.59100,0.41600,-12.09400,0.47800,-12.47700,0.27100,-11.99000,0.36900,-12.95300,0.33200,-11.92000,0.45800,-12.01200,0.30800,-11.04300,0.53000,-9.81300,0.62400,-9.80400,0.49600,-10.23200,0.64400,-9.86500,0.65000,-10.32800,0.63600,-10.37500,0.52700,-9.83500,0.87900,-10.35200,0.50400,-9.82700,0.85200,-9.40100,0.67400,-9.92600,0.58600,-9.67700,0.66100,-9.59800,0.46300,0,-9999,-9999,-9999,27849682,3.47000,0.92000
-25.47500,28.07500,Pretoria,3,0.90190,35665.00000,0.92490,69599.00000,0.94590,102031.00000,0.96000,157326.00000,-10.31400,0.33000,-10.41900,0.46900,-10.92500,0.23200,-9.79600,0.27300,-10.48400,0.60500,-10.59000,0.25800,-10.70400,0.37800,-10.00400,0.35600,-9999.00000,-9999.00000,-12.05200,0.42100,-12.64400,0.37800,-12.91000,0.27900,-12.50000,0.41200,-12.04100,0.46800,-12.43600,0.27900,-11.90300,0.35000,-12.89000,0.32500,-11.84300,0.47900,-11.96300,0.33100,-10.78200,0.50300,-9.72900,0.60300,-9.73400,0.48500,-10.13200,0.64500,-9.60900,0.62700,-10.22300,0.57700,-10.21300,0.49700,-9.73400,0.81900,-10.18200,0.47600,-9.71800,0.86900,-9.36100,0.70900,-9.82400,0.55800,-9.51500,0.67800,-9.57200,0.44200,0,-9999,-9999,-9999,27849682,2.84000,0.93000
-25.47500,28.12500,Pretoria,3,0.47490,25893.00000,0.55380,50509.00000,0.62200,73760.00000,0.66540,113769.00000,-10.24800,0.33800,-10.42400,0.45300,-10.87000,0.23100,-9.77100,0.27200,-10.44600,0.57900,-10.55200,0.25600,-10.66600,0.37800,-9.98400,0.36500,-9999.00000,-9999.00000,-12.03500,0.42700,-12.57500,0.37800,-12.82100,0.28000,-12.44200,0.39600,-12.01600,0.43700,-12.39200,0.28700,-11.87800,0.32100,-12.81500,0.32800,-11.80500,0.49200,-11.95600,0.33200,-11.02100,0.52900,-9.92500,0.57500,-9.99100,0.48400,-10.39500,0.67000,-9.80900,0.65200,-10.53200,0.57600,-10.49100,0.50300,-10.02200,0.79100,-10.47400,0.53700,-10.03400,0.90300,-9.61100,0.71600,-10.11100,0.58100,-9.76600,0.68200,-9.83400,0.42200,0,-9999,-9999,-9999,27849682,2.98000,0.93000
-25.47500,28.17500,Pretoria,1,0.02920,123.00000,0.07960,242.00000,0.12420,356.00000,0.18030,574.00000,-10.24600,0.35000,-10.48100,0.44400,-10.89700,0.24200,-9.82200,0.28900,-10.48000,0.57000,-10.58400,0.25800,-10.70300,0.37900,-10.02000,0.37000,-9999.00000,-9999.00000,-12.07500,0.42400,-12.58200,0.35800,-12.78300,0.28200,-12.45500,0.37200,-12.03900,0.42100,-12.39400,0.29000,-11.92200,0.30200,-12.78200,0.34100,-11.83400,0.48400,-12.01000,0.32300,-11.45900,0.57400,-10.25100,0.53700,-10.36200,0.46200,-10.80900,0.63900,-10.18500,0.66100,-10.98000,0.56200,-10.97100,0.51600,-10.39100,0.79500,-10.93900,0.56600,-10.49000,0.84300,-10.02800,0.67300,-10.58100,0.63700,-10.16800,0.66300,-10.25300,0.43900,0,-9999,-9999,-9999,27849682,5.20000,0.99000
-25.47500,28.22500,Pretoria,1,0.01460,221.00000,0.03850,408.00000,0.05190,581.00000,0.07930,909.00000,-10.24300,0.36000,-10.53400,0.43600,-10.92100,0.25300,-9.87000,0.30400,-10.51100,0.56100,-10.61400,0.26100,-10.73700,0.37900,-10.05300,0.37600,-9999.00000,-9999.00000,-12.17500,0.39600,-12.67900,0.36700,-12.83500,0.28000,-12.53900,0.34200,-12.13000,0.41800,-12.47300,0.30500,-12.03200,0.27000,-12.82900,0.34400,-11.94300,0.46600,-12.12700,0.30200,-11.81800,0.62300,-10.63400,0.56800,-10.77800,0.47600,-11.25200,0.58000,-10.61600,0.71800,-11.36900,0.50100,-11.40900,0.53400,-10.83800,0.83700,-11.40300,0.50600,-10.90100,0.80300,-10.55400,0.66000,-11.02400,0.65700,-10.61800,0.65100,-10.76000,0.45900,0,-9999,-9999,-9999,27849682,4.99000,0.98000
-25.47500,28.27500,Pretoria,1,0.02810,168.00000,0.05770,233.00000,0.08230,375.00000,0.11980,616.00000,-10.34500,0.38900,-10.68400,0.42400,-11.08400,0.26800,-10.03100,0.34700,-10.67400,0.57000,-10.77400,0.26700,-10.91300,0.38300,-10.20300,0.39100,-9999.00000,-9999.00000,-12.33700,0.36000,-12.87800,0.37100,-12.95700,0.28300,-12.67900,0.30600,-12.26200,0.42600,-12.61400,0.34000,-12.20100,0.25200,-12.93100,0.35000,-12.13600,0.43700,-12.29000,0.28400,-12.16400,0.61100,-10.91400,0.56200,-11.18000,0.44200,-11.67500,0.54500,-10.98800,0.73600,-11.73200,0.52200,-11.84500,0.53800,-11.34400,0.86800,-11.81600,0.48700,-11.26100,0.78400,-11.06100,0.67000,-11.41800,0.62000,-11.04600,0.67400,-11.20100,0.49500,0,-9999,-9999,-9999,27849682,5.13000,1.00000
-25.47500,28.32500,Pretoria,1,0.00160,6.00000,0.10520,49.00000,0.12840,65.00000,0.15870,91.00000,-10.37700,0.39800,-10.73200,0.42000,-11.13700,0.27300,-10.08400,0.36100,-10.72700,0.57200,-10.82500,0.26900,-10.97000,0.38400,-10.25200,0.39600,-9999.00000,-9999.00000,-12.51400,0.33200,-13.10300,0.37300,-13.10400,0.28600,-12.85300,0.27500,-12.42000,0.43700,-12.78100,0.35800,-12.37800,0.25600,-13.06400,0.34700,-12.34600,0.41200,-12.46000,0.28900,-12.41200,0.56800,-11.08600,0.55400,-11.38300,0.42400,-11.89200,0.54000,-11.25000,0.69000,-11.95100,0.50800,-12.09000,0.50400,-11.61600,0.84500,-12.02900,0.48800,-11.55800,0.75400,-11.30300,0.66100,-11.66400,0.58400,-11.33900,0.65300,-11.48400,0.47700,0,-9999,-9999,-9999,27849682,5.23000,1.05000
-25.47500,28.37500,Pretoria,1,0.00110,4.00000,0.03840,40.00000,0.04340,61.00000,0.06630,162.00000,-10.63700,0.43300,-11.01900,0.41900,-11.47300,0.30400,-10.39600,0.43800,-11.06600,0.60600,-11.16600,0.27900,-11.33100,0.42000,-10.54700,0.41700,-9999.00000,-9999.00000,-12.70400,0.29700,-13.36100,0.33800,-13.30800,0.29800,-13.06500,0.24200,-12.63900,0.44300,-12.99100,0.34100,-12.59500,0.25700,-13.27300,0.33800,-12.63000,0.39900,-12.69100,0.26200,-12.50600,0.53600,-11.20100,0.56800,-11.48900,0.44100,-12.01000,0.53900,-11.46500,0.65500,-12.07800,0.50500,-12.21400,0.47800,-11.76100,0.79200,-12.16000,0.48700,-11.67500,0.74600,-11.43800,0.66600,-11.77100,0.58600,-11.54800,0.64900,-11.63100,0.47200,0,-9999,-9999,-9999,27849682,5.14000,1.03000
-25.47500,28.42500,Pretoria,1,0.00180,33.00000,0.00770,88.00000,0.00950,112.00000,0.01730,186.00000,-10.71900,0.44000,-11.08500,0.42400,-11.56800,0.31300,-10.48400,0.45900,-11.16000,0.61200,-11.26100,0.28400,-11.43300,0.42800,-10.62400,0.42000,-9999.00000,-9999.00000,-12.87700,0.28100,-13.53800,0.32700,-13.45900,0.30300,-13.22500,0.23400,-12.81900,0.43000,-13.14600,0.33400,-12.74900,0.27900,-13.46900,0.32600,-12.82500,0.38400,-12.88800,0.26500,-12.54300,0.48300,-11.25600,0.57400,-11.53600,0.44800,-12.01600,0.53100,-11.56500,0.62100,-12.12300,0.50600,-12.22800,0.47000,-11.81900,0.74700,-12.20800,0.49300,-11.71800,0.74500,-11.51900,0.65500,-11.78200,0.58300,-11.66000,0.65100,-11.68400,0.47200,0,-9999,-9999,-9999,27849682,5.27000,0.99000
-25.47500,28.47500,Pretoria,1,0.00060,7.00000,0.00670,35.00000,0.00930,47.00000,0.01660,58.00000,-10.98300,0.46300,-11.29800,0.44100,-11.87200,0.34000,-10.76700,0.52500,-11.46100,0.63200,-11.56600,0.30200,-11.75800,0.45400,-10.86900,0.42900,-9999.00000,-9999.00000,-13.00200,0.28700,-13.64600,0.30500,-13.55400,0.30500,-13.35500,0.24100,-12.96500,0.41500,-13.27200,0.33900,-12.88200,0.30000,-13.65100,0.32000,-12.95600,0.38400,-13.03600,0.26300,-12.60900,0.44400,-11.31900,0.59500,-11.61000,0.45200,-12.01100,0.48200,-11.65700,0.59100,-12.18000,0.50800,-12.22100,0.48400,-11.87600,0.71500,-12.29000,0.50600,-11.76400,0.75400,-11.60700,0.64100,-11.77500,0.54300,-11.80100,0.63500,-11.73600,0.45400,0,-9999,-9999,-9999,27849682,5.23000,0.97000
-25.52500,27.97500,Pretoria,2,0.17300,5001.00000,0.30720,10183.00000,0.31800,15265.00000,0.39510,24505.00000,-10.37700,0.32600,-10.41700,0.45700,-10.91200,0.22800,-9.89100,0.29100,-10.52600,0.67200,-10.64400,0.26000,-10.69500,0.38400,-10.05500,0.30400,-9999.00000,-9999.00000,-11.89100,0.36400,-12.52900,0.32000,-12.66700,0.25700,-12.33500,0.39100,-11.88100,0.47200,-12.22500,0.25600,-11.81400,0.32700,-12.68800,0.30000,-11.75700,0.44200,-11.76300,0.29300,-10.97000,0.55200,-9.78600,0.62800,-9.68400,0.45600,-10.15900,0.62600,-9.83100,0.60200,-10.26200,0.65300,-10.31500,0.54400,-9.74100,0.86800,-10.33800,0.49300,-9.78800,0.80600,-9.35000,0.63900,-9.83800,0.60000,-9.67600,0.65400,-9.52800,0.46400,0,-9999,-9999,-9999,27838346,4.09000,0.90000
-25.52500,28.02500,Pretoria,3,0.61030,15029.00000,0.72090,29952.00000,0.74500,44442.00000,0.79540,69922.00000,-10.19200,0.35300,-10.29900,0.43100,-10.73700,0.21700,-9.73300,0.28200,-10.36900,0.60500,-10.44400,0.24900,-10.52500,0.37700,-9.90100,0.33100,-9999.00000,-9999.00000,-11.80500,0.40000,-12.40500,0.33100,-12.57500,0.25500,-12.22000,0.39100,-11.81600,0.45100,-12.12400,0.26100,-11.69800,0.34500,-12.58300,0.28700,-11.64300,0.46500,-11.67000,0.30500,-10.53800,0.49200,-9.49000,0.58400,-9.37700,0.44100,-9.80900,0.59000,-9.41900,0.58700,-9.92600,0.55400,-9.89300,0.53800,-9.30200,0.78900,-9.86800,0.39100,-9.36600,0.77200,-9.07600,0.65600,-9.45200,0.55800,-9.25200,0.62000,-9.17900,0.47300,0,-9999,-9999,-9999,27838346,3.78000,0.94000
-25.52500,28.07500,Pretoria,3,0.83490,25618.00000,0.86500,50034.00000,0.90710,73228.00000,0.92440,112977.00000,-10.16100,0.36000,-10.29800,0.42400,-10.71300,0.21900,-9.71900,0.28400,-10.34600,0.59300,-10.42100,0.24900,-10.50600,0.37500,-9.88400,0.34000,-9999.00000,-9999.00000,-11.71100,0.43500,-12.25200,0.33500,-12.45000,0.26300,-12.10500,0.39100,-11.72400,0.42400,-12.03000,0.26000,-11.56700,0.33700,-12.43900,0.27500,-11.51400,0.47200,-11.56600,0.32400,-10.56300,0.49200,-9.52500,0.59800,-9.43600,0.46200,-9.85800,0.61200,-9.42800,0.59500,-9.96800,0.55500,-9.94600,0.52800,-9.38200,0.80500,-9.89300,0.41800,-9.40900,0.79600,-9.13400,0.68200,-9.51200,0.55800,-9.27400,0.64500,-9.24100,0.46200,0,-9999,-9999,-9999,27838346,3.68000,0.97000
-25.52500,28.12500,Pretoria,2,0.40680,14705.00000,0.44270,28747.00000,0.47790,42082.00000,0.51870,64951.00000,-10.08300,0.37600,-10.29200,0.40700,-10.65200,0.22300,-9.68500,0.28800,-10.28900,0.56400,-10.36400,0.24900,-10.45600,0.37100,-9.84100,0.35900,-9999.00000,-9999.00000,-11.65700,0.43000,-12.15400,0.34000,-12.33500,0.26800,-12.00900,0.37100,-11.66800,0.39900,-11.96300,0.28400,-11.49300,0.30700,-12.32200,0.28200,-11.42500,0.49900,-11.52600,0.31700,-10.77200,0.50700,-9.73800,0.60100,-9.72700,0.48500,-10.14300,0.65200,-9.59700,0.62000,-10.23800,0.56800,-10.21400,0.50900,-9.74000,0.81600,-10.16900,0.49000,-9.72500,0.87600,-9.39500,0.71800,-9.83800,0.54900,-9.51900,0.68500,-9.59500,0.43000,0,-9999,-9999,-9999,27838346,4.07000,0.92000
-25.52500,28.17500,Pretoria,1,0.01810,139.00000,0.04810,258.00000,0.06980,383.00000,0.10250,557.00000,-10.08000,0.38700,-10.34600,0.40100,-10.68900,0.23100,-9.73200,0.30800,-10.32100,0.55200,-10.39800,0.25300,-10.49800,0.36400,-9.87300,0.37100,-9999.00000,-9999.00000,-11.69200,0.40700,-12.16000,0.33100,-12.30300,0.26200,-12.00800,0.34400,-11.69200,0.38000,-11.96500,0.29200,-11.52400,0.28200,-12.28500,0.29700,-11.43400,0.49100,-11.57000,0.30500,-11.20800,0.54900,-10.13400,0.54300,-10.23800,0.45800,-10.67200,0.61000,-10.01900,0.65100,-10.74900,0.53600,-10.80800,0.52400,-10.25900,0.79700,-10.74200,0.56900,-10.30700,0.85700,-9.98900,0.69000,-10.45400,0.56300,-10.09700,0.67700,-10.17400,0.44500,0,-9999,-9999,-9999,27838346,4.93000,0.95000
-25.52500,28.22500,Pretoria,1,0.04630,324.00000,0.17580,769.00000,0.20530,1118.00000,0.26050,1696.00000,-10.07800,0.39700,-10.39400,0.39600,-10.72300,0.23700,-9.77400,0.32500,-10.34900,0.54100,-10.42900,0.25700,-10.53600,0.35800,-9.90200,0.38300,-9999.00000,-9999.00000,-11.80600,0.37300,-12.28200,0.34700,-12.38500,0.26000,-12.10100,0.32400,-11.79600,0.37500,-12.06700,0.30500,-11.64200,0.26400,-12.36400,0.30000,-11.54500,0.46600,-11.68200,0.28100,-11.66900,0.59000,-10.54100,0.52400,-10.72000,0.44600,-11.17700,0.52100,-10.49100,0.67100,-11.23100,0.46100,-11.36000,0.52900,-10.78400,0.78800,-11.26200,0.53800,-10.81900,0.76500,-10.56400,0.64000,-10.99800,0.61100,-10.65600,0.63100,-10.69700,0.45800,0,-9999,-9999,-9999,27838346,5.19000,1.04000
