latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
42.07500,-71.67500,Providence,1,0.05380,2149.00000,0.09180,2393.00000,0.11330,2766.00000,0.15680,3067.00000,-9.28200,0.12000,-9.17000,0.19100,-9.23000,0.47200,-9.27800,0.42100,-9.33000,0.16100,-9.13400,0.20100,-9.13000,0.19200,-9.05900,0.22600,-10.78400,0.30800,-10.73300,0.29000,-10.57700,0.32400,-10.52700,0.32200,-10.31800,0.38300,-10.34100,0.33800,-10.42400,0.36200,-10.40000,0.38500,-10.56200,0.23600,-10.24400,0.42700,-10.38700,0.35600,-8.86000,0.30600,-8.55700,0.42600,-8.67200,0.35300,-8.75600,0.34000,-8.55600,0.33300,-8.69300,0.31300,-8.63200,0.34100,-8.80500,0.29200,-8.83200,0.35200,-8.59200,0.22400,-8.46300,0.30600,-8.44000,0.42000,-8.59200,0.30200,-8.65900,0.39800,0,0.01010,5.73940,0.55290,22979528,53.14000,6.36000
42.07500,-71.62500,Providence,2,0.07590,7005.00000,0.10780,8031.00000,0.13320,8675.00000,0.18380,9534.00000,-9.26600,0.11600,-9.14700,0.18800,-9.20400,0.48000,-9.24800,0.41800,-9.30700,0.15700,-9.10600,0.19400,-9.11100,0.19300,-9.03200,0.22700,-10.77700,0.29800,-10.73300,0.28800,-10.58100,0.31400,-10.51800,0.33100,-10.28400,0.37900,-10.31300,0.34400,-10.40600,0.35600,-10.38500,0.36000,-10.53400,0.24800,-10.22400,0.43500,-10.33700,0.35600,-8.78300,0.28900,-8.47200,0.42400,-8.58500,0.34000,-8.63700,0.32700,-8.45200,0.33000,-8.57700,0.30100,-8.52400,0.34500,-8.70600,0.27800,-8.69600,0.32300,-8.50900,0.18900,-8.35700,0.29600,-8.33000,0.40700,-8.48200,0.29200,-8.53800,0.38000,0,0.02470,6.49170,1.38320,22979528,43.79000,6.46000
42.07500,-71.57500,Providence,1,0.02120,2103.00000,0.03310,2372.00000,0.04830,2782.00000,0.08160,3075.00000,-9.21200,0.10300,-9.06900,0.17800,-9.11200,0.50700,-9.14600,0.40700,-9.22900,0.14300,-9.01000,0.17000,-9.04500,0.19800,-8.93600,0.23100,-10.78800,0.29700,-10.73200,0.29300,-10.57000,0.32600,-10.49500,0.32600,-10.25300,0.36900,-10.29300,0.34100,-10.40300,0.35200,-10.36500,0.34000,-10.51700,0.27200,-10.21800,0.42900,-10.30800,0.34600,-8.73200,0.27500,-8.43600,0.42200,-8.51800,0.32400,-8.56800,0.32700,-8.38800,0.33100,-8.49700,0.28000,-8.44700,0.34900,-8.65400,0.26300,-8.60100,0.29800,-8.47600,0.18900,-8.30600,0.28400,-8.25800,0.40800,-8.41300,0.27700,-8.44800,0.37300,0,0.00600,6.26550,0.35010,22979528,57.91000,6.32000
42.07500,-71.52500,Providence,1,0.01120,2305.00000,0.03370,2720.00000,0.05180,3070.00000,0.08480,3392.00000,-9.20500,0.10300,-9.05800,0.17500,-9.09900,0.50800,-9.13300,0.40500,-9.21600,0.14100,-8.99600,0.16800,-9.03300,0.19800,-8.92300,0.23100,-10.81500,0.30800,-10.73600,0.29300,-10.58600,0.33200,-10.47900,0.33100,-10.25300,0.37200,-10.29500,0.32600,-10.40800,0.35600,-10.35500,0.33600,-10.51000,0.29800,-10.22600,0.40400,-10.30200,0.34600,-8.70900,0.26900,-8.42800,0.42000,-8.48600,0.31800,-8.53500,0.32300,-8.35000,0.35600,-8.46100,0.25700,-8.41700,0.33600,-8.62700,0.25000,-8.55400,0.28800,-8.46100,0.18900,-8.28500,0.27700,-8.21800,0.41700,-8.38300,0.27900,-8.41600,0.36800,0,0.01060,5.92170,0.62370,22979528,50.68000,6.33000
42.07500,-71.47500,Providence,1,0.07930,5627.00000,0.15080,6267.00000,0.18180,6539.00000,0.23760,6928.00000,-9.12300,0.10600,-8.98200,0.13200,-8.97100,0.50100,-8.99900,0.39000,-9.07200,0.14100,-8.84900,0.15100,-8.90700,0.19600,-8.77800,0.22500,-10.83300,0.32300,-10.72500,0.29600,-10.58700,0.33700,-10.47300,0.33400,-10.26700,0.37000,-10.32800,0.32500,-10.42200,0.33900,-10.35700,0.33400,-10.54200,0.32000,-10.22900,0.39500,-10.32300,0.33400,-8.69700,0.26400,-8.42600,0.41700,-8.47000,0.31600,-8.52000,0.32000,-8.33100,0.36500,-8.44800,0.24600,-8.40000,0.32800,-8.61900,0.24800,-8.53100,0.28300,-8.45800,0.19500,-8.28200,0.27700,-8.19000,0.40700,-8.36500,0.28300,-8.40000,0.35700,0,0.02250,7.51480,1.45220,22979528,45.46000,6.10000
42.07500,-71.42500,Providence,1,0.10970,9336.00000,0.20400,9600.00000,0.26940,9376.00000,0.32760,9499.00000,-9.08500,0.11000,-8.93800,0.11800,-8.91300,0.49200,-8.93200,0.38600,-8.99900,0.13400,-8.77400,0.14800,-8.83700,0.19200,-8.70500,0.22200,-10.85300,0.34100,-10.71700,0.29100,-10.59700,0.34900,-10.48000,0.32900,-10.27900,0.36600,-10.38100,0.30100,-10.43500,0.33200,-10.38800,0.33600,-10.57700,0.33700,-10.25000,0.38200,-10.33800,0.31200,-8.69500,0.26300,-8.43700,0.40300,-8.46400,0.30900,-8.51500,0.31600,-8.32500,0.37000,-8.44500,0.24000,-8.40900,0.31800,-8.61700,0.25100,-8.52000,0.28100,-8.46300,0.20000,-8.29000,0.27900,-8.17000,0.39700,-8.35100,0.28300,-8.40100,0.33900,0,0.04040,7.42990,2.85460,22979528,36.67000,5.71000
42.07500,-71.37500,Providence,2,0.15580,10149.00000,0.23650,10755.00000,0.28420,11293.00000,0.35150,11981.00000,-9.00500,0.11300,-8.93300,0.21900,-8.84400,0.51500,-8.87500,0.42900,-8.86900,0.12700,-8.63800,0.14500,-8.70500,0.18100,-8.57000,0.21300,-10.85900,0.34100,-10.71000,0.29400,-10.59000,0.36500,-10.49500,0.32500,-10.30600,0.34900,-10.42000,0.28200,-10.44700,0.32300,-10.41100,0.32600,-10.59200,0.34300,-10.26800,0.37000,-10.35200,0.28900,-8.69100,0.26600,-8.44100,0.39600,-8.45700,0.29900,-8.51400,0.30500,-8.32600,0.37100,-8.44600,0.23400,-8.41700,0.31000,-8.61400,0.25400,-8.51500,0.27800,-8.46900,0.20500,-8.29700,0.28200,-8.15800,0.39000,-8.33600,0.28200,-8.41500,0.32800,0,0.02810,6.79300,1.65880,22979528,41.26000,6.20000
42.07500,-71.32500,Providence,2,0.08210,7232.00000,0.13940,8067.00000,0.16720,8467.00000,0.22690,8577.00000,-8.93400,0.11300,-8.93400,0.32000,-8.78300,0.53400,-8.81300,0.46900,-8.76700,0.12000,-8.52400,0.14200,-8.59300,0.17300,-8.45700,0.20600,-10.82900,0.34200,-10.69400,0.30300,-10.55200,0.36700,-10.50400,0.32600,-10.31900,0.34000,-10.44500,0.27400,-10.45000,0.33300,-10.43000,0.32500,-10.60100,0.34300,-10.28200,0.36800,-10.35600,0.27000,-8.67600,0.26800,-8.43800,0.39400,-8.45000,0.28900,-8.50600,0.29200,-8.32800,0.36800,-8.44500,0.22700,-8.42200,0.30300,-8.61100,0.25800,-8.50700,0.26500,-8.46900,0.20800,-8.30100,0.28400,-8.15500,0.38900,-8.32100,0.28300,-8.42500,0.31800,0,0.02440,6.51830,1.35680,22979528,44.39000,6.21000
42.07500,-71.27500,Providence,1,0.14770,4493.00000,0.20770,5204.00000,0.23320,5464.00000,0.30670,5640.00000,-8.90200,0.10900,-9.00800,0.43800,-8.75400,0.50900,-8.80300,0.46200,-8.73900,0.13100,-8.49100,0.14000,-8.55700,0.16800,-8.42500,0.20100,-10.75500,0.34800,-10.65900,0.32200,-10.48500,0.35500,-10.48900,0.33800,-10.31000,0.33100,-10.44500,0.27700,-10.42900,0.35600,-10.42000,0.32900,-10.59100,0.33600,-10.27400,0.37300,-10.32600,0.26100,-8.65600,0.27200,-8.43400,0.38800,-8.44100,0.28400,-8.49300,0.28000,-8.32600,0.36200,-8.44200,0.21900,-8.42600,0.29800,-8.60900,0.26300,-8.49800,0.24800,-8.46200,0.21100,-8.30800,0.28700,-8.15600,0.39000,-8.31000,0.28500,-8.42400,0.30100,0,0.02750,6.34540,2.09050,22979528,45.58000,5.89000
42.07500,-71.22500,Providence,2,0.11460,9063.00000,0.16710,9820.00000,0.20900,10581.00000,0.27980,11035.00000,-8.85400,0.10200,-9.11900,0.61500,-8.71000,0.47100,-8.78700,0.45000,-8.69700,0.14800,-8.44100,0.13600,-8.50300,0.16000,-8.37700,0.19500,-10.65200,0.34300,-10.59500,0.34400,-10.38700,0.34100,-10.43600,0.33800,-10.26900,0.31800,-10.39600,0.27400,-10.36500,0.37700,-10.36900,0.31700,-10.52600,0.32000,-10.21800,0.38200,-10.25200,0.26400,-8.63500,0.27900,-8.42200,0.38200,-8.42600,0.28100,-8.47200,0.27300,-8.31000,0.35800,-8.43500,0.21300,-8.42200,0.29500,-8.60200,0.27000,-8.47400,0.23300,-8.44200,0.21700,-8.30300,0.30100,-8.14700,0.38000,-8.29700,0.28900,-8.40300,0.27100,0,0.02800,6.96490,1.54830,22979528,42.85000,6.30000
