latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
19.27500,-98.47500,Puebla,2,0.10810,18301.00000,0.20690,28568.00000,0.22170,35629.00000,0.22960,46460.00000,-8.97600,0.50500,-8.85800,0.26800,-8.68200,0.31400,-9.07300,0.44600,-9.06500,0.39500,-8.92100,0.38700,-8.87600,0.39200,-9.18400,0.36800,-10.82800,0.44700,-11.15000,0.41200,-10.77100,0.43000,-11.02000,0.34100,-10.90400,0.30500,-10.75800,0.23500,-10.93000,0.33700,-10.63700,0.29300,-10.64100,0.58200,-10.65200,0.42200,-11.00600,0.53000,-8.50500,0.54400,-8.30800,0.42500,-8.80200,0.65600,-8.27700,0.59000,-8.38600,0.48600,-8.31600,0.39500,-8.19300,0.42500,-8.54000,0.49000,-8.84000,0.50200,-8.69800,0.44700,-8.35800,0.52800,-8.59200,0.74600,-8.49800,0.80900,-8.49700,0.43600,0,-9999,-9999,-9999,29090144,7.37000,3.47000
19.27500,-98.42500,Puebla,3,0.11520,44799.00000,0.33050,67971.00000,0.34600,83743.00000,0.35220,101437.00000,-8.93000,0.54900,-8.75600,0.26500,-8.55600,0.33600,-8.99800,0.47200,-8.99100,0.42200,-8.84600,0.41600,-8.79600,0.45300,-9.05100,0.38600,-10.55400,0.48400,-10.90800,0.43300,-10.53500,0.46600,-10.77500,0.35200,-10.65200,0.28600,-10.49200,0.25200,-10.67700,0.34300,-10.34400,0.33900,-10.30400,0.58000,-10.33000,0.42800,-10.72100,0.54300,-8.40100,0.53500,-8.22600,0.40700,-8.72700,0.67000,-8.14800,0.66600,-8.30000,0.47300,-8.17900,0.36100,-8.09200,0.44700,-8.43300,0.52100,-8.72100,0.52600,-8.55600,0.48300,-8.19300,0.60100,-8.53100,0.77300,-8.32200,0.82900,-8.37400,0.52700,0,-9999,-9999,-9999,29090144,6.94000,3.13000
19.27500,-98.37500,Puebla,1,0.02600,7323.00000,0.10900,11931.00000,0.11600,15923.00000,0.11770,22166.00000,-8.92400,0.55900,-8.74300,0.26300,-8.53500,0.34400,-8.98600,0.47800,-8.97800,0.42100,-8.83500,0.42900,-8.78000,0.46700,-9.02100,0.38600,-10.36600,0.49200,-10.70700,0.45200,-10.34200,0.48000,-10.55200,0.35600,-10.45300,0.28400,-10.33000,0.27600,-10.46900,0.36700,-10.15200,0.36100,-10.06900,0.56100,-10.08700,0.44500,-10.49100,0.54700,-8.32600,0.51700,-8.23300,0.42400,-8.70200,0.66300,-8.08600,0.67000,-8.25700,0.49100,-8.13600,0.34300,-8.09700,0.48900,-8.39700,0.55700,-8.64700,0.55500,-8.44700,0.50600,-8.11300,0.67600,-8.51000,0.77900,-8.17600,0.85900,-8.30300,0.54900,0,-9999,-9999,-9999,29090144,8.46000,3.80000
19.27500,-98.32500,Puebla,1,0.01660,4578.00000,0.08670,7315.00000,0.09620,9243.00000,0.09690,12054.00000,-8.90300,0.59200,-8.70000,0.25600,-8.46700,0.36900,-8.94700,0.49500,-8.93900,0.41800,-8.80200,0.46900,-8.72900,0.51000,-8.92900,0.38700,-10.24100,0.49500,-10.55700,0.47400,-10.23600,0.51900,-10.39700,0.38500,-10.31500,0.30800,-10.26600,0.31000,-10.33800,0.38600,-10.06500,0.37300,-9.92400,0.52700,-9.95400,0.47200,-10.34000,0.51200,-8.29200,0.50400,-8.20700,0.44500,-8.66200,0.65000,-8.02100,0.64500,-8.22000,0.51000,-8.10500,0.34900,-8.09000,0.51900,-8.35000,0.59200,-8.57200,0.55900,-8.35300,0.53100,-8.05500,0.72400,-8.45800,0.72300,-8.06800,0.84800,-8.25800,0.55100,0,-9999,-9999,-9999,29090144,9.74000,3.93000
19.27500,-98.27500,Puebla,1,0.01300,6131.00000,0.07980,10161.00000,0.09650,12800.00000,0.10030,16066.00000,-8.90800,0.60900,-8.71000,0.25300,-8.45000,0.38800,-8.94300,0.50700,-8.93800,0.40300,-8.81100,0.51100,-8.71600,0.53100,-8.89800,0.37300,-10.20100,0.52500,-10.45500,0.49400,-10.20700,0.54000,-10.30300,0.41400,-10.25300,0.34800,-10.26600,0.34800,-10.26900,0.42400,-10.06100,0.37900,-9.85400,0.50000,-9.90500,0.49700,-10.24500,0.49100,-8.23900,0.48600,-8.12100,0.46900,-8.58900,0.61700,-7.94600,0.64600,-8.15700,0.53300,-8.05300,0.38000,-8.03900,0.55100,-8.26400,0.62900,-8.49000,0.54800,-8.23700,0.56900,-7.95600,0.79400,-8.36500,0.72500,-7.93900,0.86600,-8.17600,0.56100,0,-9999,-9999,-9999,29090144,10.91000,4.32000
19.27500,-98.22500,Puebla,2,0.02250,14462.00000,0.15430,22792.00000,0.18210,28435.00000,0.19130,35322.00000,-8.91100,0.62300,-8.71800,0.25200,-8.43700,0.40300,-8.94100,0.51600,-8.93800,0.39200,-8.81800,0.54400,-8.70600,0.54800,-8.87400,0.36200,-10.24800,0.56900,-10.45300,0.50700,-10.25200,0.53400,-10.30500,0.45500,-10.26600,0.39600,-10.34300,0.38100,-10.29500,0.46400,-10.13400,0.38900,-9.89300,0.47100,-9.97000,0.51300,-10.25100,0.47500,-8.23500,0.48600,-8.07700,0.49000,-8.54200,0.57900,-7.92800,0.63800,-8.10500,0.54400,-8.03500,0.39400,-8.02100,0.57400,-8.21600,0.64400,-8.43100,0.53100,-8.17300,0.58000,-7.86200,0.83700,-8.29500,0.70900,-7.84100,0.84600,-8.10700,0.58600,0,-9999,-9999,-9999,29090144,7.72000,3.45000
19.27500,-98.17500,Puebla,3,0.02070,23223.00000,0.14940,34034.00000,0.15590,39907.00000,0.16310,46790.00000,-8.98600,0.65200,-8.77900,0.25900,-8.46500,0.43500,-9.01100,0.53800,-9.04300,0.36800,-8.90400,0.61000,-8.75400,0.57200,-8.90900,0.33900,-10.38700,0.61000,-10.55100,0.50900,-10.37200,0.51200,-10.43700,0.48900,-10.37600,0.42500,-10.51400,0.41200,-10.43100,0.48200,-10.30100,0.40300,-10.05900,0.45000,-10.16600,0.49900,-10.38300,0.45100,-8.33100,0.50800,-8.12100,0.49300,-8.57900,0.56600,-8.00300,0.61100,-8.14200,0.55500,-8.11100,0.41800,-8.08500,0.58500,-8.26800,0.65000,-8.45800,0.51100,-8.21000,0.57400,-7.86300,0.84800,-8.32000,0.70400,-7.87900,0.79800,-8.13400,0.60800,0,-9999,-9999,-9999,29090144,7.18000,3.39000
19.27500,-98.12500,Puebla,1,0.00470,4177.00000,0.03360,4910.00000,0.03800,6307.00000,0.04240,7071.00000,-9.00900,0.66000,-8.79700,0.26300,-8.47300,0.44300,-9.03000,0.54200,-9.07600,0.36700,-8.92200,0.62200,-8.76900,0.57600,-8.92300,0.33500,-10.57500,0.61000,-10.72500,0.51000,-10.57000,0.45000,-10.66700,0.47400,-10.56700,0.39800,-10.71800,0.42700,-10.68700,0.48700,-10.53600,0.42300,-10.27400,0.42000,-10.42000,0.44900,-10.61200,0.41600,-8.64000,0.52300,-8.44000,0.43300,-8.81500,0.52500,-8.40400,0.56600,-8.45500,0.65200,-8.58000,0.45200,-8.46400,0.66000,-8.61300,0.68500,-8.80000,0.49400,-8.69900,0.56100,-8.19700,0.84200,-8.61300,0.67400,-8.20300,0.69900,-8.40400,0.54800,0,-9999,-9999,-9999,29090144,19.02000,5.85000
19.27500,-98.07500,Puebla,0,0.00030,8.00000,0.00160,1.00000,0.00300,0.00000,0.00460,17.00000,-9.16000,0.70100,-8.90900,0.28300,-8.55900,0.47300,-9.17300,0.54600,-9.28400,0.37300,-9.06800,0.67400,-8.89700,0.58300,-9.06600,0.33300,-10.80400,0.62400,-10.95300,0.45100,-10.76700,0.39000,-10.91100,0.41700,-10.75900,0.36900,-10.92900,0.41000,-10.96000,0.45100,-10.79600,0.42000,-10.49200,0.39200,-10.67900,0.38100,-10.85900,0.40800,-8.97400,0.46500,-8.95000,0.42300,-9.20700,0.49000,-8.82300,0.47800,-8.90500,0.64400,-8.95500,0.37500,-8.85100,0.67300,-9.05600,0.63400,-9.29200,0.46000,-9.14900,0.47100,-8.70300,0.64400,-9.22900,0.64000,-8.83300,0.50800,-8.86400,0.45500,0,-9999,-9999,-9999,29090144,41.66000,7.47000
19.27500,-98.02500,Puebla,0,0.00020,23.00000,0.00040,30.00000,0.00050,0.00000,0.00100,71.00000,-9.25800,0.71900,-8.98100,0.29700,-8.62100,0.48100,-9.27300,0.55200,-9.39500,0.38800,-9.14400,0.68400,-8.99700,0.57500,-9.17400,0.34100,-10.97500,0.59300,-11.10900,0.39700,-10.92500,0.32500,-11.12400,0.39900,-10.90300,0.31400,-11.09700,0.37400,-11.19800,0.41400,-11.00300,0.38900,-10.63300,0.38800,-10.88000,0.35000,-11.06500,0.41200,-9.12500,0.50100,-9.12800,0.47000,-9.37800,0.49000,-8.95400,0.45700,-9.05900,0.64400,-9.03700,0.42100,-8.97900,0.65500,-9.17900,0.61600,-9.44200,0.44000,-9.28400,0.47000,-8.90000,0.54100,-9.50100,0.64300,-9.09100,0.44200,-9.07200,0.46800,0,-9999,-9999,-9999,29090144,55.23000,8.05000
