latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
39.27500,125.52500,Pyongyang,1,0.00460,2186.00000,0.00600,3827.00000,0.01010,7566.00000,0.01660,8901.00000,-9.85600,0.24500,-9.50600,0.25000,-9.25900,0.46600,-9.51200,0.42700,-9.63400,0.63000,-9.15700,0.29200,-9.69700,0.32900,-9.28600,0.55200,-12.39400,0.34700,-12.09700,0.42600,-12.05700,0.36700,-12.06300,0.34800,-12.10800,0.31400,-12.01300,0.48600,-12.04400,0.41300,-11.87000,0.53000,-11.83400,0.32900,-11.78800,0.57600,-11.90200,0.53400,-8.29300,0.68100,-8.22700,0.71100,-8.64600,0.61900,-8.02100,0.57300,-8.46300,0.70400,-8.14200,0.70000,-8.32900,0.64800,-9.07800,0.63000,-8.76400,0.85200,-8.55000,0.68800,-8.27500,0.61000,-8.72400,0.64900,-8.99500,0.51300,-8.44300,0.70400,0,-9999.00000,-9999.00000,-9999.00000,23949966,7.09000,2.08000
39.27500,125.57500,Pyongyang,1,0.00630,8387.00000,0.00880,10523.00000,0.01360,12742.00000,0.01930,13857.00000,-9.65800,0.23300,-9.22200,0.26800,-9.00600,0.46800,-9.30000,0.43300,-9.41600,0.63400,-8.92400,0.29700,-9.45000,0.33200,-9.07500,0.53000,-11.95300,0.30000,-11.71700,0.39400,-11.64900,0.37300,-11.67300,0.32700,-11.64900,0.29700,-11.54000,0.45400,-11.57200,0.37800,-11.46300,0.46600,-11.38600,0.28600,-11.32800,0.55000,-11.44300,0.50500,-8.18900,0.62300,-8.10400,0.62100,-8.54200,0.53400,-7.91000,0.47500,-8.27700,0.62900,-8.06800,0.62600,-8.27700,0.63300,-8.97900,0.59600,-8.67100,0.80000,-8.43100,0.59500,-8.18100,0.56400,-8.59200,0.57500,-8.90000,0.48000,-8.27200,0.62300,0,-9999.00000,-9999.00000,-9999.00000,23949966,7.86000,2.39000
39.27500,125.62500,Pyongyang,1,0.00500,4716.00000,0.00770,6972.00000,0.01080,8058.00000,0.01480,8151.00000,-9.37300,0.22000,-8.81500,0.29700,-8.64400,0.46700,-8.99600,0.43700,-9.10500,0.63900,-8.58700,0.30400,-9.09500,0.33500,-8.77300,0.50400,-11.69900,0.23900,-11.49100,0.36100,-11.42400,0.41000,-11.43600,0.30200,-11.37200,0.30700,-11.23900,0.42100,-11.25600,0.31600,-11.21200,0.43000,-11.09300,0.27000,-11.04400,0.50900,-11.15400,0.47300,-8.15700,0.59900,-8.06700,0.57900,-8.51400,0.47800,-7.87700,0.41900,-8.20000,0.57600,-8.06600,0.57300,-8.25000,0.61000,-8.92000,0.55800,-8.63300,0.75700,-8.37300,0.55200,-8.15700,0.53500,-8.53400,0.53400,-8.82300,0.45400,-8.19200,0.59000,0,-9999.00000,-9999.00000,-9999.00000,23949966,7.44000,2.56000
39.27500,125.67500,Pyongyang,2,0.00470,10612.00000,0.00990,16083.00000,0.01490,18342.00000,0.02230,22748.00000,-9.30800,0.22200,-8.72400,0.30700,-8.57100,0.46700,-8.93200,0.45400,-9.03100,0.64300,-8.50300,0.30600,-8.99800,0.34300,-8.69100,0.49600,-11.53800,0.21500,-11.35500,0.33500,-11.30200,0.45000,-11.30700,0.30300,-11.20500,0.32000,-11.06500,0.39900,-11.07100,0.27400,-11.06200,0.41100,-10.92500,0.28100,-10.87900,0.45800,-10.99300,0.44900,-8.14000,0.58000,-8.06000,0.52400,-8.51900,0.45500,-7.87500,0.38600,-8.17100,0.54500,-8.09300,0.51000,-8.23000,0.58400,-8.87100,0.51600,-8.62300,0.72800,-8.34800,0.53700,-8.15400,0.51500,-8.50300,0.49200,-8.76500,0.44200,-8.13200,0.56600,0,-9999.00000,-9999.00000,-9999.00000,23949966,8.25000,2.34000
39.27500,125.72500,Pyongyang,1,0.00630,4241.00000,0.01140,7838.00000,0.01600,9625.00000,0.02000,9799.00000,-9.12800,0.23000,-8.49000,0.32700,-8.37900,0.45200,-8.76400,0.47800,-8.84400,0.63700,-8.29300,0.31100,-8.77800,0.35300,-8.48700,0.48400,-11.41600,0.22400,-11.28500,0.32400,-11.24700,0.49200,-11.24100,0.31300,-11.12100,0.33300,-10.95900,0.39000,-10.96800,0.25300,-10.97000,0.40200,-10.84200,0.30300,-10.79400,0.41700,-10.91500,0.44900,-8.12500,0.55300,-8.07700,0.48800,-8.50800,0.44400,-7.87800,0.35500,-8.15600,0.52100,-8.09700,0.47600,-8.19900,0.55400,-8.82000,0.49300,-8.59900,0.68100,-8.32100,0.52200,-8.15000,0.49500,-8.45600,0.48600,-8.69600,0.44900,-8.05800,0.52100,0,-9999.00000,-9999.00000,-9999.00000,23949966,15.96000,4.65000
39.27500,125.77500,Pyongyang,0,0.00050,0.00000,0.00060,0.00000,0.00110,28.00000,0.00150,318.00000,-9.10600,0.22400,-8.47100,0.33200,-8.36300,0.45000,-8.75900,0.48600,-8.83300,0.63800,-8.27800,0.30900,-8.74800,0.36000,-8.46400,0.48300,-11.34800,0.24800,-11.24300,0.32000,-11.22000,0.51800,-11.19600,0.33400,-11.07400,0.34300,-10.88500,0.37700,-10.92300,0.24900,-10.91800,0.38500,-10.79900,0.32800,-10.75100,0.38300,-10.89000,0.44700,-8.11000,0.52800,-8.08600,0.47400,-8.50400,0.44900,-7.87300,0.33300,-8.14500,0.50900,-8.08700,0.45100,-8.16200,0.53200,-8.76600,0.49000,-8.57200,0.64400,-8.27000,0.48800,-8.13000,0.46300,-8.37300,0.46400,-8.58700,0.46300,-7.96800,0.47900,0,-9999.00000,-9999.00000,-9999.00000,23949966,44.23000,6.92000
39.27500,125.82500,Pyongyang,1,0.03050,29120.00000,0.03990,27598.00000,0.04490,29111.00000,0.04880,28364.00000,-8.97500,0.21900,-8.35400,0.34000,-8.24900,0.43000,-8.69600,0.49500,-8.74100,0.61900,-8.19200,0.30700,-8.64300,0.36300,-8.35100,0.47400,-11.30100,0.25800,-11.20700,0.32100,-11.18200,0.51600,-11.16400,0.34300,-11.05900,0.35100,-10.84500,0.37200,-10.89000,0.26000,-10.87800,0.37300,-10.77700,0.32900,-10.74000,0.36000,-10.88100,0.45700,-8.10500,0.51000,-8.09200,0.47100,-8.50800,0.46200,-7.87400,0.32200,-8.15200,0.51000,-8.07100,0.43300,-8.13800,0.52800,-8.74700,0.49900,-8.54700,0.63100,-8.23500,0.46000,-8.12400,0.44600,-8.34400,0.48300,-8.54700,0.47900,-7.92000,0.48000,0,-9999.00000,-9999.00000,-9999.00000,23949966,38.83000,6.58000
39.27500,125.87500,Pyongyang,3,0.15930,107202.00000,0.20840,122578.00000,0.21900,128442.00000,0.24250,122666.00000,-8.95900,0.21700,-8.34400,0.34100,-8.23700,0.42700,-8.69200,0.49700,-8.73200,0.61500,-8.18600,0.30700,-8.63300,0.36400,-8.33800,0.47300,-11.24900,0.26500,-11.15400,0.32400,-11.13200,0.50500,-11.13400,0.35300,-11.05100,0.34800,-10.80100,0.36700,-10.85000,0.26900,-10.83700,0.35800,-10.78400,0.32900,-10.71800,0.35700,-10.88100,0.45000,-8.12800,0.49500,-8.12600,0.48000,-8.54100,0.48100,-7.90700,0.34000,-8.18500,0.52100,-8.07400,0.41700,-8.14800,0.52700,-8.75800,0.51600,-8.54900,0.63500,-8.23800,0.45800,-8.15100,0.45000,-8.36900,0.49200,-8.55600,0.49400,-7.91500,0.48600,0,-9999.00000,-9999.00000,-9999.00000,23949966,9.50000,3.22000
39.27500,125.92500,Pyongyang,1,0.00830,2600.00000,0.01310,4099.00000,0.01620,6273.00000,0.02560,7886.00000,-8.88900,0.20300,-8.32600,0.34900,-8.19400,0.40700,-8.68900,0.51200,-8.70600,0.59500,-8.18100,0.30200,-8.59900,0.36700,-8.28600,0.46700,-11.20200,0.26600,-11.10600,0.32400,-11.07500,0.48400,-11.10400,0.36700,-11.02000,0.35500,-10.77200,0.37100,-10.80600,0.28300,-10.80300,0.35900,-10.77800,0.32300,-10.71000,0.36000,-10.88800,0.43300,-8.18100,0.48300,-8.19100,0.48500,-8.63200,0.51600,-7.96100,0.37600,-8.24000,0.53300,-8.11700,0.40700,-8.19900,0.53300,-8.80100,0.54200,-8.58500,0.65200,-8.27000,0.46100,-8.20800,0.46500,-8.44500,0.49800,-8.62000,0.51100,-7.93900,0.50100,0,-9999.00000,-9999.00000,-9999.00000,23949966,10.04000,3.65000
39.27500,125.97500,Pyongyang,1,0.00960,3768.00000,0.01400,4438.00000,0.01760,6143.00000,0.02980,10350.00000,-8.87400,0.20000,-8.32200,0.35100,-8.18500,0.40300,-8.68800,0.51500,-8.70000,0.59000,-8.18000,0.30100,-8.59100,0.36800,-8.27500,0.46600,-11.13700,0.27600,-11.04100,0.32100,-10.99900,0.45500,-11.04200,0.38600,-10.98200,0.36400,-10.71400,0.37400,-10.74100,0.29800,-10.74300,0.34200,-10.74500,0.31800,-10.68100,0.37500,-10.87400,0.40100,-8.22800,0.48200,-8.25800,0.49400,-8.70600,0.53800,-8.01800,0.40100,-8.28000,0.54000,-8.17500,0.37300,-8.25200,0.53900,-8.84200,0.56100,-8.62300,0.65700,-8.31500,0.47200,-8.25600,0.46400,-8.53300,0.49400,-8.69900,0.52000,-7.98600,0.50900,0,-9999.00000,-9999.00000,-9999.00000,23949966,6.27000,2.54000
