latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
36.32500,120.07500,Qingdao,2,0.08990,9434.00000,0.08990,14215.00000,0.14540,19539.00000,0.23670,25156.00000,-9.27400,0.70000,-9.18400,0.49600,-9.25500,0.66500,-9.76500,0.73000,-10.08100,0.66200,-9.17700,0.76500,-9.25600,0.42200,-9.45100,0.55600,-10.99500,0.39100,-11.35200,0.64200,-11.11400,0.62400,-11.34300,0.69500,-10.65300,0.65300,-10.56200,0.57100,-10.43100,0.74700,-10.63700,0.62200,-9.90500,0.54600,-9.82700,0.66900,-10.14100,0.54000,-8.15500,0.67700,-8.21800,0.46000,-8.51900,0.53800,-7.87100,0.87700,-7.62700,0.62800,-7.56800,0.47100,-7.30000,0.68600,-7.35500,0.72400,-7.45700,0.71300,-7.15200,0.53200,-6.40100,0.60600,-6.48700,0.68300,-6.65500,0.55800,-5.57100,0.75700,0,0.04240,6.92970,3.52380,24909508,4.73000,1.76000
36.32500,120.12500,Qingdao,2,0.07410,13735.00000,0.07410,20697.00000,0.14140,26106.00000,0.27970,30569.00000,-9.26600,0.69400,-9.17400,0.49100,-9.24600,0.66600,-9.76400,0.71900,-10.07100,0.65000,-9.16200,0.76700,-9.25000,0.41100,-9.44300,0.56000,-11.18800,0.38200,-11.49200,0.66200,-11.24600,0.63100,-11.47400,0.68900,-10.77000,0.66200,-10.69100,0.55500,-10.51400,0.75300,-10.68500,0.62600,-9.92500,0.56700,-9.86500,0.68800,-10.13900,0.54700,-8.24300,0.68900,-8.35300,0.46900,-8.61600,0.53400,-7.97500,0.89600,-7.76200,0.65600,-7.74300,0.47500,-7.46400,0.70100,-7.50400,0.75100,-7.57300,0.73600,-7.23300,0.55700,-6.44100,0.65100,-6.54000,0.69900,-6.70400,0.59300,-5.61400,0.79200,0,0.06260,6.91610,6.31120,24909508,4.73000,1.89000
36.32500,120.17500,Qingdao,2,0.07700,13399.00000,0.07700,20189.00000,0.12950,24021.00000,0.25370,31498.00000,-9.27100,0.66000,-9.20300,0.45200,-9.21200,0.63300,-9.79500,0.71600,-10.05300,0.57400,-9.11400,0.73400,-9.24600,0.35700,-9.37600,0.54200,-11.27400,0.36000,-11.48500,0.68400,-11.23900,0.62800,-11.45000,0.68500,-10.73900,0.65500,-10.66700,0.54100,-10.44600,0.74900,-10.59000,0.59200,-9.83900,0.57900,-9.76800,0.70700,-10.02600,0.56100,-8.28000,0.70400,-8.39400,0.47400,-8.63700,0.53100,-7.98600,0.90300,-7.77700,0.66800,-7.77100,0.49000,-7.49300,0.69700,-7.50300,0.77000,-7.58800,0.74200,-7.23000,0.56600,-6.43600,0.66600,-6.51900,0.70800,-6.73600,0.60700,-5.57000,0.76100,0,0.05560,7.02420,5.12960,24909508,4.54000,1.73000
36.32500,120.22500,Qingdao,2,0.11060,9451.00000,0.11060,14241.00000,0.13540,19114.00000,0.25950,26184.00000,-9.24100,0.65600,-9.17800,0.44400,-9.19100,0.63800,-9.77400,0.71400,-10.03400,0.56600,-9.09100,0.73300,-9.23600,0.34400,-9.35700,0.53700,-11.19200,0.33900,-11.31600,0.64800,-11.05400,0.62800,-11.26200,0.66400,-10.55800,0.62300,-10.49000,0.49500,-10.22500,0.73500,-10.36200,0.55100,-9.63600,0.61000,-9.52400,0.69700,-9.80700,0.58200,-8.26000,0.70700,-8.37300,0.46800,-8.59300,0.53200,-7.93300,0.90700,-7.66500,0.67800,-7.65900,0.44800,-7.36000,0.68200,-7.30300,0.74300,-7.35500,0.65000,-7.05500,0.52500,-6.28600,0.60600,-6.31400,0.65200,-6.58200,0.61800,-5.44500,0.74200,0,0.05560,7.02400,5.18020,24909508,5.70000,2.16000
36.32500,120.27500,Qingdao,3,0.17850,25635.00000,0.17850,38627.00000,0.21340,44925.00000,0.47280,52412.00000,-9.22200,0.62500,-9.23300,0.39700,-9.17500,0.61200,-9.75500,0.68800,-10.02600,0.50600,-9.09700,0.69100,-9.27000,0.29400,-9.30900,0.50700,-10.99100,0.33500,-11.03900,0.58600,-10.75300,0.62800,-10.94600,0.63400,-10.26800,0.59000,-10.21300,0.45700,-9.91300,0.71200,-10.02000,0.53700,-9.32900,0.65900,-9.17700,0.67400,-9.47100,0.59300,-7.93600,0.77200,-7.95100,0.48500,-8.02000,0.51000,-7.32200,0.89900,-7.02600,0.64100,-7.24200,0.36600,-6.88100,0.63600,-6.77300,0.71700,-6.85700,0.58900,-6.43200,0.43200,-5.85100,0.54800,-5.81800,0.62100,-6.02400,0.55500,-5.00800,0.73700,0,0.11290,10.39120,12.07080,24909508,4.45000,1.73000
36.32500,120.32500,Qingdao,3,0.16930,8887.00000,0.16930,13392.00000,0.24400,16069.00000,0.57000,20178.00000,-9.17600,0.62200,-9.20500,0.38900,-9.14600,0.61600,-9.72600,0.69300,-10.01000,0.50300,-9.07800,0.69300,-9.26400,0.28200,-9.28600,0.49800,-10.71500,0.33900,-10.71200,0.53200,-10.40300,0.61200,-10.59500,0.59100,-9.94000,0.56200,-9.89200,0.43700,-9.56800,0.69900,-9.66600,0.53700,-9.02400,0.67100,-8.83100,0.64600,-9.15400,0.59700,-7.49800,0.78300,-7.49800,0.49800,-7.57200,0.45100,-6.91000,0.87700,-6.72200,0.64800,-6.91200,0.38500,-6.62800,0.60300,-6.49400,0.68400,-6.58900,0.55500,-6.16000,0.41200,-5.63600,0.53500,-5.55300,0.62700,-5.78500,0.52000,-4.79700,0.74600,0,0.11500,10.57180,11.88590,24909508,4.75000,1.80000
36.32500,120.37500,Qingdao,3,0.24960,44032.00000,0.24960,66350.00000,0.36000,73201.00000,0.63980,75890.00000,-9.23300,0.61900,-9.30300,0.35400,-9.21800,0.60400,-9.75900,0.57100,-10.09000,0.48100,-9.20500,0.64900,-9.42500,0.26300,-9.35000,0.50500,-10.46200,0.35900,-10.42200,0.48400,-10.10100,0.59000,-10.29700,0.54000,-9.66200,0.55100,-9.62600,0.40800,-9.29200,0.65900,-9.38700,0.51600,-8.79200,0.66700,-8.56500,0.62100,-8.92900,0.62700,-7.34800,0.75000,-7.36500,0.50600,-7.46600,0.44200,-6.80200,0.87600,-6.63900,0.66100,-6.82000,0.38700,-6.55500,0.59200,-6.39800,0.66300,-6.51100,0.55900,-6.08700,0.40700,-5.56800,0.53100,-5.47700,0.62600,-5.72900,0.51400,-4.76200,0.78600,0,0.15730,11.95010,19.29910,24909508,4.90000,1.76000
36.32500,120.42500,Qingdao,3,0.18470,29604.00000,0.18470,44609.00000,0.30840,64232.00000,0.57710,79783.00000,-9.21600,0.62200,-9.29800,0.34900,-9.21100,0.60700,-9.74900,0.54900,-10.10000,0.48200,-9.21800,0.64600,-9.45100,0.25900,-9.35200,0.50500,-10.33200,0.39200,-10.28400,0.45300,-9.97400,0.56300,-10.14900,0.48600,-9.55600,0.53600,-9.50900,0.39700,-9.18400,0.60900,-9.26100,0.49400,-8.71600,0.67000,-8.48000,0.59700,-8.87000,0.61500,-7.33800,0.73000,-7.36000,0.51000,-7.48100,0.43800,-6.80900,0.88000,-6.66200,0.66300,-6.85900,0.41400,-6.58600,0.59500,-6.43500,0.65700,-6.56100,0.56800,-6.13100,0.39500,-5.63300,0.54400,-5.54500,0.62800,-5.80500,0.53300,-4.86400,0.84300,0,0.13280,11.91890,16.32400,24909508,4.79000,1.83000
36.32500,120.47500,Qingdao,3,0.08950,20725.00000,0.08950,31229.00000,0.19220,48085.00000,0.47890,81593.00000,-9.54700,0.63300,-9.58700,0.31900,-9.51900,0.60500,-10.02800,0.39000,-10.37900,0.50600,-9.54300,0.62600,-9.84000,0.28000,-9.62200,0.51200,-10.42500,0.41000,-10.36100,0.42900,-10.07300,0.54400,-10.24100,0.45400,-9.65900,0.51500,-9.63200,0.40800,-9.31800,0.55800,-9.38100,0.49600,-8.86600,0.64700,-8.64000,0.55700,-9.03100,0.59000,-7.40700,0.69500,-7.44200,0.52900,-7.57300,0.45000,-6.90500,0.89100,-6.76500,0.65800,-6.97100,0.42800,-6.67500,0.59900,-6.56200,0.66500,-6.67400,0.56800,-6.24400,0.38800,-5.74600,0.54500,-5.67800,0.62100,-5.96700,0.52900,-5.06800,0.90800,0,0.11710,10.71500,13.05850,24909508,4.58000,1.72000
36.32500,120.52500,Qingdao,2,0.05190,8016.00000,0.06430,12360.00000,0.10430,15479.00000,0.26630,30580.00000,-9.63900,0.63700,-9.66700,0.31100,-9.60400,0.60500,-10.10600,0.34600,-10.45700,0.51200,-9.63300,0.62000,-9.94800,0.28600,-9.69600,0.51400,-10.77200,0.43900,-10.71300,0.41700,-10.46100,0.54000,-10.57200,0.45800,-10.01500,0.51000,-10.04200,0.41700,-9.74300,0.51900,-9.78600,0.51500,-9.32200,0.60700,-9.11200,0.55100,-9.48000,0.56300,-7.76100,0.65100,-7.79100,0.54800,-7.94700,0.46700,-7.35500,0.87900,-7.27700,0.67700,-7.54900,0.44700,-7.25300,0.62100,-7.08000,0.58300,-7.28600,0.53600,-6.87400,0.37200,-6.31700,0.57100,-6.22500,0.63800,-6.65500,0.60100,-5.87000,0.85000,0,0.06620,9.22830,7.70190,24909508,5.55000,2.03000
