latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
40.17500,119.37500,Qinhuangdao,0,0.00000,23.00000,0.00010,1149.00000,0.00020,1103.00000,0.00040,1227.00000,-8.86400,0.51200,-8.89500,0.57300,-8.74400,0.40500,-9.11100,0.41000,-8.91200,0.28300,-8.83900,0.58500,-9.29000,0.36700,-8.94100,0.49500,-11.13000,0.47900,-10.86300,0.41000,-10.80100,0.41500,-10.84000,0.51700,-10.78200,0.35900,-10.59500,0.43300,-10.47200,0.47000,-10.82200,0.42900,-10.60000,0.31600,-10.56400,0.51200,-10.67700,0.39900,-8.62500,0.45100,-8.50600,0.40800,-8.76100,0.36900,-8.44800,0.49100,-8.68700,0.55900,-8.32300,0.43200,-8.39700,0.29900,-8.68200,0.31600,-8.70200,0.39000,-8.43000,0.33600,-8.37700,0.39300,-8.37600,0.61700,-8.48700,0.58200,-8.53800,0.37700,0,0.00100,0.98640,0.06370,23644280,34.60000,7.30000
40.17500,119.42500,Qinhuangdao,1,0.00300,2636.00000,0.01420,6406.00000,0.04340,10269.00000,0.06040,10084.00000,-8.84600,0.51300,-8.81500,0.54800,-8.69900,0.37700,-9.03600,0.39900,-8.83300,0.28100,-8.75800,0.56600,-9.19400,0.36100,-8.84900,0.46300,-11.01400,0.43500,-10.77200,0.40500,-10.69300,0.40700,-10.74700,0.50500,-10.68000,0.37200,-10.47400,0.43300,-10.33700,0.46600,-10.70200,0.41500,-10.46900,0.29700,-10.44200,0.52200,-10.57900,0.38500,-8.57500,0.42900,-8.46000,0.40500,-8.67100,0.32800,-8.40100,0.49400,-8.60900,0.53300,-8.26400,0.44200,-8.37300,0.30200,-8.63000,0.30800,-8.62600,0.35900,-8.37800,0.33500,-8.33500,0.39600,-8.33200,0.61100,-8.44400,0.56300,-8.46800,0.36100,0,0.00380,1.84310,0.29550,23644280,34.20000,6.85000
40.17500,119.47500,Qinhuangdao,0,0.00060,9.00000,0.00220,226.00000,0.00280,175.00000,0.00440,127.00000,-8.84300,0.51300,-8.80500,0.54500,-8.69300,0.37400,-9.02700,0.39800,-8.82300,0.28100,-8.74800,0.56400,-9.18300,0.36000,-8.83700,0.45900,-10.90300,0.38700,-10.66600,0.40000,-10.57900,0.39300,-10.64700,0.48300,-10.56700,0.37400,-10.35200,0.40700,-10.17800,0.46300,-10.55100,0.41900,-10.30900,0.29200,-10.28600,0.50900,-10.43300,0.38900,-8.55600,0.40200,-8.44400,0.41900,-8.65000,0.32100,-8.37800,0.50000,-8.56200,0.54400,-8.22800,0.45800,-8.37000,0.30100,-8.61800,0.30900,-8.59100,0.35000,-8.35300,0.34300,-8.32500,0.40200,-8.30600,0.58600,-8.41900,0.53100,-8.43100,0.37000,0,0.00090,0.86390,0.03860,23644280,31.16000,7.12000
40.17500,119.52500,Qinhuangdao,1,0.01370,6691.00000,0.02800,7380.00000,0.03590,5695.00000,0.04410,5529.00000,-8.90300,0.50600,-8.80000,0.49900,-8.70600,0.35700,-9.06200,0.35300,-8.81700,0.28800,-8.72800,0.52900,-9.18900,0.35900,-8.80500,0.41800,-10.85200,0.35400,-10.59000,0.39000,-10.51300,0.39000,-10.56700,0.46400,-10.47700,0.37700,-10.25300,0.38200,-10.07400,0.45400,-10.41700,0.42200,-10.19300,0.29200,-10.16200,0.50100,-10.32500,0.38400,-8.58500,0.39500,-8.47700,0.42200,-8.68600,0.31900,-8.39800,0.49400,-8.57900,0.56400,-8.24000,0.46200,-8.40100,0.30000,-8.65600,0.30400,-8.60300,0.35500,-8.38200,0.35900,-8.37200,0.43200,-8.34500,0.56600,-8.44700,0.51700,-8.44600,0.38400,0,0.00640,2.47230,0.42400,23644280,23.89000,6.75000
40.17500,119.57500,Qinhuangdao,2,0.03700,7786.00000,0.09060,10709.00000,0.11970,12080.00000,0.14020,13151.00000,-8.91900,0.50400,-8.79800,0.48700,-8.70900,0.35200,-9.07200,0.34000,-8.81600,0.29000,-8.72300,0.51900,-9.19100,0.35900,-8.79600,0.40700,-10.82600,0.34100,-10.52400,0.39400,-10.48300,0.38900,-10.52000,0.43700,-10.41500,0.38200,-10.17600,0.35100,-10.01800,0.45000,-10.30800,0.43000,-10.10500,0.29900,-10.07100,0.50200,-10.23100,0.38500,-8.64400,0.40300,-8.56000,0.41200,-8.75200,0.31800,-8.45600,0.46400,-8.64500,0.58600,-8.29600,0.45800,-8.45500,0.28100,-8.71600,0.30300,-8.67500,0.36100,-8.45000,0.37600,-8.43900,0.46000,-8.40600,0.57900,-8.52700,0.52300,-8.51700,0.41300,0,0.01500,4.35880,1.10600,23644280,12.42000,4.86000
40.17500,119.62500,Qinhuangdao,1,0.01920,2129.00000,0.05840,4511.00000,0.07510,5490.00000,0.08910,6285.00000,-9.04600,0.49200,-8.90100,0.43300,-8.78600,0.32300,-9.21200,0.29200,-8.91500,0.29400,-8.80600,0.48800,-9.30600,0.35400,-8.88200,0.39600,-10.83800,0.34000,-10.46600,0.41400,-10.47300,0.40000,-10.49800,0.41400,-10.36200,0.38200,-10.11100,0.34100,-9.98800,0.44100,-10.21500,0.43400,-10.04100,0.32200,-9.97900,0.49200,-10.14800,0.38600,-8.71300,0.42200,-8.62700,0.42000,-8.81000,0.32600,-8.50600,0.44400,-8.72400,0.59100,-8.36200,0.45200,-8.51200,0.27000,-8.77200,0.29900,-8.76800,0.35000,-8.50700,0.38100,-8.49800,0.46300,-8.46400,0.58800,-8.60400,0.52400,-8.58400,0.42800,0,0.00710,3.36880,0.37970,23644280,10.46000,4.16000
40.17500,119.67500,Qinhuangdao,0,0.00150,276.00000,0.00570,667.00000,0.00640,637.00000,0.00810,454.00000,-9.10000,0.48800,-8.94600,0.41000,-8.82100,0.31000,-9.27300,0.27400,-8.96000,0.29800,-8.84200,0.47400,-9.36000,0.35200,-8.92300,0.39200,-10.90700,0.34200,-10.46100,0.42300,-10.50900,0.43100,-10.52000,0.38700,-10.35700,0.38100,-10.09900,0.35000,-10.01600,0.42700,-10.18700,0.43100,-10.05500,0.34700,-9.95900,0.47800,-10.13200,0.38400,-8.78200,0.42600,-8.69300,0.43100,-8.87000,0.32800,-8.56800,0.43700,-8.79800,0.60100,-8.42300,0.45300,-8.58300,0.26700,-8.84200,0.30100,-8.85500,0.33800,-8.57200,0.36600,-8.55700,0.46400,-8.52600,0.59500,-8.65400,0.51800,-8.64000,0.43400,0,0.00190,1.31320,0.08740,23644280,24.36000,6.87000
40.17500,119.72500,Qinhuangdao,0,0.00000,0.00000,0.00020,17.00000,0.00020,18.00000,0.00060,37.00000,-9.27000,0.49300,-9.09500,0.40800,-8.94200,0.29400,-9.45600,0.27400,-9.13700,0.30500,-8.99000,0.46300,-9.56600,0.34000,-9.10300,0.39100,-11.00900,0.36500,-10.50400,0.42600,-10.58900,0.45600,-10.56400,0.37300,-10.38100,0.38200,-10.13400,0.37600,-10.07200,0.42500,-10.18700,0.42400,-10.11900,0.37900,-9.99300,0.49300,-10.15700,0.39400,-8.88200,0.45100,-8.78400,0.46500,-8.98300,0.32600,-8.66200,0.41500,-8.88700,0.59400,-8.49800,0.44500,-8.72200,0.28700,-8.97500,0.32000,-8.95900,0.35200,-8.68200,0.35500,-8.66400,0.47900,-8.63800,0.60900,-8.70800,0.49500,-8.71500,0.43600,0,0.00050,0.22140,0.02250,23644280,29.72000,7.27000
40.17500,119.77500,Qinhuangdao,0,0.00000,84.00000,0.00020,103.00000,0.00040,130.00000,0.00120,252.00000,-9.37800,0.50200,-9.18000,0.41200,-9.01300,0.28500,-9.56600,0.27400,-9.24700,0.30900,-9.08100,0.45500,-9.70300,0.33300,-9.22300,0.39200,-11.14500,0.39100,-10.60300,0.44300,-10.71600,0.48100,-10.64300,0.38400,-10.43000,0.37800,-10.21200,0.41300,-10.15300,0.41900,-10.21200,0.41200,-10.20700,0.41500,-10.05200,0.53700,-10.20200,0.41800,-9.04100,0.48900,-8.89800,0.50900,-9.12300,0.33400,-8.77700,0.38100,-9.01200,0.59500,-8.58500,0.42900,-8.88100,0.30900,-9.16700,0.33500,-9.06700,0.39200,-8.82000,0.35500,-8.79400,0.47400,-8.80400,0.60700,-8.78000,0.46400,-8.81900,0.45500,0,0.00410,2.22670,0.20420,23644280,15.37000,5.75000
40.17500,119.82500,Qinhuangdao,0,0.00040,6.00000,0.00200,702.00000,0.00240,779.00000,0.00270,699.00000,-9.56600,0.53300,-9.31200,0.42000,-9.14200,0.27900,-9.74900,0.28400,-9.41300,0.33200,-9.23400,0.44300,-9.93100,0.32800,-9.41100,0.39500,-11.31800,0.41800,-10.75100,0.45700,-10.86400,0.49500,-10.77700,0.41000,-10.51900,0.37700,-10.33600,0.44800,-10.27200,0.41500,-10.30000,0.39600,-10.34500,0.46200,-10.16600,0.58900,-10.29900,0.45000,-9.22000,0.51500,-9.00400,0.53900,-9.25000,0.35200,-8.87400,0.35000,-9.12200,0.61200,-8.67100,0.42900,-8.97900,0.30500,-9.32200,0.34100,-9.14200,0.42300,-8.92100,0.36000,-8.89400,0.46100,-8.95000,0.59000,-8.84000,0.45200,-8.90200,0.47200,0,0.00330,1.56120,0.17540,23644280,15.09000,5.65000
