latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
47.57500,123.72500,Qiqihar,0,0.00000,66.00000,0.00120,706.00000,0.00260,790.00000,0.01160,1111.00000,-9.02300,0.37800,-8.85800,0.31300,-10.17500,0.46000,-10.57100,1.60700,-10.17000,1.26700,-8.67900,0.41100,-9.62100,0.76100,-9.54100,0.81200,-10.70400,1.28700,-11.05300,1.01800,-11.59200,1.25400,-10.99600,1.08100,-10.41900,0.67400,-10.83500,0.81500,-10.36500,0.93900,-10.30300,0.81300,-10.59700,0.94100,-10.58900,1.25200,-10.29700,0.56800,-9.77700,0.95700,-9.29000,1.00800,-8.78900,0.82500,-9.86400,0.81600,-8.95300,1.11600,-9.17800,0.81700,-9.45400,0.77300,-9.34800,0.66600,-9.65600,0.46300,-9.84700,0.64000,-9.95400,0.55800,-9.20500,0.79900,-9.42400,0.73000,-8.83200,0.88700,0,0.00410,0.98910,0.33360,20912286,4.66000,3.05000
47.57500,123.77500,Qiqihar,0,0.00000,598.00000,0.00040,1230.00000,0.00110,2399.00000,0.00270,1611.00000,-9.26300,0.37100,-9.12500,0.34500,-10.32300,0.45800,-10.77300,1.76400,-10.24300,1.22600,-8.88500,0.45300,-9.74300,0.70400,-9.73800,0.80700,-10.76000,1.27600,-11.12800,1.02600,-11.61500,1.24000,-11.05700,1.08400,-10.45700,0.62200,-10.85200,0.79000,-10.38600,0.94100,-10.30800,0.81000,-10.61600,0.92400,-10.61500,1.21600,-10.32300,0.55400,-9.80400,0.94300,-9.29500,1.00200,-8.82500,0.82000,-9.88100,0.81000,-8.97800,1.10200,-9.18700,0.80900,-9.48400,0.76200,-9.35500,0.66600,-9.66900,0.45700,-9.86900,0.63700,-9.98100,0.56800,-9.21400,0.80500,-9.43300,0.70700,-8.84800,0.89500,0,0.00590,1.94990,0.27750,20912286,4.73000,2.44000
47.57500,123.82500,Qiqihar,0,0.00040,595.00000,0.00280,1596.00000,0.00900,2960.00000,0.01510,2291.00000,-9.31400,0.37000,-9.20400,0.36500,-10.35900,0.45600,-10.82000,1.82500,-10.26200,1.21800,-8.92400,0.47100,-9.77500,0.69200,-9.79200,0.81000,-10.87900,1.24000,-11.30000,1.01500,-11.73800,1.19800,-11.21600,1.08300,-10.58600,0.58700,-10.95400,0.76500,-10.49900,0.94100,-10.41000,0.81500,-10.74000,0.90500,-10.71100,1.17700,-10.43300,0.55700,-9.94000,0.96300,-9.42300,1.01800,-8.96000,0.82700,-9.97000,0.80800,-9.01600,1.10000,-9.22500,0.79000,-9.52100,0.75000,-9.39600,0.66900,-9.70200,0.45500,-9.96400,0.64000,-10.11200,0.59600,-9.28800,0.81700,-9.50200,0.63200,-8.93100,0.88500,0,0.00470,1.61220,0.26520,20912286,4.38000,2.36000
47.57500,123.87500,Qiqihar,1,0.00000,0.00000,0.00060,465.00000,0.00170,539.00000,0.00770,1604.00000,-9.43900,0.37200,-9.38900,0.38600,-10.48600,0.44600,-10.93300,1.86900,-10.33500,1.18500,-9.07200,0.49300,-9.84400,0.66000,-9.96900,0.81800,-11.04900,1.18800,-11.54000,0.99300,-11.92800,1.15300,-11.43600,1.08000,-10.79400,0.56900,-11.12900,0.74400,-10.67800,0.93700,-10.59400,0.82300,-10.95300,0.88100,-10.87900,1.14800,-10.60100,0.56200,-10.21500,0.99000,-9.70300,1.03900,-9.23800,0.81400,-10.15600,0.80300,-9.10800,1.07100,-9.29900,0.75800,-9.58500,0.70900,-9.48300,0.68600,-9.77200,0.45100,-10.14500,0.64700,-10.29400,0.61600,-9.48800,0.78300,-9.58800,0.53100,-9.16700,0.83500,0,0.00740,1.52120,0.40110,20912286,4.88000,2.45000
47.57500,123.92500,Qiqihar,0,0.00000,0.00000,0.00010,0.00000,0.00010,0.00000,0.00100,3.00000,-9.57100,0.36900,-9.58400,0.40400,-10.62600,0.43600,-11.07200,1.92700,-10.41600,1.15200,-9.23400,0.52100,-9.91900,0.62800,-10.16000,0.82500,-11.25600,1.11300,-11.82100,0.96100,-12.16400,1.11000,-11.69800,1.06700,-11.06200,0.55700,-11.36100,0.73200,-10.91200,0.92900,-10.84300,0.83200,-11.23300,0.86500,-11.11400,1.12800,-10.81700,0.55700,-10.59500,1.02000,-10.00800,1.05100,-9.53700,0.75100,-10.37900,0.80800,-9.26600,1.04000,-9.44000,0.73000,-9.67500,0.64700,-9.62600,0.66600,-9.91200,0.42900,-10.35700,0.64900,-10.43500,0.62800,-9.71100,0.71000,-9.64100,0.42800,-9.46200,0.72800,0,0.00000,0.00000,0.00000,20912286,9.47000,5.24000
47.57500,123.97500,Qiqihar,1,0.00150,9580.00000,0.00690,10631.00000,0.01450,8997.00000,0.03540,5728.00000,-9.59300,0.37200,-9.63500,0.40600,-10.66400,0.43200,-11.07800,1.91600,-10.44200,1.14200,-9.27100,0.52600,-9.94000,0.62100,-10.22200,0.83400,-11.49500,1.01400,-12.12200,0.92000,-12.43200,1.07400,-11.98500,1.03600,-11.37300,0.54700,-11.63500,0.71900,-11.19200,0.91300,-11.13200,0.83900,-11.56000,0.86500,-11.40000,1.11100,-11.07400,0.54100,-10.96300,1.04500,-10.25700,1.05600,-9.69000,0.69100,-10.55200,0.83800,-9.45600,1.04900,-9.63200,0.73400,-9.76200,0.63700,-9.80300,0.60400,-10.13100,0.40500,-10.56700,0.67200,-10.51100,0.66300,-9.82100,0.68600,-9.64200,0.37100,-9.70700,0.64100,0,0.00840,1.46830,0.69410,20912286,4.99000,2.83000
47.57500,124.02500,Qiqihar,0,0.00070,101.00000,0.00280,922.00000,0.00570,2299.00000,0.01430,1880.00000,-9.70900,0.38600,-9.83000,0.38500,-10.83100,0.42000,-11.07400,1.79000,-10.55200,1.08700,-9.45900,0.52600,-10.02300,0.58500,-10.48300,0.86400,-11.73000,0.93000,-12.39000,0.88500,-12.67800,1.04200,-12.24400,1.01000,-11.66300,0.54300,-11.88500,0.69200,-11.44900,0.88400,-11.38600,0.84500,-11.86000,0.85700,-11.66400,1.10500,-11.31100,0.53300,-11.28800,1.02200,-10.45700,1.04000,-9.78900,0.70000,-10.64300,0.87400,-9.67600,1.03300,-9.79300,0.77000,-9.78900,0.69000,-9.97800,0.56800,-10.38600,0.46900,-10.69200,0.66200,-10.56800,0.70000,-9.86200,0.65300,-9.62100,0.35500,-9.90800,0.58000,0,0.00260,0.53000,0.16430,20912286,5.25000,2.84000
47.57500,124.07500,Qiqihar,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00030,5.00000,-9.72500,0.38800,-9.85600,0.38200,-10.85400,0.41800,-11.07300,1.77200,-10.56700,1.07900,-9.48500,0.52600,-10.03400,0.58000,-10.51900,0.86800,-11.95500,0.85500,-12.64200,0.86900,-12.91500,1.03500,-12.49700,0.98700,-11.93900,0.55600,-12.12700,0.67900,-11.70100,0.87000,-11.63200,0.82700,-12.17000,0.83500,-11.95600,1.10900,-11.56700,0.54100,-11.44300,1.01300,-10.68500,1.05800,-9.86700,0.69400,-10.73400,0.88000,-9.80000,0.99000,-9.91000,0.74700,-9.79700,0.70200,-10.05700,0.56700,-10.50500,0.50200,-10.79300,0.65500,-10.61400,0.73000,-9.87200,0.65100,-9.61500,0.34900,-10.05400,0.53800,0,0.00030,0.18850,0.00540,20912286,5.27000,2.82000
47.57500,124.12500,Qiqihar,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00010,0.00000,-9.72200,0.40800,-9.94300,0.37500,-10.90500,0.41500,-11.08500,1.69200,-10.60300,1.04700,-9.53100,0.51800,-10.04800,0.56200,-10.64600,0.88500,-12.14900,0.80200,-12.83200,0.85000,-13.09100,1.04100,-12.69600,0.98700,-12.15100,0.59000,-12.33100,0.66700,-11.89800,0.85600,-11.83600,0.79400,-12.41800,0.82600,-12.20500,1.10700,-11.77300,0.54100,-11.56000,1.00700,-10.83900,1.07400,-9.90100,0.67600,-10.81100,0.87300,-9.85300,0.96500,-10.00000,0.72300,-9.79300,0.70100,-10.10100,0.55500,-10.57400,0.50600,-10.88000,0.65000,-10.65000,0.74500,-9.87000,0.64900,-9.61200,0.37300,-10.22100,0.48100,0,0.00010,0.05650,0.00100,20912286,4.12000,2.29000
47.57500,124.17500,Qiqihar,0,0.00170,0.00000,0.00490,0.00000,0.00680,1.00000,0.01130,90.00000,-9.71900,0.42300,-10.00800,0.37000,-10.94400,0.41300,-11.09300,1.63100,-10.63000,1.02200,-9.56600,0.51200,-10.05800,0.54800,-10.74100,0.89800,-12.28800,0.75900,-12.95300,0.84100,-13.18200,1.05400,-12.83000,0.99000,-12.27800,0.61100,-12.46300,0.67300,-12.02600,0.85000,-11.96400,0.75400,-12.57100,0.81400,-12.39000,1.09600,-11.90800,0.54800,-11.61900,0.99400,-10.92300,1.06800,-9.87900,0.65700,-10.85800,0.86500,-9.85800,0.95800,-10.04000,0.71100,-9.74900,0.68200,-10.11300,0.54600,-10.59300,0.50500,-10.93000,0.63800,-10.66800,0.73500,-9.84300,0.64200,-9.60900,0.38900,-10.29900,0.44900,0,0.00030,0.14140,0.01640,20912286,5.17000,2.73000
