latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
25.12500,118.42500,Quanzhou,2,0.00060,25332.00000,0.07070,22606.00000,0.08650,25698.00000,0.10510,29626.00000,-9.05000,0.33500,-8.92600,0.19900,-8.88100,0.38600,-9.16200,0.48400,-8.56300,0.31400,-8.73200,0.33100,-8.59400,0.23800,-8.65900,0.53900,-10.77900,0.31100,-10.86600,0.53700,-10.85700,0.38900,-10.60700,0.46500,-10.78100,0.34500,-10.45700,0.42700,-10.59800,0.42900,-10.23500,0.39800,-10.24200,0.58900,-10.02500,0.41100,-10.19700,0.36800,-8.33600,0.52300,-8.16600,0.33700,-8.28500,0.37300,-8.06700,0.31300,-8.08500,0.53000,-7.91000,0.27400,-7.86100,0.39800,-7.87900,0.31000,-7.51400,0.50400,-7.20200,0.55500,-7.61300,0.37000,-7.28700,0.74900,-7.20700,0.43000,-7.36100,0.47000,0,0.04190,6.29880,4.43790,27928450,22.78000,7.91000
25.12500,118.47500,Quanzhou,2,0.00150,35623.00000,0.15200,43282.00000,0.18070,49073.00000,0.22210,55129.00000,-9.05900,0.32600,-8.92700,0.20600,-8.86800,0.38300,-9.16700,0.48300,-8.56100,0.32100,-8.73600,0.32300,-8.57700,0.21600,-8.66100,0.53500,-10.81000,0.30700,-10.87400,0.55000,-10.84500,0.36100,-10.60800,0.45500,-10.77600,0.35900,-10.43400,0.42700,-10.57600,0.43500,-10.22400,0.39400,-10.25900,0.57200,-10.01000,0.39100,-10.19700,0.37300,-8.35900,0.54100,-8.18300,0.34900,-8.32600,0.36700,-8.09300,0.34600,-8.08800,0.53500,-7.89700,0.27500,-7.86800,0.39700,-7.89000,0.32600,-7.48400,0.52300,-7.14400,0.55200,-7.59500,0.38100,-7.22800,0.76200,-7.15200,0.41400,-7.26000,0.48300,0,0.09040,10.73240,11.77660,27928450,17.46000,6.25000
25.12500,118.52500,Quanzhou,2,0.00070,17882.00000,0.06410,24118.00000,0.07990,27261.00000,0.08880,30212.00000,-9.08000,0.31000,-8.92500,0.21400,-8.84600,0.37600,-9.17300,0.48500,-8.55200,0.33300,-8.73800,0.31000,-8.54500,0.18400,-8.66000,0.53000,-10.82000,0.30100,-10.83900,0.55500,-10.79300,0.33800,-10.57500,0.43800,-10.74500,0.34600,-10.36800,0.43200,-10.50500,0.43700,-10.20300,0.38400,-10.25000,0.55800,-9.96100,0.37100,-10.16600,0.37200,-8.38400,0.54000,-8.23000,0.32600,-8.37100,0.35500,-8.13400,0.36900,-8.12300,0.52000,-7.94900,0.26100,-7.93700,0.36000,-7.93400,0.31400,-7.57200,0.50900,-7.20500,0.55800,-7.64700,0.38600,-7.23600,0.77100,-7.24100,0.42500,-7.27800,0.44900,0,0.04340,6.39550,5.84820,27928450,17.92000,6.95000
25.12500,118.57500,Quanzhou,2,0.00030,28101.00000,0.02000,14227.00000,0.02870,14297.00000,0.03740,16129.00000,-9.15400,0.29400,-8.96700,0.22600,-8.88600,0.37200,-9.22900,0.47100,-8.61400,0.34700,-8.85300,0.33000,-8.58900,0.16700,-8.71900,0.52900,-10.78300,0.29500,-10.78500,0.52300,-10.73500,0.31300,-10.53200,0.41300,-10.68400,0.31400,-10.30500,0.42100,-10.41000,0.43600,-10.18100,0.36500,-10.22100,0.55900,-9.90500,0.37300,-10.10800,0.37000,-8.41400,0.52600,-8.26800,0.29400,-8.41900,0.33800,-8.18800,0.37500,-8.16900,0.47800,-8.03200,0.25400,-8.04000,0.31100,-8.00200,0.28700,-7.69000,0.47100,-7.33200,0.53600,-7.78000,0.38300,-7.34600,0.76000,-7.40800,0.41700,-7.41600,0.39700,0,0.02810,4.43840,3.24700,27928450,23.46000,7.68000
25.12500,118.62500,Quanzhou,2,0.00010,6826.00000,0.02500,21421.00000,0.05100,26026.00000,0.07490,29728.00000,-9.21300,0.27900,-8.99800,0.23600,-8.91700,0.36700,-9.27500,0.46100,-8.66600,0.35800,-8.94600,0.34000,-8.62300,0.15200,-8.77000,0.52900,-10.73100,0.29100,-10.73000,0.48300,-10.67900,0.29200,-10.48200,0.39100,-10.63000,0.29200,-10.26000,0.40200,-10.33200,0.43400,-10.17100,0.34300,-10.19400,0.55100,-9.85900,0.38000,-10.04500,0.38300,-8.43100,0.51900,-8.28400,0.27300,-8.45800,0.32400,-8.23900,0.37000,-8.20500,0.45300,-8.10600,0.26300,-8.10800,0.28800,-8.05800,0.26700,-7.76500,0.44900,-7.47000,0.47500,-7.91400,0.35100,-7.50000,0.71100,-7.55900,0.37400,-7.57600,0.37600,0,0.03580,4.77660,4.56400,27928450,38.02000,8.08000
25.12500,118.67500,Quanzhou,1,0.00000,0.00000,0.00120,782.00000,0.00190,852.00000,0.00230,993.00000,-9.39500,0.26000,-9.09300,0.23700,-9.07600,0.36300,-9.42100,0.44300,-8.86100,0.37400,-9.21600,0.37100,-8.79300,0.17700,-8.95900,0.53500,-10.70600,0.27700,-10.70700,0.44400,-10.63900,0.28000,-10.46200,0.36300,-10.61400,0.27900,-10.24800,0.39900,-10.29300,0.42000,-10.19400,0.32300,-10.18300,0.53600,-9.82800,0.37800,-10.00800,0.39800,-8.45200,0.52600,-8.29200,0.26100,-8.49400,0.32000,-8.27900,0.36600,-8.23300,0.43900,-8.15900,0.27900,-8.14500,0.28900,-8.10500,0.25100,-7.82000,0.43700,-7.59100,0.44900,-7.99500,0.31300,-7.61900,0.64900,-7.68300,0.34400,-7.68700,0.37500,0,0.00140,0.71060,0.13020,27928450,47.34000,8.94000
25.12500,118.72500,Quanzhou,1,0.00000,0.00000,0.00010,19.00000,0.00030,29.00000,0.00050,29.00000,-9.45600,0.25300,-9.12700,0.23400,-9.13400,0.36100,-9.47800,0.43900,-8.94200,0.38100,-9.32300,0.36800,-8.86200,0.18700,-9.03600,0.53800,-10.75900,0.24800,-10.75900,0.41900,-10.70800,0.27500,-10.51100,0.35600,-10.67700,0.26900,-10.31900,0.43300,-10.35000,0.42100,-10.30000,0.31600,-10.22500,0.54600,-9.86100,0.38000,-10.00300,0.42600,-8.48500,0.53700,-8.32500,0.27400,-8.53400,0.33100,-8.33800,0.37400,-8.27600,0.43800,-8.21500,0.28900,-8.17800,0.30100,-8.15300,0.23900,-7.84600,0.45500,-7.65800,0.46200,-8.02800,0.31300,-7.67000,0.63300,-7.72800,0.31900,-7.69800,0.39300,0,0.00060,0.29410,0.04100,27928450,53.48000,8.99000
25.12500,118.77500,Quanzhou,1,0.00000,0.00000,0.00890,1686.00000,0.01720,2221.00000,0.02010,2716.00000,-9.87400,0.22800,-9.37500,0.26500,-9.51500,0.37000,-9.49200,0.85800,-9.33800,0.40900,-9.78000,0.32700,-9.24900,0.25200,-9.43400,0.55100,-10.96800,0.24200,-10.94800,0.39800,-10.94600,0.28500,-10.70800,0.36900,-10.88800,0.26900,-10.54200,0.48500,-10.54400,0.45600,-10.55000,0.35500,-10.37300,0.57300,-9.99700,0.42000,-10.10200,0.45900,-8.59700,0.53800,-8.40300,0.32400,-8.60400,0.37200,-8.41900,0.39400,-8.36100,0.43500,-8.28300,0.30400,-8.21600,0.32200,-8.19900,0.23600,-7.84300,0.49000,-7.67700,0.50300,-8.03800,0.34500,-7.67900,0.64100,-7.70400,0.29900,-7.65100,0.41400,0,0.00620,1.87960,0.62930,27928450,36.66000,8.54000
25.12500,118.82500,Quanzhou,2,0.00160,17742.00000,0.11130,21473.00000,0.20040,28808.00000,0.22130,31348.00000,-10.06700,0.22000,-9.51000,0.28700,-9.69900,0.37000,-9.65000,0.85900,-9.52400,0.41800,-9.98700,0.32500,-9.43000,0.27700,-9.62000,0.55400,-11.33200,0.23600,-11.28100,0.41000,-11.35900,0.31500,-11.07700,0.41600,-11.25600,0.28300,-10.91700,0.53300,-10.89300,0.50200,-10.90100,0.37700,-10.66000,0.62800,-10.27200,0.46200,-10.32900,0.50600,-8.84300,0.61400,-8.55500,0.38400,-8.80000,0.46400,-8.57500,0.44400,-8.53000,0.47600,-8.41500,0.35300,-8.27000,0.37000,-8.26300,0.25100,-7.82300,0.53000,-7.64800,0.59700,-8.03600,0.37100,-7.66300,0.65600,-7.62500,0.34300,-7.54200,0.46700,0,0.04800,6.46130,5.28780,27928450,14.78000,5.49000
25.12500,118.87500,Quanzhou,2,0.04700,48735.00000,0.27220,57717.00000,0.35670,68850.00000,0.37870,79367.00000,-10.69700,0.19900,-10.00300,0.37600,-10.32100,0.35800,-10.56900,0.35400,-10.14200,0.44000,-10.65600,0.36200,-10.03600,0.34700,-10.23700,0.55700,-11.91900,0.22900,-11.82500,0.44600,-11.97200,0.35800,-11.65200,0.48500,-11.81100,0.30300,-11.50500,0.59300,-11.45400,0.54000,-11.45700,0.42400,-11.16100,0.69600,-10.73400,0.51100,-10.73600,0.57000,-9.42500,0.75700,-8.96300,0.43400,-9.27800,0.56400,-8.96400,0.52500,-8.91400,0.52200,-8.71000,0.42200,-8.49900,0.45900,-8.48900,0.31700,-7.91100,0.60600,-7.79500,0.68700,-8.14900,0.42100,-7.76600,0.70800,-7.65100,0.35600,-7.54200,0.47000,42,0.07960,8.04740,7.60890,27928450,8.06000,4.12000
